date,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentLiabilities,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyTotalAssets,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-12-31,,5894000000.0,5359000000,133127000000,,8845000000,10969000000,69320000000,,65567000000,31151000000,2210000000.0,191242000000,,0.0,42763000000,,,41541000000,10571000000,10571000000,4294000000,976000000.0,4858000000,508000000.0,125675000000,53732000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,4837000000.0,4684000000,139939000000,,10381000000,12913000000,79990000000,,85705000000,44790000000,0.0,222391000000,,0.0,64603000000,,,56024000000,19953000000,19953000000,4330000000,0.0,7331000000,491000000.0,136686000000,77516000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,3404000000.0,6925000000.0,5812000000,159038000000,-1163000000.0,4088000000,14061000000,2241000000,,82055000000,34123000000,12976000000.0,230312000000,,0.0,51828000000,,,60717000000,9916000000,9916000000,4352000000,0.0,7516000000,479000000.0,148257000000,65889000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,6988000000.0,7876000000,178014000000,,4554000000,22387000000,87354000000,125221000000.0,96311000000,36603000000,0.0,249992000000,,0.0,44351000000,,,61939000000,18274000000,18274000000,4738000000,0.0,13624000000,467000000.0,153681000000,66738000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,5074000000.0,8433000000.0,9030000000,185336000000,-1287000000.0,5082000000,29527000000,3787000000,,100496000000,27458000000,0.0,262470000000,,0.0,43018000000,,,68204000000,19364000000,19364000000,4738000000,0.0,19699000000,454000000.0,161974000000,72545000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,7286000000.0,10848000000,190833000000,,5242000000,16343000000,94962000000,,94637000000,39911000000,0.0,262835000000,,0.0,51051000000,,,68783000000,12199000000,12199000000,4738000000,0.0,4592000000,429000000.0,168198000000,67394000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,3956000000.0,0.0,6033000000,205212000000,-1393000000.0,5412000000,19495000000,2563000000,,102252000000,38792000000,0.0,281557000000,,0.0,52161000000,,5492000000.0,76403000000,12456000000,12456000000,4830000000,0.0,2826000000,415000000.0,179305000000,71656000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,107882000000.0,0.0,7443000000,212826000000,,6020000000,30159000000,107882000000,156722000000.0,105907000000,32061000000,0.0,292142000000,2003000000.0,0.0,44497000000,,7028000000.0,77234000000,11609000000,13612000000,4830000000,0.0,7739000000,405000000.0,186235000000,74656000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,3438000000.0,0.0,7870000000,223402000000,-1497000000.0,6156000000,25419000000,1941000000,164030000000.0,109148000000,39367000000,0.0,304114000000,178000000.0,0.0,50695000000,,6851000000.0,80233000000,13634000000,13812000000,5398000000,0.0,7418000000,394000000.0,194966000000,76114000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,112056000000.0,0.0,8730000000,229747000000,,6181000000,34782000000,112056000000,171539000000.0,109802000000,29307000000,0.0,309919000000,1105000000.0,0.0,39643000000,,7470000000.0,81773000000,12185000000,13290000000,0,676000000.0,11747000000,375000000.0,200117000000,74425000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
