date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyGoodwill,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyBasicEPS,quarterlyAccountsReceivable,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyStockholdersEquity,quarterlyCurrentDebt,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyAccountsPayable,quarterlyGrossPPE,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyRetainedEarnings,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2008-12-31,49385000000,11857000000,13641000000,184435000000,198076000000,2325000000.0,61242000000,29196000000,851000000.0,7500000000.0,,1733000000.0,27893000000.0,,,4408000000,4408000000,17382000000,-6121000000,135387000000,3751000000,903000000,3453000000,36000000.0,134484000000.0,,,7717000000,23131000000,17010000000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,47543000000,12858000000,11436000000,186670000000,198106000000,272000000.0,60401000000,29502000000,139712000000.0,3899000000.0,,,,0.0,3971000000.0,3566000000,2010000000,17660000000,-6654000000,136295000000,4913000000,903000000,3005000000,36000000.0,,,0.0,7366000000,20134000000,13480000000,1556000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,52645000000,11736000000,11098000000,206632000000,217730000000,2326000000.0,64381000000,29624000000,211000000.0,0.0,,1428000000.0,,,1738000000.0,2564000000,2564000000,20303000000,-7000000000,152503000000,2552000000,903000000,3105000000,0.0,,,,8865000000,21549000000,14549000000,14000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,55802000000,18522000000,17174000000,226793000000,243967000000,2335000000.0,74324000000,31139000000,423000000.0,0.0,,1906000000.0,,,,4138000000,3761000000,21771000000,-10022000000,163854000000,8178000000,903000000,4697000000,0.0,,74000000.0,,9788000000,33062000000,23040000000,377000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,36378000000,25146000000,16336000000,254239000000,270575000000,2332000000.0,61524000000,28738000000,485000000.0,10052000000.0,,2104000000.0,42355000000.0,,,4180000000,3809000000,4605000000,-10636000000,204452000000,14384000000,903000000,5363000000,11000000.0,203207000000.0,128000000.0,,10156000000,34761000000,24125000000,371000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,43640000000,23713000000,18301000000,279515000000,297816000000,2335000000.0,67353000000,35604000000,659000000.0,0.0,,2541000000.0,,,,4534000000,4236000000,4890000000,-11114000000,225646000000,11493000000,903000000,5419000000,0.0,,367000000.0,,11431000000,37172000000,26058000000,298000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,35161000000,25026000000,20312000000,272351000000,292663000000,2331000000.0,60187000000,27237000000,124000000.0,13103000000.0,,3287000000.0,46199000000.0,,,3922000000,3707000000,5050000000,-11731000000,227559000000,10083000000,903000000,5239000000,207000000.0,226656000000.0,108000000.0,,14179000000,39019000000,27288000000,215000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,43359000000,29893000000,27729000000,284184000000,311913000000,2327000000.0,73252000000,35111000000,186000000.0,14819000000.0,,3752000000.0,46772000000.0,,,9158000000,9158000000,5336000000,-12570000000,200562000000,15894000000,903000000,4399000000,196000000.0,199659000000.0,120000000.0,,13010000000,44005000000,31435000000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,49590000000,22724000000,25834000000,295814000000,321648000000,2373000000.0,72314000000,40917000000,188000000.0,0.0,3956000000.0,10770000000.0,,,3045000000.0,5888000000,5888000000,5757000000,-13159000000,209641000000,7426000000,0,553000000,742000000.0,,114000000.0,,14376000000,47798000000,34639000000,310000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,56082000000,24329000000,28707000000,305406000000,334113000000,0.0,80411000000,46177000000,193000000.0,0.0,4003000000.0,11014000000.0,,0.0,3200000000.0,8207000000,8207000000,6050000000,-15024000000,212727000000,7413000000,0,643000000,0.0,,72000000.0,0.0,15650000000,53971000000,38947000000,137000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,60848000000,25669000000,31716000000,317309000000,349025000000,2373000000.0,86517000000,50841000000,706000000.0,0.0,4001000000.0,11216000000.0,,,3845000000.0,10950000000,10950000000,6357000000,-15820000000,220297000000,8677000000,0,633000000,0.0,,47000000.0,,16439000000,56441000000,40621000000,338000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,70217000000,24466000000,32980000000,326255000000,359235000000,52000000.0,94683000000,59639000000,736000000.0,0.0,5412000000.0,11299000000.0,,0.0,4931000000.0,11026000000,11026000000,6725000000,-16891000000,221703000000,7339000000,0,1391000000,0.0,,52000000.0,0.0,16161000000,59833000000,42942000000,23000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,71828000000,23377000000,31480000000,325855000000,357335000000,2384000000.0,95205000000,60518000000,920000000.0,0.0,5837000000.0,11801000000.0,,,3719000000.0,10115000000,10115000000,6938000000,-17722000000,218775000000,5943000000,0,1605000000,0.0,,57000000.0,,16739000000,62493000000,44771000000,12000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,65570000000,33188000000,32475000000,334199000000,366674000000,60000000.0,98758000000,53487000000,902000000.0,0.0,5862000000.0,11388000000.0,,0.0,4911000000.0,9606000000,9606000000,7350000000,-19356000000,222703000000,14801000000,0,1676000000,0.0,,60000000.0,0.0,17298000000,64870000000,45514000000,83000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
