date,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyInventory,quarterlyLongTermDebt,quarterlyAccumulatedDepreciation,quarterlyBasicEPS,quarterlyNetPPE,quarterlyAccountsReceivable,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyAccountsPayable,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2009-12-31,5585531639.541361,92859227.106737,38364697.936331,1578998660.754444,-5641851340.117239,,5087354934.372389,213535369.497829,1674115359.874509,26980488.446343,191127934.732151,18856368776.811962,11120249908.44887,143794099.744427,2889221682.280867,6521951104.913915,6494970616.467572,43463379.850989,4438407449.18067,,1674115359.874509,10729206274.489628,73388971.216435,2434150894.545797,9578970576.291534,7736118868.363094,2004256554.634873,,12511655638.42339,848654517.933958,0.0,6497715.857395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,503659607.964047,40514665.690095,1568061429.718948,,0.0,5476912002.626597,425225139.252017,0.0,,,20142587790.47207,11283618194.13055,823885951.344381,,7512948649.818771,7512948649.818771,43326422.844842,4783509074.753331,0.0,1359022371.674369,,,2257803388.556515,10300624394.532825,8858969596.341516,2525705686.196816,,13162033769.791952,683290222.436146,6809437.389381,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,597409722.320374,42611249.808871,2111813540.527657,-6395948596.311568,,11672925772.642178,397989073.214857,0.0,,,27463802726.813667,18738723215.9492,3688429783.455891,,6934554793.8957,6934554793.8957,42611249.808871,9534693257.23302,,2636784138.17295,18068874368.953747,,2989605286.590404,11013303625.600851,8725079510.864468,6545087970.642617,,13793261563.131607,870121721.09715,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,781509001.42635,56534693.720204,8818580827.797125,,0.0,17117541308.901196,521283131.80247,0.0,,,38431952233.97283,24044704074.73561,3150146389.791958,,11077474398.94116,11077474398.94116,41569627.735444,18421164834.684727,0.0,5118052566.787885,,,9605909577.106438,11527257771.038666,14387248159.237225,8815255257.578289,,14516945397.77181,775689253.543388,89790395.908559,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,,1250412068.454872,455651776.401355,20204069175.991863,-18077963995.518757,,45818497366.62503,585953616.544548,0.0,,,68039412416.137634,54646649368.37632,2113155929.278751,,9460237325.675728,9460237325.675728,58271630.374596,31144567778.822258,,7164982551.476364,63896461362.14378,,21020681329.435852,14180239386.018002,13392763047.761309,10123886449.386404,,24665086212.447044,797188276.652459,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,2046459228.850752,509359190.828183,18243425317.87512,,0.0,47331854212.44949,939976864.233652,0.0,,,79805348132.06076,56585622957.89806,4536659717.344091,,18060515334.69527,18060515334.69527,65617931.185595,34029459112.849693,0.0,9865655953.754246,,,19134188733.719574,14318652808.836702,23219725174.162697,14895270379.130121,,33029605886.409187,859594898.531298,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,,12883092.490396,577323582.225869,21387543920.61858,-21976140208.773544,,57510124877.12753,1100699214.648204,10014994024.721554,,50727176.680934,87397289068.28484,65454966977.298584,4115342857.400857,,15775346754.489843,15775346754.489843,65220655.73263,37331981264.04487,,1558048998.057261,79486265085.90108,,22546217051.473568,16151372016.553276,21942322090.986256,14785764212.571304,225454118.581929,35768295913.02306,1029037012.670377,53947949.803533,129636118.184609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,3178893.222032,831280577.561479,14603040738.711445,-23591361324.00812,0.0,60456986019.91814,1626798606.375093,0.0,,281332050.149869,91827099058.2396,68670451382.34441,12367484080.317142,,15498693904.01908,15498693904.01908,64372587.746157,39034424596.64163,0.0,1474211731.717536,84048347343.92625,,15949302018.242176,17350399205.852966,23156647675.895187,23085122578.39946,,37104836410.86795,1184932448.512586,0.0,161328831.018145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,,2344220.590416,916590250.852615,13908260762.93751,-25250381386.233086,,67074402346.70655,1479203192.55243,0.0,,393047652.326399,93348426724.0879,75483903011.39185,10588844406.908602,,11640618045.141867,11640618045.141867,63293955.941229,36877715514.69593,,1204929383.47377,92324783732.93964,,15677365901.83804,19167910360.967308,17864523712.696068,21200349612.857887,293027573.801987,39387594360.16788,1340112770.85442,82047720.664556,428992368.046109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,4012440.756765,1047247037.51577,16187790989.094343,-27647321790.416332,0.0,68113589310.546776,1934798932.912277,11920159000.19866,,398034123.071128,94403903637.02505,75644138122.84409,7032203670.307046,,9696464332.799273,9696464332.799273,65001540.2596,37658361478.54601,0.0,1557629501.77633,95760911100.96312,,17806409590.37351,20715429139.028423,18759765514.180965,19851951888.17251,,40568986003.50364,1145953080.132199,0.0,472665521.146965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,,15992806.821917,925183874.647915,12973364893.939297,-29533916358.034637,,71824495077.5716,1589684998.098577,0.0,,397421249.524644,94125664550.39413,78440719259.79877,6768955487.376488,,8579341219.617524,8579341219.617524,64770867.628765,34701192242.19611,,1496127078.190361,101358411435.60623,,15108404604.665253,22202014070.52666,15684945290.595371,19592787637.530857,,42291378359.87805,1130691442.309552,144734901.738351,485381687.045189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,3204673.203373,1305904330.374532,16897440633.085434,-31839229443.812443,0.0,72024229077.50925,1768979608.261943,10570614561.32612,,394174804.014889,98123888814.08049,78889440247.43523,7604689511.604331,,12578342323.239359,12578342323.239359,64894632.368305,37953745915.84829,0.0,1536640801.017394,103863458521.32169,,19036559996.336967,22431110087.009907,19234448566.645256,18917185919.511322,,42588504536.226616,1119232116.27805,0.0,486309158.611866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,,18422354.479951,767039850.165236,12910720971.449356,-34721113916.213264,,70000760125.06868,1538266599.075916,0.0,,354211633.864514,90504840661.25424,75050160012.07346,6465409042.713743,,9856797026.52292,9856797026.52292,67827759.676184,31616947186.34151,,1580135586.53035,104721874041.28195,,14670055824.284685,21503911956.59745,15454680649.180784,16946891362.056824,,41134605414.48351,787974343.892453,214369215.766704,497403570.958679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,190745236.04575,1361732806.210021,16055958860.155972,-43439447590.06026,0.0,86072290885.98982,2854335662.263091,31161612979.294773,,522624839.569298,119257685158.93593,92609805859.52199,5702683805.905912,,16842034519.017159,16842034519.017159,69284144.034555,56883992971.975525,0.0,3174240228.546098,129511738476.05008,,19020635936.992615,25572692027.173996,26647879299.413944,37863357034.98291,,38290181576.62789,936618984.170837,0.0,1620906826.487431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,,25071296.489721,1250878614.147885,19220730373.155693,-49955453659.215935,,87374363670.1251,2788286331.035443,26908664361.039543,,504112140.132612,124254240806.50528,95465229208.73662,14192144620.07443,,19310270717.76184,19310270717.76184,72527679.13098,64886306122.291084,,3238674264.404367,137329817329.34103,,22260625072.53441,24253793143.467262,28789011597.768646,42625681049.75667,,36649758450.74236,907939094.306339,732440018.878289,1795283909.353264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,24000000.0,1431000000.0,25777000000.0,-52195000000.0,0.0,89942000000.0,3109000000.0,23655000000.0,,475000000.0,124245000000.0,97155000000.0,8547000000.0,,16772000000.0,16772000000.0,65000000.0,61814000000.0,0.0,3427000000.0,142137000000.0,,28856000000.0,23506000000.0,27090000000.0,32958000000.0,,38199000000.0,1223000000.0,0.0,1593000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
