date,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyNetPPE,quarterlyInventory,quarterlyAccountsReceivable,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-12-31,2760153000.0,1171473000.0,4328102000,640504000,6144929000,,0,1069679000,6582778000,18802189000,4498155000,1509635000.0,136993000,4498155000,7328825000,11705669000,5196353000.0,,8907789000,12219411000,2797880000,6222000,37727000,6375613000,-868251000.0,906501000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,3446310000.0,-5779000.0,4934237000,916132000,5624335000,,0,1241127000,7549088000,20454333000,5482178000,1383622000.0,137852000,5482178000,7224490000,12265800000,,,8761045000,12905245000,3504755000,6222000,58445000,7206889000,,847499000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,3045324000.0,-2391000.0,5796750000,986595000,9908179000,100000000.0,0,1448593000,8619266000,24303599000,4393075000,1096669000.0,139279000,4493075000,10543028000,15225922000,7023915000.0,3665815000.0,11813288000,15684333000,3412634000,6222000,73013000,8021882000,-1227165000.0,260311000.0,294297000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,2234523000.0,-1062000.0,6380064000,1325600000,8215565000,12162000.0,0,1864070000,9832044000,24177430000,4442608000,2153682000.0,139497000,4454770000,9508921000,14138707000,,4433425000.0,11814623000,14345386000,2324084000,6222000,89561000,8889682000,,310312000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,1526760000.0,3527000.0,6795825000,1357506000,12214473000,0.0,2531639000,2221745000,10590722000,27596758000,3030391000,,139573000,3030391000,12114356000,17446643000,8449985000.0,,14984763000,17006036000,2461880000,6222000,92194000,9582200000,-1654160000.0,365975000.0,842926000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,2372883000.0,-1007000.0,6904556000,1806427000,11486957000,,0,2466771000,11039885000,27900842000,3180544000,2519504000.0,139866000,3180544000,11914378000,17042875000,,,14566670000,16860957000,2476205000,6222000,103322000,10520622000,,348365000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,1373649000.0,0.0,8468768000,1822287000,2573057000,12676000.0,223467000,2814497000,11524874000,31379826000,4188862000,1378933000.0,152557000,4201538000,9814838000,18175802000,10684328000.0,6942228000.0,16693116000,19854952000,1482686000,6222000,109037000,12886657000,-2215560000.0,151460000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,1261920000.0,0.0,8342227000,1946164000,2984845000,13407000.0,554891000,3003183000,12137141000,30888226000,5719397000,792635000.0,152789000,5732804000,10121216000,16730825000,8342227000.0,8072943000.0,15345391000,18751085000,1385434000,6222000,123514000,13999572000,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,0.0,0.0,7374624000,1783692000,3791927000,13114000.0,467598000,3220043000,11347961000,33599308000,5477747000,965565000.0,161346000,5490861000,11222441000,17369617000,9964668000.0,9349957000.0,17237101000,22251347000,132516000,6222000,132516000,16068024000,-2590044000.0,249996000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,0.0,6563063000,1878350000,4804642000,13527000.0,876498000,3555708000,11411558000,31939225000,6338595000,796479000.0,161346000,6352122000,9045377000,14839441000,6563063000.0,10153373000.0,14697956000,20527667000,141485000,6222000,141485000,16925929000,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
