date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyCurrentDebt,quarterlyNetPPE,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherShortTermInvestments,quarterlyCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-12-31,90502000000,,912000000.0,58753000000,45298000000,24759000000,,60259000000,11082000000.0,0,61318000000,1891000000,65743000000,2172000000.0,4357000000,50678000000,6983000000,,0.0,6480000000,-8075000000.0,92000000,1459000000,110443000000,10913000000,155741000000,,21645000000,21553000000,19992000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,105116000000,,547000000.0,60530000000,51874000000,40353000000,,61835000000,13392000000.0,0,57631000000,2130000000,64763000000,2138000000.0,306000000,60530000000,9983000000,,17173000000.0,6160000000,,94000000,1459000000,120113000000,12018000000,171987000000,,24805000000,24711000000,22790000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,118801000000,,1095000000.0,84655000000,54340000000,43129000000,,68282000000,14070000000.0,0,68456000000,2419000000,75672000000,4150000000.0,15227000000,74812000000,11191000000,,936000000.0,0,-9843000000.0,73000000,1459000000,138596000000,12989000000,192936000000,,24631000000,24558000000,26911000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,131567000000,,547000000.0,73071000000,70419000000,52792000000,,79454000000,,0,70634000000,3023000000,78775000000,7527000000.0,21219000000,73071000000,13967000000,27653000000.0,104000000.0,8509000000,,0,1460000000,147042000000,14471000000,217461000000,71498000000.0,32647000000,32647000000,30198000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,141726000000,,1095000000.0,99637000000,68779000000,59907000000,,80958000000,16253000000.0,0,71050000000,3373000000,81819000000,3189000000.0,27657000000,87409000000,14125000000,,0.0,6628000000,-12228000000.0,401000000,1460000000,160960000000,16202000000,229739000000,,31331000000,30930000000,30577000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,155700000000,,547000000.0,96961000000,75827000000,61771000000,,83434000000,,0,83380000000,3385000000,93929000000,5714000000.0,29056000000,96961000000,15727000000,28278000000.0,145000000.0,6698000000,,0,1460000000,170494000000,17752000000,246321000000,75476000000.0,35607000000,35607000000,29319000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,155520000000,,1095000000.0,132680000000,69429000000,50931000000,916000000.0,84678000000,15464000000.0,0,94496000000,3343000000,104589000000,1144000000.0,22133000000,118182000000,16777000000,,1260000000.0,10620000000,-14498000000.0,255000000,1460000000,177957000000,1124000000,247386000000,,32821000000,32821000000,24402000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,154001000000,,37243000000.0,109667000000,67802000000,45291000000,,98021000000,16071000000.0,0,99580000000,3678000000,108710000000,1061000000.0,18685000000,109667000000,17596000000,,0.0,10463000000,,49000000,1460000000,190599000000,19044000000,258401000000,,33685000000,33685000000,23633000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,159466000000,,912000000.0,148997000000,73892000000,57319000000,902000000.0,101763000000,15654000000.0,-931000000,93591000000,3918000000,102147000000,881000000.0,27139000000,128960000000,19270000000,,0.0,10779000000,-20037000000.0,50000000,1460000000,193887000000,1053000000,267779000000,,35070000000,35070000000,28717000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,159596000000,,374000000.0,114563000000,70140000000,58879000000,,102113000000,17764000000.0,0,91376000000,3993000000,100717000000,1944000000.0,30361000000,114563000000,20789000000,,0.0,10624000000,,120000000,38022000000,198230000000,19202000000,268370000000,,31331000000,31331000000,26717000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
