date,quarterlyAccountsPayable,quarterlyGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyInventory,quarterlyLongTermDebt,quarterlyAccumulatedDepreciation,quarterlyAccountsReceivable,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2009-12-31,283982000,398040000.0,511063000,419040000,87701000,1242345000,923866000,423362000,,9610000.0,0.0,78091000.0,0.0,2023000,,-70995000.0,,327045000,-78091000.0,,275701000.0,839257000,1763123000,57378000.0,631455000,631455000,53812000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,245163000,,516946000,0,40000000,1327616000,882798000,476946000,,,0.0,40000000.0,0.0,2466000,,,,315558000,0.0,,380110000.0,968597000,1851395000,20046000.0,504224000,504224000,54166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,315238000,446239000.0,709933000,626720000,190000000,1534054000,1148259000,519933000,,,0.0,190000000.0,3520000.0,1987000,,-95607000.0,,350632000,0.0,,456685000.0,1109999000,2258258000,0.0,753543000,753543000,54653000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,205207000,,710393000,691062000,345000000,1595103000,1024235000,365393000,,,1458000.0,0.0,0.0,3981000,345000000.0,,154429000.0,376152000,0.0,,508091000.0,1293590000,2317825000,,457238000,457238000,63905000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,465597000,650261000.0,1389269000,703600000,682015000,1609294000,1347410000,707254000,,46967000.0,11032000.0,0.0,0.0,4036000,597500000.0,-132151000.0,,518110000,0.0,11013000.0,668858000.0,1683893000,3031303000,20000000.0,660915000,649902000,63941000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,331751000,,1787100000,493024000,1114699000,1402460000,1318834000,672401000,,49811000.0,29259000.0,0.0,0.0,4301000,1057500000.0,,340793000.0,622974000,0.0,,775583000.0,1895482000,3214316000,94000000.0,600202000,600202000,63996000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,29290000,1065256000.0,2391048000,550336000,1432940000,1578843000,1562527000,958108000,84311000.0,61911000.0,20091000.0,0.0,26000000.0,3936000,1363641000.0,-135191000.0,144045000.0,930065000,0.0,14500000.0,552872000.0,2418823000,3981350000,227000000.0,912502000,898002000,64059000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,38189000,932812000.0,2217078000,558950000,1490125000,1602522000,1437090000,726953000,,66501000.0,340553000.0,0.0,26000000.0,5552000,1417736000.0,-11723000.0,158329000.0,921089000,0.0,74765000.0,752795000.0,2388290000,3825380000,184805000.0,734197000,659432000,64097000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,43923000,1063300000.0,2172923000,676736000,1221007000,1750412000,1580015000,951916000,84311000.0,66022000.0,144920000.0,0.0,0.0,3936000,1154985000.0,-167594000.0,115805000.0,895706000,0.0,140500000.0,513203000.0,2347786000,3927801000,420215000.0,998946000,858446000,64435000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,40703000,894179000.0,2391460000,758193000,1766496000,1876946000,1946737000,624964000,,63665000.0,611088000.0,0.0,25700000.0,5124000,1702831000.0,-15462000.0,101799000.0,878717000,0.0,606668000.0,726403000.0,2325632000,4272369000,196600000.0,1351403000,744735000,64964000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,34290000,1060417000.0,2394950000,873784000,1365589000,1988972000,2103062000,1029361000,84311000.0,74192000.0,7038000.0,0.0,0.0,3926000,1291397000.0,-200072000.0,100215000.0,860345000,38809000.0,259283000.0,492754000.0,2290106000,4393168000,545579000.0,1520917000,1261634000,65155000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,23379000,893737000.0,2354518000,935381000,1185131000,3161342000,3187171000,1169387000,,72560000.0,303764000.0,0.0,0.0,4601000,1112571000.0,-18835000.0,95984000.0,874902000,0.0,296726000.0,726988000.0,2344344000,5531515000,776800000.0,2590816000,2294090000,71755000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,22322000,1079010000.0,2237471000,949550000,1318756000,3217069000,3073959000,918715000,84311000.0,105738000.0,543658000.0,0.0,0.0,4047000,1213018000.0,-218461000.0,132261000.0,860549000,0.0,770102000.0,516907000.0,2410230000,5484189000,243500000.0,2297712000,1527610000,71972000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,25655000,986332000.0,2254377000,1084384000,1545729000,3401584000,2888309000,708648000,,74324000.0,850556000.0,0.0,0.0,6483000,1471405000.0,-21806000.0,149141000.0,964526000,0.0,910450000.0,1029111000.0,2818381000,5706690000,41013000.0,2075587000,1165137000,72441000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
