date,quarterlyOtherCurrentLiabilities,quarterlyCurrentDebt,quarterlyOtherNonCurrentLiabilities,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyInventory,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyOtherNonCurrentAssets,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,quarterlyNetPPE,quarterlyNonCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2013-12-31,1146000000.0,760000000,0.0,1835000000,861000000,1808000000,8196000000,6672000000,824000000,875000000,1780000000,1000000,1026000000,14156000000,8989000000,11018000000,,120000000,4813000000,1116000000,851000000,2275000000,5167000000,2822000000,646000000.0,,151000000.0,4340000000,9000000,-473000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,1124000000.0,834000000,0.0,1838000000,855000000,2136000000,8268000000,6710000000,829000000,662000000,1767000000,1000000,823000000,14589000000,8974000000,11141000000,,105000000,4360000000,1239000000,636000000,2633000000,5615000000,2873000000,1143000000.0,,161000000.0,4360000000,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,1457000000.0,719000000,0.0,1815000000,841000000,1900000000,5548000000,3951000000,838000000,978000000,1746000000,1000000,1187000000,14720000000,9346000000,8670000000,,79000000,5611000000,1014000000,850000000,5130000000,5374000000,3122000000,1382000000.0,,209000000.0,4810000000,6000000,-801000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,1236000000.0,902000000,0.0,1815000000,789000000,1831000000,4846000000,3475000000,884000000,843000000,1739000000,1000000,1073000000,13984000000,9014000000,7638000000,,71000000,4828000000,895000000,577000000,5485000000,4970000000,2792000000,1655000000.0,,230000000.0,4828000000,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,1371000000.0,606000000,0.0,1801000000,720000000,1748000000,4739000000,3308000000,810000000,1137000000,1715000000,1000000,1534000000,14301000000,9088000000,7598000000,,98000000,6019000000,865000000,812000000,5763000000,5213000000,2859000000,2139000000.0,,397000000.0,4889000000,9000000,-1130000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,1290000000.0,1412000000,0.0,1797000000,782000000,1750000000,3689000000,2338000000,848000000,515000000,1703000000,1000000,1032000000,13873000000,8904000000,6980000000,,84000000,4851000000,1016000000,491000000,6086000000,4969000000,3291000000,2461000000.0,,517000000.0,4851000000,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,1411000000.0,1011000000,0.0,1784000000,784000000,1678000000,3250000000,1867000000,887000000,1139000000,1681000000,1000000,1139000000,13611000000,8768000000,6573000000,,124000000,6197000000,933000000,854000000,6316000000,4843000000,3323000000,2836000000.0,,20000000.0,4724000000,8000000,-1473000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,1303000000.0,1131000000,0.0,1823000000,879000000,1808000000,3651000000,2263000000,891000000,551000000,1730000000,1000000,747000000,14049000000,9183000000,6744000000,0.0,140000000,5006000000,1046000000,615000000,6647000000,4866000000,3093000000,2998000000.0,0.0,196000000.0,5006000000,7000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,901000000,,1838000000,984000000,1905000000,3537000000,2297000000,639000000,1371000000,1742000000,1000000,1371000000,15258000000,9592000000,7036000000,,191000000,7122000000,990000000,1076000000,7445000000,5666000000,3499000000,,,,5234000000,11000000,-1888000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,1298000000,,1848000000,975000000,2033000000,3328000000,2071000000,605000000,655000000,1752000000,1000000,784000000,14773000000,9658000000,6563000000,,201000000,5275000000,958000000,583000000,7494000000,5115000000,3235000000,,,129000000.0,5275000000,11000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
