date,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyNetOtherInvestingChanges,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyEbitda,quarterlyEndCashPosition,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyBasicEPS,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherNonCashItems,quarterlyRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyStockholdersEquity,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyDilutedEPS,quarterlyOperatingCashFlow,quarterlyGoodwill,quarterlyInventory,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyPurchaseOfInvestment,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyCurrentDebt,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyAccumulatedDepreciation
1997-06-30,53285000,,1351293000,,,,,,2512036000,,,,,,,,766980000,499463000,,,,,248265000,,,851830000,,2277082000,0,0.0,,,,120000000,851830000,3321000.0,,,,,452242000,2512036000,,,0.0,,,,346038000,3393000,1319000000,,,,3628375000,2861395000,,3393000,,,230000000.0,,,,,,,,,,,,,,,,
1997-12-31,14417000,,1212061000,,,,,,2500085000,,,,,,,,3459888000,732061000,,,,,328272000,,,480000000,,5092173000,0,0.0,,,,120000000,480000000,1718000.0,,,,,673673000,2500085000,,,0.0,,,,342543000,1611269000,2509000000,,,,6304234000,2844346000,,1611269000,,,230000000.0,,,,,,,,,,,,,,,,
1998-06-30,39096000,,915778000,,,,,,2472128000,,,,,,,,3301539000,435778000,,,,,432876000,,,480000000,,5196936000,0,0.0,,,,0,480000000,0.0,,,,,622756000,2472128000,,,,,,625648000.0,339047000,1241891000,2509000000,,,,6112714000,2811175000,,1241891000,,,,,,,,,,,,,,,,,,,
1998-12-31,402209000,,1241501000,,,,,,2590258000,,,,,,,,3408304000,881501000,,,,,352023000,,,360000000,,5140678000,0,0.0,,,,120000000,360000000,0.0,,,,,465720000,2590258000,,,0.0,,,,383617000,1801976000,2509000000,,,,6382179000,2973875000,,1801976000,,,484847000.0,,,,,,,,,,,,,,,,
1999-06-30,407663000,,1374024000,,,,,,2765890000,,,,,,,,3437226000,1134024000,,,,,421057000,,,240000000,,5209712000,0,0.0,,,,120000000,240000000,0.0,,,,,625588000,2765890000,,,,,,,380620000,1684974000,2509000000,,,,6583736000,3146510000,,1684974000,,,482978000.0,,,,,,,,,,,,,,,,
1999-12-31,626487000,,1539401000,,,,,,3541627000,,,,,,,,3009672000,1299401000,,,,,585032000,,,240000000,,5431939000,-681000,0.0,,,,120000000,240000000,0.0,,,,,555216000,3541627000,,,0.0,,,86043000.0,420041000,995815000,2509000000,,,,6971340000,3961668000,,995815000,,,689435000.0,,,,,,,,,,,,,,,,
2000-06-30,350466000,,3373658000,,,,,,4046943000,,,,,,,,4543847000,1753658000,,,,,816650000,,,1620000000,,5663557000,-625000,0.0,,,,120000000,1620000000,0.0,,,,,829946000,4046943000,,,,,,67259000.0,446425000,2380179000,2509000000,,,,9037215000,4493368000,,2380179000,,,330655000.0,,,,,,,,,,,,,,,,
2000-12-31,962461000,,2547249000,,,,,,4197255000,,,,,,,,4922329000,2275348000,,,,,714216000,,,271901000,,7017861000,-21000,0.0,,,,120000000,271901000,0.0,,,,,767229000,4197255000,,,0.0,,,162158000.0,445526000,2284444000,2917943000,,,,9565110000,4642781000,,2284444000,,,838794000.0,,,,,,,,,,,,,,,,
2001-06-30,1105319000,,2921104000,,,,,,4473562000,,,,,,,,5330176000,2881710000,,,,,907921000,,,39394000,,7323603000,0,0.0,,,,240000000,39394000,0.0,,,,,845360000,4473562000,,,,,,93347000.0,440969000,2067208000,2951689000,,,,10244707000,4914531000,,2067208000,,,1144719000.0,,,,,,,,,,,,,,,,
2001-12-31,1445451000,,3036491000,,,,,,5091530000,,,,,,,,4820586000,2617103000,,,,,806203000,,,419388000,,7201397000,0,0.0,,,,120000000,419388000,0.0,,,,,904213000,5091530000,,,0.0,,,145798000.0,325772000,761229000,2957935000,,,,10237888000,5417302000,,761229000,,,1297592000.0,,,,,,,,,,,,,,,,
2002-03-31,1749752000,187659000.0,3283714000,,,,2332354000.0,93509000.0,5167118000,93227000.0,,,,,,0.014552,5016162000,2866081000,94150000.0,,86248000.0,,863989000,89201000.0,,417633000,,7260810000,24153000,0.0,57786000.0,57786000.0,,120000000,417633000,37248000.0,,0.014552,,,978127000,5167118000,,28462000.0,0.0,,2144695000.0,129131000.0,323996000,622985000,2958442000,,,,10544524000,5528362000,,622985000,6979000.0,,1609976000.0,57786000.0,,,,,,,,,,,,,,,
2002-06-30,1788746000,323149000.0,3666377000,,,,2701589000.0,226158000.0,5658177000,228028000.0,,,,,,,5081198000,2952930000,96991000.0,,223039000.0,,997123000,92357000.0,,713447000,,7398139000,21122000,0.0,133134000.0,133134000.0,,31933000,713447000,0.0,,,,,984366000,5658177000,,89905000.0,0.0,,2378440000.0,149857000.0,323033000,1060064000,2959743000,,,,11064516000,5983318000,,1060064000,4989000.0,,1566289000.0,133134000.0,,,,,,,,,,,,,,,
2002-09-30,1753597000,429667000.0,3761406000,,,,2899590000.0,309544000.0,6224541000,307376000.0,,,,,,,4781151000,2687520000,120123000.0,,307063000.0,,1192263000,114760000.0,,1073886000,,7596059000,14273000,0.0,195140000.0,195140000.0,,48646000,1073886000,4980000.0,,,,,1041251000,6224541000,,111923000.0,0.0,,2469923000.0,89621000.0,346793000,1522608000,2960629000,,,,11357465000,6576314000,,1522608000,313000.0,,1502251000.0,195140000.0,,,,,,,,,,,,,,,
2002-12-31,1824515000,387075000.0,4915989000,,,,2867814000.0,264010000.0,6588956000,241866000.0,,,,,,,5505576000,3442868000,123065000.0,,235649000.0,,985716000,113411000.0,,1473121000,,7509361000,0,0.0,208528000.0,208528000.0,,0,1473121000,0.0,,,,,1217049000,6588956000,,27121000.0,0.0,,2480739000.0,92060000.0,323863000,1702051000,2960874000,,,,12425350000,6919774000,,1702051000,6217000.0,,65000000.0,208528000.0,,,,,,,,,,,,,,,
2003-03-31,1809491000,539763000.0,5613003000,-161861000.0,,14175000.0,3373921000.0,397265000.0,7052888000,528776000.0,1845866000.0,49722000.0,-578378000.0,,-25296000.0,0.066403,5980742000,3590238000,142498000.0,,393910000.0,5422000.0,1249623000,131638000.0,,2022765000,-90000000.0,7773585000,0,0.0,263907000.0,263907000.0,,38730000,2022765000,14400000.0,-578153000.0,0.066403,259552000.0,,1151327000,7052888000,,130003000.0,0.0,143815000.0,2834158000.0,88320000.0,328852000,1845866000,2960988000,1702051000.0,,-14400000.0,13386588000,7405846000,-318601000.0,1845866000,1081000.0,3073000.0,1585221000.0,263907000.0,133785000.0,,,,,,,,,,,,,,
2003-06-30,1725428000,730165000.0,5087667000,-111805000.0,,23188000.0,3615621000.0,598719000.0,7297292000,679660000.0,1680010000.0,6941000.0,-337632000.0,,-309872000.0,,5561771000,3116845000,131446000.0,,539926000.0,605000.0,1606044000,116027000.0,,1970822000,0.0,8131948000,0,0.0,356483000.0,356483000.0,,100000000,1970822000,14400000.0,-361354000.0,,435542000.0,,1144386000,7297292000,,183443000.0,0.0,-165856000.0,2885456000.0,96852000.0,328658000,1680010000,2961577000,1845866000.0,,0.0,13219615000,7657844000,74188000.0,1680010000,7246000.0,-3926000.0,1604930000.0,356483000.0,132488000.0,,,,,,,,,,,,,,
2003-09-30,1677617000,437058000.0,5628430000,272787000.0,,2249000.0,3464284000.0,311408000.0,7519991000,451089000.0,2223671000.0,-241061000.0,-299202000.0,,-45819000.0,0.071664,6162535000,3458458000,125650000.0,,314760000.0,-689000.0,1890941000,121963000.0,,2169972000,0.0,8417695000,0,0.0,284897000.0,284897000.0,,100000000,2169972000,14400000.0,,0.071664,689118000.0,,1385447000,7519991000,,29863000.0,0.0,543661000.0,3027226000.0,135870000.0,328268000,2223671000,2961857000,1680010000.0,,-1244480000.0,14046125000,7883590000,1628625000.0,2223671000,689000.0,-451000.0,1549062000.0,284897000.0,135640000.0,,,,,,,,,,,,,,
2003-12-31,1506263000,667345000.0,6063602000,-68903000.0,,23634000.0,4103601000.0,517694000.0,7793192000,681545000.0,2606976000.0,-30880000.0,-249684000.0,,-34395000.0,,6842967000,4165265000,149651000.0,,504187000.0,8481000.0,2131717000,141029000.0,,1898337000,-100000000.0,8948268000,0,0.0,527292000.0,527292000.0,,420267000,1898337000,0.0,,,614053000.0,,1440283000,7793192000,,-23105000.0,0.0,383305000.0,3436256000.0,84749000.0,334995000,2606976000,2962309000,2223671000.0,,1244480000.0,15011870000,8168903000,-901282000.0,2606976000,28399000.0,1304000.0,1679861000.0,527292000.0,148959000.0,,,,,,,,,,,,,,
2004-03-31,898759000,566156000.0,5251436000,-893821000.0,,64491000.0,4429970000.0,432597000.0,7684994000,613378000.0,2053251000.0,-440526000.0,-124828000.0,,-32343000.0,0.070637,6408366000,3354614000,133559000.0,,414615000.0,18018000.0,2412620000,127054000.0,,1896822000,,9230686000,0,0.0,280903000.0,280903000.0,,420267000,1896822000,0.0,-178819000.0,0.070637,-422035000.0,,1912471000,7684994000,,133712000.0,0.0,-553725000.0,3863814000.0,53216000.0,335272000,2053251000,2962809000,2606976000.0,,-10500000.0,14482122000,8073756000,-600854000.0,2053251000,18018000.0,-112000.0,25000000.0,280903000.0,180745000.0,,,,,,,,,,,,,,
2004-06-30,482283000,879739000.0,5123943000,-421729000.0,,3828000.0,5499934000.0,669010000.0,7564104000,877544000.0,1723280000.0,-316382000.0,-125725000.0,,-626854000.0,,6254750000,3281210000,210729000.0,,639721000.0,57423000.0,2235139000,210700000.0,,1842733000,,9053323000,0,0.0,415082000.0,415082000.0,,624238000,1842733000,0.0,-130030000.0,,247610000.0,,2252831000,7564104000,,224639000.0,0.0,-329971000.0,4620195000.0,426584000.0,333441000,1723280000,2962848000,2053251000.0,,0.0,14177266000,7922516000,117580000.0,1723280000,40981000.0,-129000.0,50000000.0,415082000.0,196842000.0,,,,,,,,,,,,,,
2004-09-30,487457000,939078000.0,5332970000,291788000.0,,8825000.0,6025721000.0,770912000.0,7592859000,992004000.0,2415394000.0,-269237000.0,-302724000.0,,-32712000.0,0.125438,6921540000,3719639000,168166000.0,,752812000.0,16172000.0,2733978000,168166000.0,,1613331000,-200000000.0,9552267000,0,0.0,498839000.0,498839000.0,,803534000,1613331000,0.0,-311549000.0,0.125438,1027585000.0,,2522067000,7592859000,,253973000.0,0.0,692114000.0,5086643000.0,275630000.0,345712000,2415394000,2962885000,1723280000.0,,0.0,14885237000,7963697000,716036000.0,2415394000,18227000.0,-114000.0,100000000.0,498839000.0,220965000.0,,,,,,,,,,,,,,
2004-12-31,507643000,1124703000.0,5209386000,-107342000.0,,12574000.0,7368426000.0,882311000.0,7691525000,1093401000.0,2748133000.0,267378000.0,-283081000.0,,-35803000.0,,7265411000,3964838000,242392000.0,,825595000.0,52030000.0,2960225000,199172000.0,,1244548000,-120267000.0,10133942000,0,0.0,581513000.0,581513000.0,,1107237000,1244548000,0.0,-279684000.0,,741643000.0,,2221412000,7691525000,,244082000.0,0.0,332739000.0,6243723000.0,641013000.0,345072000,2748133000,2962942000,2415394000.0,,-16164000.0,15343328000,8077917000,461959000.0,2748133000,48545000.0,-143000.0,100000000.0,581513000.0,219261000.0,,,,,,,,,,,,,,
2005-03-31,504066000,1050832000.0,4663587000,-1056725000.0,,3903000.0,6885847000.0,836676000.0,7928132000,1048936000.0,1984123000.0,-382176000.0,-477353000.0,,-34215000.0,0.151852,7089507000,3819039000,214156000.0,,812734000.0,23704000.0,3564129000,188283000.0,,844548000,-28430000.0,10737972000,0,0.0,603904000.0,603904000.0,,1503535000,844548000,0.0,-481256000.0,0.151852,-217913000.0,,2604588000,7928132000,,208830000.0,0.0,-764010000.0,5835015000.0,907485000.0,342498000,1984123000,2962986000,2748133000.0,,,15401559000,8312052000,-699169000.0,1984123000,23949000.0,-120000.0,75000000.0,603904000.0,212253000.0,,,,,,,,,,,,,,
2005-06-30,576591000,1145735000.0,4288155000,59897000.0,,10319000.0,7365477000.0,946044000.0,8499217000,1181020000.0,822382000.0,-302527000.0,-828768000.0,,-920893000.0,,5876675000,3463875000,199691000.0,,939453000.0,5596000.0,3293330000,199691000.0,,824280000,-345268000.0,10467176000,0,0.0,618296000.0,618296000.0,,1203534000,824280000,0.0,-839597000.0,,895302000.0,,2907911000,8499217000,,321157000.0,0.0,-1161741000.0,6219742000.0,658357000.0,339912000,822382000,2962986000,1984123000.0,,,14755331000,8878656000,55705000.0,822382000,30088000.0,-108000.0,75000000.0,618296000.0,211479000.0,,,,,,,,,,,,,,
2005-09-30,458948000,1018074000.0,4045581000,411274000.0,,28817000.0,6944286000.0,776030000.0,8954956000,992907000.0,932068000.0,439674000.0,-682685000.0,,-27949000.0,0.123502,5673231000,3421301000,242044000.0,,759860000.0,16320000.0,3784488000,198783000.0,0.0,624280000,-362999000.0,10958336000,0,0.0,491158000.0,491158000.0,,1040535000,624280000,0.0,-712902000.0,0.123502,1135845000.0,,2468437000,8954956000,,268702000.0,0.0,109686000.0,5926212000.0,697922000.0,336926000,932068000,2962986000,822382000.0,,,15003917000,9330686000,422943000.0,932068000,15958000.0,-102000.0,117500000.0,491158000.0,217089000.0,,,,,,,,,,,,,,
2005-12-31,438079000,735137000.0,2960566000,124645000.0,,28981000.0,5396291000.0,488951000.0,9373311000,733739000.0,562339000.0,-157929000.0,-666702000.0,,-23485000.0,,4540771000,2356553000,246186000.0,,470407000.0,18327000.0,3732361000,224660000.0,0.0,604013000,-470267000.0,11329257000,0,0.0,366127000.0,366127000.0,,640535000,604013000,0.0,-694157000.0,,739886000.0,,2608291000,9373311000,,104280000.0,0.0,-369729000.0,4661154000.0,594563000.0,333885000,562339000,2962986000,932068000.0,,,14289823000,9749052000,45729000.0,562339000,51042000.0,-107000.0,117500000.0,366127000.0,212290000.0,0.0,,,,,,,,,,,,,
2006-03-31,3302502000,2330758000.0,26798591000,688913000.0,,141475000.0,12061698000.0,1754566000.0,35224075000,2720380000.0,1969349000.0,789257000.0,-317705000.0,,-165801000.0,0.140297,11046623000,16037859000,576192000.0,,1511039000.0,240922000.0,4831995000,492130000.0,,10760732000,-2370147000.0,25152320000,0,0.0,1099634000.0,1099634000.0,,5604215000,6113372000,0.0,-1028622000.0,0.140297,2991900000.0,,5316031000,35224075000,,411405000.0,0.0,1407010000.0,9730940000.0,1537534000.0,5627165000,1969349000,5932986000,562339000.0,,,51950911000,40904288000,1963278000.0,1969349000,240244000.0,-10995000.0,2412500000.0,1099634000.0,969097000.0,569442000.0,,,,,,,,,,,,,
2006-06-30,3010512000,3710472000.0,26256108000,-841884000.0,,-578055000.0,12941315000.0,3052475000.0,35478975000,3910797000.0,1539014000.0,-615973000.0,-1628749000.0,,-465017000.0,,11174006000,12513754000,657997000.0,,2738023000.0,261418000.0,5708739000,536495000.0,,13742354000,-3935906000.0,26029064000,0,0.0,1943419000.0,1943419000.0,,2706245000,9094994000,0.0,-1074241000.0,,2335079000.0,,5943620000,35478975000,,794604000.0,0.0,-430335000.0,9230843000.0,922469000.0,5588454000,1539014000,5932986000,1969349000.0,,,52285172000,41111166000,1260838000.0,1539014000,260723000.0,-9024000.0,1707500000.0,1943419000.0,912051000.0,23546000.0,,,,,,,,,,,,,
2006-09-30,2600728000,4093819000.0,25295136000,-1299093000.0,,646761000.0,14518670000.0,3303949000.0,35901208000,4251640000.0,1583048000.0,-888614000.0,-1501003000.0,,-479144000.0,0.269096,11930901000,10498277000,789870000.0,,2992588000.0,220293000.0,7817888000,681897000.0,,14796859000,-1456473000.0,28138739000,0,0.0,2109149000.0,2109149000.0,,2481196000,10149499000,0.0,-1557338000.0,0.269096,2222621000.0,,6970151000,35901208000,,883439000.0,0.0,44034000.0,10424851000.0,1403608000.0,5557334000,1583048000,5932986000,1539014000.0,,,53433875000,41502974000,665283000.0,1583048000,208908000.0,-2659000.0,665000000.0,2109149000.0,1050144000.0,-590426000.0,,,,,,,,,,,,,
2006-12-31,2739000000,3228951000.0,28596000000,420064000.0,,-1449181000.0,15088317000.0,2397010000.0,41185000000,3207183000.0,1698000000.0,-492670000.0,-8425543000.0,,-514038000.0,,11654000000,17183000000,831941000.0,,1971350000.0,179367000.0,8826000000,775478000.0,,11413000000,-3226474000.0,29834000000,0,0.0,1692798000.0,1692798000.0,,5078000000,9089000000,0.0,-7009799000.0,,3534400000.0,,7220000000,41185000000,,278552000.0,0.0,115291000.0,11859366000.0,648000000.0,5528000000,1698000000,5933000000,1583048000.0,,,58430000000,46776000000,-3475399000.0,1698000000,225125000.0,-9322000.0,4630000000.0,1692798000.0,1010708000.0,438000.0,,,,,,,,,,,,,
2007-03-31,2706000000,4816000000.0,30278000000,,,3000000.0,16017000000.0,3645000000.0,42833000000,3655000000.0,1960000000.0,,-3130000000.0,7703465347.0,-229000000.0,0.310769,13990000000,18710000000,1171000000.0,,3478000000.0,,11509000000,973000000.0,77000000.0,11568000000,-1266000000.0,32517000000,0,0.0,2394000000.0,2394000000.0,,5654000000,9159000000,0.0,-3059000000.0,0.310769,,,7630000000,42833000000,,1084000000.0,,262000000.0,11201000000.0,1337000000.0,5708000000,1960000000,5933000000,1698000000.0,7703465347.0,-81000000.0,62795000000,48805000000,-449000000.0,1960000000,177000000.0,-8000000.0,5005000000.0,2394000000.0,,,,,,,,,,,,,,,
2007-06-30,2755000000,5182000000.0,35362000000,,,157000000.0,17019000000.0,3619000000.0,42570000000,3535000000.0,1453000000.0,,-3562000000.0,,-3650000000.0,,18314000000,19730000000,1563000000.0,,3332000000.0,,10478000000,1430000000.0,75000000.0,15632000000,-5306000000.0,31486000000,0,0.0,2410000000.0,2410000000.0,,5076000000,13227000000,0.0,-3784000000.0,,,,7953000000,42570000000,,922000000.0,,-507000000.0,11837000000.0,2062000000.0,5694000000,1453000000,5933000000,1960000000.0,,0.0,66848000000,48534000000,-734000000.0,1453000000,203000000.0,-19000000.0,5165000000.0,2410000000.0,,,,,,,,,,,,,,,
2007-09-30,2708000000,4189000000.0,38650000000,,,88000000.0,16394000000.0,2615000000.0,44961000000,2602000000.0,992000000.0,,-5295000000.0,7716835017.0,-378000000.0,0.228462,20948000000,20804000000,1574000000.0,,2405000000.0,,12241000000,1322000000.0,147000000.0,17846000000,-2086000000.0,33471000000,0,0.0,1763000000.0,1763000000.0,,5080000000,15368000000,0.0,-5382000000.0,0.228462,,,8326000000,44961000000,,642000000.0,,-461000000.0,12205000000.0,1812000000.0,5668000000,992000000,5933000000,1453000000.0,7716835017.0,-1000000.0,72121000000,51173000000,-3477000000.0,992000000,197000000.0,-15000000.0,6360000000.0,1763000000.0,,0.0,,,,,,,,,,,,,
