date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyNetPPE,quarterlyInventory,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyDilutedEPS,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-12-31,2010617759.62203,,1748883576.269613,858829005.869671,1401260715.501501,39303711.612457,571817973.158378,95068419.315239,,609357044.120529,524103302.076564,47993841.487946,1042145318.189789,457290925.221015,319863393.474247,614590360.948638,745992325.070405,438217590.443475,428459263.041707,336169524.133734,-18239047.235891,-538965612.395424,1318038921.38355,3066922497.653163,923003.125677,9758327.401768,20518702.483005,497327571.978254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2404446077.058828,,2145578454.97024,,1583676952.99355,35163388.451194,694748604.500022,84418436.783145,0.0,820769124.065278,520267566.088773,43469342.670061,1053286778.135412,686087385.399461,325705199.505763,735805459.725087,779974928.523172,575944483.119138,575944483.119138,340767223.154125,-13678725.46476,,1326716792.494997,3472295247.465238,7162196.528525,,20629509.84749,709910554.423857,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2140951416.665917,,1918079049.585556,891105540.35805,1426432952.017999,22038595.810457,636321024.424654,90895973.253533,,714518464.647918,531061673.889943,22993276.121043,1117233585.73042,594902032.839461,340191270.135981,645941709.250377,796264411.753746,524787895.219018,514032515.666137,354216590.365053,-11019297.905228,-550914270.222069,1355087238.249916,3273166287.835471,0.0,10755379.552881,20643580.449484,484338617.268278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,2345409000.0,22639000.0,2174871000.0,,1795929000.0,24160000.0,718198000.0,95259000.0,0.0,549480000.0,532888000.0,26996000.0,1198661000.0,422516000.0,354340000.0,800827000.0,959006000.0,534577000.0,524583000.0,356775000.0,-12080000.0,,1384593000.0,3559464000.0,0.0,9994000.0,20603000.0,678684000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,2115488000.0,504080000.0,1975904000.0,817493000.0,1602946000.0,24722000.0,684700000.0,82937000.0,,512542000.0,530856000.0,27973000.0,1245576000.0,396877000.0,360082000.0,704419000.0,866895000.0,467938000.0,459650000.0,371275000.0,-12361000.0,-457411000.0,1393712000.0,3369616000.0,0.0,8288000.0,20533000.0,618863000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,2092171000.0,,2144171000.0,,1617053000.0,15890000.0,735820000.0,81637000.0,0.0,475118000.0,530401000.0,27576000.0,1456402000.0,361592000.0,358912000.0,752186000.0,779202000.0,537136000.0,530076000.0,391787000.0,-7945000.0,,1412974000.0,3557145000.0,0.0,7060000.0,23372000.0,704606000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,2024556000.0,,2137678000.0,870424000.0,1562794000.0,0.0,644988000.0,0.0,,461762000.0,531160000.0,15677000.0,1548877000.0,348692000.0,384154000.0,688576000.0,305977000.0,623628000.0,617648000.0,399067000.0,0.0,-486270000.0,1443400000.0,3581078000.0,432633000.0,5980000.0,0.0,431015000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,2175937000.0,,2355914000.0,387969000.0,1740826000.0,0.0,788055000.0,0.0,0.0,435111000.0,530953000.0,15624000.0,1636280000.0,318424000.0,387969000.0,818237000.0,271437000.0,577299000.0,573312000.0,415664000.0,0.0,,1463652000.0,3819566000.0,483122000.0,3987000.0,0.0,602379000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,2267123000.0,,2492321000.0,803301000.0,1776635000.0,0.0,754455000.0,0.0,,490488000.0,532488000.0,6275000.0,1740713000.0,374744000.0,383949000.0,884230000.0,462511000.0,699147000.0,698147000.0,459440000.0,0.0,-419352000.0,1520238000.0,4012559000.0,116704000.0,1000000.0,0.0,686589000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,2502033000.0,1200013000.0,2735457000.0,399735000.0,2012995000.0,0.0,848964000.0,0.0,0.0,489038000.0,556315000.0,6243000.0,1817846000.0,373179000.0,399735000.0,1024771000.0,670563000.0,656774000.0,655681000.0,484756000.0,0.0,,1588493000.0,4323950000.0,96890000.0,1093000.0,0.0,692946000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
