date,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNetPPE,quarterlyCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentLiabilities,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyOtherShortTermInvestments,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2009-12-31,1326000000,863539000,115119000,,1033468000,2359468000,978658000,99094000,0.0,29390000.0,1333523000,22751000.0,630636000,369242000,16025000,-253983000.0,225808000,225808000,822303000,43058000,-4574000.0,248226000,,6815000.0,1076286000.0,411305000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,1418562000,928726000,73858000,,1064600000,2483162000,1002584000,50000000,7331000.0,40796000.0,1441401000,22751000.0,694385000,442801000,16527000,,138226000,138226000,863542000,44658000,-6008000.0,195346000,,7448000.0,,521758000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,1838782000,1156841000,197147000,,1177739000,3016521000,1353988000,7331000,169750000.0,51223000.0,1615996000,22751000.0,1019725000,472249000,20066000,-355750000.0,188897000,188897000,957035000,46049000,-6057000.0,282392000,,0.0,1312785000.0,657745000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,1881537000,1121855000,250697000,211292000.0,1254537000,3136074000,1372552000,227156000,0.0,46394000.0,1713474000,22751000.0,941608000,606742000,23541000,,140076000,140076000,995775000,46783000,-30000.0,249969000,,0.0,,656500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,2411457000,1545074000,278418000,909399000.0,1327175000,3738632000,1823492000,7331000,236911000.0,57664000.0,1858247000,22751000.0,1303892000,672876000,34176000,-490684000.0,253784000,253784000,1077552000,46783000,-132000.0,402639000,,0.0,1568236000.0,857218000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,2423208000,1719839000,104594000,,1417529000,3840737000,1824433000,67366000,0.0,0.0,1944732000,22751000.0,1147576000,836829000,37228000,,301615000,301615000,1143483000,46833000,51007000.0,496440000,,114233000.0,,1060557000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,2725848000,1865975000,145116000,1102106000.0,1478120000,4203968000,2011091000,88769000,0.0,0.0,2102106000,22751000.0,1310245000,801981000,49016000,-625052000.0,221460000,221460000,1263451000,47633000,32452000.0,564311000,,115185000.0,1888503000.0,1014378000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,3003233000,1867062000,334060000,,1537866000,4541099000,2201122000,278336000,0.0,0.0,2243983000,22751000.0,1261609000,1097560000,55724000,,189854000,189854000,1295690000,48589000,58927000.0,491502000,,58306000.0,1295690000.0,1002359000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,3048347000,1814237000,293460000,1333163000.0,1608520000,4656867000,2107697000,257906000,0.0,0.0,2454877000,6135000.0,1364942000,1088267000,35554000,-797458000.0,177643000,177643000,1361677000,48589000,78945000.0,591761000,-25674000.0,140458000.0,2159135000.0,894417000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,4090983000,2233134000,352431000,1412832000.0,1772123000,5863106000,2585565000,311199000,0.0,101103000.0,3163825000,8480000.0,1706005000,1372590000,41232000,,481682000,481682000,1501193000,54652000,126316000.0,589206000,,54000.0,1501193000.0,1274393000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
