date,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyDilutedEPS,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyInventory,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,quarterlyCashDividendsPaid,quarterlyTotalRevenue,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyIncomeTaxPayable,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares
2009-12-31,177305000,5410514000,698084000.0,557671000,531895000,5113000,,0.0,1361779000,,0.0,-921681000.0,2088327000.0,4787849000,2106428000,5709530000.0,2051505000,25776000.0,61763000.0,8009699000,843528000.0,5903271000,522495000,0.0,527608000,,0.0,579745000,678172000,2579113000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,354172000,5827869000,94721000.0,388119000,387011000,5113000,,0.0,1393804000,0.0,0.0,,2467593000.0,6549891000,2481742000,,2331516000,1108000.0,,9601475000,,7119733000,1114657000,303584000.0,1423354000,0.0,0.0,788231000,799578000,3754870000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,351709000,6536267000,992953000.0,645113000,640259000,78637000,,0.0,1507658000,,0.0,-1407618000.0,2969574000.0,6485962000,2999298000,7893580000.0,2127992000,4854000.0,,11016498000,1533840000.0,8017200000,2253975000,0.0,2332612000,,0.0,470523000,820345000,4460604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,363480000,8008624000,97941000.0,865425000,865425000,91632000,1415202000.0,1096000.0,2240273000,0.0,0.0,,,9439326000,4053083000,,3384615000,,,14374679000,2206582000.0,10321596000,2870218000,0.0,2961850000,0.0,602000.0,1019391000,976673000,6346465000,15628000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,368332000,8507549000,1430631000.0,713748000,712964000,105754000,,2469000.0,2166281000,,0.0,-1927980000.0,3263621000.0,9621579000,4035444000,11549559000.0,3418122000,784000.0,,15346488000,2073100000.0,11311044000,3214096000,83259000.0,3403109000,,0.0,1104714000,1246127000,6821231000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,377102000,9097971000,97623000.0,935622000,935622000,100676000,1683547000.0,876000.0,2105177000,0.0,0.0,,226261000.0,11089350000,4352551000,,3387582000,,,15810670000,2168355000.0,11458119000,3133953000,70614000.0,3305243000,0.0,610000.0,1187811000,1245259000,6692825000,55091000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,378555000,9941899000,29598000.0,703490000,703490000,101925000,,68065000.0,604815000,,0.0,-2531980000.0,3951214000.0,11503059000,4052816000,14035039000.0,3328653000,882000.0,55877000.0,16065091000,1130227000.0,12012275000,2495578000,192862000.0,2790365000,,0.0,1769974000,1204319000,6119018000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,378295000,10722497000,83897000.0,898177000,879850000,101902000,,789000.0,747394000,0.0,1217538000.0,,4609330000.0,12437709000,4604511000,12437709000.0,3989192000,18327000.0,,18123671000,1147557000.0,13519160000,3129965000,176560000.0,3408427000,0.0,385645000.0,3059880000,1195653000,7397619000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,392137000,12207789000,26419000.0,1042429000,1042429000,159508000,,0.0,773491000,,0.0,-3182077000.0,5107760000.0,11848892000,4536859000,15030969000.0,4078649000,789000.0,55877000.0,19651127000,864525000.0,15114268000,3024252000,179789000.0,3363549000,,0.0,3085989000,1231900000,7442198000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,392161000,12424509000,80361000.0,894692000,894692000,159518000,,792000.0,804086000,0.0,1518935000.0,,5869366000.0,12040707000,4797645000,12040707000.0,5138130000,,,20494353000,1082920000.0,15696708000,2622768000,147557000.0,2929843000,0.0,709336000.0,4096116000,1530602000,8067973000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,392161000,12333283000,22780000.0,831169000,831169000,159484000,,0.0,1978190000,,0.0,-3249761000.0,6392830000.0,12580776000,4804876000,15830537000.0,4801037000,792000.0,55877000.0,21034164000,2486987000.0,16229288000,3483463000,147557000.0,3897798000,,0.0,2529161000,1478219000,8698835000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,392183000,13016706000,76953000.0,1190093000,1190093000,159450000,,1419000.0,2399141000,0.0,2399141000.0,,7369800000.0,13775972000,5305340000,13775972000.0,5215050000,,,22355155000,2581304000.0,17049815000,3727091000,140179000.0,4120013000,0.0,0.0,2479118000,1509709000,9335063000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,392183000,12718466000,19083000.0,1382591000,1298255000,159407000,,464706000.0,2112465000,,0.0,-3758144000.0,8440549000.0,13177084000,4995498000,16935228000.0,4959182000,84336000.0,55877000.0,21421653000,2381252000.0,16426155000,3514253000,0.0,3736764000,,0.0,2514015000,1222659000,8695946000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,388090000,13032656000,73282000.0,2155276000,2090217000,159432000,,0.0,2862413000,0.0,-90000.0,,9803977000.0,13125734000,6051111000,13125734000.0,6443484000,65059000.0,,23303546000,2477585000.0,17252435000,3625893000,0.0,3819133000,0.0,0.0,3184725000,1414534000,10262617000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,389177000,13180931000,15826000.0,2801023000,2763072000,218125000,,1620659000.0,2296932000,,0.0,-4344070000.0,11462103000.0,12951657000,6536523000,17295727000.0,6000233000,37951000.0,55877000.0,24022321000,2376953000.0,17485798000,4509073000,0.0,4775198000,,7923000.0,3165365000,1320513000,10775431000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,399940000,15388442000,70715000.0,1478686000,1440132000,220057000,,-603000.0,2939814000,0.0,0.0,,13097143000.0,15711682000,6272299000,15711682000.0,5951580000,38554000.0,,27012687000,3134704000.0,20740388000,5307634000,0.0,5602247000,0.0,0.0,2558571000,1615358000,11553827000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,401766000,18237211000,13844000.0,3101013000,3048604000,335096000,,,2554181000,,,-5556188000.0,15199009000.0,16356357000,7931553000,21912545000.0,5156831000,52409000.0,55877000.0,30305000000,3072045000.0,22373447000,6398683000,,6841977000,,,2067702000,1697566000,11998808000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,399733000,18509106000,,4302102000,4257524000,333106000,,-6627000.0,3797885000,0.0,,,16081075000.0,16397700000,9189725000,16397700000.0,6745599000,44578000.0,,32110185000,1451361000.0,22920460000,6392777000,,6782845000,0.0,,2427988000,1974055000,13528444000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,399320000,18624727000,11597000.0,4642596000,4598506000,417671000,,,2897084000,,,-6260794000.0,17037302000.0,16823627000,9202566000,23084421000.0,6602785000,44090000.0,55877000.0,32679267000,2675791000.0,23476701000,6874933000,,7374221000,,,3094441000,1754514000,13977006000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,400888000,19706681000,,5819700000,5532533000,417288000,,,1148608000,,,,18072779000.0,17178923000,11302248000,17178923000.0,10073321000,287167000.0,,35777850000,1542050000.0,24475602000,5419715000,,5919783000,,,5769408000,2312460000,15993104000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
