date,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyInventory,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2009-12-31,20581000.0,,3757123000,4635312000,179605000,744000,1410671000,1431018000,263794000,193614000,9821000,1776961000,,2742293000,29018000,153956000.0,426321000,405740000,19603000,,148000000,2724000.0,0,-378942000.0,1834079000,2213021000.0,345943000,878189000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,0.0,,4203944000,5147860000,70000000,0,1390196000,1409763000,245395000,175225000,6759000,1796987000,,3214360000,34801000,157152000.0,666956000,666956000,19567000,,208376000,1846000.0,0,,1917334000,,387224000,943916000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,0.0,,4476381000,5251917000,213051000,2425000,1389646000,1421885000,224866000,169109000,13553000,1758055000,,3348121000,34801000,149329000.0,524274000,524274000,29814000,,162370000,1720000.0,0,-407813000.0,2127307000,2535120000.0,336170000,775536000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,,5331522000,6296063000,271161000,3510000,1695643000,1737279000,153366000,495559000,10528000,2519956000,,3550150000,34805000,229919000.0,679930000,679930000,38126000,,283051000,1948000.0,0,,2897551000,,782677000,964541000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,,,5621762000,6472184000,259931000,173376000,1573470000,1792301000,104827000,594524000,9332000,2592025000,,3627312000,34805000,233101000.0,580958000,580958000,45455000,,201470000,171000.0,0,-485164000.0,3155865000,3641029000.0,799724000,850422000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,,5809353000,6857724000,250990000,3544000,1720587000,1887786000,67092000,557925000,10090000,2851081000,2087481000.0,3747115000,34805000,229637000.0,787180000,787180000,42477000,3640719000.0,399647000,251101000.0,557925000,,3358765000,,963295000,1048371000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,8563000.0,,6271491000,7363858000,89266000,6749000,1948369000,2005796000,73841000,895796000,12746000,3146465000,,3954020000,35762000,9995000.0,848423000,848423000,50678000,,46208000,907000.0,1019000,-602525000.0,3937435000,4539960000.0,1140669000,1092367000,,2134423000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,2269000.0,,5736662000,8283713000,103836000,13406000,2153819000,2198277000,77115000,945934000,8979000,3586968000,,4410600000,35765000,243532000.0,1678242000,1678242000,31052000,,69678000,113000.0,913000,,4191221000,4191221000.0,1388691000,2547051000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,0.0,343000.0,6070275000,7551304000,88328000,22530000,1820425000,1877577000,105269000,456673000,18985000,2707810000,,4546106000,37391000,9334000.0,1237403000,1237403000,34622000,,80983000,148000.0,934000,-737038000.0,4411969000,5149007000.0,830233000,1481029000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,,6505236000,7685171000,111067000,24532000,1662693000,1730783000,110839000,554051000,13872000,2753869000,,4626120000,37391000,248026000.0,929163000,929163000,43558000,,134578000,195000.0,932000,,4490462000,4490462000.0,1023086000,1179935000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
