date,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyBasicEPS,quarterlyAccumulatedDepreciation,quarterlyAccountsReceivable,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGrossPPE,quarterlyDilutedEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyInventory,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyOtherShortTermInvestments,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2012-12-31,340532000000,190352000000.0,,,23305000000,21942000000,0.0,65374000000,599388000000.0,73873000000.0,98000000,35217000000,13544000000.0,,5486000000,21942000000.0,,605308000000,5920000000.0,18407000000.0,4106000000,614777000000.0,688650000000,,73873000000,73873000000,42424000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,414853000000,219328000000.0,0.0,,32349000000,22060000000,0.0,71050000000,628040000000.0,60120000000.0,252000000,43568000000,-1402000000.0,,6926000000,,0.0,635455000000,7415000000.0,25752000000.0,4129000000,668665000000.0,728785000000,5000000.0,60120000000,60120000000,42424000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,443194000000,247115000000.0,,-11381000000.0,26762000000,25808000000,0.0,71575000000,652154000000.0,50361000000.0,435000000,47333000000,7992000000.0,0.0,27003000000,37189000000.0,,660518000000,8364000000.0,25483000000.0,533000000,704958000000.0,755319000000,5000000.0,46607000000,46607000000,42424000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,456174000000,178512000000.0,0.0,,42806000000,24957000000,0.0,80240000000,694699000000.0,62637000000.0,138000000,45637000000,16480000000.0,0.0,8260000000,24957000000.0,0.0,704288000000,9589000000.0,31522000000.0,575000000,747723000000.0,810360000000,0.0,44425000000,44425000000,42424000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,460823000000,296316000000.0,,-13486000000.0,18475000000,25492000000,0.0,92581000000,647012000000.0,37078000000.0,915000000,48601000000,8672000000.0,0.0,22629000000,38978000000.0,,656644000000,9632000000.0,35970000000.0,808000000,745143000000.0,782221000000,0.0,39307000000,39307000000,42424000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,506445000000,300922000000.0,0.0,,41185000000,26265000000,0.0,109800000000,711713000000.0,55419000000.0,2077000000,42521000000,26583000000.0,0.0,29720000000,26265000000.0,0.0,724292000000,12579000000.0,48343000000.0,750000000,816699000000.0,872118000000,0.0,51540000000,51540000000,42424000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,410738000000,183611000000.0,,-15110000000.0,21558000000,27036000000,0.0,116101000000,674062000000.0,53825000000.0,1455000000,40190000000,29134000000.0,0.0,24863000000,42146000000.0,,686273000000,12211000000.0,52670000000.0,1005000000,789643000000.0,843468000000,,49884000000,49884000000,42424000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,458471000000,151912000000.0,0.0,,48820000000,27051000000,0.0,120939000000,726709000000.0,43751000000.0,1054000000,35034000000,41287000000.0,0.0,34162000000,27051000000.0,0.0,738847000000,12138000000.0,59436000000.0,933000000,858525000000.0,902276000000,0.0,39882000000,39882000000,42424000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,476918000000,128571000000.0,,-16583000000.0,34339000000,27938000000,0.0,126101000000,751335000000.0,50554000000.0,752000000,46084000000,92502000000.0,0.0,39078000000,44521000000.0,,761155000000,9820000000.0,64355000000.0,1197000000,881595000000.0,932149000000,,46729000000,46729000000,42424000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,463993000000,119745000000.0,0.0,,67118000000,27304000000,0.0,132825000000,796107000000.0,64255000000.0,684000000,46191000000,70095000000.0,0.0,48015000000,27304000000.0,0.0,807243000000,11136000000.0,71737000000.0,1128000000,923163000000.0,987418000000,,60518000000,60518000000,42424000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
