date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyLongTermDebt,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyInventory,quarterlyNetPPE,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyAccountsPayable,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2014-12-31,97509803000.0,23559373000.0,135690309000.0,42149904000.0,712323000.0,2080900000.0,4725443000.0,,2340549000.0,68199890000.0,50788560000.0,73950430000.0,0.0,2080900000.0,9337359000.0,95530834000.0,1285197000.0,729038000.0,-40159475000.0,0.0,156926083000.0,114776179000.0,729567000.0,28793070000.0,7340563000.0,2263353000.0,26712170000.0,45448750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,137642059000.0,22266547000.0,163638736000.0,27324422000.0,777421000.0,2728000000.0,8257435000.0,,2993080000.0,108699649000.0,53193799000.0,115375512000.0,0.0,2728000000.0,10512196000.0,163638736000.0,1958704000.0,12143000.0,,0.0,211630973000.0,184306551000.0,1258328000.0,11552610000.0,13053032000.0,1942307000.0,8824610000.0,45448750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,139091585000.0,25290982000.0,215745425000.0,26851595000.0,825279000.0,2137858000.0,10115398000.0,,3538914000.0,109156366000.0,56636949000.0,113800603000.0,0.0,2137858000.0,10790294000.0,171046779000.0,1911902000.0,12143000.0,-44698646000.0,0.0,217801358000.0,190949763000.0,1254208000.0,9316451000.0,12118758000.0,2882630000.0,7178593000.0,45448750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,141216295000.0,20881554000.0,176257802000.0,26513679000.0,817870000.0,2110000000.0,11804312000.0,,3210525000.0,115867504000.0,58425754000.0,120334741000.0,0.0,2649960000.0,10416322000.0,176257802000.0,1603536000.0,12143000.0,,0.0,223231166000.0,196717487000.0,1218738000.0,10286207000.0,8756170000.0,1971717000.0,8176207000.0,45448750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,205735121000.0,65167663000.0,271050069000.0,43824630000.0,984873000.0,2047000000.0,10237169000.0,,11025491000.0,135465583000.0,56534701000.0,140567458000.0,0.0,2047000000.0,13137983000.0,219468774000.0,1615117000.0,755884000.0,-51581295000.0,0.0,287633794000.0,243809164000.0,3065535000.0,10503534000.0,35028936000.0,3985520000.0,8456534000.0,45448750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,253698674000.0,70060787000.0,273975967000.0,51423755000.0,980335000.0,2030000000.0,13995092000.0,419243000.0,12461714000.0,177872997000.0,60092828000.0,183637887000.0,0.0,2030000000.0,18498828000.0,273975967000.0,1652783000.0,896778000.0,,0.0,346962973000.0,295539218000.0,3449344000.0,10155851000.0,39139328000.0,5008579000.0,8125851000.0,45448750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,256993552000.0,60654365000.0,337894473000.0,56369090000.0,995286000.0,2023000000.0,16195154000.0,419243000.0,13429126000.0,190508350000.0,65837675000.0,196339187000.0,0.0,2032367000.0,19738837000.0,280769462000.0,1565735000.0,1233431000.0,-57125011000.0,0.0,359526689000.0,303157599000.0,3695173000.0,12338715000.0,31057397000.0,5748646000.0,10315715000.0,45448750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,254840795000.0,52139807000.0,285478289000.0,55614078000.0,1066227000.0,2158000000.0,,419243000.0,5496884000.0,196415157000.0,67722296000.0,202700988000.0,,4662639000.0,19693556000.0,285478289000.0,1801053000.0,,,2147831000.0,363411173000.0,307797095000.0,3747971000.0,16557080000.0,25935555000.0,4227775000.0,14399080000.0,45448750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,255430020253.07,60625091431.14,349831032099.28,55387916293.85,1395854838.75,,18077156831.53,419242673.32,6630947443.89,188127990539.05,71114915512.7,194804928821.93,,2707276561.32,21372255356.38,285486886659.2,1177284416.72,65181029.71,-64344145440.08,964545364.41,368555670360.28,313167754066.43,6682252204.15,15207936762.52,32088765283.26,18247064570.09,15207936762.52,45448750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,254932080034.97,65310451147.85,358247256696.78,51685405110.54,1445255232.72,,19827444773.93,419242673.32,5082765847.99,181928592985.43,72926354057.57,189621628887.12,,3084734.25,20940762023.59,289620356647.65,1204312647.32,65198558.59,-68626900049.13,,369748266602.5,318062861491.96,6851721512.23,13670370469.2,41855692359.79,16355507667.21,13670370469.2,45448750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
