date,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyInventory,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2009-12-31,165383000000,17170000000,56155000000.0,73157000000.0,,34330000000.0,143620000000.0,644000000,,105300000000,32143000000,143620000000,84015000000.0,0.0,11142000000,16595000000.0,0.0,21763000000,12282000000,,109228000000.0,17631000000.0,0.0,-5349000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,186291000000,13621000000,27321000000.0,86640000000.0,,18995000000.0,163980000000.0,405000000,14000000000.0,127478000000,40838000000,163980000000,99991000000.0,0.0,11142000000,,,22311000000,11476000000,,158970000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,201785000000,10330000000,31972000000.0,111568000000.0,0.0,14427000000.0,165687000000.0,1611000000,14157000000.0,143777000000,32209000000,176951000000,127123000000.0,0.0,11142000000,10555000000.0,,24834000000,11765000000,,169813000000.0,17437000000.0,11264000000.0,-5672000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,260784000000,18789000000,203362000000.0,,493000000.0,25857000000.0,229112000000.0,144732000000,19210000000.0,54159000000,54159000000,230191000000,0.0,0.0,11142000000,19315000000.0,,30593000000,11589000000,,57422000000.0,,1079000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,265644000000,22093000000,188249000000.0,,536000000.0,18825000000.0,229422000000.0,122756000000,19299000000.0,58638000000,58638000000,230484000000,0.0,0.0,12256000000,25746000000.0,,35160000000,12770000000,10221000000.0,77395000000.0,18480000000.0,1062000000.0,-5710000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,290564000000,30929000000,219239000000.0,,0.0,21310000000.0,246311000000.0,144333000000,19362000000.0,67618000000,67618000000,246843000000,0.0,0.0,12256000000,21722000000.0,,43721000000,12737000000,,71325000000.0,,532000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,290424000000,22662000000,215914000000.0,,979000000.0,-5081000000.0,240910000000.0,142832000000,19427000000.0,66020000000,66020000000,244974000000,16308000000.0,0.0,12256000000,19698000000.0,,45450000000,17478000000,9542000000.0,74510000000.0,24121000000.0,4064000000.0,-6643000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,317483000000,28898000000,207531000000.0,,0.0,29891000000.0,258964000000.0,136311000000,19494000000.0,81817000000,81817000000,259568000000,0.0,0.0,13604000000,11465000000.0,,57915000000,17167000000,11430000000.0,109952000000.0,17167000000.0,604000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,319424000000,24870000000,273216000000.0,,0.0,25457000000.0,261222000000.0,152080000000,19562000000.0,16272000000,16272000000,261920000000,63485000000.0,0.0,13604000000,20534000000.0,,57499000000,17554000000,5122000000.0,46208000000.0,25194000000.0,698000000.0,-7640000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,361291000000,38027000000,322145000000.0,,681000000.0,10156000000.0,296078000000.0,143633000000,19621000000.0,21284000000,21284000000,297436000000,79066000000.0,0.0,13604000000,22241000000.0,,63850000000,17110000000,7912000000.0,39146000000.0,17110000000.0,1358000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
