date,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyBasicEPS,quarterlyOtherIntangibleAssets,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyStockholdersEquity,quarterlyOtherCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyDilutedEPS,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-12-31,2040918000,3161975000,1864928000,650831000,179226000.0,5377870000,2215895000,560430000.0,2515759000,,127989000,631528000,1028017000,175523000.0,,1077390000,73172000.0,90401000,-235498000.0,2674508000,159000000,1105343000,1105343000,110898000,259970000.0,279139000.0,873679000.0,,826433000,63618000,148415000.0,638181000,,641246000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2153963000,3616568000,1861661000,647951000,,5777351000,2160783000,0.0,2509612000,,0,610779000,1332503000,,0.0,1219631000,,93509000,-49861000.0,3068087000,0,1436574000,1440616000,111158000,231888000.0,,677040000.0,0.0,976480000,62971000,,627179000,4042000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2681811000,4193587000,2371642000,630768000,,6561792000,2368205000,0.0,3002410000,,0,805598000,1612690000,,,1194630000,,85508000,-318051000.0,3369302000,0,1472480000,1472480000,111364000,312248000.0,,1038629000.0,,1190960000,62324000,,720578000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,2766479000,4322336000,2401636000,621152000,,6716629000,2394293000,0.0,3022788000,,0,991554000,1352961000,,0.0,1153227000,,83317000,,3487821000,1398000,1647975000,1647975000,111594000,472140000.0,,,0.0,1260601000,61677000,,740423000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,2730169000,4781600000,3063067000,601092000,,7328818000,2547218000,0.0,3664159000,,0,1132965000,2094440000,,,1123532000,,81269000,-466692000.0,3471843000,0,1209668000,1209668000,111604000,838059000.0,,1298385000.0,,1462398000,61030000,,831693000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,2774463000,5404313000,2814492000,938960000,179226000.0,7602210000,2197897000,0.0,3753452000,641085000.0,0,1138451000,2516372000,,0.0,565591000,,80419000,-76804000.0,3633445000,18323000,1326874000,1326874000,111622000,1036540000.0,,907238000.0,0.0,1217563000,60383000,,830434000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,737703000,3926903000,3276565000,943204000,179226000.0,6032010000,2105107000,0.0,4219769000,651632000.0,0,919580000,1469564000,,,244156000,,79318000,-536262000.0,1613597000,13688000,1248593000,1248593000,111622000,1459657000.0,,1756641000.0,,960982000,59736000,,1220379000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,553466000,4222736000,2244859000,907652000,179226000.0,6252160000,2029424000,0.0,3152511000,631637000.0,0,841358000,1320225000,,0.0,219244000,,79192000,-4500000.0,2879611000,33480000,1617508000,1617508000,135382000,805505000.0,,1163911000.0,0.0,632052000,59089000,,1159411000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,330934000,3961650000,2017723000,1107364000,179226000.0,6016851000,2055201000,0.0,3125087000,845727000.0,0,942368000,1357260000,,,201709000,,75316000,-651038000.0,2684230000,2149000,1280684000,1280684000,136613000,212500000.0,,1793461000.0,,913988000,64012000,,1142423000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,-254840000,3687944000,2253898000,1105227000,246313000.0,5727688000,2039744000,0.0,3359125000,861074000.0,0,1089580000,1273796000,,0.0,203097000,,79179000,,2137844000,1569000,909304000,909304000,136692000,314720000.0,,1194882000.0,0.0,997489000,63365000,,1194882000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
