date,quarterlyOtherNonCurrentLiabilities,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyInventory,quarterlyLongTermDebt,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherNonCurrentAssets,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-12-31,0.0,20344338000,1907589000,58904000,4165756000.0,1180216000,,3249354000,1091518000,1382800000,2055598000,1996694000,0.0,4643609000,412639000,2962194000,11517365000,1441516000.0,3310741000,4668039000,39672000,,1741106000,,49026000,17382144000,10337149000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,102920000.0,25187039000,2383658000,2229878000,3347339000.0,1183601000,,4050533000,869990000,1521800000,6242640000,4012762000,0.0,4949025000,498474000,3545553000,12498037000,0.0,3632729000,6399080000,28672000,,2104700000,,182019000,21641486000,11314436000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,0.0,28314359000,1993629000,2529511000,0.0,614541000,,4629099000,359000000,1610300000,8077678000,5548167000,0.0,4949025000,500522000,4647343000,14232987000,0.0,4516979000,7313879000,60300000,-1734624000.0,2518412000,,195241000,23667016000,13618446000,4253036000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,0.0,27356839000,4069195000,2588876000,0.0,1022485000,,6927865000,734080000,2028205000,7094094000,4505218000,0.0,4949025000,728997000,6495365000,14533721000,676401000.0,6706855000,6677729000,24672000,-2588853000.0,4052718000,,263733000,20861474000,13511236000,6641571000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,0.0,29578060000,4229958000,2313969000,0.0,1433933000,,7995740000,1171080000,1887304000,8501792000,6187823000,0.0,4949025000,623635000,6446445000,16400737000,624554000.0,6780522000,6772377000,10221000,-2754323000.0,4165930000,,252632000,23131615000,14966804000,6920253000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,0.0,31895578000,5764187000,3339993000,0.0,1526679000,,9729904000,1252080000,1878749000,6449482000,3109489000,0.0,5474429000,620393000,6939449000,16584270000,550979000.0,8745961000,8585514000,16163000,-3013760000.0,4502101000,,258436000,24956129000,15057591000,7515861000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,0.0,35896112000,5957238000,3228537000,2175869000.0,915953000,,11226205000,696080000,2652010000,8447858000,5219321000,0.0,0,51042000,7801746000,19402524000,652598000.0,10042566000,9126486000,9122000,-3251530000.0,5414056000,-704426000.0,210751000,28094366000,18486571000,8665586000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,0.0,38023911000,6023172000,4964973000,2178418000.0,1398450000,,13057681000,1179334000,2455856000,7645401000,2680428000,0.0,0,48679000,8296430000,20323692000,843731000.0,11311247000,9462535000,14527000,-3448279000.0,5843496000,-480434000.0,204589000,29727481000,18925242000,9291775000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,15634000.0,50928302000,8958429000,3378944000,3739745000.0,2693488000,15938000.0,14780402000,1910696000,4207181000,10104460000,6725516000,0.0,0,96239000,13369201000,29121405000,1219315000.0,14031733000,10122825000,20036000,-4632669000.0,10659261000,631484000.0,747122000,37559101000,26427917000,15291930000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,12242000.0,50909164000,9444011000,3786073000,4029129000.0,2793422000,,16784157000,1963071000,4368294000,7359047000,3572974000,0.0,0,114325000,13925348000,28383361000,3785826000.0,14176758000,10474683000,58085000,-4987259000.0,10996011000,883381000.0,760024000,36983816000,25589939000,15983270000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
