date,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyCurrentDebt,quarterlyCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentLiabilities,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2009-12-31,,2835664831.618337,2940846827.172242,816003055.525898,3756849882.69814,3732483448.232909,6568148279.851247,755354185.726333,0.0,254137289.113515,3026104.254995,2811298397.153107,778953748.848503,,169476805.917897,60648869.799565,169476805.917897,-1280204102.534841,3511270560.811438,1186286575.365694,10565391.63804,81477658.964658,4798448.702277,0.0,1694076026.026677,,4791474663.34628,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,3666570685.644524,3616493421.904662,583243267.625171,4199736689.529833,3944831444.168441,7611402129.812966,501585117.148787,0.0,0.0,3048766.855816,3411665440.283133,939418123.008218,,340020589.005027,81658150.476384,770398721.462571,,3736882980.578596,1819380044.880769,10932181.78362,0.0,6331919.689073,0.0,1737939663.465515,,,,430378132.457544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,3976479275.488872,3751679365.997191,81587760.009046,3833267126.006237,4211608151.934223,8188087427.423096,,0.0,0.0,3057783.286285,4354820301.416859,1063746388.003665,,395479270.601115,81587760.009046,720708782.542328,-1631782471.380792,3963801576.445737,2002791805.666664,11091708.325249,0.0,2786775.7375,0.0,1677552919.250492,,5595584047.826528,,325229511.941213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,4482512818.976883,4471354699.500135,83278929.420079,4554633628.920214,4466196740.090721,8948709559.067604,,0.0,362731583.264157,3032920.039578,4394075930.14739,1292629190.640059,,571532497.809075,83278929.420079,571532497.809075,,4258360240.909266,2563738616.394032,10820574.099536,87366055.219028,1757563.860655,0.0,1879692101.371095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,1404370571.873753,4519741081.29338,4377191677.504926,1035825170.944023,5413016848.448949,5082861121.341283,9602602202.634663,763274997.102644,0.0,0.0,3026887.46668,4189585354.185714,1244710351.288358,1659983934.481116,1244787237.467324,61380259.989441,1244787237.467324,-1968571065.068184,4563688411.862421,2497836906.524846,10533406.518408,405171548.604762,1863882.843787,1227750.878865,1054808773.194947,1189158063.664576,6532259476.930605,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,1608895077.205148,4654902409.116394,4600708559.750211,1499635480.212153,6100344039.962364,6359665283.783697,11014567692.900091,1300631879.184899,0.0,0.0,3034829.317334,4914223652.937727,1217516926.648665,2252498712.549381,1192410685.952916,71191354.215672,1192410685.952916,,5278586901.2251,2415079440.423791,13344226.530731,969678000.560672,1293493.468496,2011189.590838,986229303.478098,1111949158.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,1473861209.405646,5323047427.887729,7130269122.995018,959519040.398919,8089788163.393938,7674143365.956135,12997190793.843864,483910694.15785,0.0,1003595320.581687,3035578.66805,4907402630.449926,1460305780.525907,1758187839.895562,520255508.459818,52256238.720888,520255508.459818,-2379856636.859934,6995715689.445481,4240080984.859274,13099689.482891,779702471.770937,2233606.160522,2667435443.010395,2667435443.010395,,9375572326.305414,83600802.750021,3563785.460156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,1488863250.577884,5517690795.598672,7750630430.147936,1262059550.588842,9012689980.736778,8461658245.459761,13979349041.058434,764349775.494892,0.0,0.0,3029485.240597,4966659060.321655,1200292860.561446,1790305773.973636,946892155.706965,53412558.639894,946892155.706965,,7888117562.000838,4849317369.540078,12929353.457311,503817223.69678,410077.225642,293286278.111322,233684414.368131,,7888117562.000838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,1434449677.2608,5111646449.647027,7706815072.860081,2543982566.621323,10250797639.481403,10204096858.286001,15315743307.93303,1169059682.812953,0.0,692970360.291662,3020918.934183,5064945668.451625,993836226.341136,2150430125.461121,844476555.643378,768226092.49892,844476555.643378,-3323306199.395272,7884745322.706965,3905752028.696869,12712708.261825,495200190.181225,47411080.034298,3340352590.121913,3340352590.121913,,11208051522.102236,83822295.651501,6186398.138108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,2006083955.396972,5298768274.284889,7361348198.025269,2644058023.281914,10005406221.307182,10283352004.969078,15582120279.253967,1184875360.449126,0.0,876363605.590343,3081554.501196,5576714057.946785,1363055014.646656,1648735981.599445,953868713.736174,776409693.89856,953868713.736174,,8026483279.880907,3869914046.156188,13055679.734363,375177655.54429,47302664.081507,2866948304.832081,2866948304.832081,,8026483279.880907,87468801.033032,16080257.576813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
