date,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyPretaxIncome,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyOtherCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyFreeCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyStockholdersEquity,quarterlyResearchAndDevelopment,quarterlyBasicAverageShares,quarterlyDilutedEPS,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfBusiness,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,quarterlyGoodwill
1999-03-31,37776000,-67110000,,,-246000.0,,,,,,104726000,69557000,134489000,,,,-83176000,,,,,,-50000000.0,-112344000,,,134248000,,70825000,21904000,-163657000,-9518000,-102487000,76914000,,,2526000.0,,,102538000,,,-28007000,,,134489000,-25624000,714324000,,,-163657000,,188014000,,,,526310000,,551934000,,,,,,66950000,,66950000,,,,,,,,,,
1999-06-30,55568000,-70699000,,,,,,,,,152457000,-155109000,154178000,,,,43237000,,,,,,0.0,-6203000,,,21904000,,100741000,15701000,-203618000,12241000,-101910000,98857000,,,12991000.0,,,101843000,,,-69786000,,,154178000,-2986000,822616000,,,-203618000,,211820000,,,,610796000,,613782000,,,,,,96889000,,96889000,,,,,,,,,,
1999-09-30,120272000,-82923000,,,,,,,,,325821000,-261452000,287742000,,,,-17893000,,,,,,0.0,28675000,,,15701000,,210277000,44376000,-241174000,-23496000,-103624000,233307000,,,42384000.0,,,102027000,,,-38722000,,,287742000,131280000,1115975000,,,-241174000,,256249000,,,,859726000,,728446000,,,,,,205549000,,205549000,,,,,,,,,,
1999-12-31,28264000,-71376000,252219000.0,7703683000.0,,19475000.0,,19475000.0,,96824000.0,75220000,212311000,143347000,,517422000.0,,104565000,9648704000.0,8800372000.0,,,247026000.0,,-24901000,232157000.0,,44376000,,50965000,19475000,-272813000,-85171000,-107367000,-240709000,,,-28862000.0,,6342329000.0,96924000,848332000.0,721236000.0,113500000,,,143347000,-337633000,732559000,7703683000.0,46011000.0,-272813000,,473316000,145229000.0,308037000.0,847706000.0,259243000,34891000.0,596876000,5621093000.0,,,3190378000.0,,46956000,1500711000.0,46956000,3306375000.0,,,,,,,,,
2000-03-31,40641000,-65467000,268360000.0,7793836000.0,-1685000.0,18819000.0,,18819000.0,,371695000.0,112121000,174851000,130065000,,515362000.0,,65538000,9740996000.0,8897951000.0,,,315231000.0,0.0,-656000,,224358000.0,19475000,,75448000,18819000,-196259000,-26201000,-107628000,78535000,,,-2423000.0,1189263000.0,6470772000.0,101947000,843045000.0,871883000.0,-14738000,,146490000.0,130065000,-23412000,746177000,7793836000.0,278544000.0,-196259000,,195074000,38467000.0,263965000.0,831215000.0,551103000,33179000.0,574515000,5598889000.0,,,3189401000.0,,71480000,1494931000.0,71480000,3270224000.0,,,,,,,,,
2000-06-30,60278000,-69837000,268386000.0,7885649000.0,,24360000.0,,24360000.0,,220242000.0,167489000,-68327000,155927000,,528603000.0,,71124000,9989187000.0,9017727000.0,,,388538000.0,0.0,5541000,,224358000.0,18819000,,111247000,24360000,-221510000,-5194000,-109156000,111416000,,,16980000.0,1187160000.0,6637066000.0,100962000,971460000.0,796878000.0,-64032000,,153241000.0,155927000,10454000,900458000,7885649000.0,310415000.0,-221510000,,218321000,34857000.0,359594000.0,815882000.0,682137000,36702000.0,671683000,5840188000.0,,,3437906000.0,,107211000,1502269000.0,107211000,3352121000.0,,,,,,,,,
2000-09-30,118201000,-67847000,248852000.0,7991986000.0,,28699000.0,,28699000.0,,142351000.0,331003000,-5953000,371908000,,558587000.0,,-115420000,10224683000.0,9168529000.0,,,404913000.0,0.0,4339000,,224358000.0,24360000,,216878000,28699000,-252149000,77995000,-108404000,210724000,,,33583000.0,1291437000.0,6685281000.0,106133000,1056154000.0,826928000.0,-58605000,,233376000.0,371908000,104591000,1137295000,7991986000.0,360864000.0,-252149000,,285316000,46288000.0,422358000.0,836731000.0,851979000,37549000.0,747388000,5858353000.0,,,3426643000.0,,212802000,1511329000.0,212802000,3539402000.0,,,,,,,,,
2000-12-31,42435000,-330477000,238914000.0,8162777000.0,,14247000.0,,14247000.0,,281343000.0,87014000,176359000,169134000,,532645000.0,,66491000,10379108000.0,9347854000.0,,,167112000.0,0.0,-14452000,333739000.0,,28699000,,48655000,14247000,-250077000,-106190000,-108022000,-358422000,,,18026000.0,,6865824000.0,103956000,1031254000.0,900356000.0,108763000,,,169134000,-462378000,883531000,8162777000.0,52624000.0,-250077000,,613459000,118162000.0,398185000.0,804421000.0,270072000,38623000.0,732450000,5965468000.0,,,3425527000.0,,44579000,1650704000.0,44579000,3513284000.0,,,,,,,,,
2001-03-31,43610000,-124073000,266094000.0,8257428000.0,-1179000.0,10731000.0,,10731000.0,,446339000.0,117261000,165187000,126442000,,530250000.0,,59109000,10392209000.0,9454728000.0,,,121871000.0,,-3516000,199239000.0,224358000.0,14247000,,78056000,10731000,-189067000,-56869000,-104899000,-43232000,,,2656000.0,1197005000.0,6909864000.0,106491000,937481000.0,962075000.0,160000,,,126442000,-149723000,850002000,8257428000.0,97214000.0,-189067000,,329750000,194626000.0,318425000.0,789586000.0,520252000,39922000.0,669975000,5947789000.0,,,3425059000.0,,74004000,1645352000.0,73651000,3482345000.0,,,,,,,,,
2001-06-30,49305000,-131865000,,,,,,,,505694000.0,128623000,136035000,119724000,,,,59133000,10516150000.0,,,,288109000.0,,4402000,187305000.0,240000000.0,10731000,,83208000,15133000,-174455000,-3977000,-101491000,-22911000,,,22414000.0,1174801000.0,6956009000.0,108897000,,1136822000.0,-86928000,,,119724000,-131808000,903867000,,,-174455000,,326022000,155714000.0,,757622000.0,577845000,,709653000,5819187000.0,,,3295744000.0,,79318000,1677165000.0,79318000,3560141000.0,,,,,,,,,
