date,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyDilutedEPS,quarterlyCurrentAccruedExpenses,quarterlyInventory,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyBasicEPS,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,quarterlyStockholdersEquity,quarterlyEbitda,quarterlyNetOtherInvestingChanges,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyCurrentAssets,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyOtherIntangibleAssets,quarterlyGoodwill
1984-03-31,,,,,600000.0,,,,,,,0.9,,,,,,,,,,,725600.0,,,,,,,,,,,,,,,,,,0.9,,,,,,,2200000,,,,,,,,,,,,,,,,,,,,,,2200000,2200000,,725600.0,,,,
1984-06-30,,,,,300000.0,,,,,,,0.4,,,,,,,,,,,725600.0,,,,,,,,,,,,,,,,,,0.4,,,,,,,2100000,,,,,,,,,,,,,,,,,,,,,,2100000,2100000,,725600.0,,,,
1984-09-30,,,,,300000.0,,,,,,,0.4,,,,,,,,,,,725600.0,,,,,,,,,,,,,,,,,,0.4,,,,,,,1800000,,,,,,,,,,,,,,,,,,,,,,1800000,1800000,,725600.0,,,,
1984-12-31,-100000.0,,,,200000.0,,600000.0,,,,,,,1100000.0,300000.0,,,4100000.0,9200000.0,9200000.0,,,,,,2600000.0,,,,46300000.0,,34200000.0,,11700000.0,7500000.0,,,,,23900000.0,,,,,1400000.0,,38800000.0,-6000000,,,,,,,,,,3200000.0,,12100000.0,,10600000.0,,22500000.0,4300000.0,,,,,-6000000,1700000,-1400000.0,,,,,
1985-03-31,,,,,-100000.0,,,,,,,-0.1,,,,,,,,,,,725600.0,,,,,,,,,,,,,,,,,,-0.1,,,,,,,1200000,,,,,,,,,,,,,,,,,,,,,,1200000,1200000,,725600.0,,,,
1985-06-30,,,,,-200000.0,,,,,,,-0.3,,,,,,,,,,,725600.0,,,,,,,,,,,,,,,,,,-0.3,,,,,,,1400000,,,,,,,,,,,,,,,,,,,,,,1400000,1400000,,725600.0,,,,
1985-09-30,,,,,-400000.0,,,,,,,-0.5,,,,,,,,,,,725600.0,,,,,,,,,,,,,,,,,,-0.5,,,,,,,1500000,,,,,,,,,,,,,,,,,,,,,,1500000,1500000,,725600.0,,,,
1985-12-31,-100000.0,,,,-100000.0,,2100000.0,,,,,,,1300000.0,25300000.0,,,3600000.0,8900000.0,8900000.0,,,,,,100000.0,,,,69300000.0,,57400000.0,,28600000.0,31000000.0,,,,,30500000.0,,,,,800000.0,,38300000.0,-6300000,,,,,,,,,,2200000.0,,11900000.0,,9900000.0,,28800000.0,28800000.0,,,,,-6300000,1500000,-1700000.0,,,,,
1986-03-31,,,,,-300000.0,,,,,,,-0.5,,,,,,,,,,,726500.0,,,,,,,,,,,,,,,,,,-0.5,,,,,,,1300000,,,,,,,,,,,,,,,,,,,,,,1300000,1300000,,726500.0,,,,
1986-06-30,,,,,-400000.0,,,,,,,-0.6,,,,,,,,,,,726500.0,,,,,,,,,,,,,,,,,,-0.6,,,,,,,1300000,,,,,,,,,,,,,,,,,,,,,,1300000,1300000,,726500.0,,,,
1986-09-30,,,,,-2600000.0,,,,,,,-3.5,,,,,,,,,,,741000.0,,,,,,,,,,,,,,,,,,-3.5,,,,,,,3600000,,,,,,,,,,,,,,,,,,,,,,3600000,3600000,,741000.0,,,,
1986-12-31,0.0,,,,-1300000.0,,5300000.0,,,,,,,5500000.0,42200000.0,,,,30200000.0,30200000.0,,,,,,1800000.0,,,,100700000.0,,63000000.0,,9100000.0,49300000.0,,,,,57900000.0,,,,,0.0,,51400000.0,-12900000,,,,,,,,,,7100000.0,,37700000.0,,2500000.0,,53900000.0,42200000.0,,,,,-12900000,6700000,-4000000.0,,,,,
1987-03-31,,,,,,,,,,,,-0.1,,,,,,,,,,,850800.0,,,,,,,,,,,,,,,,,,-0.1,,,,,,,4600000,,,,,,,,,,,,,,,,,,,,,,4600000,4600000,,850800.0,,,,
