date,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyChangeInAccountPayable,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDilutedEPS,quarterlyCashDividendsPaid,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyDilutedAverageShares,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyTaxProvision,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyNetPPE,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1993-03-31,,,,,,,,,1600000,,,,,,,,,,,,1600000,1600000,,,,,,,,,,,,,0.03,,53333333.0,,,0.03,,,,,,,,,,,,,,,,,,,,,,53333333.0,59900000,,59900000,,,,,,,,,59900000,,,
1993-06-30,4500000.0,,,,,5000000.0,25100000.0,12700000.0,5700000,30200000.0,-100000.0,,5100000.0,,,3800000.0,,7500000.0,,13000000.0,5700000,5700000,,9100000.0,,,,400000.0,5200000.0,,,,,54300000.0,0.07,,81428571.0,,,0.07,2300000.0,17200000.0,,,,,800000.0,3000000.0,3000000.0,,300000.0,200000.0,,,5100000.0,,,,,,,81428571.0,61800000,,2300000,,,-3400000.0,7300000.0,,1300000.0,,,2500000,,,
1993-09-30,6500000.0,,,2000000.0,,6000000.0,27100000.0,13300000.0,2000000,32500000.0,,,5400000.0,400000.0,1200000.0,3800000.0,,9800000.0,-2500000.0,13200000.0,2000000,2000000,-700000.0,9800000.0,,,,,6500000.0,,0.0,,,62000000.0,0.03,,66666667.0,,,0.03,3300000.0,19300000.0,,,-300000.0,,200000.0,2500000.0,2500000.0,,1000000.0,,,-1800000.0,6300000.0,-400000.0,0.0,,-2500000.0,,2100000.0,66666667.0,71800000,,3300000,,,1300000.0,6000000.0,-400000.0,1600000.0,900000.0,,3800000,,,
1993-12-31,8800000.0,,,3700000.0,,6100000.0,28900000.0,12500000.0,2400000,34300000.0,,,5400000.0,300000.0,800000.0,4000000.0,,10400000.0,200000.0,12400000.0,2400000,2400000,600000.0,9200000.0,,0.0,,,6400000.0,,-200000.0,,,67000000.0,,,,,,,4000000.0,21900000.0,,,-300000.0,-1400000.0,500000.0,5800000.0,5800000.0,,3600000.0,100000.0,,1300000.0,7100000.0,1500000.0,-400000.0,,-400000.0,,3800000.0,,77400000,-100000.0,4000000,2800000.0,,1600000.0,1800000.0,3300000.0,1400000.0,600000.0,,4300000,,,
1994-03-31,11000000.0,,,-4600000.0,,7600000.0,39200000.0,21900000.0,2100000,46000000.0,,,6800000.0,300000.0,8000000.0,3800000.0,,11400000.0,-300000.0,21900000.0,2100000,2100000,-10100000.0,19300000.0,,,,,7900000.0,,-1800000.0,,,76200000.0,0.03,,70000000.0,5800000.0,,0.03,3500000.0,24100000.0,,,,-1400000.0,600000.0,900000.0,900000.0,,3300000.0,,,-5000000.0,15000000.0,-5300000.0,,,-300000.0,,-2800000.0,70000000.0,87600000,-1800000.0,3500000,4400000.0,,1400000.0,3600000.0,-4900000.0,3000000.0,600000.0,,3800000,,,
1994-06-30,13400000.0,,,1300000.0,,8300000.0,58400000.0,16500000.0,2400000,64600000.0,,,6200000.0,400000.0,-1600000.0,3400000.0,,12600000.0,16500000.0,16500000.0,2400000,2400000,3200000.0,16100000.0,,,,,8700000.0,,-15400000.0,,,79600000.0,0.04,,60000000.0,,,0.04,3900000.0,48100000.0,,,,-1400000.0,19000000.0,2500000.0,2500000.0,,,,,-2500000.0,13600000.0,-1500000.0,,,16500000.0,,1400000.0,60000000.0,92200000,-100000.0,3900000,4200000.0,,1500000.0,2900000.0,2500000.0,2800000.0,800000.0,,4300000,,,
1994-09-30,16900000.0,,,2000000.0,,9000000.0,68000000.0,22700000.0,3400000,74300000.0,,-15800000.0,6300000.0,400000.0,3100000.0,3400000.0,,14800000.0,-200000.0,22700000.0,3400000,3400000,-4100000.0,20200000.0,,200000.0,,,9400000.0,,700000.0,,,97600000.0,0.05,,68000000.0,,,0.05,5600000.0,51600000.0,,,0.0,-1400000.0,18100000.0,5200000.0,5200000.0,16700000.0,,,,-3600000.0,16500000.0,-3300000.0,,,-200000.0,,2300000.0,68000000.0,112400000,-300000.0,5400000,4300000.0,,2200000.0,6200000.0,2800000.0,2900000.0,800000.0,,5800000,,,
1994-12-31,21000000.0,,,2300000.0,,9700000.0,71400000.0,22200000.0,4100000,78000000.0,,-15300000.0,6600000.0,600000.0,-300000.0,3700000.0,,16800000.0,0.0,22200000.0,4100000,4100000,-2900000.0,23200000.0,,200000.0,,,10300000.0,,-4900000.0,,,104300000.0,,,,,,,6700000.0,55800000.0,,,0.0,-2000000.0,20300000.0,3000000.0,3000000.0,10800000.0,,,,-400000.0,16200000.0,-1800000.0,,,0.0,,2700000.0,,121100000,-400000.0,6500000,4900000.0,,2600000.0,6000000.0,-2200000.0,2900000.0,1300000.0,,7100000,,,
1995-03-31,25100000.0,,,-3300000.0,,11700000.0,73400000.0,19700000.0,4200000,79900000.0,,-10800000.0,6500000.0,500000.0,-3500000.0,3700000.0,,18900000.0,,19700000.0,4200000,4200000,-100000.0,23300000.0,,300000.0,,,12200000.0,,200000.0,,,122500000.0,0.05,,84000000.0,3000000.0,,0.05,6900000.0,60200000.0,100000.0,,,-2000000.0,20800000.0,100000.0,100000.0,11200000.0,,,,-4300000.0,12700000.0,-7700000.0,,,,,-3000000.0,84000000.0,141400000,-300000.0,6700000,4800000.0,,2700000.0,7000000.0,-2800000.0,2800000.0,1000000.0,,7200000,,,
1995-06-30,29500000.0,,,4200000.0,,11700000.0,82400000.0,24400000.0,4300000,89000000.0,,-7400000.0,6600000.0,500000.0,6700000.0,3700000.0,,19100000.0,,24400000.0,4300000,4300000,-1600000.0,24800000.0,,300000.0,,,12200000.0,,1800000.0,,,127100000.0,0.06,,71666667.0,,,0.06,7100000.0,64600000.0,0.0,,,-2000000.0,17600000.0,6500000.0,6500000.0,9600000.0,,,,-4300000.0,19500000.0,-300000.0,,,,,4600000.0,71666667.0,146200000,-400000.0,6900000,4900000.0,,2800000.0,4900000.0,6400000.0,2900000.0,1000000.0,,7400000,,,
