date,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyOtherIntangibleAssets,quarterlyBasicEPS,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyDilutedAverageShares,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyNetIncomeCommonStockholders,quarterlyRetainedEarnings,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyTotalNonCurrentAssets,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetOtherInvestingChanges,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncome,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue
2004-09-30,,,,,,8764000,11585000,23080000,,,0.052007,,5411000,,,,,,,,,,,,,,,,,,,275000000.0,9864000,,14302000,,,,,,,32328000,,32328000,,,0.052007,,,,,,,,,326694000,,,,,,282781000,,275000000.0,,,,43913000,,-5254000,,,8899000,,14302000,,
2004-12-31,,419293000.0,50003000.0,,,11159000,29951000,29387000,645595000.0,1327000.0,,19917000.0,5465000,-42070000.0,,-15000.0,,84007000.0,36343000.0,-1694160000.0,-7169000.0,-18759000.0,235649000.0,1546971000.0,-12356000.0,,219729000.0,,68762000.0,734310000.0,169237000.0,,36707000,2749000.0,18115000,59780000.0,50003000.0,-58702000.0,,-26325000.0,,68931000,-271525000.0,41351000,369290000.0,76838000.0,,3889000.0,8639000.0,758174000.0,788797000.0,2339755000.0,424803000.0,,746910000.0,478593000,83203000.0,238904000.0,59182000.0,5809000.0,41510000.0,407291000,,,787289000.0,,,71302000,322107000.0,-8993000,233547000.0,263000.0,33225000,,18115000,,
2005-06-30,,510330000.0,79436000.0,,,21379000,14080000,53936000,626000000.0,1327000.0,0.118,19917000.0,5266000,,,,,,34254000.0,-1694160000.0,,,138391000.0,1500811000.0,-11758000.0,,,,,734310000.0,152390000.0,275000000.0,14081000,,32575000,124930000.0,,,,,,61375000,,61375000,430894000.0,,0.118,,,708465000.0,792346000.0,2320160000.0,310698000.0,,622896000.0,542993000,81810000.0,230388000.0,21284000.0,,88209000.0,467538000,,275000000.0,853037000.0,,,75455000,312198000.0,186000,141386000.0,,32575000,,32575000,,
2005-09-30,19321000.0,317476000.0,40376000.0,,,94672000,20850000,3303000,627428000.0,1327000.0,-0.362,,2982000,-281088000.0,,-34796000.0,,89395000.0,21439000.0,-1694160000.0,-20529000.0,-39060000.0,184782000.0,1337850000.0,32806000.0,,439784000.0,,79436000.0,550000.0,170363000.0,275000000.0,20850000,-3281000.0,-91388000,33542000.0,40376000.0,151865000.0,23224000.0,,,58404000,-285990000.0,35180000,277100000.0,68866000.0,-0.362,24579000.0,99752000.0,650194000.0,687656000.0,2321588000.0,390027000.0,,496058000.0,359430000,82476000.0,4234000.0,93878000.0,-73812000.0,57160000.0,303400000,,275000000.0,808441000.0,,,56030000,106031000.0,-26528000,215816000.0,18600000.0,-91388000,,-91388000,,
2005-12-31,8400000.0,216700000.0,37400000.0,,,-8729000,24289000,-18675000,630100000.0,900000.0,,,487000,-1154000.0,42000.0,20675000.0,,-85197000.0,21000000.0,-1747100000.0,-15627000.0,-2973000.0,163700000.0,1228100000.0,-7400000.0,,176012000.0,-42000.0,40376000.0,600000.0,171600000.0,,22089000,,-12762000,19700000.0,37400000.0,82283000.0,21069000.0,4621000.0,,-960000,-78102000.0,-22029000,179300000.0,-100824000.0,,-83322000.0,-11707000.0,652000000.0,576100000.0,2377200000.0,341100000.0,,458600000.0,462985000,104900000.0,4200000.0,54400000.0,-27024000.0,52800000.0,460725000,,,755900000.0,,,2260000,117500000.0,-2243000,251100000.0,-18600000.0,-9962000,,-12762000,,
2006-03-31,,196300000.0,38700000.0,,,-16200000,14500000,-40800000,619200000.0,,-0.09,,500000,-16200000.0,,-15100000.0,,18500000.0,32000000.0,-1747100000.0,-11500000.0,1300000.0,281500000.0,1300800000.0,-9400000.0,,146700000.0,,37400000.0,600000.0,155900000.0,275000000.0,14500000,,-24600000,-6000000.0,38700000.0,-900000.0,22500000.0,-1100000.0,,-14700000,-125000000.0,-37200000,157600000.0,7000000.0,-0.09,6900000.0,-14000000.0,658400000.0,642400000.0,2366300000.0,442400000.0,,551400000.0,400500000,104800000.0,4200000.0,43900000.0,-80300000.0,66400000.0,423200000,,275000000.0,730000000.0,,,-22700000,109000000.0,100000,331300000.0,-11100000.0,-24600000,900000.0,-24600000,,
2006-06-30,7300000.0,228000000.0,24700000.0,,,27700000,15900000,70300000,608400000.0,,0.154,,1500000,-1100000.0,,0.0,,44400000.0,31900000.0,-1747100000.0,-11700000.0,-14000000.0,96600000.0,1182000000.0,-9700000.0,,153200000.0,,38700000.0,600000.0,148100000.0,275000000.0,15900000,,42600000,35500000.0,24700000.0,-57400000.0,24900000.0,-1100000.0,,110200000,-198900000.0,85300000,203300000.0,32700000.0,0.154,-48200000.0,18600000.0,641200000.0,540800000.0,2355500000.0,253800000.0,,371600000.0,664800000,106100000.0,4400000.0,25200000.0,129800000.0,85000000.0,563600000,,275000000.0,773000000.0,,,101200000,117800000.0,100000,202600000.0,0.0,42600000,900000.0,42600000,,
2006-09-30,7700000.0,305400000.0,21400000.0,,,3700000,13500000,11000000,603200000.0,,0.026,,500000,-5000000.0,,-3900000.0,,100400000.0,32400000.0,-1747100000.0,-17900000.0,-3300000.0,187200000.0,1291800000.0,-10600000.0,,224900000.0,,24700000.0,600000.0,145900000.0,275000000.0,13500000,15500000.0,7300000,41700000.0,21400000.0,-98600000.0,22900000.0,,,35200000,-305600000.0,12300000,284000000.0,82500000.0,0.026,49200000.0,700000.0,636500000.0,655300000.0,2350300000.0,342100000.0,,469200000.0,378000000,115000000.0,4400000.0,22000000.0,-39000000.0,86500000.0,352200000,,275000000.0,780800000.0,,,25800000,127100000.0,200000,241400000.0,0.0,7300000,900000.0,7300000,,
2006-12-31,,325600000.0,25400000.0,,,4500000,32000000,12500000,597000000.0,,,,400000,-1000000.0,,0.0,,40300000.0,57700000.0,-1783100000.0,-18200000.0,4000000.0,219600000.0,1290400000.0,-33400000.0,,240000000.0,,21400000.0,600000.0,37400000.0,,10600000,11400000.0,8000000,48600000.0,25400000.0,-34400000.0,24300000.0,,,35200000,-256200000.0,10900000,300200000.0,22100000.0,,-9200000.0,4100000.0,657300000.0,633100000.0,2380100000.0,353400000.0,,509800000.0,506200000,152200000.0,4200000.0,17500000.0,41100000.0,113900000.0,463300000,86600000.0,,767000000.0,,,42900000,156400000.0,-20900000,176100000.0,0.0,8000000,900000.0,8000000,,
2007-03-31,6000000.0,490800000.0,27800000.0,,,29800000,15000000,87000000,593900000.0,,0.208,,500000,3200000.0,3300000.0,1000000.0,,191100000.0,66200000.0,-1783100000.0,-20900000.0,2400000.0,375000000.0,1597700000.0,-32900000.0,,113900000.0,,25400000.0,600000.0,194800000.0,281000000.0,15000000,-37600000.0,57200000,104700000.0,27800000.0,-192100000.0,20100000.0,-1100000.0,,110200000,-276800000.0,90100000,463000000.0,170200000.0,0.204,132000000.0,8000000.0,661000000.0,936700000.0,2377000000.0,580600000.0,,746900000.0,447700000,156000000.0,4300000.0,23700000.0,-127300000.0,118500000.0,342600000,,275500000.0,829800000.0,,,105100000,166300000.0,500000,303700000.0,-8300000.0,57200000,900000.0,57200000,,
