date,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyBasicEPS,quarterlySellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyDilutedAverageShares,quarterlyDilutedEPS,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyEbitda,quarterlyBasicAverageShares,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyChangeInCashSupplementalAsReported,quarterlyNetPPE,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,quarterlyGoodwill,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyNonCurrentDeferredRevenue
1993-03-31,,,,,,,,900000,900000,0.1,,,,,,,,,,,,,,900000,,,,,,9000000.0,0.1,,,,,,,,,,,,9000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-30,,,,,,,,900000,900000,0.1,,,,,,,,,,,,,,900000,,,,,,9000000.0,0.1,,,,,,,,,,,,9000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-09-30,,,,,,,,900000,900000,0.1,,,,,,,,,,,,,,900000,,,,,,9000000.0,0.1,,,,,,,,,,,,9000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31,,,,,304300000.0,111500000.0,,800000,800000,,,,,,,,,,,126300000.0,,,,800000,,,,,,,,178000000.0,,,,2000000.0,5800000.0,5400000.0,5400000.0,,,,,,,,,,,6800000.0,,,,,,,,,,293200000.0,,,,-2700000.0,,,,,,,,,,,,,
1994-03-31,,,,,412300000.0,147200000.0,2200000.0,1800000,1800000,0.14,900000.0,3600000.0,,,,,2600000.0,0.0,-38100000.0,159400000.0,,-300000.0,,1800000,,,,-3700000.0,,12857143.0,0.14,252900000.0,,,-1100000.0,2000000.0,,2100000.0,2100000.0,,5400000.0,,12857143.0,,,15000000.0,1900000.0,32600000.0,,,2200000.0,,,,,,,-2600000.0,-3300000.0,345000000.0,-600000.0,,,,,,,,,,,,,,,,
1994-06-30,,,,,436800000.0,145500000.0,9400000.0,2300000,2300000,0.19,1000000.0,3600000.0,,,,,2000000.0,0.0,-83100000.0,164600000.0,,600000.0,,2300000,,,,-4000000.0,,12105263.0,0.19,272200000.0,,,-45700000.0,2000000.0,,2000000.0,2000000.0,,0.0,,12105263.0,,,15600000.0,2300000.0,73600000.0,,,9400000.0,,,,,,,3600000.0,0.0,423700000.0,,,,,,,,,,,,,,,,,
1994-09-30,,,,,490300000.0,198600000.0,8600000.0,3100000,3100000,0.22,1100000.0,4300000.0,,,,,2100000.0,0.0,-56300000.0,220000000.0,,-700000.0,,3100000,,,,-6000000.0,,14090909.0,0.22,270300000.0,,,34900000.0,2000000.0,9100000.0,1900000.0,1900000.0,,0.0,,14090909.0,,,18300000.0,3100000.0,47600000.0,,7900000.0,8600000.0,,,,,,,,-200000.0,476500000.0,,,,,,,,,,,,,,,,,
1994-12-31,,,,,504300000.0,197300000.0,13400000.0,3000000,3000000,,1100000.0,4700000.0,,,,,2500000.0,0.0,-20600000.0,224700000.0,,500000.0,,3000000,,,,-6000000.0,,,,279600000.0,,,-900000.0,2000000.0,11400000.0,200000.0,200000.0,,0.0,,,,,19800000.0,3000000.0,5600000.0,,10300000.0,13400000.0,,,,,,,,-1600000.0,492600000.0,,,,-15500000.0,,,,,,,,,,,,,
1995-03-31,,,,,515600000.0,218200000.0,2900000.0,3100000,3100000,0.22,1000000.0,4700000.0,,,,,3000000.0,0.0,-17500000.0,239300000.0,,0.0,,3100000,,,,,,14090909.0,0.22,276300000.0,,,-4100000.0,2000000.0,11400000.0,200000.0,200000.0,,200000.0,,14090909.0,,,19500000.0,3000000.0,14600000.0,,3300000.0,2900000.0,,,,,,,,0.0,506200000.0,-4900000.0,,,-18900000.0,,,,,,,,,,,,,
1995-06-30,,,,,539500000.0,238600000.0,9900000.0,3100000,3100000,0.22,1000000.0,4900000.0,,,,,3200000.0,0.0,-27600000.0,263000000.0,,-6600000.0,,3100000,,,,,,14090909.0,0.22,276500000.0,,,-200000.0,2000000.0,12900000.0,,,,0.0,,14090909.0,,,20300000.0,3100000.0,17500000.0,,6300000.0,9900000.0,,,,,,,,-200000.0,528600000.0,1900000.0,,,-22500000.0,,,,,,,,,,,,,
