date,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyDilutedEPS,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyNonCurrentDeferredRevenue,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyEbitda,quarterlyBasicEPS,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyChangeInInventory
1984-03-31,,,7600000.0,,,,,,,7600000,,,,,,,7600000,,,,7600000,1.0,,,,,,,,,,,,,,,,,,,,7600000.0,,,,,,,,,,,,,,,,14900000,,14900000,,,14900000,1.0,,,,,,,,,,,,,
1984-06-30,,,7408537.0,,,,,,,24300000,,,,,,,24300000,,,,24300000,3.28,,,,,,,,,,,,,,,,,,,,7408537.0,,,,,,,,,,,,,,,,59200000,,59200000,,,59200000,3.28,,,,,,,,,,,,,
1984-09-30,,,7500000.0,,,,,,,2400000,,,,,,,2400000,,,,2400000,0.32,,,,,,,,,,,,,,,,,,,,7500000.0,,,,,,,,,,,,,,,,6600000,,6600000,,,6600000,0.32,,,,,,,,,,,,,
1984-12-31,41300000.0,,,,,,,,139600000.0,900000,,,,,,,900000,,,98900000.0,900000,,,,,24000000.0,,,,,,,,,,,40700000.0,,,,,,,,,,,,,,,,,,,,,4300000,,33800000,,,33800000,,,,,,,,,,,,,,
1985-03-31,,,4250000.0,,,,,,,1700000,,,,,,,1700000,,,,1700000,0.4,,,,,,,,,,,,,,,,,,,,4250000.0,,,,,,,,,,,,,,,,7200000,,7200000,,,7200000,0.4,,,,,,,,,,,,,
1985-06-30,,,4318182.0,,,,,,,1900000,,,,,,,1900000,,,,1900000,0.44,,,,,,,,,,,,,,,,,,,,4318182.0,,,,,,,,,,,,,,,,20800000,,20800000,,,20800000,0.44,,,,,,,,,,,,,
1985-09-30,,,4166667.0,,,,,,,2500000,,,,,,,2500000,,,,2500000,0.6,,,,,,,,,,,,,,,,,,,,4166667.0,,,,,,,,,,,,,,,,6500000,,6500000,,,6500000,0.6,,,,,,,,,,,,,
1985-12-31,47700000.0,,,,,,,,130400000.0,3300000,,,,,,,3300000,,,84900000.0,3300000,,,,,30800000.0,,,,,,,,,,,45500000.0,,,,,,,,,,,,,,,,,,,,,6300000,,29600000,,,29600000,,,,,,,,,,,,,,
1986-03-31,,,4285714.0,,,,,,,1200000,,,,,,,1200000,,,,1200000,0.28,,,,,,,,,,,,,,,,,,,,4285714.0,,,,,,,,,,,,,,,,4600000,,4600000,,,4600000,0.28,,,,,,,,,,,,,
1986-06-30,,,4296875.0,,,,,,,11000000,,,,,,,11000000,,,,11000000,2.56,,,,,,,,,,,,,,,,,,,,4296875.0,,,,,,,,,,,,,,,,22300000,,22300000,,,22300000,2.56,,,,,,,,,,,,,
