date,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicEPS,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyChangeInInventory,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyBasicAverageShares,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyEbitda,quarterlyAccumulatedDepreciation,quarterlyGrossPPE,quarterlyDilutedEPS,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyNetPPE,quarterlyIncomeTaxPayable,quarterlyChangeInAccountPayable,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables
1994-09-30,,,,,,,,,,-1600000,,,-1600000,,,160631680.0,,,,,,-1600000,,,-0.009961,,,,,,,,,,,,,160631680.0,,,,,,,,,,,,49000000,,,49000000,,49000000,,,-0.009961,,,,,,,,,,,,,,,,,,,
1994-12-31,,,,,,339600000.0,,472500000.0,390800000.0,-1900000,400000.0,,-1900000,,340000000.0,,,,,239600000.0,,-1900000,368700000.0,,,,,,20300000.0,,,,,103800000.0,,,,,,17500000.0,,17500000.0,16000000.0,,,14900000.0,,35800000.0,,52300000,,,-125400000,,-125400000,-7200000.0,158400000.0,,28700000.0,81700000.0,,,,,,,-800000.0,13800000.0,,,,,151200000.0,,,,
1995-03-31,,,,26400000.0,,351000000.0,-4300000.0,481300000.0,404600000.0,-2200000,500000.0,6800000.0,-2200000,7900000.0,351500000.0,220868560.0,-15200000.0,6600000.0,200000.0,228200000.0,,-2200000,379700000.0,,-0.009961,6000000.0,0.0,3600000.0,24300000.0,14000000.0,0.0,,-6100000.0,101600000.0,-4200000.0,,14700000.0,220868560.0,27800000.0,19600000.0,,19600000.0,16300000.0,,17500000.0,13800000.0,,24100000.0,,40400000,,-500000.0,-700000,-100000.0,6100000,-7600000.0,184000000.0,-0.009961,28200000.0,76700000.0,2100000.0,100000.0,,-3800000.0,,-6200000.0,-3400000.0,14200000.0,,-2500000.0,-3600000.0,-1400000.0,176400000.0,,,,
1995-06-30,,,,30800000.0,,362700000.0,-2600000.0,551000000.0,427200000.0,-1800000,0.0,-6000000.0,-1800000,7300000.0,362700000.0,220868560.0,-79900000.0,6300000.0,200000.0,234100000.0,,-1800000,388300000.0,,-0.009961,-67300000.0,0.0,2900000.0,28700000.0,8500000.0,-100000.0,,400000.0,162700000.0,-4600000.0,,7700000.0,220868560.0,12900000.0,13300000.0,,13300000.0,16600000.0,,0.0,11000000.0,,75100000.0,,39300000,,-700000.0,800000,62900000.0,1200000,-7600000.0,200700000.0,-0.009961,25600000.0,123800000.0,-6300000.0,,,-1900000.0,,-4300000.0,-5500000.0,14400000.0,,-2100000.0,-2600000.0,-800000.0,193100000.0,,,,
1995-09-30,,,,34300000.0,,374900000.0,-4700000.0,555700000.0,444800000.0,-400000,-100000.0,700000.0,-400000,8300000.0,374800000.0,220868560.0,-147100000.0,5900000.0,200000.0,216400000.0,,-400000,393300000.0,,-0.009961,-5800000.0,0.0,4400000.0,26400000.0,9300000.0,200000.0,,-24000000.0,162400000.0,2400000.0,,9000000.0,220868560.0,165800000.0,3300000.0,,3300000.0,16900000.0,,0.0,4500000.0,,71800000.0,,43600000,,-500000.0,300000,0.0,1000000,-7600000.0,236000000.0,-0.009961,18500000.0,110900000.0,-10000000.0,,,-4200000.0,,-8200000.0,-6100000.0,13800000.0,,-1900000.0,-900000.0,-500000.0,228400000.0,,,,
1995-12-31,,,,12200000.0,,415700000.0,-12800000.0,623100000.0,519400000.0,-7100000,0.0,25200000.0,-7100000,11500000.0,415700000.0,,202000000.0,5300000.0,4800000.0,165400000.0,,-7100000,466400000.0,,,29000000.0,0.0,3000000.0,38800000.0,28400000.0,-100000.0,,-4700000.0,156700000.0,-13300000.0,,36700000.0,,-165900000.0,21800000.0,,21800000.0,17200000.0,,0.0,19100000.0,,30400000.0,,40600000,0.0,-2400000.0,-8300000,-100000.0,16900000,-7200000.0,361200000.0,,50700000.0,103700000.0,18400000.0,,,-10400000.0,,-14900000.0,-13500000.0,26800000.0,,1700000.0,-10100000.0,-3000000.0,354000000.0,,,,
1996-03-31,7072000.0,,10072000.0,36033000.0,212000.0,782434000.0,5043000.0,964671000.0,738071000.0,-7221000,0.0,8677000.0,-7221000,10733000.0,782434000.0,324283235.0,-15502000.0,6043000.0,4783000.0,378250000.0,,-7221000,815304000.0,,-0.029882,-200833000.0,164813000.0,-17000.0,27298000.0,5434000.0,0.0,,-198095000.0,149367000.0,11244000.0,,14063000.0,324283235.0,15479000.0,164813000.0,7416000.0,165025000.0,17920000.0,,21754000.0,13599000.0,21000.0,15426000.0,,41467000,113000.0,-2715000.0,-8629000,336134000.0,48000,-13579000.0,373400000.0,-0.029882,32870000.0,226600000.0,143059000.0,,,7758000.0,,3173000.0,-21061000.0,0.0,,-1371000.0,-12012000.0,-4791000.0,359821000.0,,,,
1996-06-30,13308000.0,,19568000.0,62072000.0,44991000.0,810691000.0,-29328000.0,996765000.0,770992000.0,-22554000,0.0,25609000.0,-22554000,19083000.0,810691000.0,324733004.0,-44780000.0,27141000.0,4782000.0,344211000.0,,-22554000,869241000.0,,-0.079685,-62431000.0,78425000.0,-117000.0,48386000.0,11452000.0,0.0,,-18529000.0,127524000.0,-21495000.0,,25509000.0,324733004.0,5700000.0,78425000.0,18225000.0,123416000.0,18223000.0,,164813000.0,22235000.0,122000.0,25168000.0,,73524000,609000.0,-4822000.0,-14057000,549000.0,11552000,-19906000.0,446687000.0,-0.079685,58550000.0,225773000.0,-86388000.0,,,-24506000.0,,-17095000.0,-43916000.0,0.0,,-10163000.0,-34609000.0,-12055000.0,426781000.0,,,,
1996-09-30,13959000.0,,18958000.0,43935000.0,42122000.0,855979000.0,49375000.0,1081489000.0,870624000.0,-22500000,478000.0,27723000.0,-22500000,23736000.0,856457000.0,324925762.0,-14590000.0,19996000.0,11344000.0,315381000.0,,-22500000,975525000.0,,-0.089646,-100256000.0,31079000.0,91000.0,44246000.0,13103000.0,0.0,,-92170000.0,105964000.0,2195000.0,,34001000.0,324925762.0,12367000.0,31079000.0,67316000.0,73201000.0,18522000.0,,78425000.0,26449000.0,35000.0,65476000.0,,57038000,846000.0,-5863000.0,-20898000,-2328000.0,6825000,-26767000.0,582010000.0,-0.089646,119068000.0,210865000.0,-47346000.0,,,55238000.0,,60321000.0,-66735000.0,0.0,,-13947000.0,-35468000.0,-12950000.0,555243000.0,,,,
1996-12-31,30495000.0,,13516000.0,11339000.0,18807000.0,874720000.0,-103469000.0,1141380000.0,905744000.0,-48693000,7152000.0,43100000.0,-48693000,36820000.0,881872000.0,,-84523000.0,8307000.0,11334000.0,315123000.0,,-48693000,1080183000.0,,,75878000.0,39231000.0,-33548000.0,72767000.0,28043000.0,0.0,,80625000.0,61197000.0,-28808000.0,,93804000.0,,117330000.0,39231000.0,103100000.0,58038000.0,18824000.0,,31079000.0,40819000.0,-11000.0,86485000.0,,39382000,691000.0,-37554000.0,-65761000,-1811000.0,-22661000,-35264000.0,625885000.0,,198311000.0,235636000.0,8152000.0,,,-65915000.0,,-34862000.0,-115729000.0,0.0,,-24884000.0,-73590000.0,-24897000.0,590621000.0,,,,
1997-03-31,38701000.0,,31174000.0,30675000.0,3528000.0,898604000.0,-17809000.0,1155990000.0,931662000.0,-62866000,10268000.0,59317000.0,-62866000,32027000.0,908872000.0,328668480.0,-1995000.0,19846000.0,11834000.0,254396000.0,,-62866000,1145514000.0,,-0.199214,-482000.0,30452000.0,-13142000.0,57043000.0,41348000.0,0.0,,-1280000.0,10476000.0,,,85944000.0,328668480.0,15279000.0,30452000.0,132254000.0,33980000.0,19132000.0,,39231000.0,41290000.0,,97740000.0,,72023000,156000.0,-12486000.0,-44596000,-2974000.0,14721000,-47600000.0,724866000.0,-0.199214,236642000.0,224328000.0,-8779000.0,-2637000.0,,-5323000.0,,,-178896000.0,0.0,,,-62847000.0,19000.0,677266000.0,,,,
1997-06-30,45236000.0,,29475000.0,45610000.0,4952000.0,1298845000.0,-10511000.0,1534480000.0,1175252000.0,-63789000,13057000.0,66189000.0,-63789000,34362000.0,1311902000.0,334146020.0,-4356000.0,22197000.0,12332000.0,367676000.0,,-63789000,1587348000.0,,-0.199214,-204198000.0,182852000.0,-17988000.0,63043000.0,55212000.0,0.0,,-196481000.0,-52868000.0,,,98233000.0,334146020.0,3282000.0,182852000.0,122978000.0,187804000.0,19428000.0,,30452000.0,49752000.0,-11000.0,78761000.0,,100822000,387000.0,-6643000.0,-43021000,360466000.0,23168000,-60256000.0,788493000.0,-0.199214,275446000.0,359228000.0,152400000.0,-12986000.0,,-3868000.0,,,-242986000.0,32950000.0,,,-63764000.0,25000.0,728237000.0,,,,
1997-09-30,70678000.0,,54480000.0,11943000.0,31252000.0,1325047000.0,-48486000.0,1424868000.0,1230536000.0,-115157000,16464000.0,8351000.0,-115157000,154526000.0,1341511000.0,333776567.0,-27800000.0,31898000.0,12572000.0,340426000.0,,-115157000,1597038000.0,,-0.348624,-118449000.0,30973000.0,-73000.0,23050000.0,112883000.0,0.0,,-75062000.0,-172170000.0,,,201608000.0,333776567.0,2011000.0,30973000.0,105699000.0,62225000.0,19725000.0,,182852000.0,37928000.0,,54577000.0,,124826000,320000.0,-17598000.0,-88725000,-2542000.0,-41643000,-73125000.0,883896000.0,-0.348624,255527000.0,194332000.0,-151879000.0,11614000.0,,-30888000.0,,,-358444000.0,16452000.0,,0.0,-115137000.0,20000.0,810771000.0,,,,
1997-12-31,102287000.0,,66074000.0,59259000.0,275307000.0,1365221000.0,-155209000.0,1805646000.0,1261541000.0,-71013000,19642000.0,122640000.0,-71013000,144763000.0,1584027000.0,,-275000000.0,30251000.0,17885000.0,386682000.0,,-71013000,1894607000.0,,,-274120000.0,145207000.0,-1100000.0,22993000.0,136253000.0,0.0,,165270000.0,-88961000.0,,,184182000.0,,30941000.0,145207000.0,122707000.0,420514000.0,121592000.0,,30973000.0,67701000.0,-19000.0,34524000.0,,195512000,353072000.0,-195331000.0,-47929000,348232000.0,74711000,-85961000.0,960820000.0,,310580000.0,544105000.0,114234000.0,,,40122000.0,,,-436996000.0,0.0,,-8000.0,-70931000.0,82000.0,874859000.0,,,,
1998-03-31,123127000.0,,82553000.0,53449000.0,154729000.0,1391755000.0,-45851000.0,1794700000.0,1260168000.0,-49886000,22606000.0,57250000.0,-49886000,152708000.0,1619946000.0,359903310.0,-127213000.0,37374000.0,18185000.0,361357000.0,,-50187000,1937975000.0,,-0.169331,112883000.0,234052000.0,-110000.0,34643000.0,160990000.0,0.0,,17963000.0,-143275000.0,,,182155000.0,359903310.0,247801000.0,234052000.0,113253000.0,388781000.0,123615000.0,,145207000.0,63464000.0,,28555000.0,,214439000,170000.0,-25668000.0,-21165000,-3855000.0,36085000,-104200000.0,1003011000.0,-0.169331,318029000.0,534532000.0,88845000.0,-30986000.0,,-20183000.0,,,-495325000.0,0.0,,,-49715000.0,171000.0,898811000.0,,,,
1998-06-30,158408000.0,,95072000.0,57177000.0,131289000.0,1430142000.0,-44865000.0,1863250000.0,1305724000.0,-45717000,25801000.0,53229000.0,-45717000,180260000.0,1668143000.0,360915290.0,-126199000.0,36546000.0,20707000.0,315329000.0,,-46018000,2057365000.0,,-0.159371,-10987000.0,259571000.0,-713000.0,53540000.0,188661000.0,0.0,,50094000.0,-194115000.0,,,204905000.0,360915290.0,149599000.0,259571000.0,109430000.0,390860000.0,125678000.0,,234052000.0,100677000.0,,18054000.0,,245838000,1032000.0,-84481000.0,-16244000,-3110000.0,36985000,-122723000.0,1113118000.0,-0.159371,389222000.0,557526000.0,25519000.0,27119000.0,,39616000.0,,,-549719000.0,0.0,,,-45605000.0,112000.0,990395000.0,,,,
1998-09-30,134667000.0,,83893000.0,32218000.0,153549000.0,1459290000.0,-66824000.0,1814293000.0,1257927000.0,-51971000,28095000.0,56928000.0,-51971000,194679000.0,1706401000.0,361525690.0,-128671000.0,44232000.0,21064000.0,376757000.0,,-52272000,2066826000.0,,-0.169331,-12617000.0,207855000.0,97000.0,81974000.0,203189000.0,0.0,,40880000.0,-252533000.0,,,218539000.0,361525690.0,106451000.0,207855000.0,113298000.0,361404000.0,127771000.0,,259571000.0,91396000.0,,29095000.0,,235407000,350000.0,-31277000.0,-15350000,-3552000.0,41578000,-144112000.0,1025282000.0,-0.169331,360425000.0,556366000.0,-51716000.0,-43171000.0,,-35547000.0,,,-610599000.0,0.0,,,-52049000.0,-78000.0,881170000.0,,,,
1998-12-31,184470000.0,,107233000.0,47040000.0,217553000.0,1488079000.0,-20490000.0,1806852000.0,1269007000.0,-113308000,33498000.0,60953000.0,-113308000,285390000.0,1747615000.0,,-188013000.0,49377000.0,22679000.0,392093000.0,,-113609000,2178392000.0,,,-97327000.0,106547000.0,22000.0,76708000.0,239942000.0,0.0,,-13609000.0,-371540000.0,,,310074000.0,,124009000.0,106547000.0,132982000.0,324100000.0,129936000.0,,207855000.0,90646000.0,,29804000.0,,286982000,1278000.0,-19714000.0,-70132000,-3205000.0,-9179000,-167821000.0,1044735000.0,,430777000.0,537845000.0,-101308000.0,,,-776000.0,,,-733093000.0,0.0,,,-113469000.0,-161000.0,876914000.0,,,,
1999-03-31,212007000.0,,106740000.0,26966000.0,202129000.0,2002615000.0,-3493000.0,1733793000.0,1084987000.0,-103332000,77641000.0,36096000.0,-372331000,313020000.0,2080256000.0,362955312.0,-213594000.0,52510000.0,22764000.0,223624000.0,,-372455000,2554522000.0,,-1.045871,83737000.0,143900000.0,-10000.0,59170000.0,282398000.0,1525000.0,,77167000.0,-820729000.0,,,338080000.0,362955312.0,229018000.0,143900000.0,145678000.0,346029000.0,110965000.0,,106547000.0,93817000.0,,30867000.0,,309364000,,-8854000.0,-55682000,-51745000.0,-19586000,-191900000.0,1053263000.0,-1.045871,474266000.0,648806000.0,37353000.0,63912000.0,-90934000.0,5361000.0,,,-1177626000.0,0.0,,,-103266000.0,66000.0,861363000.0,,,,
1999-06-30,298034000.0,,115939000.0,21999000.0,107739000.0,2035894000.0,43109000.0,2903402000.0,2198819000.0,-76129000,54299000.0,26745000.0,-76129000,352928000.0,2090193000.0,390471519.0,-3044000.0,48798000.0,20901000.0,848699000.0,,-76129000,2672102000.0,,-0.199214,70715000.0,277548000.0,15674000.0,75456000.0,327879000.0,-1525000.0,,-330000.0,231300000.0,,,378868000.0,390471519.0,97434000.0,277548000.0,148508000.0,385287000.0,107633000.0,,143900000.0,114466000.0,,21901000.0,,349878000,,-23345000.0,-50989000,-3521000.0,-24244000,-214992000.0,1565112000.0,-0.199214,581909000.0,704583000.0,133648000.0,92882000.0,0.0,66454000.0,,,-1255638000.0,0.0,,,-76107000.0,22000.0,1350120000.0,,,,
