date,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlySaleOfInvestment,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyPurchaseOfInvestment,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyDilutedEPS,quarterlyInventory,quarterlyBasicAverageShares,quarterlyDilutedAverageShares,quarterlyBasicEPS,quarterlyChangeInAccountPayable,quarterlyChangesInAccountReceivables
1998-03-31,,,,,,,,100000,100000,,,,,,,,,,,,,,,,,,,100000,,,,,,,,6000000,6000000,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-30,,,,300000.0,1000000.0,,-100000.0,100000,100000,,0.0,,-500000.0,200000.0,,3100000.0,,3600000.0,1100000.0,1000000.0,,,,2200000.0,5800000.0,,19800000.0,100000,,,,5200000.0,,10700000.0,10700000.0,1100000,8900000,,1800000.0,,,8700000.0,5500000.0,,4100000.0,5200000.0,,,,2000000,1100000.0,,,14300000.0,300000.0,,,200000.0,14000000.0,,,7600000.0,200000.0,,5700000.0,-100000.0,,500000.0,,,,,,,,,
1998-09-30,,-2600000.0,66200000.0,300000.0,1500000.0,100000.0,-200000.0,700000,700000,200000.0,0.0,,-1000000.0,200000.0,63800000.0,3600000.0,,5700000.0,1500000.0,800000.0,66200000.0,,-2400000.0,1700000.0,7400000.0,,89500000.0,700000,1400000.0,,,,0.0,74500000.0,74500000.0,1700000,12900000,-3000000.0,3400000.0,,0.0,12200000.0,7500000.0,,6700000.0,7300000.0,,-2600000.0,,3100000,1800000.0,,,82000000.0,200000.0,,,700000.0,82100000.0,0.0,,10500000.0,100000.0,,7600000.0,-100000.0,,3600000.0,,,,,,,,,
1998-12-31,,-3000000.0,-300000.0,,1500000.0,200000.0,1200000.0,1500000,1500000,900000.0,0.0,,-1800000.0,,-42700000.0,6600000.0,,7800000.0,2700000.0,1200000.0,-100000.0,,-2100000.0,1300000.0,9100000.0,,92500000.0,1500000,2100000.0,,,,0.0,31800000.0,31800000.0,1600000,19500000,-6100000.0,1400000.0,,0.0,17700000.0,8100000.0,,9600000.0,8000000.0,,-43400000.0,,3700000,3300000.0,,,84400000.0,100000.0,,,1800000.0,83400000.0,-40400000.0,,16100000.0,,,12500000.0,,,45200000.0,,,,,,,,,
1999-03-31,,-9600000.0,600000.0,1000000.0,1900000.0,500000.0,0.0,5900000,5900000,-6200000.0,0.0,,-3000000.0,,-6900000.0,13400000.0,,16200000.0,10200000.0,4300000.0,100000.0,,-15800000.0,800000.0,17000000.0,8800000.0,109700000.0,5900000,2300000.0,,-500000.0,,31800000.0,24900000.0,24900000.0,9600000,34000000,-16300000.0,3700000.0,,24900000.0,30900000.0,18100000.0,,19200000.0,18100000.0,,-1300000.0,,11900000,9200000.0,,100000.0,91600000.0,,,12100000.0,3100000.0,92700000.0,0.0,,21300000.0,,,17100000.0,,,55700000.0,,,,,,,,,
1999-06-30,500000.0,-23500000.0,695300000.0,13300000.0,5500000.0,-7300000.0,-4400000.0,800000,800000,26200000.0,369900000.0,,-18400000.0,,317200000.0,27500000.0,,72300000.0,1400000.0,600000.0,702600000.0,,2700000.0,7100000.0,449300000.0,,922200000.0,800000,5600000.0,,-371900000.0,,24900000.0,347600000.0,347600000.0,-200000,49500000,20900000.0,31600000.0,,347600000.0,43800000.0,84000000.0,,90700000.0,72400000.0,,-404200000.0,,5400000,18500000.0,,-200000.0,838200000.0,11600000.0,,23900000.0,5700000.0,472900000.0,0.0,,44000000.0,5500000.0,,33000000.0,6100000.0,,101400000.0,,,,,,,,,
1999-09-30,400000.0,-14400000.0,6200000.0,12400000.0,6900000.0,3300000.0,100000.0,1400000,1400000,0.0,379000000.0,,-23200000.0,,-101000000.0,37200000.0,,82100000.0,2400000.0,1000000.0,3400000.0,139400000.0,-14400000.0,9300000.0,470400000.0,,909600000.0,1400000,1700000.0,-1900000.0,-90300000.0,129000.0,347600000.0,385900000.0,246500000.0,-4800000,58500000,-10300000.0,22800000.0,,246500000.0,42900000.0,84300000.0,,105300000.0,72400000.0,100000.0,-107400000.0,,-3000000,19800000.0,,0.0,825300000.0,11900000.0,,27600000.0,15600000.0,439200000.0,-2700000.0,,47700000.0,5900000.0,,39000000.0,6000000.0,,25700000.0,,,,,,,,,
1999-12-31,400000.0,-38900000.0,16600000.0,12300000.0,9300000.0,2900000.0,200000.0,4900000,4900000,46600000.0,383500000.0,,-32200000.0,,-26900000.0,45000000.0,,111800000.0,8500000.0,3600000.0,4300000.0,181100000.0,7700000.0,8800000.0,504100000.0,,963900000.0,4900000,15800000.0,900000.0,322000000.0,100000.0,246500000.0,400800000.0,219700000.0,400000,73900000,29500000.0,31500000.0,,219700000.0,68000000.0,111400000.0,,144000000.0,88800000.0,0.0,-90000000.0,,16200000,27600000.0,,,852500000.0,22600000.0,,,5900000.0,459800000.0,-373300000.0,,67600000.0,15000000.0,,42500000.0,7600000.0,,22500000.0,,,,,,,,,
2000-03-31,845000.0,-21379000.0,55539000.0,13304000.0,11119000.0,37736000.0,0.0,6288000,6288000,10526000.0,482747000.0,,-40094000.0,,58651000.0,53823000.0,,125314000.0,10842000.0,4554000.0,18065000.0,66521000.0,-10853000.0,11187000.0,619248000.0,114565000.0,1035958000.0,6288000,9270000.0,2427000.0,,261000.0,219679000.0,344851000.0,278330000.0,452000,85753000,-8198000.0,26349000.0,,278330000.0,71476000.0,114204000.0,,165408000.0,93476000.0,,-8043000.0,,9722000,33911000.0,,,906389000.0,20728000.0,,34850000.0,14277000.0,416710000.0,-101229000.0,,71024000.0,14828000.0,,49734000.0,5900000.0,,37009000.0,,,,,,,,,
2000-06-30,1038000.0,-7083000.0,3963000.0,15584000.0,11929000.0,-37736000.0,-824000.0,11590000,11590000,28235000.0,566442000.0,,-49028000.0,,-142709000.0,69480000.0,,123463000.0,19982000.0,8392000.0,41797000.0,146526000.0,21152000.0,12560000.0,702465000.0,20547000.0,1071616000.0,11590000,9572000.0,-2802000.0,,263000.0,278330000.0,282147000.0,135621000.0,9554000,97399000,8462000.0,25941000.0,,135621000.0,82988000.0,131635000.0,,172491000.0,111005000.0,,-173838000.0,,19126000,45506000.0,,,925208000.0,20630000.0,,46307000.0,14411000.0,369151000.0,101229000.0,,73434000.0,14745000.0,,51099000.0,5885000.0,,40697000.0,,,,,,,,,
