date,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyTaxProvision,quarterlyNetPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyEbitda,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyInventory,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyBasicEPS,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyCurrentAccruedExpenses,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyGoodwill
2008-03-31,1362752000,,,1275986000,,,,,1298151000,,-424799000,,,8387789000,,,,,945937000.0,,,,,,0.0,-27132000,-18801000,1872568000,-827476000,0.744541,6855488000,629493000,390711000,,1014048000,,-1041988000,,2883192000,,,,,,-197983000,,,841525000,,,1130255888.0,574503000,-67319000.0,,,,3148554000,-332745000,,,831072000,841525000,,9401837000,-44454000,403356000,,3706934000,0.744541,,1130255888.0,,,,,,
2008-06-30,368791000,,,2891706000,,,,,-153418000,,-239598000,,,9401837000,,,,,1847486000.0,,,,,,-373938000.0,89555000,-772967000,1423576000,-1066389000,0.126385,6500218000,2577642000,161676000,,477313000,,1597873000,,2801430000,,,,,,1511253000,1731053000.0,,142848000,,,1130255888.0,576436000,-235675000.0,,,,6500218000,-496730000,,,-146395000,142848000,,8963725000,1045025000,-1327362000,,2184936000,0.126385,,1130255888.0,,,,,,
2008-09-30,3282282000,,,4622307000,,,,,-3219042000,,-99562000,,,8963725000,,,,,,,,,,,613863000.0,-75589000,1337069000,1427665000,-1008784000,,7675630000,5352768000,879535000,,2172282000,,4282888000,,788719000,,,,,,4343984000,,,2113713000,,,,559368000,,,,,1248532000,-253271000,,,2083796000,2113713000,,11136008000,-1879618000,-4517555000,,1625658000,,,,,,,,,
2008-12-31,6993657000,,,3741886000,,296134000.0,-64212751000.0,70198760000.0,1795451000,,-1689552000,2655143000.0,13033078000.0,11136008000,13033078000.0,26156567000.0,,2821674000.0,,-1627328000.0,142848317000.0,,1925416000.0,40050000.0,-897158000.0,3667213000,-4518284000,3670471000,-2251432000,,9202080000,6709550000,1991818000,78635566000.0,1723731000,5944709000.0,-9978261000,0.0,9302580000,24162113000.0,,26055661000.0,16082057000.0,55661692000.0,4458118000,,124316422000.0,5469360000,150372083000.0,16995632000.0,,2018907000,,,79823805000.0,6650040000.0,7412357000,304925000,32876583000.0,6609352000.0,5522478000,5469360000,767283000.0,13033078000,918634000,-467535000,4991458000.0,1789723000,,,,44980000.0,,,,,
2009-03-31,234860000,,383909000.0,2044630000,,,,86111134000.0,373938000,,-796439000,2558925000.0,13262777000.0,12832001000,13037127000.0,26156567000.0,,1386330000.0,1137038000.0,103090000.0,,,,0.0,-110386000.0,-540517000,-630625000,593909000,-919221000,0.08942,5820849000,1816473000,62490000,80511252000.0,205126000,8237485000.0,177952000,225650000.0,1966940000,12883561000.0,,25626172000.0,29172390000.0,38057968000.0,897252000,,111655819000.0,101328000,137281991000.0,7921324000.0,1133115803.0,595042000,-435439000.0,,50941529000.0,6736428000.0,2638539000,-140766000,28371516000.0,8086553000.0,128437000,101328000,1258409000.0,13037127000,359049000,-980722000,4732218000.0,3182310000,0.08942,,1133115803.0,,,,,,
2009-06-30,-2525987000,,502983000.0,3343346000,,,,84360071000.0,1824782000,,179333000,2490412000.0,12298898000.0,13037127000,12154669000.0,26156567000.0,,1087133000.0,3339235000.0,-1957968000.0,,,73298000.0,0.0,620010000.0,548406000,-660326000,4727000,-1096745000,-1.905793,5158658000,-1646525000,-329133000,77147681000.0,-882457000,8851254000.0,-3039400000,144229000.0,1421406000,10957978000.0,,24683343000.0,29587588000.0,33868254000.0,-2743270000,1864044000.0,104709061000.0,-2090788000,129392404000.0,6889496000.0,1097068664.0,608158000,-28552000.0,,44826232000.0,6221477000.0,5158658000,-1180798000,24869442000.0,0.0,-2102684000,-2090788000,762968000.0,12154669000,2530714000,1424394000,4937728000.0,1810585000,-1.905793,,1097068664.0,,,,,,
2009-09-30,236268000,,,5144911000,1517797000.0,,,85120645000.0,943283000,,-108395000,9171092000.0,14642462000.0,12154669000,14506989000.0,26156567000.0,,1049586000.0,,,,,,,-74026000.0,-707597000,2249475000,1816013000,-1448601000,,8493539000,712963000,-121288000,75722795000.0,2352321000,7694997000.0,-54543000,135473000.0,931194000,10536153000.0,,27197459000.0,28108709000.0,35017970000.0,-735638000,,103684700000.0,453797000,130882159000.0,15217105000.0,,602204000,,,45554123000.0,7120503000.0,3245865000,-188947000,17154174000.0,9576094000.0,444765000,453797000,809283000.0,14506989000,1585529000,-610117000,,1532615000,,,,,,,,,
2009-12-31,-457888000,,1842309000.0,4509966000,,40050000.0,-65963306000.0,69610291000.0,-3480735000,,-1173167000,2839571000.0,15845864000.0,14506989000,8183224000.0,26156567000.0,,1437618000.0,,2483744000.0,140397960000.0,,,228020000.0,-1409788000.0,-2544681000,885467000,1395194000,-1710553000,,5358718000,5178062000,-1560449000,74434654000.0,914665000,10481471000.0,3944623000,7662640000.0,-944266000,13375874000.0,,28330263000.0,15219062000.0,63835366000.0,3467509000,,118678731000.0,-97821000,147008994000.0,26590272000.0,,1671550000,,,77211240000.0,10143763000.0,5905160000,2696609000,27004863000.0,3764974000.0,-9075000,-97821000,865187000.0,8183224000,-12767617000,-5148864000,4732434000.0,-546442000,,,,50726000.0,,,,,
2010-03-31,1163238000,-281829000.0,,2006777000,1127169000.0,,,76967541000.0,84404000,,-158748000,3506552000.0,12766965000.0,15398093000,12461857000.0,0.0,848038000.0,968218000.0,,,,,3812121000.0,,0.0,-1789628000,-1874136000,836660000,-806593000,0.649565,5621459000,219807000,409070000,77464192000.0,-2936237000,2686741000.0,1098885000,305108000.0,1444212000,11581110000.0,,26938423000.0,19780110000.0,42701490000.0,-586786000,349784000.0,104523802000.0,738251000,131462225000.0,14628709000.0,1136531861.0,573485000,-1191742000.0,,54282600000.0,7927238000.0,2843437000,-2174358000,17171646000.0,3367811000.0,754168000,738251000,851743000.0,12461857000,-9053000,-1281907000,5608572000.0,2778022000,0.649565,7542000.0,1136531861.0,3101246000.0,,,,,
2010-06-30,1495462000,-387675000.0,,1911822000,1095688000.0,,,78049404000.0,117979000,,-231722000,3628616000.0,13366688000.0,12461857000,13152006000.0,0.0,1596582000.0,1085367000.0,,5643000.0,,,4368953000.0,,-11925000.0,-988799000,702310000,1381895000,-1152967000,,7668133000,771742000,485776000,77921840000.0,690150000,2460187000.0,1626902000,214682000.0,2021140000,14063182000.0,,27982817000.0,20751015000.0,41130934000.0,-381225000,332868000.0,105484112000.0,995399000,133466929000.0,15810735000.0,,639245000,-1674654000.0,,55194116000.0,8298725000.0,3293717000,486276000,17209094000.0,4238260000.0,1009686000,995399000,876528000.0,13152006000,9053000,-783903000,5860257000.0,4374416000,,-24785000.0,,5029015000.0,,,,,
