date,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyInvestmentsAndAdvances,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyFreeCashFlow,quarterlyCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCashItems,quarterlyDilutedEPS,quarterlyAccumulatedDepreciation,quarterlySellingGeneralAndAdministration,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyPretaxIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance
2008-03-31,,1636859000000.0,,,2555013308120,2555013308120,3290522000000.0,2022922636.0,1263.030658,,,,,,,,,,,,3749899000000.0,2941912000000.0,,,,,-1621446000000.0,,,,,,2555013308120,,319962000000.0,,,,0.0,,,,,,,,7531136960620,5386758000000.0,-1970056000000.0,2022922636.0,,,,,,,-3122767000000.0,1263.030658,,,,,,,,-3569000000.0,,,,316393000000.0,7531136960620,-348610000000.0,7531136960620,,,,
2008-06-30,,,,,2820197581000,2820197581000,,2024152601.0,1393.273205,,,,,,,,,,,,,,,,,,,,,,,,2820197581000,,,,,,,,,,,,,,8307632874200,,,2024152601.0,,,,,,,,1393.273205,,,,,,,,,,,,,8307632874200,,8307632874200,,,,
2008-09-30,4840122657500.0,,6600963660500.0,10462111282750.0,3931230846250,3931230846250,,1535108244.0,1942.838375,5711782756000.0,,,-352606220750.0,1776171708250.0,5565046005750.0,5481822177250.0,,,11257117855000.0,5545335099000.0,,,,31898817423750.0,,,,38913710126000.0,,,,27877792446750.0,3931230846250,60394218282000.0,,,,32516425835250.0,,18495400833750.0,,,,2862461680250.0,5974594846000.0,32516425835250.0,3964082357500,,,1535108244.0,,4494086739000.0,,530004381500.0,,,,1942.838375,-11480508131500.0,532194482250.0,7014892702250.0,,12575558506500.0,21480508156000.0,15302233940250.0,,1467367502500.0,,5398598348750.0,,3964082357500,,9975908916250,,,,
2008-12-31,2173049000000.0,-4994254000000.0,0.0,1250281000000.0,2043606017250,2043151017250,776869000000.0,,,3749919000000.0,,668614000000.0,3643240725500.0,1611296000000.0,5877282000000.0,5683745331750.0,-2327170000000.0,9150126000000.0,5863722000000.0,2113803000000.0,7108057000000.0,1141220000000.0,10117791000000.0,5210672000000.0,410684000000.0,,-4919143000000.0,32997512000000.0,45968000000.0,422341000000.0,-492120000000.0,13839744000000.0,2043606017250,48702412000000.0,138725000000.0,,,,,38330216000000.0,-3255871000000.0,,746204000000.0,80263000000.0,1708647000000.0,34619717000000.0,4448978789250,2113803000000.0,-3869177000000.0,,-1968327000000.0,1576918346750.0,342015000000.0,925559557500.0,944816000000.0,,-746099000000.0,,-22198679000000.0,925559557500.0,16131537000000.0,,6699772000000.0,15704900000000.0,7139972000000.0,,656620624250.0,11629677000000.0,2697581540750.0,-1901946000000.0,651358789250,,7260663678500,,,,
2009-03-31,3476512000000.0,3226621000000.0,4464972000000.0,2247638000000.0,1608434000000,1608484000000,3365012000000.0,2023696527.0,794.8,4308734000000.0,,,-153506000000.0,,6345547000000.0,3757941000000.0,,5333076000000.0,9649158000000.0,5340424000000.0,2113803000000.0,2032202000000.0,,9597665000000.0,170080000000.0,1874833000000.0,,34278149000000.0,,,,26802914000000.0,1608434000000,54533870000000.0,9921000000.0,,1247240000000.0,,0.0,,,,,4261016000000.0,12859069000000.0,27730956000000.0,4109972000000,5340424000000.0,-85570000000.0,2023696527.0,,1482178000000.0,,419627000000.0,,,-1959375000000.0,794.8,,419627000000.0,19185799000000.0,,18211567000000.0,20255721000000.0,8591347000000.0,-62742000000.0,626655000000.0,,2235139000000.0,-52821000000.0,1062551000000,-1332810000000.0,5240119000000,,,,
2009-06-30,7254109000000.0,-38820000000.0,2323077000000.0,,692276000000,685035000000,158142000000.0,2023696527.0,342.096873,884950000000.0,,,-291650000000.0,1921970000000.0,5649429000000.0,4684761000000.0,,3041718000000.0,6899775000000.0,6014825000000.0,5340424000000.0,-4843834000000.0,,3884362000000.0,187185000000.0,7757423000000.0,,29493622000000.0,,,,22639824000000.0,692276000000,46549761000000.0,710022000000.0,,8396143000000.0,,-1082580000000.0,,,,,2306301000000.0,8885853000000.0,22952442000000.0,8791114000000,5301604000000.0,-107179000000.0,2023696527.0,,2591728000000.0,,490785000000.0,1255972000000.0,,2206265000000.0,342.096873,,230654000000.0,20056723000000.0,,12033788000000.0,17056139000000.0,10606036000000.0,-64481000000.0,348656000000.0,,1033691000000.0,-89783000000.0,2100943000000,-5001976000000.0,7276489000000,,,,
2009-09-30,2339752000000.0,1084643000000.0,0.0,5629692000000.0,1109865000000,2173267000000,2683299000000.0,2023670327.0,548.447113,1126012000000.0,,,-412656000000.0,1953039000000.0,4295174000000.0,6071605000000.0,-3164555000000.0,2861000000000.0,7512259000000.0,6386247000000.0,5301604000000.0,3508983000000.0,,8678564000000.0,433779000000.0,3789805000000.0,988565000000.0,37040594000000.0,,,,23514545000000.0,1109865000000,53702534000000.0,-684880000000.0,,-1192157000000.0,,-904963000000.0,,195507000000.0,,,0.0,7266657000000.0,29300303000000.0,6090268000000,6386247000000.0,-282871000000.0,2023670327.0,3095806000000.0,2830201000000.0,-71364000000.0,499883000000.0,,,-70698000000.0,548.447113,,290796000000.0,23372333000000.0,,10522596000000.0,16661940000000.0,12991949000000.0,,532408000000.0,,1640859000000.0,-1315785000000.0,2330318000000,825684000000.0,8901806000000,,,,
2009-12-31,390509000000.0,-2824128000000.0,1319878000000.0,6711141000000.0,316985000000,410082000000,3199184000000.0,,,462258000000.0,,2507552000000.0,-2811422000000.0,2042697000000.0,2969120000000.0,6487721000000.0,-2695421000000.0,3786924000000.0,4024377000000.0,3562119000000.0,6386247000000.0,-4142376000000.0,10117791000000.0,6739361000000.0,602544000000.0,,-6509669000000.0,43441729000000.0,96027000000.0,1006685000000.0,711657000000.0,22048249000000.0,316985000000,55559517000000.0,704341000000.0,,,,17904739000000.0,59273314000000.0,960843000000.0,,-64666000000.0,0.0,3280232000000.0,32569957000000.0,3943636000000,3562119000000.0,-5480296000000.0,,-1969393000000.0,2980119000000.0,-24778000000.0,-440526000000.0,1194848000000.0,,62055000000.0,,-31328440000000.0,-440526000000.0,27944874000000.0,,7470213000000.0,12117788000000.0,14578036000000.0,,540034000000.0,5132054000000.0,950116000000.0,-543016000000.0,3420645000000,-7341560000000.0,9467840000000,,,,
2010-03-31,2270556000000.0,409822000000.0,2395786000000.0,7931052000000.0,1954330000000,2060505000000,3487592000000.0,2023625629.0,965.756695,370196000000.0,,,-537278000000.0,,2975763000000.0,5994469000000.0,3502000000.0,11668511000000.0,3067014000000.0,2696818000000.0,2286996000000.0,2736716000000.0,,10979585000000.0,101098000000.0,1689672000000.0,-4054521000000.0,45039068000000.0,,,,24999546000000.0,1954330000000,56027019000000.0,-32647000000.0,,1930232000000.0,,0.0,,345130000000.0,,,4945174000000.0,8255289000000.0,31027473000000.0,5571176000000,2696818000000.0,-2875165000000.0,2023625629.0,1147524000000.0,4223302000000.0,-281161000000.0,606715000000.0,,,137556000000.0,965.756695,,388278000000.0,21085233000000.0,,11665305000000.0,10987951000000.0,13334241000000.0,-173460000000.0,912759000000.0,,2973264000000.0,-202605000000.0,3616587000000,-750876000000.0,10217771000000,,,,
2010-06-30,2841507000000.0,895363000000.0,4607796000000.0,8963453000000.0,1767066000000,1764861000000,5754957000000.0,,873.21784,1924788000000.0,,,-302375000000.0,,2849060000000.0,6803510000000.0,-1254628000000.0,4819758000000.0,6792092000000.0,4867304000000.0,2696818000000.0,3138329000000.0,,14105183000000.0,523299000000.0,2268341000000.0,-2771592000000.0,47922499000000.0,,,,26964171000000.0,1767066000000,62281733000000.0,60464000000.0,,1134195000000.0,,0.0,,2848740000000.0,,,4718082000000.0,5143659000000.0,34348770000000.0,5819479000000,4867304000000.0,-4254025000000.0,,1168900000000.0,3410833000000.0,195804000000.0,867431000000.0,,,113942000000.0,873.21784,,476182000000.0,28833878000000.0,,11957598000000.0,14359234000000.0,15006573000000.0,,618731000000.0,,2383592000000.0,-605570000000.0,2543402000000,-2616628000000.0,10214343000000,,,,
