date,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyBasicAverageShares,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyOperatingIncome,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyNetPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2004-09-30,,,,,,,239461000,,,167770000.0,,58092000,,,,,,,399071000,,,57507000,58092000,0.34,,5398000,,,318810000,,,,,104722000,,170274500.0,,,,94962000,,,,,,,,,,,,,,,,,,,,503793000,,,80261000,0.34,,,37455000,,,,,,159610000,,,,
2004-12-31,71979000.0,,383944000.0,1000000.0,72405000.0,5790111000.0,145396000,982179000.0,2245857000.0,,9537187000.0,44120000,50248000.0,-5861000.0,7291330000.0,,140432000.0,0.0,320250000,-1560995000.0,1366123000.0,43932000,44120000,,333696000.0,-12158000,,,250237000,154957000.0,1479615000.0,,,118749000,,,162227000.0,,8152629000.0,72566000,1501462000.0,-78000.0,62554000.0,,,154957000.0,155957000.0,0.0,,,1279361000.0,,-47968000.0,20268000.0,528405000.0,-1563855000.0,33668000.0,,0.0,438999000,-15908000.0,88313000.0,70013000,,421000.0,81426000.0,28634000,81426000.0,-7270000.0,453353000.0,-86000.0,,174854000,,,,
2005-03-31,11428000.0,,,,485068000.0,,272521000,,,167770000.0,,48029000,,-288000.0,,,,,370943000,-25532000.0,,47773000,48029000,0.28,,1034000,,,304618000,281378000.0,-331949000.0,,,114103000,,170274500.0,141668000.0,,,77158000,-306461000.0,-13579000.0,,,,,,1000000.0,,,,,363732000.0,3847000.0,,-25532000.0,,,,485046000,-12621000.0,497689000.0,66325000,0.28,,,29385000,,139710000.0,,70653000.0,,98422000,,,,
2005-06-30,12077000.0,,,,272372000.0,,293876000,,,167770000.0,,73432000,,-2105000.0,,,,,425523000,4621000.0,,74083000,73432000,0.44,,869000,,,329144000,328869000.0,-242482000.0,,,129484000,,170274500.0,281378000.0,,,119567000,-226988000.0,0.0,,,,,,0.0,,,,,102203000.0,19239000.0,,4621000.0,,,,555007000,-13389000.0,285761000.0,96379000,0.44,,,45484000,,47491000.0,,78810000.0,,131647000,,,,
2005-09-30,197522000.0,39744000.0,511320000.0,25000.0,145354000.0,,273057000,1441206000.0,564704000.0,168204500.0,7776176000.0,82035000,129857000.0,-16000.0,7211472000.0,,,45717000.0,456581000,-70996000.0,1952526000.0,82035000,82035000,0.46,381463000.0,-16047000,566898000.0,,307942000,227875000.0,-226019000.0,,180622000.0,128072000,,176675500.0,328869000.0,344000.0,5752580000.0,150560000,-236248000.0,,0.0,,,227875000.0,227900000.0,0.0,,,7079889000.0,,12107000.0,6862000.0,778444000.0,-50538000.0,192000.0,,,584653000,-14849000.0,160203000.0,148639000,0.48,,85866000.0,69026000,85866000.0,-114283000.0,95864000.0,,,346161000,,,,
2005-12-31,59807000.0,64978000.0,513130000.0,,-105214000.0,,139287000,1438225000.0,590244000.0,,7756892000.0,25234000,144250000.0,1977000.0,7166648000.0,,,39431000.0,384507000,25175000.0,1951355000.0,25234000,25234000,,368880000.0,-224322000,7068000.0,,298798000,297416000.0,-893000.0,,174019000.0,110242000,,,227875000.0,349000.0,5733763000.0,66586000,20101000.0,,0.0,,-162865000.0,297416000.0,297416000.0,0.0,230755000.0,,7036233000.0,,-234034000.0,38250000.0,642821000.0,177956000.0,-1598000.0,,8602000.0,494749000,-11456000.0,-93758000.0,85709000,,,253849000.0,42082000,90984000.0,82830000.0,554403000.0,,,145516000,,,,
2006-03-31,73346000.0,88313000.0,476654000.0,,440516000.0,5855453000.0,309931000,1623652000.0,889672000.0,172888500.0,8024044000.0,23335000,79278000.0,-419000.0,7134372000.0,,,39204000.0,374584000,-7947000.0,2100306000.0,23335000,23335000,0.12,397376000.0,0,11084000.0,,348342000,509030000.0,-13720000.0,,199478000.0,119314000,,182584000.0,297416000.0,351000.0,5852750000.0,31602000,0.0,,0.0,,-162865000.0,509030000.0,509030000.0,,373000.0,,1146707000.0,,348880000.0,13324000.0,669314000.0,-228920000.0,-2204000.0,,15083000.0,493898000,-13038000.0,453554000.0,26242000,0.14,,255873000.0,9658000,93008000.0,211614000.0,942881000.0,,,99588000,-5576000.0,,,
2006-06-30,59593000.0,183795000.0,449530000.0,,248058000.0,5860166000.0,269719000,1814046000.0,1019162000.0,173007000.0,8149980000.0,95482000,73859000.0,-1213000.0,7130818000.0,,,49262000.0,470009000,4249000.0,2263576000.0,95482000,95482000,0.54,375671000.0,10466000,12580000.0,,333754000,643341000.0,-26832000.0,,202913000.0,128449000,,179545000.0,509030000.0,353000.0,5827557000.0,153280000,0.0,,0.0,,-162865000.0,643341000.0,643341000.0,,93000.0,,1117046000.0,,139632000.0,-18919000.0,738669000.0,-108703000.0,-223000.0,33288000.0,8855000.0,598458000,-20991000.0,269049000.0,136255000,0.56,,267209000.0,56158000,104344000.0,134311000.0,1062704000.0,,,195848000,-121619000.0,,,
2006-09-30,56880000.0,242772000.0,906705000.0,,-9312000.0,5856663000.0,281242000,1627114000.0,1295955000.0,165179500.0,8384232000.0,58977000,65272000.0,-188000.0,7088277000.0,,,56113000.0,480848000,1875000.0,2533819000.0,58977000,58977000,0.34,341433000.0,-44074000,11083000.0,500000000.0,391556000,945692000.0,-58678000.0,,216947000.0,133094000,,170568500.0,643341000.0,353000.0,5794453000.0,97058000,0.0,,0.0,,-162865000.0,945692000.0,945692000.0,,256000.0,4857000.0,1050764000.0,,-112049000.0,-26107000.0,785386000.0,335088000.0,6778000.0,36034000.0,5422000.0,613942000,-33551000.0,24239000.0,89292000,0.36,,287602000.0,37707000,124737000.0,302351000.0,830286000.0,,,146172000,-167910000.0,,,
2006-12-31,59649000.0,309912000.0,903013000.0,,-154453000.0,5861292000.0,250496000,1400125000.0,1182685000.0,,8269184000.0,67140000,33716000.0,306000.0,7086499000.0,,,59289000.0,409507000,7718000.0,2303138000.0,67140000,67140000,,369297000.0,1721000,10317000.0,500000000.0,309967000,853274000.0,-14270000.0,,211430000.0,121781000,,,945692000.0,354000.0,5904290000.0,102958000,0.0,,0.0,,-195126000.0,853274000.0,853274000.0,,,10036000.0,1028774000.0,,-243526000.0,21050000.0,720737000.0,12307000.0,11979000.0,35505000.0,5898000.0,531288000,-25051000.0,-129402000.0,99540000,,,332270000.0,35928000,137144000.0,-92418000.0,669071000.0,-8137000.0,,159189000,-586000.0,,,
