date,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedAverageShares,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyChangeInInventory,quarterlyEbitda,quarterlySellingGeneralAndAdministration,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyBasicEPS,quarterlyCapitalStock,quarterlyBasicAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyFreeCashFlow,quarterlyInterestExpense,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyNetIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyTaxProvision,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentAccruedExpenses,quarterlyOperatingExpense,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyPretaxIncome,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyDilutedEPS,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyPurchaseOfInvestment,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable
2010-03-31,13100000,-4200000.0,,,,218900000,,155100000.0,698700000,12500000,,-90700000,-13100000.0,39100000,202300000,2500000.0,2500000,,46700000,-7200000,26900000,57800000,-0.090909,,155100000.0,-14100000,,,,,-69000000,28700000,,18500000.0,,5500000,-14100000,58900000,,-7200000,-61800000,-13700000,-300000.0,,-2800000,,,,-11100000,,,206400000,,479800000,,,,,,,0,-16500000,-7100000,,,,,-0.090909,,,,,,,,,
2010-06-30,-2600000,16100000.0,,,,294500000,,,878000000,75700000,,23800000,-7600000.0,110100000,214600000,3200000.0,3200000,,50800000,-8600000,27300000,46700000,,,,33600000,,,,,75700000,37400000,,-57600000.0,,-14200000,33600000,-73700000,,-9300000,85000000,33700000,-400000.0,,11700000,,,,4100000,,,218800000,,583500000,,,,,,,700000,45400000,0,,,,,,,,,,,,,,
2010-09-30,5200000,-12800000.0,,,,271900000,,155100000.0,813100000,65400000,,-30800000,-43800000.0,92900000,202800000,3700000.0,3700000,,57600000,-11500000,26800000,50800000,0.18,,155100000.0,27400000,,,,,21200000,29300000,,16600000.0,,23500000,27400000,-14300000,,-11700000,32900000,27700000,700000.0,,9100000,,,,6800000,,,206500000,,541200000,,,,,,,0,36800000,0,,,,,0.18,,,,,,,,,
2010-12-31,7300000,17200000.0,4314300000.0,252800000.0,-76300000.0,265800000,,,843700000,42200000,1461300000.0,31400000,30100000.0,66100000,219900000,2300000.0,2300000,,60700000,-28400000,30600000,57600000,,0.0,,10300000,4259400000.0,60700000.0,60700000.0,3000000.0,52700000,28700000,2791600000.0,1700000.0,798800000.0,-90800000,10300000,-52300000,77900000.0,-30100000,82800000,10700000,-6700000.0,550000000.0,-3900000,333000000.0,0.0,16800000.0,3100000,,215200000.0,223600000,374200000.0,577900000,3737800000.0,-685400000.0,-58400000.0,1364900000.0,576500000.0,1467800000.0,0,6800000,0,,699900000.0,3317600000.0,-911300000.0,,,,,,,,,,
2011-03-31,700000,-16800000.0,1101200000.0,237200000.0,-67900000.0,208800000,,155100000.0,714800000,5000000,,-83800000,-6700000.0,29500000,200100000,2700000.0,2700000,,67900000,-9900000,24800000,60700000,-0.079948,0.0,155100000.0,-12400000,3712700000.0,67900000.0,67900000.0,3300000.0,-77900000,22800000,2798900000.0,25800000.0,798400000.0,4500000,-12400000,84900000,98200000.0,-10000000,-67900000,-12200000,-300000.0,536100000.0,-5900000,341100000.0,0.0,16800000.0,7200000,265000000.0,227400000.0,203800000,338400000.0,506000000,560300000.0,-697800000.0,2608600000.0,1366200000.0,540900000.0,913800000.0,100000,-18100000,0,,111300000.0,102200000.0,,-0.079948,,,,,,,,,
2011-06-30,-7100000,44700000.0,1164100000.0,282100000.0,-64800000.0,291300000,,155100000.0,889700000,65600000,,-5000000,-11900000.0,90100000,221900000,2700000.0,2700000,,73100000,-14500000,25000000,67900000,0.28,0.0,155100000.0,43700000,3831400000.0,73100000.0,73100000.0,3600000.0,40600000,500000,2788600000.0,-71900000.0,793800000.0,40200000,43700000,-39600000,97100000.0,-17600000,58200000,44100000,-500000.0,531800000.0,20500000,353100000.0,326400000.0,16800000.0,5200000,,,225700000,410100000.0,598400000,552000000.0,-655500000.0,2664100000.0,1365900000.0,612100000.0,1042800000.0,3100000,64600000,0,,206500000.0,143100000.0,,0.28,,,,,,,,,
2011-09-30,10000000,-23400000.0,1712500000.0,258400000.0,-104400000.0,271100000,,155100000.0,848000000,50500000,1486800000.0,-29600000,-17000000.0,73900000,217100000,5500000.0,5500000,,127600000,-19600000,26200000,73100000,0.13,1600000.0,155100000.0,20100000,3840900000.0,127600000.0,127600000.0,3300000.0,18900000,200000,2825800000.0,28200000.0,792200000.0,-30900000,20100000,43600000,129000000.0,-13800000,32700000,20400000,-2900000.0,538100000.0,27100000,368800000.0,335600000.0,16800000.0,54500000,,,220600000,391800000.0,576900000,566300000.0,-635400000.0,2124900000.0,1366500000.0,1146200000.0,1015100000.0,-6000000,47500000,0,,126900000.0,103500000.0,-948700000.0,0.13,,,,,,,,,
2011-12-31,-66000000,2200000.0,1513400000.0,260700000.0,10600000.0,226500000,,,876100000,-39800000,1477400000.0,91800000,31000000.0,-96900000,262900000,4800000.0,4800000,,120800000,-27000000,35500000,127600000,,1600000.0,,-85600000,3637900000.0,120800000.0,120800000.0,21300000.0,125300000,3000000,2684400000.0,44800000.0,697300000.0,-2000000,-85600000,-132400000,94700000.0,-27100000,152400000,-85500000,-92600000.0,525800000.0,-49900000,336300000.0,0.0,389300000.0,-6800000,,241100000.0,266300000,346100000.0,649600000,915600000.0,-77700000.0,2120800000.0,1366600000.0,597800000.0,953500000.0,100000,-135400000,-120000000,0.0,150300000.0,74000000.0,-951600000.0,,,,,,,,,,
2012-03-31,8100000,-6700000.0,1464000000.0,254700000.0,15000000.0,246800000,,163000000.0,798800000,22300000,1472400000.0,-95500000,-12300000.0,46300000,221100000,6000000.0,6000000,,120600000,-13400000,24500000,120800000,0.08,1600000.0,163000000.0,12500000,3647500000.0,120600000.0,120600000.0,21800000.0,-53700000,2500000,2673600000.0,-31800000.0,701400000.0,56700000,12500000,56700000,89800000.0,-9800000,-43900000,13000000,-500000.0,515000000.0,6300000,350700000.0,240400000.0,409300000.0,-200000,213400000.0,240400000.0,224500000,379300000.0,552000000,947100000.0,-65200000.0,2180500000.0,1367400000.0,516900000.0,973900000.0,-3600000,19300000,-50000000,,123300000.0,74400000.0,-957400000.0,0.08,,,,,,,,,
2012-06-30,1500000,34200000.0,1475800000.0,287800000.0,10500000.0,317400000,,165400000.0,935300000,72300000,1479700000.0,16600000,-36500000.0,94600000,242300000,7400000.0,7400000,,147200000,-16600000,23000000,120600000,0.297819,1600000.0,160500000.0,47800000,3726000000.0,147200000.0,147200000.0,22100000.0,79800000,2100000,2657900000.0,-28500000.0,696100000.0,-53800000,47800000,-53800000,85500000.0,-16600000,96400000,47900000,-700000.0,509900000.0,21600000,385500000.0,286500000.0,339300000.0,26600000,,,245100000,405200000.0,617900000,879400000.0,-17400000.0,2247000000.0,1366400000.0,596400000.0,1068100000.0,0,69500000,-70000000,,130200000.0,74700000.0,-969800000.0,0.29,,,,,,,,,
