date,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyFreeCashFlow,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyStockholdersEquity,quarterlyBasicEPS,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyCurrentAssets,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyEbitda,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyDilutedAverageShares,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyStockBasedCompensation,quarterlyOtherIntangibleAssets,quarterlyChangeInInventory,quarterlyGoodwill
1984-03-31,,1700000,0.19,,,,,,,,,,1700000,,,,,8947368.0,,,,,,,,,,,,,1700000,,,,,,,,,,0.19,,,,,,,,,,,,,,,6600000,,,,,8947368.0,6600000,6600000,,,,,,,,,,,,,,
1984-06-30,,1300000,0.15,,,,,,,,,,1300000,,,,,8666667.0,,,,,,,,,,,,,1300000,,,,,,,,,,0.15,,,,,,,,,,,,,,,6600000,,,,,8666667.0,6600000,6600000,,,,,,,,,,,,,,
1984-09-30,,1900000,0.18,,,,,,,,,,1900000,,,,,10555556.0,,,,,,,,,,,,,1900000,,,,,,,,,,0.18,,,,,,,,,,,,,,,6700000,,,,,10555556.0,6700000,6700000,,,,,,,,,,,,,,
1984-12-31,,5400000,,,,,,,,,,,5400000,33300000.0,,,,,,,,,,,,,,,,133900000.0,5400000,63300000.0,,,,,,,,70600000.0,,,,,,,,,,,,,,-2400000.0,,25200000,,,,,,10500000,25200000,,,,,,,,,,,,,,
1985-03-31,,2400000,0.21,,,,,,,,,,2400000,,,,,11428571.0,,,,,,,,,,,,,2400000,,,,,,,,,,0.21,,,,,,,,,,,,,,,7900000,,,,,11428571.0,7900000,7900000,,,,,,,,,,,,,,
1985-06-30,,2000000,0.17,,,,,,,,,,2000000,,,,,11764706.0,,,,,,,,,,,,,2000000,,,,,,,,,,0.17,,,,,,,,,,,,,,,8400000,,,,,11764706.0,8400000,8400000,,,,,,,,,,,,,,
1985-09-30,,2000000,0.18,,,,,,,,,,2000000,,,,,11111111.0,,,,,,,,,,,,,2000000,,,,,,,,,,0.18,,,,,,,,,,,,,,,8200000,,,,,11111111.0,8200000,8200000,,,,,,,,,,,,,,
1985-12-31,,2100000,,,,,,,,,,,2100000,113800000.0,,,,,,,,,,,,,,,,200100000.0,2100000,127700000.0,,,,,,,,72400000.0,,,,,,,,,,,,,,-3900000.0,,27100000,,,,,,9700000,27100000,,,,,,,,,,,,,,
1986-03-31,,3600000,0.31,,,,,,,,,,3600000,,,,,11612903.0,,,,,,,,,,,,,3600000,,,,,,,,,,0.31,,,,,,,,,,,,,,,10600000,,,,,11612903.0,10600000,10600000,,,,,,,,,,,,,,
1986-06-30,,9000000,0.7,,,,,,,,,,9000000,,,,,11688312.0,,,,,,,,,,,,,9000000,,,,,,,,,,0.77,,,,,,,,,,,,,,,11100000,,,,,12857143.0,11100000,11100000,,,,,,,,,,,,,,
