date,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccountsPayable,quarterlyRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyTotalRevenue,quarterlyCommonStockIssuance,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyEbitda,quarterlyAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyOtherNonCashItems,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyOtherCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyFreeCashFlow,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyDepreciationAndAmortization,quarterlyLongTermDebt,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyResearchAndDevelopment
1997-03-31,,-2900000.0,0.225,50200000.0,318044000,47041000.0,,36000000,,11109000,,,11109000,,,7587000,318044000,,70708000,147755000,2491000,33759000,9957000,-12902000,44108000,-424276000.0,50200000.0,9537000,1195016000.0,,157615000,81817000,3522000,,9367000,,,-11437000,0,,22123000,10856000,183629000,770740000,157615000.0,,-3535000,77996000.0,,,355596000.0,927639000,1009456000,-364094000,11267000,11267000,,0.225,,,9676000,,,682914000,11267000,73637000,,-15802000,,11109000,-1831000,69759000,-2930000,-5565000.0,,,
1997-06-30,,-2476000.0,0.2025,50312000.0,324300000,,,37743000,,8505000,,,8505000,,,11109000,324300000,,62813000,123160000,1604000,31450000,-7263000,-11784000,41978000,-424276000.0,50312000.0,11911000,1196615000.0,,143467000,71318000,-2604000,,18919000,,,-3209000,0,,20195000,9978000,188281000,772339000,143467000.0,,7135000,53967000.0,,,355523000.0,929907000,1001225000,524960000,10217000,10217000,,0.2025,,,9295000,,,668427000,10217000,74572000,,-14260000,,8505000,-1831000,69193000,-1283000,-5565000.0,,,
1997-09-30,,-2008000.0,0.1025,50468000.0,327151000,,,34464000,,10155000,,,10155000,,,8505000,327151000,,51199000,100999000,3248000,21743000,-12334000,-11075000,32222000,-424276000.0,50468000.0,9250000,1199057000.0,,185143000,61354000,1650000,,27067000,,,12649000,0,,10219000,5051000,187884000,774781000,185143000.0,,15992000,44792000.0,,,354813000.0,933693000,995047000,474255000,5168000,5168000,,0.1025,,,9563000,,,659398000,5168000,76079000,,-13083000,,10155000,-1832000,56207000,1624000,-5565000.0,,,
1997-12-31,,3064000.0,,,326543000,,,37640000,,11823000,,,11823000,80844000.0,,10155000,326543000,,2221000,121912000,1796000,17908000,3393000,-13920000,28804000,-451648000.0,,12656000,1229996000.0,,172158000,78603000,1668000,0.0,9131000,,,-6862000,61494000,,6918000,3564000,185480000,778348000,29820000.0,58186000.0,-4789000,66364000.0,,,435627000.0,938793000,1017396000,510265000,3354000,3354000,,,,61494000.0,10124000,,,682423000,3354000,73163000,,-10856000,6373000.0,11823000,-738000,55548000,5070000,-5758000.0,,,
1998-03-31,,-1506000.0,0.185,51484000.0,334271000,44112000.0,,37009000,,15376000,,,15376000,,,11823000,334271000,,74530000,144195000,4038000,29720000,5502000,-10630000,41453000,-451648000.0,51484000.0,11831000,1229731000.0,,174764000,89906000,3553000,,10187000,,,-11139000,0,,18650000,9155000,189170000,778083000,174764000.0,,-443000,77466000.0,,,389765000.0,939709000,1029615000,-398263000,9495000,9495000,,0.185,,,10197000,,,686846000,9495000,73013000,,-12136000,,15376000,-744000,66729000,96000,-5805000.0,,,
1998-06-30,,-96000.0,0.13,51580000.0,336718000,,,37529000,,7797000,,,7797000,,,15376000,336718000,,57461000,115167000,1605000,24050000,-14402000,-14032000,36190000,-451648000.0,51580000.0,11935000,1231988000.0,,154507000,65258000,-7579000,,20951000,,,2371000,0,,13015000,6370000,190010000,780340000,154507000.0,,6919000,53588000.0,,,388945000.0,942456000,1007714000,507991000,6645000,6645000,,0.13,,,10163000,,,662498000,6645000,72888000,,-14128000,,7797000,-743000,61579000,-3149000,-5805000.0,,,
1998-09-30,,2259000.0,0.0825,51620000.0,336393000,,,80103000,,9121000,,,9121000,,,7797000,336393000,,49389000,100457000,1208000,20354000,-11978000,-14772000,30025000,-451648000.0,51620000.0,10009000,1237379000.0,,152622000,58510000,1324000,,25815000,,,11531000,0,,9009000,4734000,188479000,785731000,152622000.0,,11043000,,,,388836000.0,946530000,1005040000,507527000,4275000,4275000,,0.0825,,,10472000,,,660149000,4275000,69929000,,-12513000,,9121000,-744000,100457000,-1344000,-5806000.0,,,
1998-12-31,,-5886000.0,,,338677000,,,97288000,,6961000,,,6961000,81119000.0,,9121000,338677000,,0,114535000,1178000,17247000,11109000,-24210000,26743000,-468475000.0,,9877000,1258102000.0,,140780000,84812000,-2160000,,16827000,,,3157000,28360000,,9806000,2807000,189585000,789627000,31301000.0,70455000.0,-7383000,,,,479485000.0,952380000,1037192000,549305000,6999000,6999000,,,,28360000.0,11958000,,,690085000,6999000,70594000,,-30096000,7396000.0,6961000,2869000,114535000,-817000,-5893000.0,,,
1999-03-31,,-1048000.0,0.2025,52056000.0,344863000,41183000.0,,112871000,,4334000,,,4334000,,,6961000,344863000,,66058000,144739000,1487000,31868000,-21819000,-16161000,44377000,-468475000.0,52056000.0,13333000,1262024000.0,,122279000,70392000,-2627000,,36401000,,,12480000,0,,20614000,10026000,194284000,793549000,122279000.0,,20240000,,,,435280000.0,958537000,1028929000,-443778000,10588000,10588000,,0.2025,,,10381000,,,675568000,10588000,71061000,,-17209000,,4334000,-744000,144739000,-1795000,-5889000.0,,,
1999-06-30,,1431000.0,0.1525,52136000.0,348111000,,,94458000,,4051000,,,4051000,,,4334000,348111000,,61312000,121700000,1228000,27242000,-3227000,-16884000,39798000,-468475000.0,52136000.0,13841000,1266503000.0,,117970000,65363000,-283000,,18397000,,,-3352000,0,,15732000,7824000,196302000,798028000,117970000.0,,1513000,,,,433942000.0,960347000,1025710000,551131000,7908000,7908000,,0.1525,,,10638000,,,669101000,7908000,67785000,,-15453000,,4051000,-743000,121700000,-981000,-5890000.0,,,
1999-09-30,,702000.0,0.095,52180000.0,348189000,,,82168000,,9073000,,,9073000,,,4051000,348189000,,52875000,103530000,1049000,21362000,14977000,-43908000,30095000,-468475000.0,52180000.0,14552000,1293092000.0,,128209000,61948000,5022000,,33251000,,,13780000,0,,10191000,5272000,195331000,824617000,128209000.0,,-10657000,,,,442451000.0,987087000,1049035000,564139000,4919000,4919000,,0.095,,,10243000,,,692348000,4919000,65788000,,-43206000,,9073000,-799000,103530000,1820000,-5890000.0,,,
1999-12-31,,2236000.0,,,344866000,,,112394000,,11291000,,,11291000,94431000.0,,9073000,344866000,-792000.0,0,135249000,1088000,22855000,52563000,10245000,34721000,-549009000.0,,-2976000,1538757000.0,,229569000,92862000,2592000,,-3370000,,,-7683000,103230000,,10179000,4354000,191714000,989748000,31908000.0,64345000.0,6875000,,,,537828000.0,1150746000,1243608000,639792000,5825000,5768000,,,,103230000.0,12966000,,,869361000,5768000,65682000,,-46601000,17226000.0,11291000,-689000,135249000,2542000,-6119000.0,,,
2000-03-31,,-632000.0,0.215,52716000.0,350835000,38254000.0,,131912000,,11032000,,,11032000,103980000.0,,11291000,350835000,-923000.0,0,166838000,1962000,34926000,76462000,-18842000,49974000,-549009000.0,52716000.0,14535000,1538579000.0,,311423000,97197000,-259000,,22695000,,-113000.0,-2998000,173430000,,20154000,8883000,195852000,989570000,34013000.0,68948000.0,3853000,,,,490066000.0,1232107000,1329304000,-520153000,11271000,11271000,,0.215,,173430000.0,13260000,-79942000.0,,948382000,11271000,146049000,,-99416000,17217000.0,11032000,-744000,166838000,-1220000,-6080000.0,,,
2000-06-30,,8538000.0,0.195,52792000.0,357380000,,,111573000,,7008000,,,7008000,89669000.0,,11032000,357380000,367000.0,0,143723000,997000,32150000,-9715000,-22537000,46941000,-549009000.0,52792000.0,13393000,1550054000.0,,285544000,86028000,-4024000,,20083000,,-820000.0,-2829000,164456000,,16938000,6598000,200110000,1001045000,31419000.0,61345000.0,-2454000,,,,502405000.0,1236151000,1322179000,649212000,10340000,10340000,,0.195,,164456000.0,13853000,-393000.0,,934756000,10340000,137549000,,-14392000,17675000.0,7008000,-743000,143723000,-92000,-6081000.0,,,
2000-09-30,,-1564000.0,0.0975,52828000.0,358384000,,,100992000,,10777000,,,10777000,100280000.0,,7008000,358384000,1312000.0,0,127482000,929000,26490000,-4877000,-20088000,38218000,-549009000.0,52828000.0,6238000,1560992000.0,,297139000,85331000,3769000,,30300000,,372000.0,18480000,165317000,,10776000,5566000,199239000,1011983000,31542000.0,57284000.0,10212000,,,,502021000.0,1250993000,1336324000,649883000,5210000,5210000,,0.0975,,165317000.0,14326000,-2000.0,,947022000,5210000,138451000,,-21654000,17270000.0,10777000,-743000,127482000,774000,-6081000.0,,,
2000-12-31,,-9381000.0,,,412140000,,,126698000,,18432000,,,18432000,130750000.0,,10777000,412140000,1163000.0,0,146532000,51462000,19834000,88978000,-96185000,31031000,-579787000.0,,7567000,1694198000.0,,208101000,111963000,7655000,,27375000,,-1021000.0,7741000,46327000,,6525000,-3414000,201683000,1114411000,31024000.0,76800000.0,-68810000,,,,728350000.0,1366633000,1478596000,826853000,9939000,9939000,,,,46327000.0,15426000,-1178000.0,,1034954000,9939000,148699000,,-108698000,16731000.0,18432000,1494000,146532000,4009000,-7495000.0,,,
2001-03-31,,-6198000.0,0.2125,59344000.0,423274000,35431000.0,,143685000,,12799000,,,12799000,114674000.0,,18432000,423274000,4456000.0,0,180238000,2278000,36553000,109998000,-18502000,54192000,-579787000.0,59344000.0,16218000,1802624000.0,,313298000,117935000,-5633000,,11063000,,657000.0,-18364000,167144000,,19513000,6961000,207246000,1222837000,31480000.0,86561000.0,-7439000,,,,680222000.0,1483312000,1601247000,-714554000,12552000,12552000,,0.21,,167144000.0,15677000,-20000.0,,1143641000,12552000,148416000,,-126495000,18575000.0,12799000,-744000,180238000,309000,-6989000.0,,,
2001-06-30,,4345000.0,0.265,59408000.0,430464000,,,119480000,,17613000,,,17613000,89343000.0,,12799000,430464000,1808000.0,6425000,157780000,1041000,38300000,-1752000,-25852000,55278000,-579787000.0,59408000.0,13308000,1773219000.0,,252467000,120595000,4814000,,17499000,,4767000.0,-16082000,161898000,,23956000,8169000,216043000,1193432000,1226000.0,81111000.0,-8353000,,,,684947000.0,1397045000,1517640000,801069000,15787000,15787000,,0.265,,161898000.0,15980000,-239000.0,,1053536000,15787000,88723000,,-11124000,15446000.0,17613000,2405000,157780000,-505000,-6990000.0,,,
2001-09-30,,-651000.0,0.1975,59464000.0,443208000,,,102840000,,12171000,,,12171000,97547000.0,,17613000,443208000,4863000.0,484000,137636000,1463000,34796000,10747000,-59314000,49011000,-579787000.0,59464000.0,12512000,1840061000.0,,294624000,97132000,-5442000,,38770000,,1254000.0,10532000,197035000,,17862000,6158000,224269000,1260274000,42000.0,67377000.0,-20544000,,,,674496000.0,1465750000,1562882000,789522000,11704000,11704000,,0.1975,,197035000.0,14876000,-462000.0,,1084146000,11704000,89194000,,-54921000,17100000.0,12171000,-744000,137636000,419000,-6990000.0,,,
2001-12-31,,-1219000.0,,,448929000,,,123296000,0.0,14285000,,,14285000,122776000.0,,12171000,448929000,5380000.0,321000,154344000,2364000,31048000,22452000,-45787000,44946000,-622104000.0,,9992000,1906699000.0,,273313000,134935000,2114000,,26783000,,5529000.0,-1823000,150526000,,13035000,3869000,227109000,1284595000,11000.0,102156000.0,-19004000,,,,796092000.0,1489817000,1624752000,866375000,9166000,9887000,,,,150526000.0,18600000,-180000.0,,1139688000,9887000,89160000,,-47186000,18173000.0,14285000,-1464000,154344000,242000,-7047000.0,,,
2002-03-31,,-2749000.0,0.25,60276000.0,461715000,32838000.0,,139994000,,16091000,,,16091000,122877000.0,,14285000,461715000,5438000.0,321000,182756000,4166000,42762000,42213000,-47249000,60525000,-622104000.0,60276000.0,17691000,1936134000.0,,300070000,147322000,1806000,,19644000,,190000.0,-13231000,177182000,,24451000,9457000,235672000,1314030000,11000.0,114229000.0,-27605000,,,,765778000.0,1535585000,1682907000,-802102000,14994000,14994000,,0.2475,,177182000.0,16815000,-10352000.0,,1184868000,14994000,99416000,,-60209000,16681000.0,16091000,-744000,182756000,-845000,-7023000.0,,,
2002-06-30,,-2030000.0,0.2625,63044000.0,562370000,,,120859000,,64031000,,,64031000,115747000.0,,16091000,562370000,1397000.0,321000,166565000,96004000,45706000,84211000,-62592000,62591000,-622104000.0,63044000.0,16145000,1967957000.0,,249742000,186748000,47940000,,31204000,,-363000.0,-1123000,133984000,,26742000,10197000,244365000,1345853000,11000.0,106204000.0,-31388000,,,,791843000.0,1573287000,1760035000,912104000,16545000,16545000,,0.26,,133984000.0,17190000,-1989000.0,,1161846000,16545000,101434000,,-66611000,16192000.0,64031000,-744000,166565000,1833000,-7852000.0,,,
2002-09-30,,76000.0,0.2625,68528000.0,578454000,,,123048000,,37805000,,,37805000,131846000.0,,64031000,578454000,6034000.0,0,169927000,1858000,46879000,6520000,-42866000,61840000,-662104000.0,68528000.0,15035000,2073162000.0,,260406000,175578000,-26226000,,44374000,,1235000.0,10477000,128560000,,27016000,9027000,253954000,1411058000,,121735000.0,1508000,,,,855874000.0,1685538000,1861116000,982965000,17989000,17989000,,0.2625,,128560000.0,17656000,7000.0,,1243371000,17989000,122734000,,-77461000,16038000.0,37805000,-744000,169927000,2677000,-8400000.0,,,
2002-12-31,,181000.0,,,584453000,,,158443000,,26258000,,24360000.0,26258000,145236000.0,,37805000,584453000,6228000.0,0,196218000,55000,37775000,93029000,-76123000,53542000,-715097000.0,,9327000,2221386000.0,,334467000,180122000,-11547000,,39200000,,2186000.0,9062000,181569000,,17531000,3807000,257776000,1506289000,7662000.0,136072000.0,-36923000,,,,942300000.0,1806877000,1986999000,1028124000,13724000,13724000,,,,181569000.0,25566000,58000.0,,1362591000,13724000,116158000,,-144443000,17792000.0,26258000,-504000,196218000,1771000,-9900000.0,,,
2003-03-31,,-5015000.0,0.29,68980000.0,592213000,84577000.0,,183019000,,28165000,,24682000.0,28165000,155889000.0,,26258000,592213000,-1122000.0,0,235429000,3971000,52410000,86504000,-33383000,72561000,-715097000.0,68980000.0,17646000,2214599000.0,,435625000,210055000,1907000,,24863000,,-253000.0,-13140000,272074000,,31496000,11535000,268767000,1499502000,7662000.0,164091000.0,-8520000,,,,927405000.0,1869670000,2079725000,-965716000,19961000,19961000,,0.285,,272074000.0,20265000,-70356000.0,,1449201000,19961000,184699000,,-108338000,17799000.0,28165000,0,235429000,641000,-8970000.0,,,
2003-06-30,,-2688000.0,0.3,69184000.0,723240000,,,151287000,,34222000,,25799000.0,34222000,131012000.0,,28165000,723240000,-7329000.0,0,205582000,124129000,54295000,16383000,-33371000,69090000,-715097000.0,69184000.0,15958000,2216248000.0,,285771000,193627000,6057000,,36386000,,748000.0,-2650000,145788000,,32754000,11958000,280593000,1501151000,8971000.0,142221000.0,3015000,,,,934438000.0,1873561000,2067188000,1022368000,20796000,20796000,,0.2975,,145788000.0,20007000,-673000.0,,1308139000,20796000,178147000,,-45485000,17184000.0,34222000,-560000,205582000,-819000,-8970000.0,,,
2003-09-30,,-9618000.0,0.2625,69332000.0,733980000,,,140686000,,79150000,,30327000.0,79150000,142652000.0,,34222000,733980000,-7204000.0,0,191445000,1432000,50759000,51040000,-50746000,65154000,-715097000.0,69332000.0,11655000,2254431000.0,,266061000,227140000,44928000,,54328000,,2715000.0,19058000,117627000,,26614000,8500000,289627000,1539334000,5782000.0,131011000.0,3582000,,,,1023177000.0,1925726000,2152866000,1115962000,18114000,18114000,,0.2575,,117627000.0,21358000,0.0,,1382023000,18114000,181460000,,-60352000,16979000.0,79150000,-1688000,191445000,1841000,-9079000.0,,,
2003-12-31,,-2165000.0,,,737657000,,,167271000,,65094000,,41851000.0,65094000,153566000.0,,79150000,737657000,-10843000.0,0,210624000,1760000,43353000,35676000,-90240000,56765000,-712348000.0,,12270000,2321825000.0,,297277000,211815000,-14056000,,45057000,,1917000.0,13259000,142649000,,21003000,6243000,294986000,1609477000,1062000.0,130251000.0,-45183000,,,,1031358000.0,1998766000,2210581000,1138877000,14760000,14760000,,,,142649000.0,29279000,0.0,,1436154000,14760000,178511000,,-93831000,16470000.0,65094000,-1704000,210624000,-1842000,-9401000.0,,,
2004-03-31,,-692000.0,0.29,69785100.0,800513000,86653000.0,,198030000,,44809000,,37221000.0,44809000,141927000.0,,65094000,800513000,-9803000.0,0,250793000,49004000,52763000,-15822000,-28034000,72195000,-712348000.0,69785100.0,17259000,2332267000.0,,240820000,202825000,-20285000,,23940000,,-2860000.0,-13236000,87732000,,28771000,8490000,305822000,1619919000,1176000.0,141074000.0,-4094000,,,,1030674000.0,2010795000,2213620000,-1068012000,20281000,20281000,,0.28,,87732000.0,21496000,,,1375769000,20281000,174677000,,-28723000,16942000.0,44809000,-2118000,250793000,528000,-11563000.0,,,
2004-06-30,,3529000.0,0.305,78379920.0,1150655000,,,188513000,,51112000,,20583000.0,51112000,214340000.0,,44809000,1150655000,-8824000.0,38688000,254513000,332296000,66000000,756966000,-51102000,91240000,-712348000.0,78379920.0,25337000,3432653000.0,,1365291000,276902000,6303000,,50554000,,2141000.0,-4844000,1094833000,,36928000,12982000,316904000,2720305000,42101000.0,158274000.0,-548000,,,,1177902000.0,3603004000,3879906000,1327060000,23946000,23946000,,0.2875,,1094833000.0,25098000,,,2692351000,23946000,204622000,,-801918000,28828000.0,51112000,-2312000,254513000,926000,-15175000.0,,,
