date,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyBasicAverageShares,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyNetPPE,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyNetIncomeCommonStockholders,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyInterestExpense,quarterlyCashAndCashEquivalents,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCommonStockIssuance,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyGrossPPE,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyDeferredIncomeTax,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyOtherIntangibleAssets,quarterlyAccumulatedDepreciation,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyRepaymentOfDebt,quarterlyInvestingCashFlow,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInAccountPayable,quarterlyStockBasedCompensation,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyIncomeTaxPayable
2009-03-31,,,611000000.0,,,,24611000000,,,-2605000000,,,,-9390000000,,,,-63000000,,9314000000,-1566000000,-10956000000,-9.78,22431000000,,-960000000,-4831000000,-5975000000,-4677000000,,,1230000000,,,-114000000,,,,,,-166000000,14053000000,,,,-6061000000,82000000,,,,,,,611000000.0,,-579000000,11448000000,-969000000,-2315000000,2497000000,0,-5899000000,-5975000000,-9.78,,,2497000000,,-2180000000,,,,,,,,
2009-06-30,,,,,,,29384000000,,,5922000000,,,,-5696000000,,,,-7451000000,,12411000000,-1568000000,-7264000000,,23047000000,,-126000000,-10305000000,-12905000000,-10427000000,,,3375000000,,,-445000000,,,,,,672000000,11448000000,,,,-13680000000,103000000,,,,,,,,,-286000000,17370000000,-64000000,-1214000000,4090000000,0,-13237000000,-12905000000,,,,2936000000,,-6337000000,,,,,,,,
2009-09-30,,,,,,,25373000000,,,7999000000,,,,-258000000,,,,-425000000,,25873000000,-1264000000,-1522000000,,26784000000,,-65000000,127791000000,127090000000,-1994000000,,,1188000000,,,-746000000,,,,,,-18275000000,17370000000,,,,126603000000,0,,,,,,,,,129312000000,25092000000,-2420000000,-17951000000,3405000000,-41000000,127568000000,127140000000,,,,3364000000,,1411000000,,,,,,,,
2009-12-31,7768000000.0,30672000000.0,,22288000000.0,77048000000.0,136295000000.0,32827000000,61903000000.0,270000000.0,-2299000000,1201000000.0,134000000.0,52435000000.0,-1895000000,-4394000000.0,,59247000000.0,53616000000,3055000000.0,-3024000000,-981000000,-2876000000,,32327000000,18687000000.0,-118000000,-4040000000,-3520000000,-3837000000,,18725000000.0,329000000,22679000000.0,,-861000000,10221000000.0,22813000000.0,,,1588000000.0,7100000000,25092000000,3115000000.0,15000000.0,19972000000.0,-4369000000,171000000,,,,14547000000.0,-1285000000.0,114338000000.0,,10107000000.0,-189000000,22679000000,737000000,2502000000,3337000000,-56000000,-3215000000,-3439000000,,5562000000.0,9425000000.0,3370000000,21249000000.0,-500000000,,13279000000.0,,,,,,
2010-03-31,8694000000.0,30487000000.0,500000000.0,22755000000.0,75664000000.0,136021000000.0,27591000000,60930000000.0,0.0,651000000,60000000.0,153000000.0,52038000000.0,1746000000,-3529000000.0,,60357000000.0,0,4625000000.0,-1688000000,-755000000,991000000,1.66,31476000000,18432000000.0,-138000000,1639000000,865000000,1201000000,,20450000000.0,337000000,23310000000.0,,509000000,8773000000.0,23463000000.0,,,1713000000.0,1329000000,22659000000,2319000000.0,5000000.0,,1302000000,76000000,,,,13690000000.0,,112968000000.0,522000000.0,11192000000.0,-47000000,23310000000,-1602000000,646000000,2684000000,-203000000,1196000000,1068000000,1.73,5401000000.0,8430000000.0,2684000000,22239000000.0,3885000000,,13245000000.0,,,,,,
2010-06-30,8934000000.0,30186000000.0,500000000.0,24068000000.0,74092000000.0,131899000000.0,28609000000,57651000000.0,0.0,3052000000,0.0,4761000000.0,50347000000.0,3949000000,-2195000000.0,,57807000000.0,-444000000,4684000000.0,-6103000000,-1096000000,2853000000,2.555556,33174000000,18106000000.0,-4711000000,1812000000,1334000000,1903000000,,20755000000.0,250000000,26773000000.0,,361000000,5524000000.0,31534000000.0,,,1153000000.0,11618000000,23310000000,3008000000.0,5000000.0,,1562000000,87000000,,,,12820000000.0,,107998000000.0,522000000.0,11533000000.0,-91000000,26773000000,-5774000000,5764000000,2662000000,-202000000,1612000000,1536000000,2.668,2637000000.0,8296000000.0,2662000000,23015000000.0,4565000000,,13377000000.0,,,,,,
2010-09-30,9004000000.0,30556000000.0,1500000000.0,24811000000.0,75654000000.0,137238000000.0,29587000000,60951000000.0,0.0,693000000,0.0,6010000000.0,52569000000.0,2624000000,-236000000.0,,61584000000.0,-313000000,4837000000.0,-158000000,-1261000000,1363000000,1.306,34060000000,19116000000.0,-3904000000,2110000000,1959000000,1733000000,,22137000000.0,263000000,27466000000.0,,-25000000,5621000000.0,33476000000.0,,,-1073000000.0,-95000000,26773000000,2942000000.0,15000000.0,,1847000000,2659000000,,,,12454000000.0,,113520000000.0,1500000000.0,13044000000.0,0,27466000000,140000000,-2264000000,2740000000,-203000000,2223000000,2162000000,1.306,2945000000.0,8691000000.0,2740000000,22747000000.0,4473000000,,13322000000.0,,,,,,
2010-12-31,8699000000.0,31778000000.0,,23419000000.0,85845000000.0,138898000000.0,32974000000,54582000000.0,1231000000.0,-6210000000,0.0,5555000000.0,47157000000.0,-1539000000,266000000.0,,53053000000.0,798000000,5916000000.0,-1821000000,-1088000000,-2627000000,,36882000000,19235000000.0,-3564000000,1274000000,510000000,324000000,,21497000000.0,248000000,21061000000.0,,-173000000,1616000000.0,26616000000.0,,,1251000000.0,1102000000,27466000000,2568000000.0,10406000000.0,22512000000.0,1026000000,4049000000,,,,11882000000.0,-3277000000.0,101739000000.0,,12125000000.0,197000000,21256000000,-5816000000,-2913000000,3584000000,-964000000,1472000000,1406000000,,9142000000.0,8529000000.0,3699000000,36180000000.0,3908000000,,13021000000.0,,,,,,
2011-03-31,13326000000.0,30017000000.0,1504000000.0,25200000000.0,82897000000.0,145846000000.0,31850000000,55078000000.0,430000000.0,52000000,0.0,8618000000.0,51682000000.0,-377000000,1951000000.0,,62949000000.0,-18000000,1986000000.0,207000000,-1322000000,-1699000000,1.77,36194000000,19944000000.0,-7444000000,1553000000,3151000000,1344000000,,24739000000.0,149000000,20975000000.0,,137000000,1743000000.0,29593000000.0,,-100000000.0,1494000000.0,-423000000,21256000000,3099000000.0,10406000000.0,,1404000000,4421000000,,-1000000.0,,11488000000.0,,106760000000.0,1817000000.0,13991000000.0,-395000000,21308000000,-1714000000,39000000,3000000000,-221000000,3411000000,3366000000,2.09,10741000000.0,6937000000.0,3000000000,38198000000.0,4344000000,,12851000000.0,,,,,,
2011-06-30,12152000000.0,30046000000.0,1505000000.0,26409000000.0,84431000000.0,150415000000.0,33979000000,54535000000.0,886000000.0,-311000000,0.0,12298000000.0,53848000000.0,5064000000,4729000000.0,,65984000000.0,-39000000,2243000000.0,-287000000,-1172000000,3892000000,1.54,39373000000,20989000000.0,-8251000000,2749000000,2524000000,2451000000,,25412000000.0,155000000,20471000000.0,,-61000000,2027000000.0,32769000000.0,,0.0,1571000000.0,212000000,21308000000,4180000000.0,10406000000.0,,2594000000,4016000000,,-7000000.0,,11083000000.0,,108383000000.0,1654000000.0,14105000000.0,-10000000,20997000000,-3135000000,-5226000000,2943000000,-214000000,3037000000,2992000000,1.68,9994000000.0,7160000000.0,2943000000,41118000000.0,5394000000,,12887000000.0,,,,,,
