date,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyTaxProvision,quarterlyCashAndCashEquivalents,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyDilutedAverageShares,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyDilutedEPS,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyBasicAverageShares,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyCashDividendsPaid
2003-06-30,17492000,105550000,,,,,,,73382000,,,,,,,,,,,,,,,,17492000,,,,,,,,,,176306000,514223749.0,,,,,,,,,,,176306000,311199000,,32168000,0.060058,,,32168000,32168000,0.120116,,271157265.0,,,117401000,,,,,,,,,,193798000,,,766000,,,
2004-03-31,35019000,155623000,,,,,,,91650000,,,,,,,,,,,,,,,,35019000,,,,,,,,,,301206000,532592284.0,,,,,,,,,,,301206000,651623000,,63973000,0.120116,,,63973000,63973000,0.210203,,304338448.0,,,315398000,,,,,,,,,,336225000,,,0,,,
2004-06-30,-155419000,169460000,,103755000.0,,80025000.0,,548687000.0,90397000,254698000.0,320718000.0,,3751000.0,,1498000.0,,-73582000.0,,21660000.0,394300000.0,,,,,45762000,,,,,,0.0,-354296000.0,61830000.0,,529254000,532010514.0,252257000.0,881889000.0,,,157115000.0,58766000.0,293989000.0,334388000.0,,446133000.0,529254000,700212000,311023000.0,79063000,0.150145,1328022000.0,,79063000,79063000,0.255247,16111000.0,310581066.0,0.0,191187000.0,326377000,168420000.0,,,1016999000.0,,,,,42199000.0,373835000,18256000.0,,-358296000,,,
2004-09-30,432676000,14978000,,145475000.0,254698000.0,273000.0,,1858356000.0,-37005000,344469000.0,362609000.0,,3026000.0,-77632000.0,,0.0,-73582000.0,1162001000.0,20223000.0,436191000.0,,238343000.0,,1186426000.0,57409000,,89771000.0,-268918000.0,1163119000.0,,0.0,-294920000.0,49557000.0,,52438000,548938113.0,274470000.0,2360211000.0,,41326000.0,174267000.0,25025000.0,1513887000.0,386371000.0,-2411227000.0,528307000.0,11112000,805887000,299495000.0,51983000,0.095092,2888518000.0,160711000.0,51983000,51983000,0.125121,24962000.0,409617106.0,0.0,233057000.0,362099000,199999000.0,344469000.0,-1309728000.0,2589023000.0,0.0,,,,,443788000,21888000.0,,-201000000,,,
2004-12-31,274923000,310173000,,193887000.0,344469000.0,267000.0,,2132297000.0,106073000,426873000.0,378916000.0,,1902000.0,-59080000.0,,0.0,-204152000.0,290000.0,35493000.0,583068000.0,,368097000.0,,1062744000.0,87442000,,82404000.0,-4986000.0,1476000.0,,0.0,-244034000.0,32672000.0,,355259000,,340368000.0,2693465000.0,,52460000.0,187481000.0,43927000.0,1705424000.0,590471000.0,-1252268000.0,619886000.0,302799000,1031501000,384295000.0,204100000,,3313351000.0,309017000.0,204100000,204100000,,,,0.0,311836000.0,453779000,269286000.0,426873000.0,-296634000.0,2929056000.0,-36906000.0,,,,,577722000,36508000.0,,0,,,
2005-03-31,268538000,456456000,,186251000.0,426873000.0,271000.0,,2507298000.0,87263000,482572000.0,474829000.0,,1310000.0,-142391000.0,,0.0,-204152000.0,3505000.0,45282000.0,678981000.0,,529622000.0,,835223000.0,79412000,,55699000.0,-22049000.0,4097000.0,,0.0,-206204000.0,75444000.0,,498963000,572669119.0,393328000.0,3158474000.0,,56193000.0,189126000.0,45009000.0,2024726000.0,959664000.0,-1160160000.0,706725000.0,442770000,1256516000,438337000.0,369193000,0.645625,3865199000.0,387231000.0,369193000,369193000,0.695673,,531696818.0,0.0,371905000.0,545208000,275180000.0,482572000.0,-472328000.0,3426862000.0,-5000000.0,,,,,711308000,41394000.0,,0,,,
2005-06-30,311702000,495420000,,216604000.0,482572000.0,273000.0,,2947967000.0,152606000,753472000.0,576597000.0,,291000.0,-157463000.0,,0.0,-204152000.0,7956000.0,55307000.0,780749000.0,,624619000.0,,526672000.0,95772000,,270900000.0,48752000.0,8975000.0,,0.0,-186289000.0,105572000.0,,542627000,573919907.0,448370000.0,3649210000.0,,66929000.0,215930000.0,95491000.0,2194495000.0,1302478000.0,-693506000.0,848508000.0,475698000,1384495000,543861000.0,342814000,0.595577,4497718000.0,467156000.0,342814000,342814000,0.635615,51311000.0,540933868.0,0.0,419238000.0,597095000,294590000.0,753472000.0,-348499000.0,3953857000.0,-5000000.0,,,,44180000.0,787400000,47917000.0,,0,,,
2005-09-30,395459000,549968000,,228603000.0,753472000.0,290000.0,,7630147000.0,168786000,5518569000.0,803078000.0,,10000.0,-292532000.0,,0.0,-370038000.0,4308293000.0,36635000.0,1173116000.0,,646747000.0,,3265317000.0,151721000,,4765097000.0,46942000.0,4308095000.0,,26090000.0,-125369000.0,87346000.0,,605136000,578785193.0,559848000.0,8382685000.0,,75965000.0,243738000.0,98085000.0,2111578000.0,1683660000.0,-3139329000.0,1068316000.0,529171000,1578456000,657933000.0,381182000,0.660639,9451001000.0,354215000.0,381182000,381182000,0.695673,61034000.0,549727348.0,0.0,541815000.0,653826000,390748000.0,5518569000.0,-189090000.0,8793068000.0,0.0,,,,37051000.0,924630000,55654000.0,,0,,,
2005-12-31,574072000,639833000,,277683000.0,5518569000.0,293000.0,,8034247000.0,267625000,3877174000.0,961749000.0,,,-245831000.0,,0.0,-455676000.0,51076000.0,31310000.0,1417425000.0,,658434000.0,,5630002000.0,157072000,,-1641395000.0,-29905000.0,51088000.0,,27774000.0,-114996000.0,115575000.0,,664364000,,745384000.0,9001071000.0,,94725000.0,327000000.0,107472000.0,4157073000.0,2055868000.0,-7682885000.0,1270742000.0,569639000,1919092000,852856000.0,372208000,,10271813000.0,412603000.0,372208000,372208000,,72053000.0,,0.0,687976000.0,775381000,528936000.0,3877174000.0,-2348276000.0,9418957000.0,10000000.0,,,,35419000.0,1143711000,73099000.0,,0,,,
2006-03-31,606937000,810618000,,160573000.0,3877174000.0,295000.0,,8429028000.0,218327000,2935179000.0,1209681000.0,,,-344938000.0,,77285000.0,-539887000.0,119896000.0,49853000.0,1749568000.0,,824804000.0,,11755756000.0,246599000,,-941995000.0,2691000.0,42611000.0,,211560000.0,-10363000.0,145911000.0,,853857000,607657217.0,980024000.0,9555957000.0,,111158000.0,360338000.0,71578000.0,5493849000.0,2648159000.0,-13111471000.0,1738913000.0,742699000,2253755000,1051602000.0,592291000,0.975945,11294870000.0,479866000.0,592291000,592291000,1.010979,,587223017.0,0.0,844378000.0,904119000,542381000.0,2935179000.0,-1888617000.0,10243268000.0,0.0,318806000.0,,,,1349636000,80172000.0,,0,,,
