date,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyRepaymentOfDebt,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyNetOtherInvestingChanges,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyBasicAverageShares,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyNetPPE,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyTotalAssets,quarterlySellingGeneralAndAdministration,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyDeferredIncomeTax,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentAccruedExpenses
2010-09-30,350140000,,,,-39407000.0,,-2514000,-81850000,,,,,,,3017000.0,,,,,,9061000,42967000,-25895000,,,193123000,66767000,-109387000,,,-109267000,-50022000,,39734000,,,,,,-52891000,,9778000,,,-75917000,,11817000,,,,232006000,,,,,,29956000,30613000,,,,,,-25742000,254495000,30613000,,-14845000.0,,9974000,14949000,,-38883000,,,,
2010-12-31,254495000,0.0,693040000.0,,,78299000.0,-3810000,374379000,,,79141000.0,252595000.0,239649000.0,,-2610000.0,,0.0,160678000.0,352871000.0,,-28685000,39044000,-28356000,,,251907000,34616000,-1104000,18236000.0,-222164000.0,66734000,32405000,0.0,29198000,1144082000.0,656295000.0,4172000.0,423126000.0,2254000.0,-39576000,434131000.0,9717000,115513000.0,12946000.0,4049000,,12525000,189448000.0,744900000.0,224355000.0,-161516000,0.0,1888982000.0,,660651000.0,12562000.0,19481000,18492000,758466000.0,0.0,188355000.0,,,-24180000,239649000,18492000,1181592000.0,,8133000.0,0,-6000000,527865000.0,413423000,,,,
2011-03-31,239649000,,,441590625.0,-2181000.0,,-10728000,67206000,-14249000.0,,,,,,46000.0,0.07619,,,,11486000.0,-72254000,52316000,-16274000,441590625.0,26107000.0,261432000,72540000,-59880000,,,50360000,43643000,0.0,46575000,,,,,,-22336000,,13437000,,,27369000,0.07619,12441000,,,,141910000,,,55720000.0,,,33138000,33645000,,,,-1509000.0,13524000.0,-17300000,179769000,33645000,,-10838000.0,,-84112000,7193000,,119522000,,,,
2011-06-30,179769000,114914000.0,1500653000.0,503160000.0,-64780000.0,,11480000,150006000,,,,603046000.0,583792000.0,,-1181000.0,-0.028571,13344000.0,292011000.0,-91640000.0,18679000.0,2018126000,16413000,-36564000,503160000.0,,373909000,37122000,404023000,98138000.0,-221885000.0,-8266000,-26949000,,-20615000,2109666000.0,861620000.0,27227000.0,962930000.0,,-42823000,639735000.0,-6090000,539057000.0,19254000.0,-63513000,-0.028571,15715000,,3234553000.0,405450000.0,207490000,,5344219000.0,131327000.0,2642944000.0,74215000.0,-14525000,-14376000,2867695000.0,41667000.0,509726000.0,-1613908000.0,42022000.0,-1582939000,583792000,-14376000,3830625000.0,12339000.0,3546000.0,2029984000,3823000,997826000.0,166419000,,,,
2011-09-30,583792000,114914000.0,1596238000.0,643755000.0,36128000.0,,7307000,149840000,,,,187158000.0,162615000.0,,76707000.0,0.038095,13636000.0,,549103000.0,28222000.0,-436638000,114697000,-52421000,643755000.0,,570199000,135130000,-428507000,433833000.0,,-26279000,44264000,,35513000,1679898000.0,,,555483000.0,,-11037000,868331000.0,10448000,43793000.0,24543000.0,-8157000,0.038095,31609000,,3806826000.0,,305662000,,5486724000.0,121618000.0,,494332000.0,25065000,24524000,3332631000.0,170672000.0,,,68008000.0,-54317000,162615000,24524000,3888114000.0,-54923000.0,,-1947998000,-12238000,997024000.0,264537000,,,,
2011-12-31,162615000,117882000.0,1662507000.0,,,1008307000.0,-1150000,685090000,,,538441000.0,357490000.0,340586000.0,,-69796000.0,,9395000.0,280722000.0,627074000.0,,-34262000,93343000,-54640000,,,590073000,128033000,185301000,101993000.0,-275433000.0,159778000,159270000,-2830000.0,18550000,1929215000.0,1051302000.0,4691000.0,646077000.0,0.0,24917000,775869000.0,12000000,50307000.0,16904000.0,104630000,,30874000,1895101000.0,3878503000.0,408263000.0,-188360000,0.0,5807718000.0,,2809225000.0,137929000.0,6550000,6514000,3496647000.0,3555000.0,147789000.0,,,35830000,340586000,6514000,4142724000.0,,6756000.0,-282622000,-2887000,1030341000.0,778433000,,,,
2012-03-31,340586000,117882000.0,1682267000.0,675290000.0,-23074000.0,971901000.0,12704000,160119000,-170077000.0,,,194135000.0,164968000.0,,-76000.0,0.1,26128000.0,302285000.0,-10136000.0,28334000.0,-197948000,171070000,-38049000,675290000.0,2209000.0,666682000,215895000,-175618000,67327000.0,-288447000.0,31654000,79803000,-2000.0,102889000,1772920000.0,1060960000.0,10533000.0,660812000.0,,-48581000,772513000.0,35380000,686095000.0,29167000.0,41754000,0.1,31570000,1836684000.0,3770105000.0,409162000.0,335493000,,5543025000.0,131785000.0,2563695000.0,80841000.0,67509000,67529000,3197485000.0,0.0,184689000.0,-12009000.0,81436000.0,-50134000,164968000,67529000,3858297000.0,-33290000.0,12793000.0,-30078000,10850000,996178000.0,331189000,,,,
2012-06-30,164968000,117882000.0,1831277000.0,692653500.0,6344000.0,1038977000.0,1063000,166993000,-44719000.0,,,341583000.0,314640000.0,,16449000.0,0.095238,15514000.0,277635000.0,72410000.0,30368000.0,-47819000,167825000,-40513000,692653500.0,21028000.0,650023000,202470000,149672000,71135000.0,-315633000.0,178359000,134727000,0.0,101468000,1896772000.0,1138884000.0,31770000.0,677890000.0,,-18642000,823251000.0,35527000,703343000.0,26943000.0,94214000,0.095238,32019000,1950389000.0,4015645000.0,413466000.0,315205000,,5912417000.0,136625000.0,2702437000.0,100442000.0,65941000,65967000,3396693000.0,0.0,208115000.0,4367000.0,68983000.0,48740000,314640000,65967000,4074583000.0,-25187000.0,16131000.0,-24128000,2626000,1032953000.0,334818000,,,,
2012-09-30,314640000,117882000.0,1849945000.0,670393500.0,61331000.0,1000746000.0,-10376000,162302000,-30844000.0,,,401395000.0,400600000.0,,17283000.0,0.095238,15708000.0,268966000.0,27231000.0,31667000.0,-27280000,171563000,-42215000,670393500.0,142000.0,642811000,202600000,85960000,89725000.0,-320899000.0,-114523000,133641000,0.0,96821000,1921424000.0,1129959000.0,47618000.0,641208000.0,,26874000,809060000.0,34153000,816406000.0,795000.0,91426000,0.095238,33738000,1905820000.0,3915897000.0,377018000.0,308946000,,5837321000.0,130635000.0,2637079000.0,114027000.0,62668000,63847000,3341991000.0,0.0,184444000.0,-1500000.0,72041000.0,-14009000,400600000,63847000,3983199000.0,-23595000.0,20566000.0,3422000,-2701000,1024792000.0,333865000,,,,
2012-12-31,400600000,117882000.0,1876768000.0,,-343000.0,969095000.0,11118000,180101000,-35656000.0,,453846000.0,473327000.0,473327000.0,,-33656000.0,,0.0,228405000.0,614905000.0,34074000.0,-32283000,149626000,-45351000,,-18194000.0,661428000,149938000,72727000,6243000.0,-332937000.0,150872000,158947000,-5192000.0,86770000,1934564000.0,1143044000.0,5679000.0,592865000.0,,-3268000,810107000.0,27511000,256686000.0,0.0,113596000,,31799000,1869899000.0,3692910000.0,366022000.0,331701000,,5627474000.0,146027000.0,2568396000.0,17171000.0,59259000,59343000,3153868000.0,8623000.0,184998000.0,,31369000.0,-49032000,473327000,59343000,3746733000.0,-14667000.0,5967000.0,1032000,-471000,998644000.0,329727000,,,,
