date,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyStockBasedCompensation,quarterlyPretaxIncome,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyAccumulatedDepreciation,quarterlySellingGeneralAndAdministration,quarterlyEndCashPosition,quarterlyTotalRevenue,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyOtherNonCurrentAssets,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyEbitda,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables
2008-09-30,,-5000000.0,-18000000,,-13000000.0,-10000000,217000000,-17000000.0,,,,,,100000000,,,93000000,-17000000.0,11000000,-188000000,,,55000000,437000000,942000000,,-49000000,117000000,,0,16000000,,,,137000000,,,,,,725000000,,,94000000,82000000,,,45000000,,,,,,0.0,2000000.0,-80000000,,,,137000000,178000000,,,2000000.0,,27000000,62000000,,-292000000,23000000,,,,513000000,,,
2008-12-31,0.0,-6000000.0,1000000,3564000000.0,19000000.0,-42000000,173000000,15000000.0,,,,,23000000.0,14000000,5412000000.0,,-171000000,-169000000.0,-28000000,-87000000,,-1796000000.0,97000000,428000000,886000000,,-94000000,159000000,,5000000,-161000000,170000000.0,204000000.0,1874000000.0,-140000000,1209000000.0,,6119000000.0,5062000000.0,120000000.0,713000000,274000000.0,,54000000,-143000000,,665000000.0,-40000000,1381000000.0,330000000.0,1057000000.0,-1000000.0,653000000.0,,-58000000.0,-9000000,3616000000.0,,0.0,-140000000,-85000000,2527000000.0,318000000.0,0.0,256000000.0,14000000,62000000,428000000.0,-8000000,24000000,38000000.0,-60000000.0,428000000.0,437000000,1000000.0,,
2009-03-31,,,-2000000,,0.0,-20000000,139000000,,,,0.11,,,21000000,,,25000000,-43000000.0,12000000,-181000000,128180193.0,,53000000,364000000,789000000,,-167000000,118000000,,72000000,20000000,,,,12000000,,0.11,,,,650000000,,,36000000,13000000,128086698.0,,-131000000,,,,,,,,-64000000,,,,12000000,106000000,,,0.0,,22000000,65000000,,-34000000,16000000,,,,428000000,,,
2009-06-30,0.0,,19000000,4874000000.0,-9000000.0,-20000000,158000000,,,,-0.34,,11000000.0,24000000,5412000000.0,,-73000000,13000000.0,-25000000,-33000000,145602119.0,-1796000000.0,69000000,968000000,847000000,,-46000000,134000000,,627000000,-86000000,134000000.0,224000000.0,1265000000.0,-50000000,670000000.0,-0.34,6739000000.0,5210000000.0,120000000.0,689000000,161000000.0,255000000.0,25000000,-48000000,145602119.0,595000000.0,-21000000,1345000000.0,438000000.0,1529000000.0,,574000000.0,,,604000000,3616000000.0,,0.0,-50000000,3000000,1839000000.0,291000000.0,1355000000.0,276000000.0,2000000,65000000,968000000.0,-5000000,11000000,17000000.0,-64000000.0,968000000.0,364000000,2000000.0,,
2009-09-30,0.0,0.0,-24000000,4902000000.0,80000000.0,-7000000,129000000,-23000000.0,,,0.03,,7000000.0,-5000000,5484000000.0,,8000000,-877000000.0,2000000,-65000000,168194482.0,-1867000000.0,66000000,1297000000,806000000,,-50000000,134000000,,234000000,28000000,134000000.0,224000000.0,1564000000.0,5000000,0.0,0.03,7054000000.0,5160000000.0,120000000.0,677000000,278000000.0,,160000000,6000000,168184196.0,1564000000.0,110000000,1350000000.0,460000000.0,1894000000.0,,562000000.0,0.0,17000000.0,329000000,3617000000.0,,0.0,5000000,92000000,2126000000.0,265000000.0,-13000000.0,274000000.0,14000000,69000000,1297000000.0,-8000000,15000000,12000000.0,-46000000.0,1297000000.0,968000000,2000000.0,,
2009-12-31,0.0,1000000.0,6000000,5016000000.0,2000000.0,-37000000,154000000,19000000.0,,,,,5000000.0,10000000,5527000000.0,,-10000000,-679000000.0,3000000,-148000000,,-1922000000.0,73000000,1327000000,889000000,,-62000000,144000000,,123000000,-6000000,133000000.0,223000000.0,1620000000.0,-12000000,0.0,,7155000000.0,5166000000.0,113000000.0,735000000,282000000.0,,55000000,-13000000,,1620000000.0,-7000000,1338000000.0,482000000.0,1989000000.0,0.0,495000000.0,127000000.0,17000000.0,30000000,3605000000.0,,0.0,-12000000,75000000,2115000000.0,196000000.0,0.0,284000000.0,0,71000000,1327000000.0,-92000000,14000000,12000000.0,-53000000.0,1327000000.0,1297000000,2000000.0,,
2010-03-31,599000000.0,,-111000000,5026000000.0,9000000.0,-28000000,160000000,,,,0.03,,,21000000,,,24000000,-3000000.0,17000000,-89000000,174003970.0,,69000000,1308000000,841000000,,-37000000,139000000,,-3000000,15000000,130000000.0,222000000.0,1625000000.0,5000000,0.0,0.03,7154000000.0,4992000000.0,,681000000,,,61000000,7000000,173963792.0,1625000000.0,24000000,1343000000.0,676000000.0,2162000000.0,,480000000.0,,1000000.0,-19000000,3454000000.0,,284000000.0,5000000,106000000,2105000000.0,196000000.0,0.0,262000000.0,2000000,70000000,1308000000.0,-56000000,12000000,,-49000000.0,1308000000.0,1327000000,2000000.0,,
2010-06-30,4000000.0,,91000000,5039000000.0,-9000000.0,21000000,183000000,,,,0.14,,6000000.0,59000000,,,19000000,-2000000.0,0,-259000000,174257957.0,,58000000,1179000000,889000000,,-53000000,124000000,,-2000000,-28000000,129000000.0,208000000.0,1546000000.0,25000000,0.0,0.14,7170000000.0,4959000000.0,113000000.0,706000000,294000000.0,,123000000,19000000,174118518.0,1546000000.0,70000000,1368000000.0,494000000.0,2211000000.0,,563000000.0,,,-129000000,3414000000.0,444000000.0,0.0,25000000,97000000,2109000000.0,204000000.0,0.0,279000000.0,83000000,66000000,1179000000.0,-380000000,12000000,59000000.0,-69000000.0,1623000000.0,1308000000,2000000.0,,
2010-09-30,18000000.0,,-3000000,5105000000.0,5000000.0,20000000,148000000,,,,0.17,,10000000.0,12000000,,,46000000,-3000000.0,17000000,-263000000,174230470.0,,68000000,1006000000,879000000,,-60000000,136000000,,-3000000,50000000,128000000.0,260000000.0,1484000000.0,30000000,0.0,0.17,7232000000.0,5032000000.0,113000000.0,731000000,294000000.0,,116000000,29000000,174149795.0,1484000000.0,56000000,1398000000.0,518000000.0,2200000000.0,,621000000.0,0.0,11000000.0,-173000000,3407000000.0,604000000.0,0.0,30000000,130000000,2105000000.0,225000000.0,0.0,282000000.0,1099000000,68000000,1006000000.0,-1319000000,16000000,92000000.0,-39000000.0,1610000000.0,1179000000,2000000.0,,
2010-12-31,18000000.0,,16000000,5118000000.0,-13000000.0,57000000,172000000,,,,,,,16000000,5437000000.0,,-1000000,-31000000.0,3000000,-25000000,,-1984000000.0,81000000,1110000000,918000000,,-370000000,156000000,,-31000000,-3000000,100000000.0,245000000.0,1516000000.0,6000000,0.0,,7243000000.0,5078000000.0,102000000.0,746000000,394000000.0,,150000000,-4000000,,1516000000.0,-220000000,1404000000.0,936000000.0,2165000000.0,,596000000.0,0.0,13000000.0,104000000,3453000000.0,524000000.0,0.0,6000000,88000000,2112000000.0,145000000.0,0.0,280000000.0,159000000,75000000,1110000000.0,-70000000,14000000,57000000.0,-38000000.0,1634000000.0,1006000000,2000000.0,,
2011-03-31,0.0,,5000000,5156000000.0,-5000000.0,-40000000,158000000,,,,0.06,,,17000000,3453000000.0,,16000000,-1000000.0,6000000,-39000000,174503079.0,-73000000.0,70000000,1136000000,875000000,,-46000000,141000000,,24000000,7000000,99000000.0,248000000.0,1542000000.0,10000000,830000000.0,0.06,7278000000.0,5093000000.0,102000000.0,717000000,311000000.0,215000000.0,41000000,10000000,174228122.0,712000000.0,-5000000,1414000000.0,576000000.0,2185000000.0,,567000000.0,,1000000.0,26000000,3380000000.0,527000000.0,0.0,10000000,100000000,2109000000.0,113000000.0,0.0,358000000.0,100000000,71000000,1136000000.0,-98000000,13000000,56000000.0,-15000000.0,1663000000.0,1110000000,2000000.0,,
2011-06-30,0.0,,46000000,4822000000.0,-1000000.0,50000000,198000000,,,,0.22,,,55000000,,,35000000,-2000000.0,-1000000,-31000000,170138728.0,,71000000,876000000,936000000,,-72000000,143000000,,-398000000,-21000000,96000000.0,278000000.0,1536000000.0,37000000,822000000.0,0.22,6997000000.0,5099000000.0,102000000.0,738000000,329000000.0,233000000.0,169000000,36000000,169907013.0,714000000.0,97000000,1451000000.0,583000000.0,1898000000.0,,627000000.0,,6000000.0,-260000000,3451000000.0,521000000.0,0.0,37000000,121000000,2163000000.0,146000000.0,-396000000.0,282000000.0,69000000,72000000,876000000.0,-81000000,14000000,55000000.0,2000000.0,1397000000.0,1136000000,2000000.0,,
2011-09-30,14000000.0,,-19000000,4776000000.0,-7000000.0,24000000,186000000,,,0.0,0.08,-605000000.0,,53000000,,,8000000,-51000000.0,-5000000,-735000000,165644344.0,,58000000,690000000,897000000,,-98000000,133000000,,430000000,-36000000,93000000.0,278000000.0,2034000000.0,14000000,813000000.0,0.08,7387000000.0,5699000000.0,102000000.0,711000000,318000000.0,218000000.0,128000000,13000000,165499634.0,1221000000.0,30000000,1465000000.0,564000000.0,1688000000.0,,566000000.0,,13000000.0,-186000000,3990000000.0,506000000.0,0.0,14000000,98000000,2600000000.0,135000000.0,-13000000.0,356000000.0,80000000,75000000,690000000.0,-93000000,15000000,4000000.0,-64000000.0,1196000000.0,876000000,2000000.0,,
2011-12-31,0.0,,22000000,4818000000.0,-124000000.0,1000000,199000000,,,0.0,0.31,-28000000.0,,28000000,6083000000.0,,24000000,0.0,-28000000,-210000000,165700000.0,-2040000000.0,84000000,534000000,990000000,,-115000000,171000000,,0,11000000,87000000.0,280000000.0,2111000000.0,52000000,890000000.0,0.31,7507000000.0,5916000000.0,102000000.0,791000000,306000000.0,225000000.0,55000000,52000000,165500000.0,1221000000.0,-60000000,1517000000.0,935000000.0,1591000000.0,,568000000.0,,4000000.0,-156000000,4043000000.0,588000000.0,0.0,52000000,126000000,2679000000.0,144000000.0,0.0,359000000.0,186000000,87000000,534000000.0,-275000000,15000000,4000000.0,-80000000.0,1122000000.0,690000000,2000000.0,,
2012-03-31,34000000.0,,-23000000,4854000000.0,4000000.0,-36000000,186000000,,,,0.06,,,7000000,,,14000000,0.0,4000000,-49000000,166016451.0,,93000000,542000000,958000000,,-95000000,179000000,,0,20000000,86000000.0,300000000.0,2150000000.0,10000000,930000000.0,0.06,7562000000.0,5981000000.0,102000000.0,772000000,315000000.0,267000000.0,61000000,10000000,165525076.0,1220000000.0,-34000000,1527000000.0,574000000.0,1581000000.0,,548000000.0,,-8000000.0,8000000,4040000000.0,509000000.0,0.0,10000000,118000000,2698000000.0,130000000.0,,364000000.0,110000000,86000000,542000000.0,-41000000,18000000,4000000.0,-60000000.0,1051000000.0,534000000,2000000.0,,
2012-06-30,30000000.0,,-61000000,4873000000.0,1000000.0,44000000,239000000,,,,0.24,,,73000000,,,57000000,,18000000,-304000000,166000000.0,,77000000,404000000,1014000000,,-62000000,166000000,,-3000000,1000000,85000000.0,317000000.0,2187000000.0,39000000,967000000.0,0.24,7681000000.0,6241000000.0,132000000.0,775000000,378000000.0,280000000.0,170000000,39000000,165900000.0,1220000000.0,108000000,1566000000.0,578000000.0,1440000000.0,,611000000.0,,-2000000.0,-138000000,4184000000.0,502000000.0,0.0,39000000,163000000,2798000000.0,116000000.0,,376000000.0,121000000,89000000,404000000.0,-123000000,17000000,4000000.0,-84000000.0,906000000.0,542000000,2000000.0,,
2012-09-30,98000000.0,,-13000000,4895000000.0,-23000000.0,34000000,203000000,,,-33000000.0,0.14,-1000000.0,,40000000,4567000000.0,,20000000,,-3000000,-66000000,165753877.0,-80000000.0,75000000,446000000,977000000,,-53000000,163000000,,-27000000,-8000000,82000000.0,298000000.0,2218000000.0,23000000,999000000.0,0.14,7736000000.0,5860000000.0,134000000.0,774000000,362000000.0,542000000.0,135000000,23000000,165486594.0,1219000000.0,82000000,1589000000.0,593000000.0,1876000000.0,,613000000.0,,2000000.0,42000000,4487000000.0,542000000.0,3000000.0,23000000,126000000,2831000000.0,113000000.0,6000000.0,,172000000,88000000,446000000.0,-171000000,18000000,4000000.0,-55000000.0,988000000.0,404000000,2000000.0,,
2012-12-31,46000000.0,,40000000,4821000000.0,83000000.0,-109000000,207000000,,93000000.0,-103000000.0,,-53000000.0,,39000000,6351000000.0,,4000000,0.0,-11000000,-70000000,,-2212000000.0,78000000,413000000,1000000000,,-91000000,168000000,80000000.0,-94000000,-24000000,80000000.0,293000000.0,2191000000.0,16000000,131000000.0,,7640000000.0,5882000000.0,133000000.0,793000000,338000000.0,531000000.0,133000000,15000000,,1229000000.0,42000000,1605000000.0,620000000.0,1758000000.0,,618000000.0,,8000000.0,-33000000,4139000000.0,514000000.0,1000000.0,16000000,111000000,2809000000.0,138000000.0,-1000000.0,388000000.0,116000000,90000000,413000000.0,-125000000,17000000,4000000.0,-48000000.0,927000000.0,446000000,2000000.0,,
2013-03-31,4000000.0,,38000000,4804000000.0,-2000000.0,-84000000,189000000,,,-27000000.0,0.05,-85000000.0,,17000000,,,3000000,,-5000000,-103000000,162537877.0,,84000000,330000000,975000000,,-66000000,172000000,,-18000000,-2000000,77000000.0,332000000.0,2325000000.0,8000000,1097000000.0,0.05,7722000000.0,6026000000.0,144000000.0,786000000,337000000.0,572000000.0,27000000,8000000,161931525.0,1228000000.0,-39000000,1613000000.0,641000000.0,1696000000.0,,583000000.0,,8000000.0,-83000000,4148000000.0,457000000.0,0.0,8000000,108000000,2908000000.0,119000000.0,-2000000.0,499000000.0,77000000,88000000,330000000.0,-67000000,17000000,14000000.0,-50000000.0,787000000.0,413000000,2000000.0,,
2013-06-30,95000000.0,,-41000000,4704000000.0,43000000.0,-20000000,268000000,,,-196000000.0,0.7,0.0,,108000000,3949000000.0,,167000000,,55000000,415000000,160213384.0,-95000000.0,75000000,718000000,1092000000,,-26000000,160000000,,-157000000,70000000,74000000.0,348000000.0,2359000000.0,112000000,1094000000.0,0.7,7707000000.0,5868000000.0,133000000.0,824000000,386000000.0,606000000.0,135000000,112000000,159816592.0,1265000000.0,109000000,1725000000.0,638000000.0,1839000000.0,,634000000.0,,3000000.0,388000000,3942000000.0,87000000.0,4000000.0,112000000,268000000,2993000000.0,110000000.0,-2000000.0,512000000.0,407000000,85000000,718000000.0,-42000000,16000000,14000000.0,-74000000.0,805000000.0,330000000,2000000.0,,
2013-09-30,0.0,,251000000,4743000000.0,0.0,82000000,211000000,,,-29000000.0,0.35,0.0,,53000000,,,94000000,0.0,39000000,-134000000,156897187.0,,77000000,774000000,1026000000,,-58000000,158000000,,2000000,52000000,71000000.0,473000000.0,2437000000.0,55000000,1154000000.0,0.35,7869000000.0,6113000000.0,133000000.0,815000000,411000000.0,290000000.0,194000000,55000000,156339842.0,1283000000.0,136000000,1789000000.0,884000000.0,1756000000.0,,679000000.0,,0.0,56000000,3827000000.0,38000000.0,0.0,55000000,190000000,3116000000.0,117000000.0,-1000000.0,529000000.0,199000000,81000000,774000000.0,-553000000,15000000,23000000.0,-77000000.0,812000000.0,718000000,2000000.0,,
2013-12-31,0.0,,-16000000,4769000000.0,-48000000.0,-9000000,233000000,,192000000.0,-23000000.0,0.2,-729000000.0,,55000000,7016000000.0,,57000000,-64000000.0,27000000,-325000000,157000000.0,-2345000000.0,87000000,454000000,1091000000,,-82000000,178000000,74000000.0,-91000000,19000000,77000000.0,329000000.0,2529000000.0,32000000,266000000.0,0.21,8177000000.0,7014000000.0,147000000.0,858000000,411000000.0,273000000.0,100000000,30000000,156100000.0,1289000000.0,18000000,1821000000.0,959000000.0,1163000000.0,,871000000.0,,11000000.0,-320000000,4671000000.0,30000000.0,0.0,32000000,165000000,3400000000.0,133000000.0,-1000000.0,591000000.0,144000000,91000000,454000000.0,-67000000,17000000,194000000.0,-68000000.0,484000000.0,774000000,2000000.0,,
2014-03-31,0.0,,4000000,4767000000.0,5000000.0,-60000000,235000000,,,-59000000.0,0.36,0.0,,53000000,,,80000000,,24000000,329000000,156490866.0,,87000000,765000000,1074000000,,-41000000,182000000,,-66000000,44000000,75000000.0,322000000.0,2544000000.0,56000000,1251000000.0,0.36,8176000000.0,6714000000.0,147000000.0,839000000,419000000.0,323000000.0,49000000,56000000,155449102.0,1293000000.0,8000000,1877000000.0,972000000.0,1462000000.0,,857000000.0,,0.0,311000000,4378000000.0,30000000.0,0.0,56000000,194000000,3401000000.0,131000000.0,-7000000.0,595000000.0,102000000,95000000,765000000.0,-126000000,19000000,194000000.0,-70000000.0,795000000.0,454000000,2000000.0,,
2014-06-30,175000000.0,,-2000000,4771000000.0,-2000000.0,33000000,278000000,,,-90000000.0,0.48,0.0,,115000000,,,121000000,,46000000,-128000000,155221234.0,,80000000,553000000,1158000000,,-70000000,163000000,,-271000000,21000000,17000000.0,319000000.0,2555000000.0,74000000,1257000000.0,0.48,8013000000.0,6659000000.0,136000000.0,880000000,402000000.0,316000000.0,204000000,75000000,154226718.0,1298000000.0,134000000,1951000000.0,987000000.0,1354000000.0,,679000000.0,,7000000.0,-200000000,4366000000.0,30000000.0,31000000.0,74000000,222000000,3234000000.0,124000000.0,-4000000.0,587000000.0,93000000,83000000,553000000.0,-149000000,18000000,5000000.0,-61000000.0,583000000.0,765000000,2000000.0,,
