date,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyOperatingIncome,quarterlyNetOtherInvestingChanges,quarterlyGrossPPE,quarterlyDilutedEPS,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyNetPPE,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyCurrentAssets,quarterlyOtherCurrentAssets,quarterlyCostOfRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,quarterlyPurchaseOfBusiness,quarterlyEbitda,quarterlyTotalNonCurrentAssets,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyGoodwill,quarterlyChangeInInventory,quarterlyCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyNonCurrentDeferredRevenue
1999-06-30,,,,,,,,,,0.787092,,,,,,,,,,,,,,440000000.0,346320320.0,346320320.0,,,0.787092,,,,,,,440000000.0,,,,,,,,,,,,346320320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-30,,,,,,,,,,7.43083,,,,,,,,,,,,,,431920500.0,347826080.0,347826080.0,,,7.747035,,,,,,,431920500.0,,,,,,,,,,,,347826080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,,86956520.0,98434780640.0,,,,447826078.0,,,7.272727,,,447826078.0,,1565217360.0,,,99999998.0,3695652100.0,73913042.0,795652158.0,,,431920500.0,347826080.0,347826080.0,,,7.43083,1739130400.0,,,1913043440.0,32956521080.0,,431920500.0,18565217020.0,1652173880.0,,,1595652142.0,,,,,102130432740.0,,347826080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,7434972000.0,43668120.0,119039295120.0,-7828934380.0,87526100.0,,442566860.0,-9477690460.0,,,-10004745660.0,36331875840.0,442566860.0,,1921397280.0,219289900.0,,88665260.0,11397379320.0,88285540.0,1145813420.0,-263147880.0,21764190240.0,,353901600.0,353901600.0,4529143900.0,16288588480.0,,2489082840.0,,,2096069760.0,32969430600.0,-949300.0,,36331875840.0,1965065400.0,18565217020.0,-7698879320.0,1898613760.0,4265996020.0,,7336244160.0,,130436674440.0,219100040.0,353901600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,,,,,,,,,,5.357143,,,,,,,,,,,,,,431921792.0,401383954.26,401383954.26,,,5.357143,,,,,,,431921792.0,,,,,,,,,,,,401383954.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,,,,,,,,,,5.015997,,,,,,,,,,,,,,431921792.0,299927344.31,299927344.31,,,5.015997,,,,,,,431921792.0,,,,,,,,,,,,299927344.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,,,,,,,,,,4.407714,,,,,,,,,,,,,,431921792.0,404055973.35,404055973.35,,,4.407714,,,,,,,431921792.0,,,,,,,,,,,,404055973.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,,186239680.0,202954691280.0,,,,,,,,,,,,2979834880.0,,,,16249412080.0,,,,,,245808695.5,245808695.5,,,,2141756320.0,,,4050713040.0,54288866720.0,,,47165198960.0,2188316240.0,,,,,3259194400.0,,2653915440.0,219204103360.0,,245808695.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,,,,,,,,,,8.774137,,,,,,,,,,,,,,431750000.0,516778900.0,516778900.0,,,8.792929,,,,,,,431750000.0,,,,,,,,,,,,516778900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,,,,,,,,,,2.868532,,,,,,,,,,,,,,431750000.0,525579010.0,525579010.0,,,2.868532,,,,,,,431750000.0,,,,,,,,,,,,525579010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
