date,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyEbitda,quarterlyBasicEPS,quarterlyNetPPE,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyCommonStockIssuance,quarterlyBasicAverageShares,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyFreeCashFlow,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyInvestmentsAndAdvances,quarterlyDilutedEPS,quarterlyInventory,quarterlyDilutedAverageShares,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable
1998-03-31,990000000,85000000,,,60000000.0,48300000,28000000.0,,,,,,80000000,80000000,276000000,-63000000,13600000,10000000.0,130000000.0,-34000000,2196000000.0,,339000000,11000000,-15000000,-1156000000.0,42000000.0,-5000000,,12300000,36600000,0.11,1040000000,4300000,8000000,,72727273.0,,,-4000000,277100000,180000000,1168000000,448000000,457000000,,39000000,25300000.0,1625000000,8000000,23000000,,0.0,5000000.0,,0.11,138000000,72727273.0,8000000,8000000,61900000,4300000,628000000,128000000,130000000,11000000,-16000000,47000000,0,,,,,,,,
1998-06-30,994000000,0,,,0.0,47100000,31000000.0,,,,,,41000000,41000000,233000000,-43000000,16900000,0.0,80000000.0,-20000000,2662000000.0,,366800000,17000000,-13000000,-1640000000.0,69000000.0,-39000000,,17200000,40900000,0.15,1022000000,6500000,19000000,,71333333.0,,,4000000,302800000,177000000,1149000000,382000000,413000000,,38000000,23100000.0,1562000000,10700000,24000000,,0.0,2500000.0,,0.15,132000000,71333333.0,10700000,10700000,64000000,3500000,559000000,127000000,128000000,11000000,6000000,-13000000,0,,,,,,,,
1998-09-30,994000000,0,,,0.0,48200000,32000000.0,,,,,,51000000,51000000,236000000,0,20000000,14000000.0,104000000.0,-13000000,2199000000.0,,359500000,33000000,-24000000,-1185000000.0,58000000.0,10000000,,19700000,44000000,0.175,1014000000,7100000,28000000,,72000000.0,,,9000000,291300000,190000000,1143000000,398000000,447000000,,38000000,24200000.0,1590000000,12600000,24000000,,0.0,3200000.0,,0.175,141000000,72000000.0,12600000,12600000,68200000,3500000,588000000,129000000,142000000,10000000,-11000000,-23000000,0,,,,,,,,
1998-12-31,1053000000,0,,129000000.0,0.0,53400000,30000000.0,,,,,,36000000,36000000,250000000,27000000,18500000,-14000000.0,96000000.0,9000000,2653000000.0,,382700000,29000000,-70000000,-1355000000.0,59000000.0,-15000000,,18700000,42500000,,1298000000,7000000,37000000,,,,,-41000000,310800000,397000000,1481000000,405000000,465000000,,63000000,29400000.0,1946000000,11700000,24000000,,20000000.0,2300000.0,,,175000000,,11700000,11700000,71900000,3600000,802000000,54000000,180000000,154000000,-11000000,-71000000,0,,0.0,,,,,,
1999-03-31,985000000,36000000,,140000000.0,0.0,55300000,31000000.0,,,,,,39000000,39000000,315000000,54000000,33400000,,83000000.0,3000000,2612000000.0,,396600000,44000000,-92000000,-1337000000.0,78000000.0,3000000,-5000000.0,25300000,58400000,0.21,1275000000,9500000,50000000,,75238095.0,,200000.0,-48000000,307900000,388000000,1469000000,476000000,472000000,,63000000,30300000.0,1941000000,15800000,25000000,,-3000000.0,7300000.0,,0.21,175000000,75238095.0,15800000,15800000,88700000,1100000,864000000,54000000,172000000,153000000,-1000000,-92000000,0,,-3000000.0,,,,,,
1999-06-30,998000000,0,,159000000.0,0.0,58600000,33000000.0,,,,,,51000000,51000000,347000000,23000000,44400000,,94000000.0,-20000000,2641000000.0,,441300000,34000000,-45000000,-1368000000.0,75000000.0,12000000,-5000000.0,34500000,70400000,0.29,1273000000,12800000,68000000,,74827586.0,,,-11000000,338300000,393000000,1489000000,516000000,508000000,,62000000,32600000.0,1997000000,21700000,26000000,,7000000.0,8300000.0,,0.29,188000000,74827586.0,21700000,21700000,103000000,500000,909000000,57000000,182000000,149000000,-14000000,-45000000,0,,-3000000.0,,,,,,
1999-09-30,1000000000,0,,158000000.0,0.0,69000000,31000000.0,,-143000000.0,,,1000000.0,51000000,51000000,138000000,-27000000,43300000,0.0,86000000.0,10000000,2655000000.0,,444600000,68000000,-40000000,-1389000000.0,89000000.0,0,0.0,35300000,78300000,0.305,1266000000,12700000,87000000,,74098361.0,,,28000000,332300000,567000000,1478000000,313000000,493000000,,60000000,34000000.0,1971000000,22600000,35000000,,3000000.0,9200000.0,,0.305,174000000,74098361.0,22600000,22600000,112300000,2100000,880000000,54000000,182000000,325000000,12000000,-40000000,51000000,,-3000000.0,,,,,,
1999-12-31,1027000000,51000000,,270000000.0,0.0,72400000,23000000.0,,-122000000.0,,,1000000.0,41000000,41000000,222000000,25000000,35600000,0.0,109000000.0,-1000000,2774000000.0,,452500000,52000000,-103000000,-1425000000.0,90000000.0,-10000000,-9000000.0,26800000,71600000,,1349000000,10000000,101000000,,,,,-51000000,344500000,565000000,1675000000,421000000,537000000,,63000000,36400000.0,2212000000,16800000,36000000,,0.0,10200000.0,,,212000000,,16800000,16800000,108000000,1600000,986000000,56000000,180000000,322000000,-25000000,-94000000,41000000,,-4000000.0,,,,,,
2000-03-31,988000000,41000000,,314000000.0,0.0,71500000,27000000.0,,-119000000.0,,,1000000.0,38000000,38000000,434000000,118000000,41400000,,108000000.0,-26000000,2881000000.0,,444200000,12000000,-23000000,-1459000000.0,82000000.0,-3000000,-44000000.0,8000000,76400000,0.05,1422000000,4400000,101000000,,71000000.0,,-600000.0,-11000000,331300000,558000000,1793000000,624000000,565000000,,46000000,36500000.0,2358000000,3600000,35000000,,-16000000.0,10400000.0,,0.05,244000000,71000000.0,3600000,3600000,112900000,-18600000,1182000000,57000000,182000000,330000000,-22000000,-135000000,38000000,,-4000000.0,,,,,,
2000-06-30,988000000,38000000,,317000000.0,112000000.0,68500000,32000000.0,,-135000000.0,,,1000000.0,35000000,35000000,521000000,-8000000,50200000,,73000000.0,-13000000,2886000000.0,,473900000,44000000,-150000000,-1476000000.0,118000000.0,-3000000,0.0,32800000,84200000,0.275,1410000000,13500000,117000000,,70400000.0,,,-106000000,355200000,482000000,1784000000,712000000,585000000,,45000000,34500000.0,2369000000,19300000,34000000,,13000000.0,12300000.0,,0.275,246000000,70400000.0,19300000,19300000,118700000,700000,1194000000,57000000,196000000,241000000,-4000000,-38000000,35000000,,-3000000.0,,,,,,
