date,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyInventory,quarterlyNetOtherInvestingChanges,quarterlyNetIncome,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyGoodwill,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyDilutedEPS,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyTotalAssets,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlySaleOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments
1997-03-31,,0.002967,,,100000,,40200000,,,,,,40200000,,,40200000,,,,,,,,,,,,,57757445.0,,,,,,,,100000,,,100000,,,,,,,,,,,,,,,,,,,0.002967,,,,,,,,,,,,,,57757445.0,,,,
1997-06-30,7400000.0,-0.002967,,,-100000,,13400000,,,,,,8000000,,,46200000,,,314700000.0,27500000.0,39300000.0,187200000.0,367700000.0,3600000.0,321900000.0,,800000.0,,59846810.0,-25500000.0,,,328400000.0,25400000.0,900000.0,,-100000,20800000.0,12800000.0,-100000,-100000.0,,,2900000.0,,138200000.0,,,,1700000.0,,1200000.0,1200000.0,,8100000.0,,172900000.0,,-0.002967,,3600000.0,-49000000.0,,,32500000.0,,342200000.0,,,,,5100000.0,59846810.0,,,,
1997-09-30,7100000.0,-0.234425,-28700000.0,,-13900000,0.0,14600000,,,6000000.0,,,8600000,-8400000.0,,47200000,,-5600000.0,333400000.0,31700000.0,37500000.0,200200000.0,308400000.0,3800000.0,260800000.0,-100000.0,900000.0,,59294017.0,56700000.0,,,270900000.0,25500000.0,1300000.0,-18000000.0,-13900000,21700000.0,13100000.0,-7900000,-1900000.0,,,6300000.0,,148700000.0,-600000.0,7300000.0,,1700000.0,,2000000.0,2000000.0,27200000.0,7400000.0,93800000.0,182000000.0,,-0.234425,2300000.0,2700000.0,-51500000.0,-10700000.0,700000.0,30700000.0,,365100000.0,,,,0.0,5100000.0,59294017.0,,,,
1997-12-31,8800000.0,,-22200000.0,,-1300000,0.0,13400000,-8400000.0,,6800000.0,,,6600000,-95700000.0,0.0,49800000,,9400000.0,362500000.0,32200000.0,45100000.0,215000000.0,335400000.0,4100000.0,277800000.0,100000.0,4400000.0,,,59300000.0,,,290300000.0,27600000.0,800000.0,88100000.0,-1300000,22200000.0,15600000.0,-1300000,-500000.0,,,8400000.0,,160500000.0,-1200000.0,100000.0,,1100000.0,100000.0,1800000.0,1800000.0,7400000.0,7100000.0,-12200000.0,196800000.0,,,14700000.0,5200000.0,-54500000.0,-110400000.0,-200000.0,35200000.0,,394700000.0,,,,0.0,8800000.0,,,,,
1998-03-31,8800000.0,-0.017804,-55800000.0,,-1000000,0.0,14600000,-9400000.0,,7200000.0,,-100000.0,7400000,-12100000.0,200000.0,56300000,,-6700000.0,414200000.0,38400000.0,46200000.0,231200000.0,393900000.0,4400000.0,334700000.0,,3700000.0,,91728388.0,58700000.0,,,347700000.0,32900000.0,900000.0,-43200000.0,-1000000,23400000.0,16000000.0,-1000000,100000.0,,,8600000.0,,173400000.0,-800000.0,200000.0,,2100000.0,,2500000.0,2500000.0,56100000.0,8300000.0,0.0,238100000.0,,-0.017804,500000.0,2700000.0,-57800000.0,-12600000.0,700000.0,37200000.0,,452600000.0,,,,1800000.0,6900000.0,91728388.0,,,,
1998-06-30,12600000.0,-0.074185,-111900000.0,,-4500000,0.0,15800000,-14900000.0,,9200000.0,,,6600000,-131500000.0,800000.0,64100000,,4500000.0,536900000.0,45600000.0,60600000.0,252500000.0,514000000.0,4900000.0,439100000.0,,4000000.0,,91728388.0,68500000.0,,,453400000.0,35700000.0,1400000.0,34300000.0,-4500000,28400000.0,21800000.0,-4500000,100000.0,,,9400000.0,,191200000.0,-3700000.0,800000.0,,3600000.0,,2500000.0,2500000.0,97200000.0,10400000.0,-2100000.0,342900000.0,,-0.074185,14700000.0,2800000.0,-61300000.0,-146200000.0,100000.0,51300000.0,,582500000.0,,,,0.0,5700000.0,91728388.0,,,,
1998-09-30,14100000.0,-0.074185,-62500000.0,,-4600000,0.0,18900000,-25000000.0,,9800000.0,,,9100000,140200000.0,1600000.0,74600000,,-800000.0,602000000.0,52600000.0,66200000.0,280800000.0,590700000.0,5600000.0,506500000.0,0.0,4500000.0,,62007144.0,63900000.0,,,524500000.0,41600000.0,1300000.0,-190800000.0,-4600000,33000000.0,23900000.0,-4600000,0.0,,,12400000.0,,216000000.0,-3000000.0,1600000.0,,4200000.0,,4400000.0,4400000.0,52400000.0,12100000.0,-300000.0,383000000.0,,-0.074185,11900000.0,3000000.0,-64800000.0,128300000.0,1800000.0,51500000.0,,654600000.0,,,,0.0,10500000.0,62007144.0,,,,
1998-12-31,1600000.0,,-22800000.0,,-900000,0.0,30900000,-19400000.0,,11000000.0,,,19900000,-191000000.0,700000.0,75300000,,2800000.0,614500000.0,52000000.0,68100000.0,297200000.0,603400000.0,5900000.0,514400000.0,300000.0,5500000.0,,,63100000.0,,,535300000.0,42800000.0,1100000.0,181700000.0,-900000,32500000.0,12600000.0,-900000,-8000000.0,,,15000000.0,,229700000.0,-200000.0,700000.0,,3600000.0,,2300000.0,2300000.0,7200000.0,12100000.0,-200000.0,381500000.0,,,13600000.0,3300000.0,-67500000.0,-204600000.0,-2100000.0,52800000.0,,666500000.0,,,,0.0,11700000.0,,,,,
1999-03-31,10600000.0,0.038577,-39000000.0,,2300000,0.0,24000000,-17000000.0,,9900000.0,,,14100000,-30700000.0,900000.0,80200000,,-7900000.0,666400000.0,62600000.0,88400000.0,315800000.0,659000000.0,6200000.0,548300000.0,-100000.0,6400000.0,,64590413.0,70000000.0,,,570600000.0,45600000.0,1200000.0,-4100000.0,2400000,34600000.0,20500000.0,2400000,1800000.0,,,16100000.0,,243000000.0,3300000.0,900000.0,4700000.0,22700000.0,4600000.0,5200000.0,5200000.0,37600000.0,12600000.0,100000.0,420200000.0,,0.035609,4300000.0,3200000.0,-72800000.0,-35000000.0,2900000.0,56000000.0,,729000000.0,,,,2300000.0,9700000.0,59621018.0,,,,
1999-06-30,11600000.0,0.053413,-18000000.0,,3300000,0.0,26200000,-13600000.0,,11900000.0,,,14300000,1300000.0,1000000.0,85500000,,1900000.0,673600000.0,60200000.0,86700000.0,329500000.0,660700000.0,6500000.0,550400000.0,,6700000.0,,61782712.0,73100000.0,,,574000000.0,47700000.0,1100000.0,-4800000.0,3600000,37800000.0,23500000.0,3600000,3200000.0,,,17100000.0,,253100000.0,4700000.0,1100000.0,4800000.0,20100000.0,200000.0,2300000.0,2300000.0,-100000.0,12900000.0,-700000.0,418800000.0,,0.053413,15200000.0,1700000.0,-76400000.0,-13900000.0,-3000000.0,58800000.0,,733800000.0,,,,0.0,7800000.0,61782712.0,,,,
