date,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyBasicEPS,quarterlyCommonStockIssuance,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingIncome,quarterlyDilutedEPS,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyStockholdersEquity,quarterlyEbitda,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyBasicAverageShares,quarterlyRepaymentOfDebt,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyOtherIntangibleAssets,quarterlyChangeInInventory,quarterlyGoodwill
1991-07-31,5600000.0,2100000,2100000,,600000.0,,0.070035,,7100000.0,,360700000.0,,,-17700000,,4000000.0,3600000.0,6600000.0,,0.0,-100000.0,,36400000.0,,,,4600000.0,433600000,2100000,29985007.0,387500000,,,800000.0,,39200000,0.070035,,4000000.0,,,,13000000.0,,12800000.0,,-48300000,43200000,2100000.0,,,,,,-4500000.0,1700000,29985007.0,-8400000.0,6600000.0,,,342200000.0,-95900000,-1000000.0,21500000,-11600000.0,,,,,,,,,,,
1991-10-31,1500000.0,-2500000,-2500000,,-1300000.0,,-0.083375,,,,358700000.0,,,-17400000,,,,,,,,,35900000.0,,,,-1200000.0,436700000,-2500000,29985007.0,386300000,,,500000.0,,33800000,-0.083375,,,,,,-200000.0,,-2400000.0,,-50400000,33800000,,,,,,,12000000.0,1500000,29985007.0,-1200000.0,,,,341400000.0,-99500000,-2700000.0,16400000,-1700000.0,,,,,,,,,,,
1992-03-31,9800000.0,4000000,4000000,,1700000.0,,0.063365,,,,256300000.0,,,-14500000,-2200000.0,,5000000.0,,,,,,29900000.0,,,,8800000.0,307300000,4000000,63126332.0,405100000,-4800000.0,,,,34600000,0.063365,,,,,,,,-1000000.0,,97800000,34600000,,,,,,,5800000.0,1600000,63126332.0,-9600000.0,,,,356600000.0,-85000000,-1000000.0,20100000,-7000000.0,,,,,,,,,,,
1992-06-30,8100000.0,4300000,4300000,,-300000.0,,0.070035,,,,256300000.0,,,-14200000,-6100000.0,,,,,,,,29300000.0,,,,7100000.0,307500000,4300000,61397872.0,461000000,-1400000.0,,,,34300000,0.070035,,,,,,,,-1000000.0,,153500000,34300000,,,,,,,3800000.0,1600000,61397872.0,-600000.0,,,,365100000.0,-86700000,-1000000.0,20100000,-7500000.0,,,,,,,,,,,
1992-09-30,8400000.0,5300000,5300000,,2100000.0,,0.070035,,,,253400000.0,,,-13600000,-7200000.0,,,,,,,,,,,,-8900000.0,275600000,5300000,75676447.0,430000000,-400000.0,,,,34300000,0.070035,,,,,,,,-17300000.0,,154400000,34300000,,,,,,,3100000.0,1800000,75676447.0,-2800000.0,,,,378700000.0,-88700000,-17300000.0,20700000,10900000.0,,,,,,,,,,,
1992-12-31,300000.0,5400000,5400000,,100000.0,,,2300000.0,11900000.0,,258000000.0,,,-14400000,-7200000.0,,,5200000.0,,0.0,,,20000000.0,,,,-2000000.0,296500000,5400000,,453300000,600000.0,,,,36000000,,,,,,,,,-2300000.0,,154800000,36000000,,,,,,,-14700000.0,1900000,,-4600000.0,5200000.0,,,395000000.0,-90500000,-2300000.0,21600000,2300000.0,,,,,,,,,,,
1993-03-31,11000000.0,7200000,7000000,,-4500000.0,,0.096715,100000.0,,,244100000.0,,,-14900000,-7800000.0,,8700000.0,,,,,,53000000.0,,,,3900000.0,319600000,7200000,74445536.0,474500000,-4300000.0,,,,38700000,0.096715,,,,,,3700000.0,,-3400000.0,,154900000,38700000,,,,,,,4000000.0,1900000,74445536.0,-30000000.0,,,,422800000.0,-91100000,-7100000.0,23800000,-12100000.0,,,,,,,,,,,
1993-06-30,18400000.0,10200000,10200000,,3900000.0,,0.116725,110500000.0,,,240000000.0,,,-15300000,-9400000.0,,,,,,,,,,,,-40000000.0,264700000,10200000,87384879.0,530900000,53400000.0,,,,42800000,0.116725,,,,,,-100000.0,,-58500000.0,,266200000,42800000,,,,,,,8300000.0,2000000,87384879.0,-68500000.0,,,,477000000.0,-90300000,-58400000.0,27500000,44000000.0,,,,,,,,,,,
1993-09-30,10800000.0,8200000,8600000,,3300000.0,,0.090045,72200000.0,,,199900000.0,,,-15500000,-9400000.0,,,,,,,,,,,,3400000.0,224600000,8200000,91065578.0,561900000,9300000.0,,,,41500000,0.090045,,,,,,100000.0,,-7300000.0,,337300000,41500000,,,,,,,2200000.0,2000000,91065578.0,-87200000.0,,,,503200000.0,-91500000,-7400000.0,26000000,-100000.0,,,,,,,,,,,
1993-12-31,14700000.0,9000000,9500000,,41800000.0,,,300000.0,7300000.0,,190900000.0,,,-17700000,-10300000.0,,,,,,,,100000000.0,,,,-35900000.0,312900000,9000000,,652800000,87900000.0,,,,47100000,,,,,,,0.0,,-50600000.0,,336200000,47100000,,,,,,,-21500000.0,2000000,,-12400000.0,,,,550800000.0,-92800000,-50600000.0,29400000,77600000.0,,,,,,,,,,,
