date,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyDilutedEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyBasicAverageShares,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyOperatingIncome,quarterlyPurchaseOfBusiness,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyEndCashPosition,quarterlyOtherIntangibleAssets,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable
1995-01-31,,,,,,,,0.05,,,,,,,,,,,,25500000,54000000.0,,,,,,,25500000,,,,25500000,,,,,,,,,,0.05,,,,,,,2700000,2700000,,2700000,,,54000000.0,,,,,,,,,,,,,,,,,,,,,,
1995-04-30,,,,,,,,0.05,,,,,,,,,,,,25500000,54000000.0,,,,,,,25500000,,,,25500000,,,,,,,,,,0.05,,,,,,,2700000,2700000,,2700000,,,54000000.0,,,,,,,,,,,,,,,,,,,,,,
1995-07-31,,,,,,,,0.05,,,,,,,,,,,,25500000,54000000.0,,,,,,,25500000,,,,25500000,,,,,,,,,,0.05,,,,,,,2700000,2700000,,2700000,,,54000000.0,,,,,,,,,,,,,,,,,,,,,,
1995-10-31,2500000.0,,,,2400000.0,,,,,,,-28200000.0,,,-77500000.0,,90900000.0,,,-50200000,,,,-28200000.0,,,,25400000,,,19800000.0,-50200000,,168400000.0,18100000.0,133900000.0,,12200000.0,700000.0,142600000.0,114100000.0,,,,,,144000000.0,,2600000,2600000,,2600000,700000.0,5900000.0,,,5900000.0,,,3500000.0,,,13400000.0,,,9800000.0,,,162100000.0,,,,,,,,
1996-01-31,,,,,,,,0.03,,,,,,,,,,,,28300000,53333333.0,,,,,,,28300000,,,,28300000,,,,,,,,,,0.03,,,,,,,1600000,1600000,,1600000,,,53333333.0,,,,,,,,,,,,,,,,,,,,,,
1996-04-30,2700000.0,,,,2200000.0,,18800000.0,0.05,,,3600000.0,-28300000.0,,,-81900000.0,1500000.0,101400000.0,,,11800000,44000000.0,,,-32300000.0,,,,28800000,,3800000.0,18200000.0,8200000,,183300000.0,17100000.0,142400000.0,,10300000.0,1900000.0,151700000.0,124200000.0,0.05,,,10000000.0,,153600000.0,,2300000,2300000,7000000.0,2200000,,1800000.0,44000000.0,-400000.0,1800000.0,,10600000.0,4600000.0,4000000.0,,14500000.0,,,8300000.0,,,170700000.0,,,,,,,,
1996-07-31,2900000.0,,0.0,,3100000.0,,21300000.0,0.09,,0.0,3600000.0,-25300000.0,-3800000.0,,-83900000.0,2200000.0,105200000.0,,,13300000,34444444.0,400000.0,-400000.0,-29000000.0,3500000.0,,7100000.0,31400000,-7100000.0,5400000.0,20400000.0,9700000,,189100000.0,18900000.0,150300000.0,300000.0,10500000.0,2000000.0,154700000.0,129900000.0,0.09,,,10100000.0,3600000.0,156700000.0,,3200000,3200000,8100000.0,3100000,,2000000.0,34444444.0,-100000.0,2000000.0,,11600000.0,5300000.0,4100000.0,0.0,16900000.0,-200000.0,-10400000.0,7800000.0,0.0,0.0,175600000.0,,,,,,,,
1996-10-31,3600000.0,,-5000000.0,,3300000.0,,22100000.0,,,0.0,3600000.0,19000000.0,-11400000.0,,-87300000.0,2700000.0,119700000.0,,,15400000,,0.0,7300000.0,-24700000.0,8900000.0,,16900000.0,32300000,-8200000.0,7000000.0,25500000.0,10500000,,207000000.0,23900000.0,173200000.0,6400000.0,16800000.0,1400000.0,128100000.0,147700000.0,,,,10200000.0,4900000.0,130300000.0,,4300000,4300000,6700000.0,4200000,800000.0,8400000.0,,200000.0,8400000.0,,11600000.0,3800000.0,3400000.0,0.0,18200000.0,-100000.0,-19300000.0,9800000.0,0.0,8700000.0,154200000.0,,,,,,,,
1997-03-31,6100000.0,,,,2500000.0,,24200000.0,0.03,,81000000.0,3600000.0,64300000.0,-3900000.0,,-87900000.0,800000.0,175000000.0,,,14900000,40000000.0,700000.0,-100000.0,-31600000.0,-1200000.0,,9500000.0,37700000,-7400000.0,2100000.0,104600000.0,8100000,,262900000.0,24000000.0,369300000.0,-2600000.0,17500000.0,2800000.0,278200000.0,264700000.0,0.03,,,13500000.0,6800000.0,281000000.0,,1300000,1300000,9300000.0,1200000,,78400000.0,40000000.0,700000.0,78400000.0,,16100000.0,4000000.0,6900000.0,0.0,78400000.0,-100000.0,-10900000.0,11300000.0,0.0,2100000.0,305000000.0,,,,,,,,
1997-06-30,8800000.0,,,,2700000.0,,34500000.0,0.03,,0.0,3600000.0,65700000.0,-255300000.0,,-98700000.0,2600000.0,280600000.0,,,23700000,46666667.0,-1900000.0,-4900000.0,-30200000.0,134100000.0,,6400000.0,50000000,-7600000.0,4200000.0,42300000.0,12700000,,379300000.0,23600000.0,524800000.0,-70700000.0,16700000.0,3000000.0,413000000.0,482500000.0,0.03,,,15500000.0,10900000.0,435500000.0,,1600000,1600000,10800000.0,1400000,19500000.0,7700000.0,46666667.0,-100000.0,7700000.0,,21800000.0,4200000.0,8500000.0,0.0,195800000.0,-200000.0,-211100000.0,6100000.0,300000.0,-1200000.0,459100000.0,,,,,,,,
