date,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyDilutedAverageShares,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,quarterlyLongTermDebt,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyAccountsPayable,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyInventory,quarterlyNetOtherInvestingChanges,quarterlyCommonStockIssuance,quarterlyStockholdersEquity,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInInventory,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyGrossPPE,quarterlyNetIncomeContinuousOperations,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredRevenue
2009-09-30,,,,564000000.0,,199000000,,,-538000000,,,,7956000000,,,,656000000,,,,,,,,,,,445000000,,,,,,-650000000,,,-983000000,237000000,,,,,,-332000000,,,-961000000,,,,,,-1.15,,,,-650000000,,-651000000,,,,,,-1.15,564000000.0,419000000,,38000000,,,,8612000000,,,,
2009-12-31,,10367000000.0,8266000000.0,,547000000.0,217000000,-9313000000.0,26241000000.0,-553000000,,,3092000000.0,8466000000,1390000000.0,11000000.0,305000000.0,351000000,558000000.0,221000000.0,-205000000.0,-286000000.0,,363000000.0,1627000000.0,88000000.0,,6679000000.0,416000000,4000000.0,36608000000.0,-369000000.0,436000000.0,19495000000.0,-848000000,1861000000.0,27761000000.0,-1405000000,257000000,,558000000.0,569000000.0,60000000.0,619000000.0,-560000000,63000000.0,,-1086000000,15152000000.0,3277000000.0,46000000.0,,-8976000000.0,,2081000000.0,-279000000.0,2119000000.0,-848000000,18991000000.0,-845000000,,,-88000000.0,23855000000.0,-61000000.0,,,94000000,0.0,40000000,0.0,-505000000.0,-223000000.0,8817000000,-281000000.0,235000000.0,-3839000000.0,
2010-03-31,,,,564000000.0,-28000000.0,217000000,,,855000000,,,,9130000000,,,,625000000,537000000.0,122000000.0,-127000000.0,,12000000.0,,,-480000000.0,,,411000000,-19000000.0,,-512000000.0,424000000.0,,10000000,,,20000000,258000000,,,,,558000000.0,12000000,-9000000.0,,62000000,,,0.0,0.0,,0.01773,,-384000000.0,,10000000,,8000000,,,-373000000.0,,-21000000.0,0.01773,564000000.0,367000000,,41000000,,-15000000.0,-742000000.0,9755000000,-139000000.0,490000000.0,,
2010-09-30,,5047000000.0,13943000000.0,565000000.0,,204000000,816000000.0,10040000000.0,903000000,,1105000000.0,3800000000.0,9075000000,1513000000.0,0.0,6799000000.0,1227000000,,,,207000000.0,,272000000.0,2562000000.0,,,526000000.0,182000000,,15087000000.0,,,12087000000.0,474000000,1411000000.0,26030000000.0,721000000,239000000,,4832000000.0,4832000000.0,30000000.0,,254000000,,,-81000000,7216000000.0,4412000000.0,,,10882000000.0,0.84,1155000000.0,,2083000000.0,474000000,7478000000.0,467000000,,,,2086000000.0,,0.84,564000000.0,988000000,0.0,35000000,0.0,,,10302000000,,,-262000000.0,
2010-12-31,,4756000000.0,13779000000.0,,-1121000000.0,231000000,1587000000.0,9142000000.0,600000000,,787000000.0,3482000000.0,9415000000,1705000000.0,0.0,6036000000.0,1195000000,4222000000.0,225000000.0,-46000000.0,81000000.0,0.0,273000000.0,1968000000.0,-86000000.0,,46000000.0,231000000,4000000.0,13898000000.0,528000000.0,207000000.0,11715000000.0,771000000,1360000000.0,25494000000.0,162000000,272000000,,4222000000.0,4222000000.0,30000000.0,7543000000.0,-542000000,1343000000.0,,-539000000,7190000000.0,4824000000.0,-1000000.0,0.0,11535000000.0,,923000000.0,-158000000.0,2091000000.0,771000000,7607000000.0,704000000,,,728000000.0,2183000000.0,-610000000.0,,,923000000,0.0,41000000,0.0,-684000000.0,208000000.0,10610000000,-200000000.0,-1239000000.0,-417000000.0,
2011-03-31,,6360000000.0,15973000000.0,569000000.0,-354000000.0,211000000,2250000000.0,8875000000.0,1301000000,,807000000.0,4764000000.0,10943000000,1711000000.0,,5805000000.0,1309000000,4383000000.0,1264000000.0,-216000000.0,460000000.0,0.0,274000000.0,4099000000.0,-897000000.0,,304000000.0,163000000,-9000000.0,15235000000.0,0.0,215000000.0,11975000000.0,663000000,1344000000.0,27948000000.0,923000000,244000000,,4383000000.0,4383000000.0,30000000.0,4222000000.0,263000000,0.0,,13000000,7440000000.0,5726000000.0,5000000.0,37000000.0,12671000000.0,1.15,1027000000.0,-799000000.0,2110000000.0,663000000,8034000000.0,660000000,,,221000000.0,2043000000.0,161000000.0,1.16,566000000.0,1065000000,0.0,33000000,0.0,81000000.0,-432000000.0,12252000000,-221000000.0,28000000.0,-594000000.0,
2011-06-30,,5979000000.0,16513000000.0,575000000.0,374000000.0,247000000,2997000000.0,8870000000.0,1592000000,,621000000.0,4605000000.0,12474000000,1613000000.0,,5813000000.0,1568000000,4687000000.0,-124000000.0,-435000000.0,586000000.0,0.0,290000000.0,2988000000.0,-105000000.0,,52000000.0,177000000,-10000000.0,14849000000.0,765000000.0,224000000.0,11962000000.0,804000000,1310000000.0,28475000000.0,1191000000,275000000,,4687000000.0,4687000000.0,30000000.0,4383000000.0,388000000,-260000000.0,,90000000,7569000000.0,5577000000.0,-244000000.0,0.0,13579000000.0,1.38,947000000.0,180000000.0,2153000000.0,804000000,8343000000.0,803000000,,,1026000000.0,2110000000.0,304000000.0,1.416763,567491020.0,1293000000,0.0,56000000,0.0,235000000.0,-524000000.0,14042000000,-261000000.0,-327000000.0,-774000000.0,
2011-09-30,-114000000.0,5178000000.0,16718000000.0,575000000.0,0.0,239000000,3778000000.0,9007000000.0,1776000000,,598000000.0,3786000000.0,11538000000,1505000000.0,,5782000000.0,1759000000,5609000000.0,-588000000.0,-320000000.0,79000000.0,0.0,264000000.0,2440000000.0,720000000.0,,51000000.0,155000000,-4000000.0,14185000000.0,1252000000.0,237000000.0,11549000000.0,895000000,1237000000.0,28267000000.0,1384000000,292000000,,5609000000.0,5609000000.0,31000000.0,4687000000.0,489000000,0.0,,62000000,7363000000.0,5682000000.0,-42000000.0,-37000000.0,14025000000.0,1.51,1204000000.0,-245000000.0,2083000000.0,895000000,8293000000.0,895000000,,,1531000000.0,2021000000.0,922000000.0,1.56,570000000.0,1467000000,0.0,53000000,0.0,351000000.0,-9000000.0,13297000000,-279000000.0,-118000000.0,-930000000.0,
2011-12-31,-2722000000.0,5018000000.0,11435000000.0,,-56000000.0,231000000,841000000.0,7174000000.0,494000000,,585000000.0,3582000000.0,10958000000,356000000.0,,3980000000.0,486000000,1065000000.0,151000000.0,-50000000.0,-427000000.0,0.0,266000000.0,2562000000.0,193000000.0,,52000000.0,549000000,-22000000.0,12192000000.0,-198000000.0,255000000.0,11404000000.0,-215000000,1177000000.0,22839000000.0,-310000000,285000000,41000000.0,1065000000.0,1065000000.0,31000000.0,5609000000.0,-92000000,-2803000000.0,,31000000,7333000000.0,5499000000.0,239000000.0,0.0,10593000000.0,,917000000.0,132000000.0,2039000000.0,-215000000,8444000000.0,-218000000,,36000000.0,91000000.0,2277000000.0,-4544000000.0,,,201000000,247000000.0,54000000,0.0,-215000000.0,290000000.0,11444000000,-289000000.0,-4547000000.0,-1111000000.0,
2012-03-31,-143000000.0,4946000000.0,12098000000.0,575000000.0,-5000000.0,224000000,1298000000.0,7300000000.0,1237000000,,595000000.0,3973000000.0,10670000000,1049000000.0,,3984000000.0,1209000000,1670000000.0,80000000.0,-185000000.0,-218000000.0,,245000000.0,2638000000.0,-374000000.0,,42000000.0,99000000,5000000.0,12246000000.0,693000000.0,237000000.0,11511000000.0,600000000,1149000000.0,23609000000.0,901000000,263000000,,1670000000.0,1670000000.0,31000000.0,1065000000.0,302000000,-21000000.0,,50000000,7426000000.0,5208000000.0,39000000.0,,11310000000.0,1.04,1035000000.0,346000000.0,2092000000.0,600000000,8757000000.0,599000000,,,921000000.0,2281000000.0,605000000.0,1.04,572000000.0,946000000,0.0,39000000,0.0,153000000.0,-65000000.0,11879000000,-228000000.0,-148000000.0,-1331000000.0,
