date,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyInterestExpense,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyBasicEPS,quarterlyCurrentDeferredRevenue,quarterlyBasicAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyCapitalStock,quarterlyGrossProfit,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyAccumulatedDepreciation,quarterlyEbitda,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyNetPPE,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyPurchaseOfBusiness,quarterlyRepurchaseOfCapitalStock,quarterlyInventory,quarterlyResearchAndDevelopment,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable
2015-03-31,,,0,,,12562000,,,,,45427000,,-60753000,,-60753000,208076923.0,0,2764000,,,-0.291974,,208076923.0,,,48191000,0,-60753000,,-11165000,26491000,,-26491000,,,-0.291974,,,,,-12562000,0,,,0.0,,0.0,,,,-15326000,,,,26491000,,-11165000.0,0,-15326000,,-60753000,,,-60753000,,,,,,,,,,,,,
2015-06-30,,,0,,,12819000,,,,,46190000,0.0,-61538000,,0,208076923.0,0,2529000,,,0.0,,208076923.0,,,48719000,0,0,,-3614000,18962000,,-18962000,,,0.0,,,,,-12819000,0,,,0.0,,,,,,-15348000,,,,18962000,,-3614000.0,0,-15348000,,-61538000,,,-61538000,,,,,,,,,,,,,
2015-09-30,,,0,,,12058000,,,,,54188000,0.0,-68775000,,0,208076923.0,0,2529000,,,0.0,,208076923.0,,,56717000,0,0,,-9796000,24383000,,-24383000,,,0.0,0.0,,0.0,,-12058000,0,,,0.0,0.0,0.0,,0.0,,-14587000,0.0,,,24383000,0.0,-9796000.0,0,-14587000,,-68775000,,,-68775000,,,,,,,,,,,,,
2015-12-31,0.0,,0,3142625000.0,,10683000,,7804339000.0,7915539000.0,3142625000.0,51011000,,-70888000,,-261954000,,0,2529000,,111200000.0,,,,111200000.0,,53540000,0,-261954000,,-104733000,117945000,3142625000.0,-117945000,10700000.0,0.0,,,,,0.0,-10683000,0,1147335000.0,,0.0,,0.0,,,-2171546000.0,-13212000,,,,117945000,,-104733000.0,0,-13212000,9965185000.0,-64223000,7793639000.0,111200000.0,-70888000,0.0,,,,,,,,,,,,
2016-03-31,,0.0,0,,,13236000,,7852529000.0,7852529000.0,0.0,51476000,,-67970000,,-67970000,208076923.0,-874000,2384000,,,-0.326658,,208076923.0,,,53860000,0,-67970000,,-111241000,126861000,1749374000.0,-126861000,,,-0.326658,,,,6103155000.0,-13236000,0,6103155000.0,,0.0,,0.0,874000.0,,-2223660000.0,-15620000,,,,126861000,,-111241000.0,0,-15620000,10076189000.0,-67096000,7852529000.0,,-67970000,1749374000.0,,,,,,,,,,,,
2016-06-30,0.0,0.0,338034000,3134791000.0,11888000.0,13305000,4273000.0,7847707000.0,8201007000.0,3155680000.0,53124000,29475000.0,9646000,,6953000,215355805.0,-407000,4947000,0.0,338034000.0,0.12,20889000.0,215355805.0,338034000.0,,58070000,338034000,6953000,,-27746000,-111278000,3230981000.0,50187000,0.0,0.0,0.12,,6228000.0,,0.0,97598000,0,1326109000.0,,0.0,,,420000.0,,-2276341000.0,92244000,,20889000.0,-8181000.0,287847000,,-27746000.0,110903000,77933000,10124048000.0,39528000,7847707000.0,353300000.0,9646000,75301000.0,,,,,,,,,,,,
2016-09-30,48179000.0,0.0,2250000,3620681000.0,29716000.0,17690000,5654000.0,9168763000.0,9525562000.0,3719952000.0,54260000,42839000.0,42671000,,10591000,242616034.0,-11423000,2701000,,340284000.0,0.18,51092000.0,242616034.0,340284000.0,,56961000,340284000,10591000,,0,-7913000,3877063000.0,120108000,46555000.0,0.0,0.18,-1381000.0,8247000.0,2019000.0,0.0,154809000,338034000,1343216000.0,0.0,0.0,-553225000.0,915000.0,2036000.0,184000.0,-2328834000.0,140685000,18486000.0,51092000.0,-19871000.0,-117858000,0.0,0.0,172499000,120108000,11451042000.0,97848000,9122208000.0,356799000.0,43586000,157111000.0,,,,,,,,,,,,
2016-12-31,47957000.0,47957000.0,20208000,3621942000.0,26137000.0,20889000,9503000.0,9125839000.0,9506740000.0,3742221000.0,61807000,43898000.0,50999000,,12394000,57760665.0,-2571000,3406000,,360492000.0,0.22,72322000.0,57504001.0,360492000.0,-94109000.0,65214000,360492000,12394000,,0,-1043000,3898479000.0,115360000,46161000.0,0.0,0.21,-3849000.0,10478000.0,2233000.0,0.0,163257000,340284000,1333817000.0,445000.0,0.0,0.0,1349000.0,2046000.0,184000.0,-2388492000.0,158054000,-3231000.0,72322000.0,-29758000.0,-95152000,0.0,0.0,184146000,115360000,11468170000.0,98043000,9079678000.0,380901000.0,52348000,156258000.0,1349000.0,,,,,,,,,,,
2017-03-31,47735000.0,0.0,7806000,3606973000.0,27018000.0,20487000,4612000.0,9065388000.0,9449452000.0,3735275000.0,61684000,44636000.0,46692000,,11348000,57784240.0,-7160000,2680000,,368298000.0,0.19,80567000.0,57506195.0,368298000.0,-94109000.0,64364000,368298000,11348000,,0,-526000,3887415000.0,119191000,45768000.0,0.0,0.19,4891000.0,4829000.0,-5249000.0,0.0,163412000,360492000,1322873000.0,295000.0,,-16750000.0,1238000.0,1894000.0,188000.0,-2448379000.0,154250000,469000.0,80567000.0,-40692000.0,-111385000,,,183899000,119191000,11467999000.0,99048000,9019620000.0,384064000.0,47930000,152140000.0,1238000.0,,,,,,,,,,,
2017-06-30,47513000.0,0.0,8544000,3601214000.0,17580000.0,20642000,4166000.0,9002996000.0,9392823000.0,3737474000.0,60227000,44818000.0,43875000,,10680000,57854088.0,-11937000,2661000,,376842000.0,0.18,88747000.0,57687558.0,376842000.0,-94110000.0,62888000,376842000,10680000,,0,-498000,3885479000.0,111527000,45374000.0,0.0,0.18,446000.0,8829000.0,4001000.0,0.0,163814000,368298000,1312776000.0,-680000.0,,-8375000.0,1177000.0,5226000.0,362000.0,-2481639000.0,150097000,-10099000.0,88747000.0,-56914000.0,-102983000,,,184456000,111527000,11439261000.0,100926000,8957622000.0,389827000.0,45052000,148005000.0,1177000.0,,,,,,,,,,,
