date,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyRepaymentOfDebt,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyNetPPE,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyBasicAverageShares,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyDilutedEPS,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyChangeInInventory,quarterlyCashDividendsPaid
2003-03-31,-164049000,13275000,-14000.0,5496000.0,,5295000,13828000,29703000.0,139300000,5000,2000000,0,56000.0,-930000,127000,-20978000.0,,-15404000,,,,4038000,13828000.0,0.273333,,-22660000,294000,,,-20390000.0,-13732000,,,357526000,17107000.0,14709000,,,1317000,,103242000,,2000000,192160000,,356209000,,7980000,29167500.0,212111000,3108000,129254000,7980000,7980000,,,82857000,,-1436000,,,-2366000,125568000,0.266667,9648000.0,,,8280000.0,,,,,,,,,
2003-06-30,16796000,16990000,-5223000.0,4941000.0,,6043000,15398000,28807895.0,125568000,5000,135598000,133598000,0.0,-2389000,625000,-23614000.0,,-1723000,,2000000.0,,10788000,15398000.0,0.386667,1393000.0,15682000,-687000,114810000.0,,0.0,8030000,23392000.0,,18968000,-16528000.0,15422000,217006000.0,139595000.0,1374000,12319000.0,114189000,,2000000,194983000,,17594000,28712000.0,10947000,28311207.0,245718000,8399000,151914000,10947000,10947000,-2000000.0,3819000.0,93804000,,1354000,,160593000.0,-1035000,133598000,0.38,25669000.0,21000.0,34390000.0,8500000.0,4734000.0,,,,,,,,
2003-09-30,18197000,17227000,0.0,5657000.0,,5503000,17193000,38230435.0,133598000,25000,223502000,161205000,0.0,-2763000,398000,16105000.0,-8500000.0,91515000,,2000000.0,,2494000,17193000.0,0.306667,,-40783000,998000,,44000.0,-19610000.0,27607000,0.0,,19191000,28957000.0,16599000,289805000.0,110767000.0,1598000,2180000.0,125913000,,62297000,197526000,,17593000,31144000.0,11724000,38230435.0,320949000,-269000,112947000,11724000,11724000,1787000.0,2180000.0,208002000,,17587000,,161736000.0,-66402000,161205000,0.306667,-27435000.0,32000.0,35790000.0,0.0,4343000.0,,,,,,,,
2003-12-31,16857000,18921000,-8500000.0,12284000.0,,7055000,18380000,,161205000,25000,240672000,141850000,0.0,-2270000,302000,5446000.0,0.0,1222000,,2000000.0,79027000.0,28231000,18380000.0,,2882000.0,42802000,-706000,116959000.0,54000.0,0.0,-19355000,0.0,1222000.0,21255000,-27775000.0,14813000,302057000.0,119841000.0,2044000,3422000.0,137779000,,98822000,208928000,-96536000.0,19211000,42528000.0,11866000,,344585000,25961000,123263000,11866000,11866000,2442000.0,3422000.0,221322000,,-29029000,,172860000.0,-48808000,141850000,,6192000.0,12000.0,36068000.0,0.0,7868000.0,,,,,,,,
2004-03-31,19057000,17659000,0.0,11838000.0,,6561000,17811000,38877000.0,141850000,27000,302423000,170138000,,-584000,255000,1718000.0,0.0,48077000,,2000000.0,106888000.0,11971000,17811000.0,0.293333,4290000.0,-1753000,870000,110669000.0,126000.0,0.0,28288000,0.0,48077000.0,18351000,157000.0,17458000,361797000.0,114959000.0,1599000,3616000.0,148877000,,132285000,220026000,-247125000.0,16752000,38758000.0,11098000,38251500.0,400555000,11387000,118575000,11098000,11098000,2149000.0,-94880000.0,281980000,,109061000,,184217000.0,-31760000,170138000,0.286667,-6290000.0,1162000.0,35809000.0,,5732000.0,,,,,,,,
2004-06-30,20576000,19157000,0.0,29426000.0,,7207000,18277000,41607000.0,170138000,27000,295526000,178339000,,-1588000,258000,-5091000.0,0.0,761000,,2000000.0,275658000.0,12002000,18277000.0,0.293333,2786000.0,-1485000,-354000,115047000.0,-404000.0,0.0,8201000,0.0,761000.0,21168000,157000.0,18842000,360328000.0,117833000.0,1734000,3417000.0,160827000,,117187000,249058000,-537065000.0,19434000,55701000.0,11950000,41029500.0,416029000,10414000,121250000,11950000,11950000,2486000.0,-98305000.0,294779000,,276433000,,209048000.0,-4562000,178339000,0.286667,4178000.0,-19000.0,40010000.0,,4601000.0,,,,,,,,
2004-09-30,29200000,24810000,-5819000.0,33857000.0,,8371000,21134000,41701500.0,178339000,28000,296132000,219387000,,-2531000,280000,-1561000.0,-3994000.0,-5550000,,9815000.0,47435000.0,24829000,21134000.0,0.4,7718000.0,5783000,-160000,158360000.0,-143000.0,0.0,41048000,2240000.0,-1556000.0,27647000,209000.0,26642000,372930000.0,168318000.0,2558000,7534000.0,177266000,,76745000,330807000,-54040000.0,25089000,115547000.0,16439000,41184000.0,488477000,22298000,175852000,16439000,16439000,3423000.0,4086000.0,312625000,46484000.0,12905000,,276518000.0,21769000,219387000,0.393333,7280000.0,1000.0,54289000.0,,4257000.0,3448000.0,,,,,,,
2004-12-31,34186000,26059000,5745000.0,36749000.0,,9773000,25826000,,219387000,28000,316601000,228071000,171000.0,-6062000,256000,21678000.0,-3842000.0,1903000,,10847000.0,20058000.0,42247000,25826000.0,,7110000.0,17026000,1819000,183176000.0,-234000.0,0.0,8684000,1676000.0,0.0,29266000,4138000.0,31208000,394318000.0,192133000.0,2978000,11104000.0,193552000,,88530000,375377000,396960000.0,26288000,139541000.0,16286000,,533859000,36185000,203237000,16286000,16286000,3981000.0,4066000.0,330622000,61978000.0,-394656000,,314903000.0,-35466000,228071000,,28000.0,27000.0,60474000.0,1723000.0,4141000.0,5315000.0,,,,,,,
2005-03-31,36744000,23805000,-40000.0,35149000.0,,9046000,26416000,41946000.0,228071000,28000,315607000,242425000,174000.0,-2189000,289000,-8207000.0,-3100000.0,3446000,,18928000.0,18935000.0,2439000,26416000.0,0.353333,5736000.0,-18920000,1472000,174788000.0,-469000.0,,14354000,725000.0,386000.0,27292000,1930000.0,33546000,400636000.0,181423000.0,3198000,14957000.0,208311000,,73182000,393952000,-4010000.0,24094000,142471000.0,14759000,41424000.0,543107000,250000,196380000,14759000,14759000,3086000.0,4432000.0,346727000,61978000.0,-4267000,,333114000.0,8469000,242425000,0.353333,-9339000.0,0.0,60838000.0,4780000.0,,5745000.0,,,,,,,
2005-06-30,40618000,-7591000,-42000.0,125290000.0,,-2885000,29248000,41560500.0,242425000,28000,288078000,202463000,177000.0,-4609000,418000,4376000.0,-42000.0,1046000,,19949000.0,3423000.0,7750000,29248000.0,-0.113333,0.0,9795000,-1404000,196403000.0,-357000.0,,-39962000,939000.0,1088000.0,-2276000,507000.0,37060000,381152000.0,197519000.0,3558000,13995000.0,203605000,,85615000,404274000,-15635000.0,-5834000,174487000.0,-4706000,41560500.0,555639000,3141000,211514000,-4706000,-4706000,3576000.0,4361000.0,344125000,,-737000,,369490000.0,-48758000,202463000,-0.113333,21829000.0,-1339000.0,34784000.0,4735000.0,,4899000.0,,,,,,,
