date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyDilutedAverageShares,quarterlyGoodwill,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyBasicAverageShares,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyCurrentAccruedExpenses,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCapitalStock,quarterlyPretaxIncome,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCommonStockIssuance,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments
1996-12-31,195700000.0,5100000.0,38300000.0,115300000.0,800000.0,63100000.0,22173913.0,,5100000,450200000.0,23300000.0,0.23,-17000000.0,387100000.0,5000000.0,91000000.0,311000000.0,0.0,,22173913.0,17500000.0,,5100000,5100000,-1600000.0,129400000.0,6300000.0,43000000.0,,200000.0,,5800000.0,,67400000.0,0.0,-28500000.0,,,8600000.0,12700000.0,0.23,,139200000.0,-100000.0,,27400000.0,,15200000.0,800000.0,,15200000.0,800000.0,83500000.0,3300000.0,,66400000.0,-2100000.0,-19600000.0,1400000.0,,,,50500000.0,-12200000.0,11700000,,84900000,48100000.0,212600000.0,3500000.0,,41100000.0,2500000.0,,16700000,,
1997-03-31,339700000.0,49500000.0,59900000.0,84500000.0,1200000.0,123400000.0,32246377.0,,44500000,857100000.0,27700000.0,1.38,-10100000.0,733700000.0,9800000.0,10100000.0,424200000.0,98100000.0,,32246377.0,92400000.0,,44500000,44500000,2500000.0,228000000.0,9200000.0,84000000.0,,300000.0,,11000000.0,,82900000.0,0.0,-161500000.0,,,73800000.0,0.0,1.38,,432900000.0,-139500000.0,,26200000.0,-35200000.0,58000000.0,700000.0,,58000000.0,300000.0,236900000.0,7900000.0,,78200000.0,28900000.0,131900000.0,-12200000.0,,,,72500000.0,-12600000.0,81400000,521900000.0,175300000,6000000.0,486700000.0,29300000.0,,1600000.0,42700000.0,,91200000,,
1997-06-30,331400000.0,36200000.0,-27400000.0,61100000.0,3200000.0,72900000.0,34750000.0,,-13900000,814400000.0,28900000.0,-0.4,-9200000.0,741500000.0,9600000.0,9500000.0,392500000.0,0.0,,34750000.0,-4700000.0,,-13900000,-13900000,300000.0,228000000.0,8700000.0,74500000.0,,700000.0,,12900000.0,,42600000.0,0.0,-23900000.0,,,-21600000.0,0.0,-0.4,,421900000.0,-100000.0,,26100000.0,-35200000.0,21700000.0,500000.0,,21700000.0,300000.0,233200000.0,4600000.0,,54900000.0,-8600000.0,0.0,-5900000.0,,0.0,,-12300000.0,-15100000.0,-17600000,534000000.0,37900000,5900000.0,498800000.0,-7700000.0,,5700000.0,-36200000.0,,-7900000,,
1997-09-30,372300000.0,19700000.0,-75300000.0,77900000.0,-700000.0,76400000.0,,,-16500000,855900000.0,23300000.0,,,779500000.0,9600000.0,168100000.0,450200000.0,-42100000.0,,,-13800000.0,,-16500000,-16500000,-2000000.0,263300000.0,10800000.0,85700000.0,,0.0,,8900000.0,,46800000.0,0.0,-37900000.0,,,-27100000.0,0.0,,,405700000.0,-6700000.0,,28800000.0,-59900000.0,14700000.0,500000.0,,14700000.0,1700000.0,200300000.0,4400000.0,,70200000.0,-10800000.0,38700000.0,6100000.0,,0.0,,-7300000.0,-68000000.0,-22700000,471000000.0,33000000,6000000.0,411100000.0,-10600000.0,,-48300000.0,-6400000.0,,-13100000,,
1997-10-31,,,,,,,33793103.0,,-9800000,,,-0.29,,,,,,,,33793103.0,,,-9800000,-9800000,,,,,,,,,,,,,,,,,-0.29,,,,,,,,,,,,,,,,,,,,,,,,4100000,,4100000,,,,,,,,4100000,,
1998-01-31,410500000.0,35800000.0,,104900000.0,1700000.0,102300000.0,34255319.0,,16100000,948100000.0,24100000.0,0.47,,845800000.0,,151600000.0,515400000.0,,,34255319.0,50400000.0,,16100000,16100000,,289300000.0,13000000.0,97100000.0,,500000.0,,15200000.0,,141200000.0,,,,,27500000.0,,0.47,,432700000.0,,,32400000.0,-59900000.0,28100000.0,,,28100000.0,1700000.0,202600000.0,8100000.0,,102800000.0,,,,,,,,,35200000,551500000.0,191600000,400000.0,491600000.0,11400000.0,,,,,48700000,,
1998-04-30,396500000.0,77500000.0,76600000.0,60500000.0,1500000.0,84700000.0,34750000.0,,41700000,934000000.0,23300000.0,1.21,,849300000.0,11800000.0,148700000.0,457000000.0,3400000.0,,34462810.0,88600000.0,,41700000,41700000,2700000.0,246600000.0,10300000.0,126600000.0,,900000.0,,13300000.0,,85400000.0,0.0,-16700000.0,,,71200000.0,0.0,1.2,,477000000.0,-41400000.0,,34900000.0,-59900000.0,11700000.0,,,11700000.0,1700000.0,199700000.0,4900000.0,,58400000.0,29500000.0,-41000000.0,-40400000.0,,1700000.0,,41400000.0,35200000.0,75300000,560800000.0,174000000,400000.0,500900000.0,29500000.0,,-1700000.0,-16400000.0,,87100000,,
1998-10-31,448400000.0,40300000.0,-72100000.0,107600000.0,1500000.0,91200000.0,34745763.0,,-20500000,1004100000.0,27100000.0,-0.59,,912900000.0,11800000.0,176100000.0,556000000.0,0.0,,34745763.0,-17500000.0,,-20500000,-20500000,-14800000.0,356500000.0,28300000.0,64800000.0,,400000.0,,13300000.0,,66100000.0,0.0,-79800000.0,,,-35000000.0,19500000.0,-0.59,,442700000.0,0.0,,16900000.0,-93700000.0,20500000.0,,,20500000.0,700000.0,199800000.0,5700000.0,,104600000.0,-14500000.0,73100000.0,31700000.0,,100000.0,,7700000.0,-79800000.0,-30800000,630700000.0,48600000,2300000.0,537000000.0,-14500000.0,,4500000.0,1000000.0,,-19000000,,
1999-01-31,438900000.0,56800000.0,81100000.0,129300000.0,1300000.0,116600000.0,35106383.0,,16500000,1036100000.0,29500000.0,0.48,,919500000.0,12900000.0,174100000.0,568200000.0,0.0,,34375000.0,51200000.0,,16500000,16500000,17900000.0,332700000.0,24400000.0,76700000.0,,600000.0,,14200000.0,,108800000.0,0.0,-23200000.0,,,28400000.0,0.0,0.47,,459600000.0,-58700000.0,,16800000.0,-106600000.0,17700000.0,,,17700000.0,2100000.0,197500000.0,6200000.0,,125000000.0,11900000.0,-25100000.0,-7400000.0,,400000.0,,45600000.0,35500000.0,37000000,654500000.0,160000000,2200000.0,547900000.0,11900000.0,,4200000.0,-2800000.0,,49900000,,
1999-04-30,423000000.0,87000000.0,4900000.0,92200000.0,1700000.0,94400000.0,34712644.0,,30200000,1014800000.0,28400000.0,0.87,,920400000.0,13500000.0,171200000.0,515200000.0,0.0,,34712644.0,77000000.0,,30200000,30200000,-9200000.0,293300000.0,19600000.0,101300000.0,,700000.0,,15100000.0,,125200000.0,0.0,-17900000.0,,,54900000.0,0.0,0.87,,490000000.0,25200000.0,,16800000.0,-116100000.0,10100000.0,,,10100000.0,500000.0,196100000.0,5800000.0,,89400000.0,24700000.0,-37900000.0,-23700000.0,,100000.0,,48000000.0,-43100000.0,61900000,669200000.0,202200000,2300000.0,553100000.0,24700000.0,,,-7600000.0,,75400000,,
