date,quarterlyCapitalStock,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyBeginningCashPosition,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyBasicAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlySaleOfInvestment,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyTaxProvision,quarterlyDilutedEPS,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyGoodwill,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyBasicEPS,quarterlyGrossProfit,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue
1984-03-31,,,,,,,,,,,,25760000.0,,,,,,,,,,,,,,418100000,,,418100000,,,,0.75,,,,,,418100000,,,,,,,,25760000.0,,,,,,,,,,,0.75,,,24700000,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,25760000.0,,,,,,,,,,,,,,446500000,,,446500000,,,,1.15,,,,,,446500000,,,,,,,,25760000.0,,,,,,,,,,,1.15,,,35600000,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,25760000.0,,,,,,,,,,,,,,423300000,,,423300000,,,,1.1,,,,,,423300000,,,,,,,,25760000.0,,,,,,,,,,,1.1,,,33500000,,,,,,,,,,,,,,,,
1984-12-31,,,43900000.0,,,,,734300000.0,17600000.0,-541400000.0,,,69300000.0,9800000.0,69300000.0,,,,,,,,,,,-1102400000,1114600000.0,,387200000,184600000.0,573200000.0,,,,,,,,-1102400000,,552400000.0,,661500000.0,194400000.0,450100000.0,,,,1481100000.0,,1031000000.0,57000000.0,,,746800000.0,413900000.0,,,,,38500000,,,74600000.0,420800000.0,152700000.0,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,25760000.0,,,,,,,,,,,,,,377400000,,,377400000,,,,1.1,,,,,,377400000,,,,,,,,25760000.0,,,,,,,,,,,1.1,,,28200000,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,,,,,,25800000.0,,,,,,,,,,,,,,404300000,,,404300000,,,,0.65,,,,,,404300000,,,,,,,,25800000.0,,,,,,,,,,,0.65,,,16000000,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,,25496400.0,,,,,,,,,,,,,,386000000,,,386000000,,,,1.4,,,,,,386000000,,,,,,,,25496400.0,,,,,,,,,,,1.4,,,35100000,,,,,,,,,,,,,,,,
1985-12-31,,,46200000.0,,,,,789000000.0,21200000.0,-543400000.0,,,80400000.0,1300000.0,80400000.0,,,,,,,,,,,-973100000,1100700000.0,,379300000,214200000.0,557300000.0,,,,,,,,-973100000,,551700000.0,,701300000.0,215500000.0,454600000.0,,,,1556200000.0,,1101600000.0,51900000.0,,,767200000.0,498100000.0,,,,,37900000,,,100300000.0,399500000.0,139000000.0,,,,,,,,,,,
1986-03-31,,,,,,,,,,,,25118000.0,,,,,,,,,,,,,,378000000,,,378000000,,,,1.25,,,,,,378000000,,,,,,,,25118000.0,,,,,,,,,,,1.25,,,32000000,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,25118000.0,,,,,,,,,,,,,,406000000,,,406000000,,,,1.8,,,,,,406000000,,,,,,,,25118000.0,,,,,,,,,,,1.8,,,45100000,,,,,,,,,,,,,,,,
