date,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyDilutedEPS,quarterlyTaxProvision,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyBasicEPS,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyDilutedAverageShares,quarterlyChangeInAccountPayable,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyInventory,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyChangesInAccountReceivables,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyGoodwill
2002-03-31,,,,14128000,-0.078571,,9000,2475000.0,87000.0,15671000,15671000,-1167000,531000.0,-6256000,3181000,0.0,8424000.0,6505000,2323000,-45766000.0,-460000,0,44740000,57316000.0,-23859000.0,,,,16131000,16292000,16242000,29412000,-4508000,-5798000,5080000,,1026000,-141774000,,,-4054000,249000,-0.078571,30527000,2981000,,19865000,59894000.0,24875000,135612000,253000.0,,2099000,,-90872000,57316000.0,,4358000,106200000,15158000,0,,15671000,,15369000,19423000,-4508000,-4508000,6287000,3158000.0,,,,,,,
2002-06-30,,,,12843000,-0.093571,,21000,1910000.0,86428000.0,91799000,49759000,71587000,10887000.0,-4229000,3518000,0.0,7710000.0,8116000,2314000,-49753000.0,34088000,0,117898000,143024000.0,-19131000.0,,,42040000.0,15671000,13371000,17292000,30166000,-13429000,-45615000,6255000,,3713000,-155203000,,,-2542000,3887000,-0.093571,36360000,2297000,,95031000,62596000.0,22867000,31200000,269000.0,,765000,,86698000,143024000.0,,7819000,1034000,18092000,-42138000,,49759000,,18268000,20810000,-13429000,-13429000,7066000,,,,,,,,
2002-09-30,,,,12940000,-0.005714,,22000,1482000.0,91000.0,97538000,54321000,-745000,,-6392000,3966000,0.0,6902000.0,11074000,1790000,-54416000.0,4562000,0,122907000,306908000.0,-13152000.0,,0.0,43217000.0,49759000,18148000,17544000,34917000,-1695000,-5767000,7047000,-467000.0,4772000,-156898000,,,-2275000,4682000,-0.005714,40731000,4690000,,101275000,67356000.0,21632000,35596000,285000.0,,1551000,,87311000,306908000.0,,8108000,679000,21496000,524000,,54321000,,19235000,21510000,-1695000,-1695000,7179000,,,,,,,,
2002-12-31,,,,15592000,,,22000,1231000.0,1414000.0,103610000,59814000,1195000,1211000.0,-9944000,3960000,0.0,6094000.0,14419000,1769000,-64727000.0,5493000,0,130530000,,-10625000.0,,-3000.0,43796000.0,54321000,20350000,20639000,40426000,-2315000,-10121000,8095000,-408000.0,5294000,-159213000,,,-2801000,4475000,,45188000,6035000,,107075000,80319000.0,23455000,41174000,288000.0,,409000,,89356000,,,9102000,748000,23390000,21000,,59814000,,21798000,24599000,-2315000,-2315000,9743000,,,,,,,,
2003-03-31,,,,14588000,-0.014286,,23000,940000.0,1549000.0,110332000,66028000,1142000,191000.0,-6970000,4183000,0.0,5285000.0,12827000,2562000,-71347000.0,6214000,0,135629000,318318000.0,-9990000.0,,,44304000.0,59814000,22218000,26390000,43910000,-4521000,-7755000,8762000,-380000.0,3851000,-163734000,,,-4911000,5857000,-0.014286,55669000,4369000,,113194000,85935000.0,22435000,44565000,279000.0,,796000,,91064000,318318000.0,,9525000,655000,30007000,-793000,,66028000,,25662000,30573000,-4521000,-4521000,11227000,,,,,,,,
2003-06-30,,,,23461000,0.007857,,24000,835000.0,1496000.0,116325000,71229000,1235000,95000.0,-19427000,4123000,0.0,4477000.0,23620000,2542000,-80739000.0,5201000,0,150065000,331072000.0,-6912000.0,,,45096000.0,66028000,28009000,20975000,51532000,3313000,-19654000,11340000,-363000.0,14188000,-158867000,,,2848000,4193000,0.01,63187000,7321000,,119585000,104200000.0,30480000,52059000,271000.0,,232000,,98006000,431368000.0,,10294000,527000,35241000,20000,,71229000,,27946000,25098000,3313000,3313000,12394000,,,,,,,,
2003-09-30,,,,25027000,0.007143,,24000,371000.0,988000.0,124407000,79170000,437000,87000.0,-15063000,4738000,0.0,3704000.0,21986000,2531000,-93062000.0,7941000,0,158864000,337204000.0,-5390000.0,,,45237000.0,71229000,28459000,25960000,53555000,3303000,-14482000,14214000,-354000.0,17070000,-155564000,,,2856000,6923000,0.01,72202000,2544000,,127602000,118089000.0,31262000,54003000,263000.0,,295000,,104861000,440440000.0,,10954000,448000,38648000,11000,,79170000,,33554000,30698000,3303000,3303000,13771000,,,,,,,,
2003-12-31,,,,9772000,,,51000,416000.0,2266000.0,135191000,89894000,2151000,44000.0,-23032000,4840000,0.0,2948000.0,31359000,24346000,-19553000.0,10724000,0,176012000,,-4886000.0,,,45297000.0,79170000,32654000,30348000,63019000,2271000,-22786000,16675000,-582000.0,18208000,-153293000,,,1533000,8327000,,81185000,8837000,,138946000,29325000.0,37066000,63304000,241000.0,,245000,,112708000,,,11625000,285000,44464000,423000,,89894000,,36721000,35188000,2271000,2271000,18324000,,,,,,,,
2004-03-31,,,,10328000,-0.015714,,52000,360000.0,1819000.0,146202000,100188000,1708000,31000.0,-1808000,5039000,0.0,2322000.0,33800000,29625000,-19553000.0,10294000,0,191233000,358974000.0,-3219000.0,,,46014000.0,89894000,43183000,45054000,77500000,-5790000,-25214000,20005000,-364000.0,13655000,-159083000,,,-6350000,31992000,-0.015714,100370000,15503000,,148958000,29881000.0,42275000,77708000,,,541000,,113525000,358974000.0,,12461000,208000,56627000,-19000,,100188000,,43743000,50093000,-5790000,-5790000,21496000,,,,,,,,
2004-06-30,,,,11053000,0.005714,,52000,253000.0,,153444000,153444000,2187000,30000.0,-2048000,5652000,-1819000.0,1868000.0,31966000,32551000,-19553000.0,53256000,0,204193000,363286000.0,-4232000.0,,,,100188000,42552000,42264000,81908000,2891000,19103000,22918000,-222000.0,25535000,-156192000,,,2617000,29918000,0.008571,120321000,2165000,,158721000,30606000.0,45472000,82287000,,,641000,,121906000,454825000.0,,13852000,379000,69788000,-168000,,153444000,,50533000,47916000,2891000,2891000,25251000,,,,,,,,
