date,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyBasicAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyBasicEPS,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyInventory,quarterlyDilutedAverageShares,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyNetOtherInvestingChanges,quarterlyPretaxIncome,quarterlyCashAndCashEquivalents,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyResearchAndDevelopment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetPPE,quarterlyDeferredIncomeTax,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyCommonStockIssuance,quarterlyCashDividendsPaid
2014-09-30,32000000,,,,,,,,,,,,39000000,,8000000,,,,93000000,-19000000.0,,0,39000000,40000000,,29000000,,29000000,,28000000,,,-29000000,190000000,,,,,14000000,,0,60000000,,,,,,,,,64000000,-19000000.0,-29000000,4000000,,,17000000,,,,1000000.0,,283000000,61000000,,,14000000,,-6000000.0,20000000,,72000000,,,,,
2014-12-31,-1000000,,,159000000.0,,,271000000.0,139000000.0,13000000.0,6000000.0,447000000.0,718000000.0,27000000,,9000000,11000000.0,298000000.0,,68000000,-7000000.0,,6000000,27000000,28000000,67000000.0,27000000,86000000.0,27000000,,20000000,130000000.0,,-43000000,173000000,30000000.0,114000000.0,417000000.0,,28000000,,-1000000,43000000,20000000.0,-440000000.0,,20000000.0,7000000.0,,13000000.0,,41000000,-4000000.0,-42000000,4000000,3000000.0,96000000.0,1000000,,-7000000.0,410000000.0,0.0,,241000000,41000000,,850000000.0,-8000000,0.0,3000000.0,15000000,,56000000,,,,,
2015-03-31,-35200000,,42072000.0,,,0.546682,,,,,,,23000000,,8500000,,,-11800000.0,69100000,24600000.0,,-400000,23000000,24200000,,28200000,,28200000,-10400000.0,17600000,,42072000.0,-18300000,170100000,,,,,19900000,,0,36400000,,,,,,-14800000.0,,,40900000,32500000.0,-18300000,4100000,,,-47400000,,,,-2200000.0,0.546682,239200000,-16900000,,,-2300000,,0.0,12200000,,49000000,,,,,
2015-06-30,9200000,,42072000.0,158000000.0,,0.615611,305000000.0,120000000.0,13000000.0,6000000.0,451000000.0,756000000.0,25900000,,8500000,15000000.0,278000000.0,,85100000,-14600000.0,,-5000000,25900000,27100000,66000000.0,32100000,86000000.0,32100000,,15000000,145000000.0,42072000.0,-18700000,177100000,28000000.0,128000000.0,474000000.0,,17600000,,0,43600000,15000000.0,-451000000.0,,15000000.0,17000000.0,,12000000.0,,53000000,-10500000.0,-18700000,4400000,15000000.0,68000000.0,-10600000,,-12000000.0,411000000.0,1200000.0,0.615611,262200000,27900000,,862000000.0,-2700000,0.0,,16500000,,56500000,,,,,
2015-09-30,-4000000,,42072000.0,158000000.0,,0.556189,313000000.0,104000000.0,12000000.0,6000000.0,467000000.0,780000000.0,23400000,,8000000,18000000.0,262000000.0,,77600000,18000000.0,,-4000000,23400000,24700000,66000000.0,28000000,86000000.0,28000000,,30000000,147000000.0,42072000.0,-26000000,178900000,20000000.0,117000000.0,514000000.0,,15000000,,1000000,40500000,30000000.0,-443000000.0,,30000000.0,19000000.0,,11000000.0,,49600000,14000000.0,-27000000,5100000,11000000.0,59000000.0,-10000000,,-16000000.0,426000000.0,0.0,0.556189,256500000,23000000,,869000000.0,15000000,0.0,,15800000,,53600000,,,,,
2015-12-31,1000000,,,163000000.0,,,299000000.0,97000000.0,12000000.0,4000000.0,483000000.0,782000000.0,5000000,,10000000,6000000.0,260000000.0,,49000000,-1000000.0,,2000000,5000000,6000000,76000000.0,26000000,,26000000,,32000000,151000000.0,,-27000000,161000000,22000000.0,96000000.0,517000000.0,,30000000,,0,18000000,32000000.0,-445000000.0,,32000000.0,5000000.0,,21000000.0,,23000000,-9000000.0,-38000000,7000000,9000000.0,65000000.0,7000000,,-17000000.0,438000000.0,11000000.0,,210000000,39000000,1000000.0,883000000.0,2000000,0.0,,12000000,,35000000,,,,,
2016-03-31,-12300000,,42000000.0,157000000.0,,0.195238,311300000.0,102800000.0,12200000.0,5100000.0,482200000.0,793500000.0,8200000,,9000000,19500000.0,259800000.0,-2900000.0,60000000,2900000.0,,-7200000,8200000,9800000,71900000.0,27600000,,27600000,-19900000.0,22700000,171500000.0,42000000.0,-11300000,143900000,31600000.0,95800000.0,528300000.0,,32000000,,0,19800000,22700000.0,-453500000.0,,22700000.0,0.0,1100000.0,9300000.0,,32400000,2900000.0,-11300000,5400000,8900000.0,62300000.0,-14300000,,-17200000.0,441200000.0,-3800000.0,0.195238,203900000,-1000000,,894700000.0,-9300000,0.0,-1800000.0,10000000,,34200000,,,,,
2016-06-30,26800000,,42102000.0,644800000.0,13900000.0,0.56,352700000.0,126200000.0,12500000.0,9200000.0,554900000.0,907600000.0,23700000,,9300000,17900000.0,771000000.0,12000000.0,76100000,-405200000.0,69100000.0,-3800000,23700000,25800000,69000000.0,28900000,566600000.0,28900000,15900000.0,55700000,156800000.0,42126000.0,-80000000,172600000,30100000.0,116700000.0,129900000.0,400000.0,22700000,,-69100000,38400000,55700000.0,-461200000.0,,55700000.0,0.0,-19400000.0,8700000.0,,47200000,75400000.0,-10900000,5000000,0.0,88800000.0,4900000,,-12500000.0,442800000.0,-6800000.0,0.56,248700000,37700000,7300000.0,904000000.0,33000000,0.0,3800000.0,12600000,,52700000,,,,,
2016-09-30,22800000,,42103000.0,594000000.0,6800000.0,-0.17,313300000.0,119000000.0,12400000.0,9300000.0,532100000.0,845400000.0,-7100000,-300000.0,10100000,18300000.0,713000000.0,-17100000.0,81000000,-2000000.0,69400000.0,-37000000,-7100000,-4800000,71200000.0,29700000,513500000.0,29700000,2100000.0,27100000,154700000.0,42103000.0,-15400000,171000000,39100000.0,108000000.0,125300000.0,400000.0,55700000,,-300000,10500000,27100000.0,-471300000.0,1200000.0,27100000.0,0.0,7500000.0,8000000.0,,51300000,-50300000.0,-15100000,3800000,5000000.0,74400000.0,-2900000,,-12200000.0,419900000.0,2000000.0,-0.17,252000000,37900000,500000.0,891200000.0,-28600000,0.0,31400000.0,15300000,2200000.0,24400000,,,,,
2016-12-31,33900000,,42100000.0,561300000.0,16000000.0,0.22,295200000.0,136900000.0,12400000.0,3600000.0,537600000.0,832800000.0,10400000,-300000.0,10400000,8800000.0,698200000.0,6500000.0,57300000,-1600000.0,69700000.0,-7500000,10400000,13600000,69800000.0,27800000,481300000.0,27800000,-300000.0,30500000,151200000.0,42300000.0,-19700000,146400000,41200000.0,89800000.0,127000000.0,400000.0,27100000,,-300000,18300000,30500000.0,-496600000.0,-1200000.0,30500000.0,5800000.0,16500000.0,18100000.0,,29500000,-31400000.0,-19400000,5100000,7500000.0,79200000.0,25100000,,-19000000.0,422800000.0,700000.0,0.22,203700000,53300000,5300000.0,919400000.0,3400000,38400000.0,-500000.0,4700000,1700000.0,33800000,,,,,
