date,quarterlyTotalAssets,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyOtherShortTermInvestments,quarterlyBasicEPS,quarterlyFreeCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyNetIncome,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyInvestmentsAndAdvances,quarterlySellingGeneralAndAdministration,quarterlyEndCashPosition,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyOtherIntangibleAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyNetOtherInvestingChanges,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyDilutedEPS,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyTaxProvision,quarterlyAccumulatedDepreciation,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyBasicAverageShares,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyOtherCurrentAssets,quarterlyCostOfRevenue,quarterlyEbitda,quarterlyTotalNonCurrentAssets,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingExpense,quarterlyDeferredIncomeTax,quarterlyChangeInInventory,quarterlyCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyNonCurrentDeferredRevenue
1998-03-31,1526500000,,,,0.37,7700000,-500000,10100000.0,7500000,4700000,1600000,4700000,1518800000,500000,0,-685600000.0,16300000,,100000,,4700000,-2800000,-447600000,,1394800000,13055556.0,0.0,238000000,,10100000,-2100000,,500000,100000.0,0.36,131700000,,,,,,,12702703.0,,,900000,,-1300000.0,4700000.0,,439500000,7700000,2700000,5200000,,,,,,,,,,,,,,,,,,,,,,,
1998-06-30,1628900000,,,,0.27,6000000,100000,10900000.0,7600000,3400000,2300000,3400000,1566200000,500000,0,-276200000.0,20200000,,-200000,,3400000,-4100000,-57100000,,1497800000,13076923.0,0.0,219100000,,10900000,-1900000,,0,100000.0,0.26,131100000,,,,,,,12592593.0,,,200000,,,3400000.0,,51100000,6000000,700000,3900000,,,,,,,,,,,,,,,,,,,,,,,
1998-09-30,1597800000,,,,0.29,7600000,0,13400000.0,7500000,3700000,2200000,3700000,1589900000,500000,0,-241300000.0,20800000,,0,,3700000,-4100000,-36700000,,1467500000,12758621.0,100000.0,204500000,,13400000,-2100000,,0,,0.29,130300000,,,,,,,12758621.0,,,500000,,,3700000.0,,29100000,7600000,2800000,4200000,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,1527400000,,,,,-2500000,0,5100000.0,6800000,3700000,2100000,3700000,1520300000,600000,0,-217500000.0,18500000,,0,,3700000,-3400000,175700000,,1401500000,,-100000.0,393300000,,5100000,-6400000,,0,100000.0,,125900000,,,,,,,,,,300000,,,3600000.0,,-173300000,-2500000,-7800000,4200000,,,,,,,,,,,,,,,,,,,,,,,
1999-03-31,1555600000,,,,0.34,10500000,300000,9600000.0,7400000,4300000,2200000,4300000,1547600000,600000,0,-255200000.0,17200000,,0,,4300000,-3900000,-97900000,,1429000000,13030303.0,0.0,157300000,,9600000,-6000000,,100000,300000.0,0.33,126600000,,,,,,,12647059.0,,,400000,,-100000.0,4400000.0,,87700000,10500000,4000000,5000000,,,,,,,,,,,,,,,,,,,,,,,
1999-06-30,1482000000,,,,0.38,5800000,-300000,8800000.0,7400000,4900000,1900000,4900000,1474100000,600000,100000,-101600000.0,16900000,,0,,4900000,-4100000,25200000,,1368400000,13243243.0,100000.0,126700000,,8800000,-19400000,,0,100000.0,0.37,113600000,,,,,,,12894737.0,,,800000,,,4800000.0,,-31300000,5800000,-800000,5400000,,,,,,,,,,,,,,,,,,,,,,,
1999-09-30,1408900000,,,,0.35,4800000,0,7000000.0,6700000,4500000,1200000,4500000,1401800000,500000,100000,-89700000.0,17200000,,4000000,,4500000,-4500000,56800000,,1295800000,12857143.0,-100000.0,146600000,,7000000,-23800000,100000.0,100000,100000.0,0.35,113100000,,,,,,,12857143.0,,,800000,,,4600000.0,,-61500000,4800000,-900000,5100000,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,1491322488,,,,,4281340,2898,6682687.0,6857683,4439280,825909,4439280,1437792631,581290,71918,-113195956.0,18646206,,4170602,,4439280,-4581956,-58586114,,1388050010,,0.0,54609842,,6682687,-37568510,135813.0,100000,71918.0,,103272478,,,,,,,,,,442518,,,4439280.0,,54207672,4281340,-729067,5020570,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,1443530427,,,,0.35,4150715,83996,5439793.0,6769789,8103648,474706,4848362,1436388533,582319,155914,-88428685.0,19292954,,2316617,,8103648,-4753461,12539879,,1334564079,13971112.0,0.0,100968564,,5439793,-34313224,138997.0,71918,155914.0,0.35,108966348,,,,,,,13660539.0,,,425989,,,4848362.0,,-16606598,4150715,-1065500,5430681,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,1470773336,,,,0.27,4811906,-34402,6117961.0,6898611,3838955,519905,3838955,1450852364,507322,121512,-85683126.0,21453016,,2583473,,3838955,-4864891,-28267515,,1360333690,14631940.0,0.0,57415611,,6117961,-35008078,142080.0,155914,121512.0,0.26,110439646,,,,,,,14039741.0,,,2543,,,3838956.0,,23421207,4811906,517819,4346278,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,1769414148,,,,0.27,2719513,-8616,8078937.0,10066568,3806097,826937,3806097,1664136333,526881,112896,-398401549.0,24779096,,767479,,3806097,-4262403,-180496705,,1650706801,14529142.0,0.0,217904844,,8078937,-27739094,142994.0,121512,112896.0,0.26,118707347,,,,,,,14238680.0,,,233781,,,3806097.0,,177768576,2719513,-1040572,4332978,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,2035028788,,,,,2571293,165,8314414.0,11502482,4093873,825205,4093873,1978219376,670104,113061,-380224283.0,27376631,,1725290,,4093873,-3575214,-98186845,,1899386402,,0.0,282037438,,8314414,-13044259,145230.0,112896,113061.0,,135642386,,,,,,,,,,696554,,,4093873.0,,95615717,2571293,-1367156,4763977,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,3523081226,,,,0.38,6284757,-69878,14694685.0,22104991,8330273,2213482,8330273,3500609873,920549,43183,-1838388423.0,33453077,,0,,8330273,-3630745,-1592090610,,3271198144,22514251.0,0.0,246297813,,14694685,3150882,257015.0,113061,43183.0,0.37,251883082,,,,,,,21921771.0,,,1316389,,,8330273.0,,1585735975,6284757,-3989520,9250822,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,5610318419,,,,0.48,18615990,72068,18226032.0,32189910,18594843,6724307,18594843,5572287848,1392778,115251,-2148120233.0,45283966,,0,,18594843,-7710437,-1569983644,,5160367859,39054488.0,0.0,578136589,,18226032,4860055,446767.0,43183,115251.0,0.48,449950560,,,,,,,38473928.0,,,2040535,,,18594843.0,,1551439722,18615990,-6221224,19987621,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,6528519142,,,,0.58,32104144,734407,19784272.0,36580296,26345168,8685442,26345168,6428852659,1993431,849658,-1924645074.0,48620332,,51930,,26345168,-17870698,-1234936264,,5846474554,45959693.0,0.0,689708810,,19784272,56676820,597550.0,115251,849658.0,0.57,682044588,,,,,,,45503179.0,,,1492573,,,26345168.0,,1203566527,32104144,-2187390,28338599,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,7717313899,,,,,42766185,-420411,16043004.0,46803644,39007401,19241881,39007401,7575379313,3004450,429247,-2283061553.0,40697929,,475609566,,39007401,-26893131,-862518313,,7049956894,,0.0,1420543240,,16043004,38169285,598270.0,849658,429247.0,,667357005,,,,,,,,,,4603788,,1330285.0,39007401.0,,819331717,42766185,-14162730,42011851,,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,10258410884,,,,0.69,68429843,57840,21456101.0,51301847,53042977,17891420,53042977,10206227634,3254907,487087,-3838615668.0,40011880,,347895822,,53042977,-35896185,-2352162640,,9249723205,77017431.0,1092990753.0,393462275,,21456101,30501985,828827.0,429247,487087.0,0.69,1008687679,,,,,,,76709836.0,,,5423890,,98680.0,53042977.0,,2283790637,68429843,807011,56297884,,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,11177513904,,,,0.72,77134381,158601,20709661.0,50852975,59369331,19796977,59369331,11124770611,3536217,645688,-2151126971.0,47860099,,-347895822,,59369331,-52222875,-871251599,,10127883360,83186865.0,-1092990753.0,2372866125,,20709661,67282541,829625.0,487087,645688.0,0.71,1049630544,,,,,,,82910206.0,,,8389719,,-304859.0,59369331.0,,794275819,77134381,-384430,62905548,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,11619982000,,,,0.68,89848776,1356559,28035000.0,49950000,56668000,28228603,56668000,11489538000,3268000,2002000,-2021616361.0,54012000,,2249000,,56668000,-56414940,-686144761,,10534977000,83939870.0,0.0,1335471600,,28035000,74382000,845000.0,645688,2002000.0,0.68,1085005000,,,,,,,83668422.0,,,7581000,,1252179.0,56668000.0,,597652544,89848776,8446419,59936000,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,11659084000,,,,,66693000,-1276000,14935000.0,49707000,50426000,40281000,50426000,11551857000,3904000,726000,-3068202000.0,49874000,,-2249000,,50426000,-57465000,-364536000,,10579018000,,0.0,2703666000,,14935000,75511000,846000.0,2002000,726000.0,,1080066000,,,,,,,,,,509000,,398000.0,50426000.0,,296567000,66693000,-12849000,54330000,,,,,,,,,,,,,,,,,,,,,,,
2003-03-31,12674741000,,,,0.6,88072000,219000,15915000.0,50087000,50775000,48519000,50775000,12318070000,3697000,945000,-2297069000.0,44048000,,953000,,50775000,-57499000,-60299000,,11598029000,84837390.0,1700524000.0,536246000,,15915000,71000000,846000.0,726000,945000.0,0.6,1076712000,,,,,,,84606786.0,,,496000,,105000.0,50775000.0,,-27555000,88072000,-307000,54472000,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,14710127000,,,,0.62,91458000,-641000,16788000.0,58026000,58152000,57614000,58152000,12887495000,4201000,304000,-4920184000.0,51770000,,-953000,,58152000,-50801000,-2164239000,,13548689000,93588024.0,-2870524000.0,5626469000,,16788000,1190000,940000.0,945000,304000.0,0.62,1161438000,,,,,,,93384128.0,,,2216000,,2052000.0,58152000.0,,2072141000,91458000,-6129000,62353000,,,,,,,,,,,,,,,,,,,,,,,
2003-09-30,12840958000,,,,0.3,92523000,3077000,13868000.0,53955000,28479000,72047000,28479000,11628271000,4110000,3381000,-2571157000.0,43922000,,3306000,,28479000,-56420000,891764000,,11695230000,95500486.0,180060000.0,3282861000,,13868000,-51870000,960000.0,304000,3381000.0,0.3,1145728000,,,,,,,94685685.0,,,3819000,,-314000.0,28479000.0,,-981211000,92523000,1967000,32589000,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,12990286000,,,,,82866000,-3134000,14989000.0,53743000,42697000,38390000,42697000,12934679000,4225000,247000,-3351663000.0,42264000,,-3306000,,42697000,-26875000,128692000,,11841066000,,989940000.0,2490415000,,14989000,-47261000,961000.0,3381000,247000.0,,1149220000,,,,,,,,,,1361000,,-115000.0,42697000.0,,-214691000,82866000,1894000,46922000,,,,,,,,,,,,,,,,,,,,,,,
2004-03-31,18338693000,,,,0.52,87296000,491000,21299000.0,71446000,58843000,41501000,58843000,18079598000,5790000,738000,-5430945000.0,50303000,,0,,58843000,-45155000,-4102567000,,16650105000,112804001.0,0.0,1328378000,,21299000,4500000,104049000.0,247000,738000.0,0.52,1688588000,-26517895000.0,,,,,,112506206.0,,,1261000,,964000.0,58843000.0,,4015762000,87296000,-13417000,64633000,,,,,,,,,,,,,,,,,,,,,,,
2004-06-30,17242757000,,,,0.52,113113000,3761000,19959000.0,74874000,63835000,56159000,63835000,17121795000,5643000,4499000,-3351481000.0,55648000,,122759000,,61837000,-60940000,-805164000,22905000.0,15690246000,118469756.0,2526000.0,2543791000,,19959000,-177489000,103910000.0,738000,4499000.0,0.52,1552511000,,,494000.0,,,,118276509.0,,64329000.0,5424000,,-1180000.0,64329000.0,,695812000,113113000,-3575000,69972000,,,,,,,,,,,,,,,,,,,,,,,
2004-09-30,18333836000,,,,0.53,114628000,2273000,24483000.0,74291000,66620000,39748000,66620000,18211030000,6159000,6772000,-2365948000.0,70173000,,19597000,,64538000,-59754000,-307308000,38735000.0,16674246000,120994191.0,0.0,2058640000,,24483000,-91987000,103920000.0,4499000,6772000.0,0.53,1659590000,,,1155000.0,,,,120802814.0,,67775000.0,9348000,,631000.0,67775000.0,,194953000,114628000,8979000,74958000,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,19560299000,,,,,101880000,-919000,35721000.0,81557000,59294000,42324000,59294000,19428895000,6862000,5853000,-3248949000.0,93992000,,-39648000,,55629000,-64282000,-1241885000,38735000.0,17859829000,,0.0,2007064000,,35721000,-120800000,178290000.0,6772000,5853000.0,,1700470000,,,2384000.0,,,,,,61678000.0,4345000,,-1231000.0,61678000.0,,1139086000,101880000,2637000,70078000,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,19217143000,,,,0.46,87535000,-3436000,33770000.0,80172000,59333000,36122000,59333000,19091063000,6664000,2417000,-2361872000.0,113993000,,0,,55685000,-64280000,-757698000,38735000.0,17607767000,121564320.0,0.0,1604174000,,33770000,-213280000,178290000.0,5853000,2417000.0,0.46,1609376000,,,1578000.0,,,,121270867.0,,60911000.0,5455000,,-1250000.0,60911000.0,,666727000,87535000,-6090000,69185000,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,19692945000,,,,0.36,67987000,1252000,29654000.0,87960000,46993000,42780000,46993000,19556836000,6800000,3669000,-2460318000.0,133758000,,0,,43345000,-58223000,155111000,38674000.0,17992457000,122013050.0,0.0,2615429000,,29654000,-144853000,178314000.0,2417000,3669000.0,0.36,1700488000,,,3022000.0,,,,121740256.0,,50015000.0,4680000,,-272000.0,50015000.0,,-221846000,67987000,-10078000,58941000,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,19086565000,,,,0.14,74973000,-1985000,34171000.0,83806000,21186000,43916000,21186000,18956001000,6455000,1684000,-2035744000.0,155043000,,11000,,17538000,-47768000,167051000,38489000.0,17527205000,123330645.0,0.0,2202795000,,34171000,-304555000,178325000.0,3669000,1684000.0,0.14,1559360000,,,3353000.0,,,,123169910.0,,24539000.0,6138000,,-616000.0,24539000.0,,-244009000,74973000,10518000,33408000,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,16063422000,,,,,51034000,3124000,27994000.0,71340000,-136759000,32062000,-136759000,15943313000,6359000,4808000,-558935000.0,165766000,,-11000,,-140407000,-19727000,3433753000,38305000.0,14559399000,,0.0,3992688000,,27994000,-207117000,178325000.0,1684000,4808000.0,,1504023000,,,2792000.0,,,,,,-133967000.0,-146637000,,-320000.0,-133967000.0,,-3481663000,51034000,7668000,-42661000,,,,,,,,,,,,,,,,,,,,,,,
2006-03-31,16472707000,,,,-0.12,39174000,-2405000,37738000.0,75092000,-10949000,15998000,-10949000,16315839000,7177000,2403000,-3273966000.0,167512000,,0,,-14597000,-16017000,-1079280000,36817000.0,15038778000,123693851.0,0.0,2194686000,,37738000,-249459000,178325000.0,4808000,2403000.0,-0.12,1433929000,,,2085000.0,,,,123693851.0,,-8864000.0,-174841000,,1316000.0,-8864000.0,,1037701000,39174000,-927000,34367000,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,23783790000,,21256703000.0,,0.02,24346000,51446000,42100000.0,110647000,8578000,18264000,8578000,23474006000,8985000,53849000,-9318353000.0,242473000,,116471000,,3415000,-18769000,-7148957000,35172000.0,21934893000,158703614.0,0.0,2169396000,,42100000,-384912000,290199000.0,2403000,53849000.0,0.02,1843897000,,,1892000.0,,,,158632865.0,,10470000.0,-192748000,,1665000.0,10470000.0,,7176057000,24346000,-25513000,41669000,,,,,,,,,,,,,,,,,,,,,,,
2006-09-30,28614384000,,25844291000.0,,0.21,66500000,12995000,66547000.0,130348000,42850000,15505000,42850000,28376761000,11542000,66844000,-5944274000.0,295726000,,28000,,37477000,-24971000,-4149996000,34628000.0,26126147000,189952159.0,8414000.0,1785864000,,66547000,-119973000,179136000.0,53849000,66844000.0,0.2,2483209000,-73295822000.0,,2273000.0,,,,181767106.0,,45123000.0,-183949000,,-1590000.0,45123000.0,,4096491000,66500000,9457000,57389000,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,30715980000,,,,,91609000,24938000,83998000.0,146089000,53337000,15447000,53337000,30235374000,12359000,91782000,-4659483000.0,349302000,,10970000,,47964000,-35777000,-2661166000,34150000.0,28056149000,,-8414000.0,2006731000,,83998000,-76112000,290607000.0,66844000,91782000.0,,2654507000,-84796665000.0,,1288000.0,,,,,,54625000.0,-175004000,,68707000.0,54949000.0,,2594495000,91609000,6822000,21259000,,,,,,,,,,,,,,,,,,,,,,,
2007-03-31,39584519000,,,,0.29,37283000,4828000,79362000.0,179816000,67432000,15725000,67432000,39238520000,12886000,96610000,-9644743000.0,380164000,,286000,,62059000,-44389000,-6560008000,33815000.0,36160871000,225928127.0,67000.0,3084668000,,79362000,-60040000,291183000.0,91782000,96610000.0,0.28,3418038000,,,2604000.0,,,,217490205.0,,70036000.0,-165522000,,-926000.0,70322000.0,,6527553000,37283000,-38133000,84603000,,,,,,,,,,,,,,,,,,,,,,,
2007-06-30,39187464000,,,,0.3,104127000,-4829000,104456000.0,197060000,85733000,17083000,85733000,38765640000,12272000,91781000,-5303629000.0,468748000,,65921000,,80360000,-57950000,-1892114000,33479000.0,36171549000,273578836.0,0.0,3411515000,,104456000,-467640000,179782000.0,96610000,91781000.0,0.3,3010292000,,,839000.0,,,,264990422.0,,86572000.0,-149814000,,1873000.0,86585000.0,,1783158000,104127000,7077000,100416000,,,,,,,,,,,,,,,,,,,,,,,
2007-09-30,45782678000,,,,0.33,127149000,-1753000,148462000.0,235787000,108287000,17228000,108287000,44901620000,17334000,90028000,-8512082000.0,519118000,,127210000,,102914000,-70025000,-5923478000,33144000.0,41737952000,324614534.0,-303833000.0,2892437000,,148462000,-385960000,291859000.0,91781000,90028000.0,0.32,4043397000,-103064495000.0,,2327000.0,,,,315969814.0,,110614000.0,-132832000,,-12383000.0,110720000.0,,5794576000,127149000,12995000,129154000,,,,,,,,,,,,,,,,,,,,,,,
