date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyRepaymentOfDebt,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyCurrentDeferredRevenue,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyOperatingExpense,quarterlyBasicAverageShares,quarterlyOtherIncomeExpense,quarterlyAccountsReceivable,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangeInAccountPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyPretaxIncome,quarterlyAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyOperatingIncome,quarterlyInterestExpense,quarterlyCommonStockIssuance,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyNetPPE,quarterlyTaxProvision,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyNonCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfInvestment,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyResearchAndDevelopment
2012-09-30,,31962000,-85009000,,,,,,-11716000,,,2323000,,,0,,2323000,2323000,51935000.0,,-44279000,,11665000.0,,144198000,-21294000,,43627000,,1045000,,-73286000,,60734000,2710000,,5998000,,5489000,,7000.0,,3086000,,,,,22261000,,17107000,15066000.0,,,82223000,-73293000,,,204932000,,763000,,-46899000,673000,,225000.0,-2779000,,,49069000,,,,,,,,
2012-12-31,1757833000.0,32669000,-99623000,,157953000.0,578702000.0,457094000.0,,-27702000,0.0,3034238000.0,48254000,3491332000.0,11153000.0,-22515000,2336535000.0,38642000,38642000,-84000.0,1028954000.0,22874000,649303000.0,11419000.0,58087000.0,310476000,-22515000,29977000.0,44088000,,21000,260306000.0,-70714000,102989000.0,122294000,4040000,,66901000,,2710000,1154797000.0,1207000.0,89759000.0,62751000,-1442423000.0,,4040000.0,4040000.0,-190668000,137276000.0,78206000,15476000.0,,294315000.0,99746000,-71921000,,4269377000.0,432770000,2826954000.0,24109000,,-123804000,24019000,37960000.0,772000.0,1330000,,,110875000,,,,,,,,
2013-03-31,,34867000,95013000,1.021776,,,,,157695000,,,53492000,,,-22157000,,53492000,53492000,-58000.0,,72859000,,,,483953000,-22157000,,50142000,51488000.0,619000,,-60133000,,151947000,6412000,1.038922,-15321000,,4040000,,2549000.0,,87151000,,52352000.0,,,-59597000,,101805000,15306000.0,0.0,,-95190000,-62682000,,,635900000,,33659000,,35060000,33658000,,0.0,2372000,0.0,,136672000,,,,,,,,
2013-06-30,1784596000.0,32904000,-53000,0.285586,157953000.0,453875000.0,324821000.0,,67314000,0.0,3124395000.0,14951000,3449216000.0,19453000.0,9662000,2238471000.0,14951000,14951000,-85757000.0,1028951000.0,-74429000,681241000.0,,56112000.0,226401000,9662000,29910000.0,45900000,51488000.0,-43000,172126000.0,-66812000,104559000.0,85199000,3794000,0.290378,-27958000,,6412000,1210745000.0,555000.0,44342000.0,24101000,-1467988000.0,52352000.0,3794000.0,3794000.0,145111000,86537000.0,39299000,15163000.0,,208502000.0,-3120000,-67367000,,4378221000.0,311600000,2910233000.0,9150000,,8294000,9117000,49829000.0,2048000.0,-2618000,,,72203000,,,,,,,,
2013-09-30,1796581000.0,32347000,-125208000,0.00829,157953000.0,572181000.0,392400000.0,,-48885000,0.0,3179688000.0,434000,3572088000.0,16474000.0,0,2368762000.0,434000,434000,85754000.0,1028950000.0,-95537000,697291000.0,,55857000.0,159833000,-7853000,38878000.0,45703000,51488000.0,1353000,124418000.0,-78383000,200096000.0,59967000,2682000,0.008429,-13205000,,3794000,1203326000.0,-2060000.0,65204000.0,309000,-1476832000.0,52352000.0,2682000.0,2682000.0,46245000,75072000.0,14264000,15233000.0,,342513000.0,126156000,-76323000,,4447285000.0,219800000,2970453000.0,-125000,,-82987000,-142000,38914000.0,1463000.0,-1112000,,,46611000,,,,,,,,
2013-12-31,1838375000.0,44640000,-107624000,,157953000.0,769077000.0,602184000.0,,-21916000,0.0,3244291000.0,23095000,3846475000.0,17658000.0,0,2607452000.0,30318000,30318000,-145000.0,1028949000.0,33968000,743452000.0,,57360000.0,399829000,5379000,,57843000,,556000,356988000.0,-85425000,166128000.0,122805000,3171000,,93725000,,2682000,1239023000.0,283000.0,75897000.0,49906000,-1489216000.0,,3171000.0,3171000.0,-233901000,169500000.0,64962000,15664000.0,,444966000.0,107830000,-85708000,,4534074000.0,522634000,3044858000.0,19588000,,-117777000,19572000,42422000.0,1331000.0,489000,,,109602000,,,,,,,,
2014-03-31,2235299000.0,31460000,116367000,1.13,157953000.0,363987000.0,724348000.0,33500000.0,182098000,1201316000.0,3657670000.0,59076000,4382018000.0,54376000.0,-1140903000,2599286000.0,59076000,59076000,0.0,1201316000.0,84474000,831371000.0,,58784000.0,609841000,0,,46984000,52334000.0,-515000,398809000.0,-65731000,81654000.0,156259000,178646000,1.13,6091000,520000.0,3171000,1782732000.0,0.0,65239000.0,95888000,-1516458000.0,52512000.0,178646000.0,178646000.0,-42712000,175526000.0,109275000,12950000.0,17000.0,6000.0,59108000,-65731000,18965000.0,4628598000.0,766100000,3112140000.0,36812000,-3393000.0,88725000,152000,54155000.0,1794000.0,175475000,1794000.0,,140735000,,,,,,,,
2014-06-30,2235362000.0,31318000,-3288000,0.18,157953000.0,268362000.0,570928000.0,28401000.0,79598000,0.0,3712882000.0,9454000,4283810000.0,57758000.0,-155000,2503724000.0,9454000,9454000,0.0,1201314000.0,-70391000,834686000.0,,57066000.0,224171000,-14553000,19515000.0,45855000,51797000.0,335000,192104000.0,-82886000,152045000.0,72729000,161326000,0.18,-72483000,520000.0,178646000,1780086000.0,0.0,65453000.0,15371000,-1530201000.0,52446000.0,161326000.0,161326000.0,203885000,100357000.0,26874000,11776000.0,676000.0,6000.0,-14032000,-82886000,,4704681000.0,296900000,3174480000.0,5917000,-3471000.0,32423000,1728000,52777000.0,1855000.0,-17320000,1855000.0,,58192000,,,,,,,,
2014-09-30,2219833000.0,31217000,-87690000,0.09,157953000.0,274148000.0,505182000.0,18486000.0,-11688000,0.0,3759795000.0,4653000,4264977000.0,52790000.0,-20000,2493981000.0,4653000,4653000,0.0,1201313000.0,-65275000,835345000.0,,57317000.0,176899000,-14568000,20768000.0,45504000,52361000.0,-644000,135750000.0,-76002000,217320000.0,64701000,59685000,0.09,-3671000,520000.0,161326000,1770996000.0,0.0,92427000.0,7315000,-1545828000.0,53014000.0,59685000.0,59685000.0,55046000,97653000.0,19197000,11160000.0,637000.0,6000.0,-13951000,-76002000,,4782857000.0,241600000,3237029000.0,2662000,-3549000.0,-51816000,948000,54918000.0,2002000.0,-101641000,2002000.0,,50414000,,,,,,,,
2014-12-31,2462740000.0,31727000,-75829000,0.69,157953000.0,392433000.0,667501000.0,39894000.0,-3345000,0.0,3981709000.0,36607000,4649210000.0,51313000.0,-9000,2855173000.0,36607000,36607000,0.0,1201311000.0,32020000,894585000.0,,60003000.0,401724000,-14575000,26019000.0,42634000,52398000.0,-500000,326749000.0,-72484000,185300000.0,112576000,11943000,0.7,63182000,521000.0,59685000,1794037000.0,0.0,99709000.0,59554000,-1556481000.0,53241000.0,11943000.0,11943000.0,-193175000,159064000.0,69942000,9956000.0,671000.0,42006000.0,28087000,-72484000,,4850201000.0,514300000,3293720000.0,22947000,-5174000.0,-122924000,47107000,60599000.0,1962000.0,-47742000,1962000.0,,101669000,,,,,,,,
