date,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyBasicEPS,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBasicAverageShares,quarterlyCashAndCashEquivalents,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentDeferredRevenue
1984-03-31,,,,,,,,,,,,,,,,,0.57,,,,,,,,,526500000,,,,,,,47970000.0,526500000,,526500000,,0.53,,,,27200000,,,,,,,,,,,,,,,,47970000.0,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,0.71,,,,,,,,,545300000,,,,,,,47970000.0,545300000,,545300000,,0.65,,,,33000000,,,,,,,,,,,,,,,,47970000.0,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,0.36,,,,,,,,,497600000,,,,,,,47628000.0,497600000,,497600000,,0.34,,,,16300000,,,,,,,,,,,,,,,,47628000.0,,,,,,,,,,,,,,,,,,,
1984-12-31,,,2052800000.0,,,52800000.0,,,867300000.0,,,,,,,,,,,,406900000.0,805700000.0,768800000.0,,,-1445000000,860700000.0,,,,,,,495900000,,-1445000000,-1192100000.0,,54000000.0,,,12200000,,362800000.0,,,547900000.0,,,,290900000.0,,,,124600000.0,369300000.0,155300000.0,,155300000.0,,,,,,44100000.0,,,,,1822100000.0,,,1016400000.0,155700000.0,954800000.0,,
1985-03-31,,,,,,,,,,,,,,,,,0.34,,,,,,,,,540300000,,,,,,,45798000.0,540300000,,540300000,,0.32,,,,15600000,,,,,,,,,,,,,,,,45798000.0,,,,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,,,,,,,,,,,0.35,,,,,,,,,462400000,,,,,,,45942000.0,462400000,,462400000,,0.33,,,,13700000,,,,,,,,,,,,,,,,45942000.0,,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,,,,,,,-4.46,,,,,,,,,427100000,,,,,,,45966000.0,427100000,,427100000,,-4.46,,,,-224500000,,,,,,,,,,,,,,,,45966000.0,,,,,,,,,,,,,,,,,,,
1985-12-31,,,1825800000.0,,,55800000.0,,,686500000.0,,,,,,,,,,,,391000000.0,695100000.0,568900000.0,,,-1303800000,718400000.0,,,,,,,390600000,,-1303800000,-1107400000.0,,157400000.0,,,8400000,,343300000.0,,,520300000.0,,,,267000000.0,,,,9000000.0,353900000.0,47900000.0,,47900000.0,,,,,,47700000.0,,,,,1597800000.0,,81700000.0,902700000.0,102600000.0,911300000.0,,
1986-03-31,,,,,,,,,,,,,,,,,0.56,,,,,,,,,451400000,,,,,,,45942000.0,451400000,,451400000,,0.53,,,,25300000,,,,,,,,,,,,,,,,45942000.0,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,,,,,,0.66,,,,,,,,,440800000,,,,,,,45600000.0,440800000,,440800000,,0.6,,,,30000000,,,,,,,,,,,,,,,,45600000.0,,,,,,,,,,,,,,,,,,,
