date,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyDilutedEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyTotalRevenue,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyChangeInWorkingCapital,quarterlyNetPPE,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyOtherShortTermInvestments,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyCurrentAccruedExpenses,quarterlyResearchAndDevelopment
1985-06-30,,,,,,,,,,,,,0.00875,,,,,1100000,1100000,,,,,,,,16852000.0,,,,,1100000,,,,,,,,,,,,,,0.00875,,,,,700000,700000,,,,,16852000.0,,,,,,,,,700000,,,,,,,,,,,
1985-09-30,,,,,,,,,,,,,0.02875,,,,,5500000,5500000,,,,,,,,19400000.0,,,,,5500000,,,,,,,,,,,,,,0.02875,,,,,2100000,2100000,,,,,19400000.0,,,,,,,,,2100000,,,,,,,,,,,
1985-12-31,,,89200000.0,,,,,,,,,,,,,,,6200000,3400000,,,,,,,,,,,,,6200000,,-1200000.0,,,,,,,,,,,,,49900000.0,,163600000.0,,2200000,2200000,,,,,,,,,,,,74400000.0,,2200000,,,,,,,,,,,
1986-03-31,,,,,,,,,,,,,0.02625,,,,,5500000,5500000,,,,,,,,19400000.0,,,,,5500000,,,,,,,,,,,,,,0.02625,,,,,2000000,2000000,,,,,19400000.0,,,,,,,,,2000000,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,,0.0275,,,,,6400000,6400000,,,,,,,,31400000.0,,,,,6400000,,,,,,,,,,,,,,0.0275,,,,,3400000,3400000,,,,,31400000.0,,,,,,,,,3400000,,,,,,,,,,,
1986-09-30,,,,,,,,,,,,,0.02875,,,,,7500000,7500000,,,,,,,,32544000.0,,,,,7500000,,,,,,,,,,,,,,0.02875,,,,,3800000,3800000,,,,,32544000.0,,,,,,,,,3800000,,,,,,,,,,,
1986-12-31,,,167000000.0,,,,,,,,,,,,,,,18100000,9400000,,,,,,,,,,,,,18100000,,-600000.0,,,,,,,,,,,,,116000000.0,,306500000.0,,3700000,3700000,,,,,,,,,,,,139500000.0,,3700000,,,,,,,,,,,
1987-03-31,,,,,,,,,,,,,0.02625,,,,,9500000,9500000,,,,,,,,32580000.0,,,,,9500000,,,,,,,,,,,,,,0.02625,,,,,3400000,3400000,,,,,32580000.0,,,,,,,,,3400000,,,,,,,,,,,
1987-06-30,,,,,,,,,,,,,0.02625,,,,,9600000,9600000,,,,,,,,32580000.0,,,,,9600000,,,,,,,,,,,,,,0.02625,,,,,3400000,3400000,,,,,32580000.0,,,,,,,,,3400000,,,,,,,,,,,
1987-09-30,,,,,,,,,,,,,0.0275,,,,,10100000,10100000,,,,,,,,32628000.0,,,,,10100000,,,,,,,,,,,,,,0.0275,,,,,3600000,3600000,,,,,32628000.0,,,,,,,,,3600000,,,,,,,,,,,
