date,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyInventory,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyChangeInInventory,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyDilutedEPS,quarterlyTaxProvision,quarterlyNetPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyCurrentDeferredRevenue
2006-03-31,,,,,,,,,,1537000000,,,0.728673,2109313033.0,,,,,,,,2109313033.0,,1537000000,1537000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12065000000,,12065000000,,0.728673,,,,,,,12065000000,,,,,,,,
2006-06-30,,,,,,,,,,1537000000,,,0.728673,2108000000.0,,,,,,,,2108000000.0,,1537000000,1537000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12065000000,,12065000000,,0.728673,,,,,,,12065000000,,,,,,,,
2006-09-30,,,,,,,,,,1537000000,,,0.728673,2109313033.0,,,,,,,,2109313033.0,,1537000000,1537000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12065000000,,12065000000,,0.728673,,,,,,,12065000000,,,,,,,,
2006-12-31,11925000000.0,,6989000000.0,13002000000.0,4864000000.0,,,6197000000.0,14195000000.0,1536000000,26120000000.0,1476000000.0,,,,,,,,11853000000.0,2222000000.0,,1133000000.0,1536000000,1536000000,7075000000.0,,,,2160000000.0,5021000000.0,,,,,1627000000.0,,1166000000.0,-4224000000.0,14267000000.0,,,751000000.0,,1676000000.0,1676000000.0,,0.0,564000000.0,,,9462000000.0,,672000000.0,,,,-27827000000,,12065000000,,,,5238000000.0,,578000000.0,,,-27827000000,,,,,,,,
2007-03-31,,-530000000.0,,,,1229000000.0,781000000.0,,,1445000000,,,0.69,2109000000.0,163000000.0,3000000.0,,-746000000.0,3428000000.0,,,2109000000.0,,1503000000,1445000000,,1371000000.0,-62000000.0,-596000000.0,,,2121000000.0,164000000.0,2121000000.0,-382000000.0,,1235000000.0,,,,16000000.0,,,0.0,,,1676000000.0,,,,,,,,53000000.0,-729000000.0,-734000000.0,2193000000,1011000000.0,5549000000,-230000000.0,0.69,618000000.0,,-305000000.0,,23000000.0,,2356000000,,,,,,,,
2007-06-30,,-700000000.0,,,,1292000000.0,2979000000.0,,,1483000000,,,0.7,2109000000.0,175000000.0,46000000.0,,-51000000.0,3591000000.0,,,2109000000.0,,1546000000,1483000000,,3308000000.0,-76000000.0,-252000000.0,,,2244000000.0,215000000.0,2214000000.0,-31000000.0,,1298000000.0,,,,4000000.0,,,-530000000.0,,,1371000000.0,,,,,,,,1000000.0,1386000000.0,-1055000000.0,2293000000,3207000000.0,5835000000,-228000000.0,0.7,668000000.0,,1937000000.0,,86000000.0,,2468000000,,,,,,,,
2007-09-30,,-1250000000.0,,,,1171000000.0,844000000.0,,,1725000000,,,0.82,2109000000.0,192000000.0,27000000.0,,29000000.0,3687000000.0,,,2109000000.0,,1801000000,1725000000,,3188000000.0,-15000000.0,-330000000.0,,,2229000000.0,-658000000.0,2511000000.0,-13000000.0,,1177000000.0,,,,-62000000.0,,,-200000000.0,,,3308000000.0,,,,,,,,-63000000.0,-823000000.0,-1003000000.0,2510000000,1100000000.0,5916000000,-256000000.0,0.82,710000000.0,,-120000000.0,,-4000000.0,0.0,2702000000,0.0,,,,,,,
2007-12-31,15052000000.0,-4080000000.0,8551000000.0,12448000000.0,8091000000.0,1329000000.0,-87000000.0,7925000000.0,16991000000.0,1373000000,32043000000.0,707000000.0,,,218000000.0,-38000000.0,,793000000.0,3372000000.0,16642000000.0,5578000000.0,,725000000.0,1449000000,1373000000,9332000000.0,1656000000.0,-3000000.0,-1408000000.0,3255000000.0,729000000.0,2126000000.0,-985000000.0,2017000000.0,-1093000000.0,1906000000.0,1339000000.0,1240000000.0,-5250000000.0,15401000000.0,-40000000.0,,256000000.0,-2651000000.0,1656000000.0,1656000000.0,3188000000.0,0.0,729000000.0,,1688000000.0,11685000000.0,478000000.0,852000000.0,-12000000.0,-1381000000.0,-577000000.0,2033000000,271000000.0,5498000000,-358000000.0,,568000000.0,6435000000.0,-1532000000.0,475000000.0,75000000.0,,2251000000,,,,,,,,
2008-03-31,13633000000.0,-3019000000.0,7393000000.0,11296000000.0,9361000000.0,1184000000.0,1365000000.0,8250000000.0,17899000000.0,1867000000,31532000000.0,699000000.0,0.89,2108000000.0,201000000.0,-183000000.0,,464000000.0,4031000000.0,16754000000.0,6643000000.0,2108000000.0,853000000.0,1929000000,1867000000,9020000000.0,1231000000.0,-23000000.0,-317000000.0,2803000000.0,655000000.0,2299000000.0,691000000.0,2740000000.0,-29000000.0,1919000000.0,1193000000.0,1284000000.0,-5564000000.0,14778000000.0,13000000.0,,330000000.0,-930000000.0,1231000000.0,1231000000.0,1656000000.0,0.0,897000000.0,,1844000000.0,12441000000.0,240000000.0,733000000.0,11000000.0,-612000000.0,-1648000000.0,2838000000,1666000000.0,6330000000,-301000000.0,0.89,811000000.0,6877000000.0,-425000000.0,431000000.0,204000000.0,,3039000000,,,,,,,,
2008-06-30,15750000000.0,0.0,11438000000.0,12032000000.0,9013000000.0,1584000000.0,3243000000.0,8399000000.0,18568000000.0,1692000000,34318000000.0,731000000.0,0.81,2095000000.0,203000000.0,146000000.0,,90000000.0,4247000000.0,20451000000.0,6271000000.0,2108000000.0,824000000.0,1757000000,1692000000,9003000000.0,3028000000.0,-48000000.0,-656000000.0,3107000000.0,726000000.0,2462000000.0,246000000.0,2547000000.0,0.0,2301000000.0,1591000000.0,1279000000.0,-5813000000.0,13867000000.0,-383000000.0,,349000000.0,-4806000000.0,3028000000.0,3028000000.0,1231000000.0,0.0,2052000000.0,,2229000000.0,12857000000.0,339000000.0,1167000000.0,-8000000.0,1585000000.0,-1076000000.0,2656000000,3516000000.0,6709000000,-273000000.0,0.8,790000000.0,7044000000.0,1797000000.0,486000000.0,-99000000.0,,2859000000,,,,,,,,
