date,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,quarterlyDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyBasicEPS,quarterlyInvestingCashFlow,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyPurchaseOfBusiness,quarterlyResearchAndDevelopment,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2010-12-31,220000000,,,6426000000.0,2185000000,402000000,12503000000.0,3633000000.0,14704000000.0,287000000,44955000000.0,30251000000.0,308000000.0,161000000,2252000000,10751000000.0,214000000.0,-418000000,2603000000,-2200000000,41113000000,-106000000,24616000000.0,,157000000,15409000000.0,0.0,,-113000000,0,666000000,,777000000.0,445000000,4198000000,,0,,26001000000.0,15000000,0.0,-6000000,-9207000000.0,0.0,0.0,1000000,29000000.0,,,4092000000,,514000000.0,-2194000000,1572000000.0,9918000000.0,18929000000.0,288000000,287000000,,-403000000,2550000000.0,388000000.0,4817000000.0,4113000000.0,510000000,0,37021000000,,10213000000.0,452000000.0,,,,,,,
2011-03-31,219000000,,1.05625,,-1665000000,323000000,,,,676000000,,,,59000000,-2091000000,,,-165000000,-1500000000,1633000000,44783000000,366000000,,,418000000,,,,-53000000,0,1318000000,,,1095000000,4027000000,,0,,,32000000,,-6000000,,,,4000000,,640000000.0,,4393000000,640000000.0,,1639000000,1572000000.0,,,677000000,676000000,1.05625,-133000000,-2903000000.0,,,,733000000,0,40390000000,,,,,,,,,,
2011-06-30,226000000,,1.623438,,2810000000,347000000,,,,1039000000,,,,326000000,1845000000,,,-228000000,3038000000,-3314000000,52646000000,818000000,,,588000000,,,,131000000,0,1857000000,,,1628000000,4210000000,,0,,,504000000,,-7000000,,,,3000000,,640000000.0,,5028000000,640000000.0,,-1640000000,268000000.0,,,1040000000,1039000000,1.623438,276000000,1072000000.0,,,,813000000,0,47618000000,,,,,,,,,,
2011-09-30,222000000,,1.639063,7218000000.0,477000000,372000000,14333000000.0,3606000000.0,17844000000.0,1049000000,47923000000.0,30079000000.0,497000000.0,188000000,-1083000000,12448000000.0,147000000.0,-260000000,737000000,-751000000,50407000000,1202000000,22912000000.0,,499000000,14652000000.0,0.0,,-45000000,0,1776000000,,748000000.0,1550000000,4273000000,,0,,26344000000.0,274000000,0.0,-7000000,-8260000000.0,0.0,0.0,4000000,32000000.0,640000000.0,,5475000000,640000000.0,121000000.0,-2411000000,23000000.0,10952000000.0,21551000000.0,1051000000,1049000000,1.639063,14000000,-211000000.0,365000000.0,5467000000.0,6148000000.0,352000000,0,44932000000,,10889000000.0,493000000.0,,,,,,,
2011-12-31,241000000,,,7534000000.0,2362000000,367000000,12384000000.0,3332000000.0,13948000000.0,2011000000,43211000000.0,29263000000.0,466000000.0,358000000,1645000000,10007000000.0,122000000.0,-369000000,2731000000,-5066000000,49935000000,1850000000,23156000000.0,1087000000.0,339000000,14771000000.0,0.0,,134000000,0,2598000000,,732000000.0,2351000000,4116000000,,0,,23264000000.0,2704000000,0.0,-6000000,-8385000000.0,0.0,0.0,6000000,30000000.0,,,5966000000,,121000000.0,-5060000000,-1805000000.0,10306000000.0,19918000000.0,2012000000,2011000000,,2335000000,2658000000.0,361000000.0,5803000000.0,3466000000.0,507000000,0,43969000000,,8354000000.0,411000000.0,,,,,,,
2012-03-31,216000000,,0.99375,13343000000.0,-579000000,349000000,14712000000.0,3329000000.0,23128000000.0,636000000,52998000000.0,29870000000.0,471000000.0,169000000,-903000000,12814000000.0,160000000.0,-218000000,-361000000,573000000,45786000000,376000000,23456000000.0,,431000000,14854000000.0,0.0,,-173000000,0,1298000000,,730000000.0,1069000000,3990000000,,0,,24912000000.0,6000000,0.0,-7000000,-8602000000.0,0.0,0.0,13000000,207000000.0,640000000.0,,4366000000,640000000.0,162000000.0,836000000,1996000000.0,10795000000.0,28055000000.0,638000000,636000000,0.99375,-212000000,-1518000000.0,5971000000.0,6008000000.0,5040000000.0,706000000,0,41420000000,,11320000000.0,461000000.0,,,,,,,
2012-06-30,224000000,692000000.0,1.86,15225000000.0,1164000000,480000000,14371000000.0,3344000000.0,18526000000.0,1181000000,48575000000.0,30049000000.0,505000000.0,9000000,-26000000,10462000000.0,-358000000.0,-270000000,1434000000,1703000000,47012000000,1445000000,23144000000.0,1091000000.0,712000000,15169000000.0,0.0,,159000000,3104000000,2201000000,,728000000.0,1894000000,4185000000,6000000.0,0,,18948000000.0,234000000,0.0,-191000000,-7975000000.0,3104000000.0,3104000000.0,83000000,590000000.0,635157000.0,,5630000000,628510000.0,168000000.0,-903000000,-2029000000.0,10640000000.0,29596000000.0,1182000000,1181000000,1.88,-36000000,-528000000.0,7396000000.0,5497000000.0,5496000000.0,532000000,3104000000,41382000000,,7876000000.0,941000000.0,,,,,,,
2012-09-30,229000000,2164000000.0,2.51,15238000000.0,1579000000,432000000,16386000000.0,3344000000.0,21873000000.0,1599000000,52230000000.0,30357000000.0,562000000.0,-67000000,171000000,12267000000.0,-129000000.0,-339000000,1918000000,-196000000,42948000000,1797000000,23567000000.0,1392000000.0,848000000,15311000000.0,0.0,21000000.0,95000000,1326000000,2752000000,,726000000.0,2449000000,4078000000,6000000.0,3104000000,,20573000000.0,-81000000,0.0,-8000000,-8256000000.0,4430000000.0,4430000000.0,74000000,585000000.0,637913000.0,,5875000000,630672000.0,176000000.0,27000000,1945000000.0,10800000000.0,31624000000.0,1601000000,1599000000,2.53,-420000000,-207000000.0,7393000000.0,5436000000.0,5743000000.0,726000000,4430000000,37073000000,-125000000.0,9136000000.0,607000000.0,,,,,,,
2012-12-31,244000000,2713000000.0,1.11,14785000000.0,411000000,461000000,12482000000.0,3344000000.0,17962000000.0,708000000,48073000000.0,30111000000.0,315000000.0,110000000,-398000000,10710000000.0,-314000000.0,-894000000,1305000000,-1381000000,43985000000,1257000000,23829000000.0,,509000000,15407000000.0,0.0,24000000.0,-5000000,-956000000,1539000000,-245000000.0,724000000.0,1219000000,5160000000,6000000.0,4430000000,,20775000000.0,27000000,1810000000.0,-1004000000,-8422000000.0,3474000000.0,3474000000.0,76000000,13000000.0,635634000.0,,6417000000,628527000.0,165000000.0,1000000,-2897000000.0,10339000000.0,27267000000.0,710000000,708000000,1.12,-867000000,2308000000.0,6961000000.0,5444000000.0,3430000000.0,38000000,3474000000,37568000000,-157000000.0,10403000000.0,417000000.0,,,,,,,
2013-03-31,245000000,3923000000.0,2.270553,14822000000.0,1826000000,332000000,14951000000.0,3344000000.0,21170000000.0,1406000000,51151000000.0,29981000000.0,315000000.0,81000000,405000000,13138000000.0,-622000000.0,-387000000,2213000000,-585000000,41263000000,1143000000,23785000000.0,1010000000.0,671000000,15257000000.0,0.0,,-28000000,1279000000,2396000000,-388000000.0,727000000.0,2081000000,4856000000,6000000.0,3474000000,,21344000000.0,64000000,1522000000.0,-3000000,-8528000000.0,4753000000.0,4753000000.0,70000000,13000000.0,619232443.0,285000000.0,5999000000,619232443.0,155000000.0,0,2466000000.0,10498000000.0,29773000000.0,1410000000,1407000000,2.270553,-323000000,-2442000000.0,6958000000.0,5507000000.0,5811000000.0,1008000000,4753000000,35264000000,-194000000.0,9910000000.0,552000000.0,,,,,,,
