date,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyBasicAverageShares,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyInterestExpense,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyNetPPE,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyDepreciationAndAmortization,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentAssets,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyNetOtherInvestingChanges,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyCurrentDeferredRevenue,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyChangeInInventory,quarterlyInventory,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments
2014-03-31,,786900000,,,,,-19100000,81300000,,,202052741,3900000,12600000.0,0,,9100000,,48100000,125300000,-3400000,-43700000,,0.0,240900000,138600000,,,,13700000,,,,20900000,145800000,2800000,76200000,0.17,16400000,202052741,,,14900000,,,,60400000,,,121900000,,188000000,,0.17,,60400000,60400000,,-4200000,-7300000,-4700000,,,,45000000,,52900000,,,49400000,-24600000,6000000,,863100000,9900000,,,
2014-06-30,,863100000,,,,,-19200000,100900000,,,202052741,3800000,-1200000.0,0,,-4100000,,48700000,87800000,-3800000,-43900000,,0.0,261200000,161700000,,,,-23000000,,,,25800000,165400000,3200000,41600000,0.21,15800000,202052741,,,15200000,,,,75100000,,,84000000,,209800000,,0.21,,75100000,75100000,,-2400000,-10200000,-2400000,,,,43600000,,51400000,,,48100000,-24700000,1700000,,904700000,-18300000,,,
2014-09-30,,904700000,,,,,-19000000,-50400000,,,202052741,3900000,-1400000.0,200000,,-64100000,,49200000,162500000,-3500000,-46800000,,0.0,278900000,166500000,,,,79500000,,,,-26900000,15300000,3500000,109000000,-0.116306,16500000,202052741,,,15600000,,,,-23500000,,,159000000,,221000000,,-0.116306,,-23500000,-23500000,,-3200000,-165600000,300000,,,,44100000,,57900000,,,54500000,-28100000,3100000,,1013700000,10200000,,,
2014-12-31,3297000000.0,1013700000,5174400000.0,1803200000.0,1803200000.0,-7374700000.0,-3044700000,-384900000,53000000.0,-225100000.0,319100000,3900000,-34000000.0,-158200000,10445100000.0,6200000,,125200000,-116300000,-20200000,8700000000,1128800000.0,,416300000,165800000,45500000.0,2662200000.0,-108600000.0,-107600000,2437100000.0,223000000.0,18900000.0,4500000,169700000,33600000,789500000,-2.52,24200000,376700000,231000000.0,2640800000.0,14500000,1945800000.0,11760800000.0,21338000000.0,-514200000,,514900000.0,-136500000,18697200000.0,245100000,13706600000.0,-1.61,169700000.0,46000000,-389400000,102800000.0,-7781000000,-422500000,-1100000,8826500000.0,1982800000.0,5230100000.0,73700000,206800000.0,171200000,164600000.0,448100000.0,79300000,-28200000,-34900000,98100000.0,1803200000,-19700000,,,
2015-03-31,3297000000.0,1803200000,4824700000.0,1021900000.0,1021900000.0,,-1020600000,98200000,44400000.0,-253000000.0,202200000,56100000,55600000.0,1400000,8819700000.0,-38000000,,117400000,261700000,-29400000,-1016700000,39100000.0,2100000.0,932000000,281200000,40200000.0,2653500000.0,-440000000.0,137300000,2400500000.0,233900000.0,27200000.0,47300000,332100000,15500000,-781300000,-0.04,50900000,467200000,201300000.0,1723300000.0,7000000,939800000.0,11621900000.0,19375400000.0,-8100000,,743100000.0,232300000,17652100000.0,365500000,12561700000.0,-0.04,122400000.0,60600000,50900000,936600000.0,32700000,-59100000,6000000,8961000000.0,1756300000.0,5360200000.0,78600000,125900000.0,566500000,500700000.0,361500000.0,84300000,0,-3000000,198700000.0,1021900000,24400000,,,
2015-06-30,3297000000.0,1021900000,4841500000.0,688900000.0,688900000.0,,-1571800000,134600000,54000000.0,-285800000.0,202400000,-36600000,4300000.0,-83400000,8898100000.0,-54500000,,115800000,246500000,-27600000,-528500000,46300000.0,0.0,1041400000,362600000,48300000.0,2678800000.0,-420300000.0,62700000,2393000000.0,250800000.0,20900000.0,43800000,413800000,7000000,-333000000,0.05,51200000,476400000,190400000.0,1404300000.0,9100000,1002600000.0,11183800000.0,19027700000.0,9600000,,633800000.0,218900000,17623400000.0,439900000,12186400000.0,0.05,114300000.0,77100000,90800000,763600000.0,-57200000,-104200000,7000000,8651800000.0,1736800000.0,5437900000.0,70400000,125800000.0,601500000,531400000.0,360200000.0,77300000,-124500000,8000000,196900000.0,688900000,14900000,,,
2015-09-30,3297000000.0,688900000,4751000000.0,975500000.0,975500000.0,,-18200000,227600000,58600000.0,-314500000.0,202400000,4400000,-24500000.0,-3200000,9408900000.0,-22300000,,106500000,442200000,-25900000,-135700000,56500000.0,0.0,1019700000,379300000,53100000.0,2526500000.0,-561100000.0,215800000,2212000000.0,337500000.0,21700000.0,44700000,415000000,14400000,286600000,0.24,35700000,476500000,220500000.0,1641600000.0,9400000,1215700000.0,11217200000.0,19034700000.0,49600000,,848400000.0,416300000,17393100000.0,458700000,12432900000.0,0.25,143300000.0,117100000,182900000,1031500000.0,-15500000,-35700000,6000000,8471700000.0,1689200000.0,4617300000.0,76000000,112600000.0,561000000,656000000.0,371500000.0,79400000,-114300000,-10100000,154700000.0,975500000,99500000,,,
2015-12-31,3297000000.0,975500000,4633600000.0,757800000.0,757800000.0,,-17200000,206000000,57500000.0,-339300000.0,206900000,6600000,-61900000.0,-294900000,9147800000.0,82500000,,106700000,254400000,-32400000,-434300000,56100000.0,0.0,1057000000,387100000,48400000.0,2489900000.0,-733700000.0,-102400000,2150600000.0,361500000.0,23700000.0,21500000,431300000,13900000,-217700000,0.25,44200000,474700000,245800000.0,1369500000.0,9900000,1121000000.0,11080400000.0,18411100000.0,51700000,,795900000.0,222000000,17041600000.0,464100000,12201400000.0,0.25,139000000.0,119200000,184500000,1051600000.0,-21500000,-65100000,4300000,8462300000.0,1618800000.0,4574400000.0,79100000,168500000.0,592900000,486500000.0,422000000.0,77000000,-123600000,14300000,132200000.0,757800000,52400000,,,
2016-03-31,3297000000.0,757800000,4899400000.0,825900000.0,825900000.0,,-17200000,215500000,50900000.0,-378300000.0,230000000,4100000,33800000.0,3100000,9539500000.0,0,,105200000,183300000,-5600000,-135900000,57600000.0,0.0,918500000,354400000,78700000.0,2547900000.0,-568700000.0,-64700000,2169600000.0,361300000.0,26300000.0,47200000,396500000,6400000,68100000,0.21,42100000,468400000,263300000.0,1473000000.0,9700000,1109700000.0,11211100000.0,18956500000.0,50000000,-1100000.0,918500000.0,177700000,17483500000.0,426100000,12320800000.0,0.22,159600000.0,117500000,168300000,865500000.0,6800000,-23800000,9400000,8465600000.0,1613400000.0,4797700000.0,66100000,132500000.0,492400000,479600000.0,366400000.0,71700000,-128300000,-79000000,229800000.0,825900000,-6000000,,,
2016-06-30,3297000000.0,825900000,4998600000.0,998100000.0,998100000.0,,-17400000,306800000,44700000.0,-413000000.0,233500000,5500000,-12400000.0,-2000000,9541200000.0,10500000,,107600000,322000000,-7200000,-147100000,94900000.0,0.0,1040200000,422100000,87300000.0,2553500000.0,-540400000.0,1000000,2140500000.0,359900000.0,25500000.0,59200000,465700000,9700000,172200000,0.38,43600000,470100000,318800000.0,1640500000.0,9600000,1146700000.0,11159700000.0,19121800000.0,90900000,,891700000.0,314800000,17481300000.0,490300000,12306400000.0,0.39,152900000.0,158400000,247600000,877400000.0,5000000,1900000,5600000,8425200000.0,1631200000.0,4815700000.0,63800000,131400000.0,549900000,473200000.0,380200000.0,68200000,-131900000,9600000,217500000.0,998100000,13400000,,,
