date,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyNetPPE,quarterlyBasicEPS,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyOperatingExpense,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyDilutedAverageShares,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyCurrentAssets,quarterlyOperatingIncome,quarterlyDilutedEPS,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue
1984-02-29,,,,,0.02,,,,,,,,,,,,,,,,,,,,42211000.0,,,,,,,,,,,,,,31300000,,,,,,,,,,,31300000,,31300000,0.02,,,,,,,,,,,,42211000.0,,700000,,,,,,,,,,
1984-05-31,,-15100000.0,,32900000.0,,36800000.0,2400000.0,2500000.0,,2500000.0,,4400000.0,,7800000.0,5000000.0,,,,,,,,119900000.0,17800000.0,,,,,45700000.0,,,,,,,,,,-93500000,,,,,,,42800000.0,,,65400000.0,45300000,74200000.0,-93500000,,48000000.0,22200000.0,1900000.0,,1200000.0,39600000.0,,,,,,,43200000.0,2000000,54500000.0,,,,,,,,,
1984-08-31,,,,,0.09,,,,,,,,,,,,,,,,,,,,42225000.0,,,,,,,,,,,,,,50900000,,,,,,,,,,,50900000,,50900000,0.08,,,,,,,,,,,,42225000.0,,4000000,,,,,,,,,,
1984-11-30,,,,,0.08,,,,,,,,,,,,,,,,,,,,42281000.0,,,,,,,,,,,,,,52800000,,,,,,,,,,,52800000,,52800000,0.07,,,,,,,,,,,,42281000.0,,3400000,,,,,,,,,,
1985-02-28,,,,,0.02,,,,,,,,,,,,,,,,,,,,42314000.0,,,,,,,,,,,,,,39800000,,,,,,,,,,,39800000,,39800000,0.02,,,,,,,,,,,,42314000.0,,1000000,,,,,,,,,,
1985-05-31,,-18500000.0,,39000000.0,,39900000.0,3200000.0,2500000.0,,2500000.0,,8400000.0,,11100000.0,5600000.0,,,,,,,,141300000.0,22300000.0,,,,,55700000.0,,,,,,,,,,-122500000,,,,,,,50800000.0,,,76900000.0,59700000,85600000.0,-122500000,,57500000.0,30700000.0,3100000.0,,1200000.0,41800000.0,,,,,,,46200000.0,2300000,64400000.0,,,,,,,,,
1985-08-31,,,,,0.1,,,,,,,,,,,,,,,,,,,,45664000.0,,,,,,,,,,,,,,54800000,,,,,,,,,,,54800000,,54800000,0.1,,,,,,,,,,,,45664000.0,,4400000,,,,,,,,,,
1985-11-30,,,,,0.08,,,,,,,,,,,,,,,,,,,,54875000.0,,,,,,,,,,,,,,70500000,,,,,,,,,,,70500000,,70500000,0.08,,,,,,,,,,,,54875000.0,,3800000,,,,,,,,,,
1986-02-28,,,,,0.02,,,,,,,,,,,,,,,,,,,,56330000.0,,,,,,,,,,,,,,55500000,,,,,,,,,,,55500000,,55500000,0.02,,,,,,,,,,,,56330000.0,,1200000,,,,,,,,,,
1986-05-31,,-22300000.0,,62100000.0,,47900000.0,4800000.0,2200000.0,,2200000.0,,5800000.0,,42800000.0,7700000.0,,,,,,,,218800000.0,36100000.0,,,,,112600000.0,,,,,,,,,,-156400000,,,,,,,56300000.0,,,109200000.0,69900000,106200000.0,-156400000,,84400000.0,41900000.0,3700000.0,,700000.0,61800000.0,,,,,,,67300000.0,3200000,109600000.0,,,,,,,,,
1986-08-31,,,,,0.1,,,,,,,,,,,,,,,,,,,,60276000.0,,,,,,,,,,,,,,71800000,,,,,,,,,,,71800000,,71800000,0.1,,,,,,,,,,,,60276000.0,,5900000,,,,,,,,,,
1986-11-30,,,,,0.08,,,,,,,,,,,,,,,,,,,,60276000.0,,,,,,,,,,,,,,75200000,,,,,,,,,,,75200000,,75200000,0.08,,,,,,,,,,,,60276000.0,,4800000,,,,,,,,,,
1987-02-28,,,,,0.02,,,,,,,,,,,,,,,,,,,,60276000.0,,,,,,,,,,,,,,66600000,,,,,,,,,,,66600000,,66600000,0.02,,,,,,,,,,,,60276000.0,,1500000,,,,,,,,,,
1987-05-31,,-25000000.0,,61700000.0,,47800000.0,3800000.0,3000000.0,,3000000.0,,4500000.0,,55600000.0,14700000.0,,,,,,,,242300000.0,38600000.0,,,,,132000000.0,,,,,,,,,,-178200000,,,,,,,62800000.0,,,124100000.0,77000000,110300000.0,-178200000,,86700000.0,43100000.0,4900000.0,,1100000.0,76100000.0,,,,,,,81000000.0,3700000,118200000.0,,,,,,,,,
1987-08-31,,,,,0.12,,,,,,,,,,,,,,,,,,,,60581000.0,,,,,,,,,,,,,,82400000,,,,,,,,,,,82400000,,82400000,0.12,,,,,,,,,,,,60581000.0,,7300000,,,,,,,,,,
1987-11-30,,,,,0.1,,,,,,,,,,,,,,,,,,,,60581000.0,,,,,,,,,,,,,,84100000,,,,,,,,,,,84100000,,84100000,0.1,,,,,,,,,,,,60581000.0,,6000000,,,,,,,,,,
1988-02-29,,,,,0.03,,,,,,,,,,,,,,,,,,,,60581000.0,,,,,,,,,,,,,,70600000,,,,,,,,,,,70600000,,70600000,0.03,,,,,,,,,,,,60581000.0,,1800000,,,,,,,,,,
1988-05-31,,-33400000.0,,60500000.0,,62900000.0,3600000.0,6400000.0,,6400000.0,,1800000.0,,53800000.0,13200000.0,,,,,,,,260800000.0,42600000.0,,,,,127500000.0,,,,,,,,,,-194100000,,,,,,,76000000.0,,,124400000.0,105000000,133300000.0,-194100000,,93900000.0,44400000.0,3400000.0,,1000000.0,75400000.0,,,,,,,80000000.0,6300000,136400000.0,,,,,,,,,
