date,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyTaxProvision,quarterlyNetPPE,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyChangesInAccountReceivables,quarterlyOperatingCashFlow,quarterlyDilutedAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyTotalAssets,quarterlyBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsPayable,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyRetainedEarnings,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyTotalNonCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyDilutedEPS,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid,quarterlyResearchAndDevelopment
1996-03-31,32600000.0,32600000.0,,17500000,4600000,,,,2000000,8500000,36600000,,-2800000,300000.0,,100000.0,0.0,,-1400000,20000000.0,200000,4000000,-3500000.0,10400000.0,600000.0,,12000000.0,84100000,0.13,,,-4000000,14000000,,17000000,24700000,2600000,4300000,-2900000,500000,20000000.0,,4800000,-600000.0,,-4200000,4300000,43100000,12500000,,-4600000,71600000,26600000,-3400000,1800000.0,0.0,57500000,1900000.0,,,21300000,0,,0.13,21800000,-100000,12700000,500000,2600000,,1900000.0,2600000,,,,,
1996-06-30,34500000.0,34500000.0,,23800000,4200000,,,,1800000,9900000,0,,-2100000,100000.0,,100000.0,0.0,,4100000,20000000.0,-100000,5200000,-4700000.0,13100000.0,0.0,,14600000.0,89300000,0.12,,,1900000,14300000,,23200000,27500000,2400000,6600000,-2000000,600000,20000000.0,,4400000,0.0,,2000000,3800000,54100000,15100000,,600000,74200000,29300000,800000,2400000.0,-100000.0,60000000,1800000.0,,,26500000,0,,0.12,27600000,100000,11900000,400000,2400000,,1900000.0,2400000,,,,,
1996-09-30,32600000.0,32600000.0,,20300000,4100000,,,,1800000,12800000,0,,-3600000,100000.0,,100000.0,500000.0,,5700000,20909091.0,300000,5100000,-5400000.0,11900000.0,600000.0,,18200000.0,92300000,0.12,,,-1900000,16200000,,19500000,28200000,2300000,8900000,-7900000,800000,19166667.0,,4500000,-4900000.0,,2100000,3700000,46100000,17900000,,2400000,74400000,30000000,-2400000,7000000.0,0.0,62300000,1800000.0,,,22100000,0,,0.11,24000000,-4300000,14300000,500000,2300000,,1800000.0,2300000,,,,,
1996-12-31,5100000.0,5100000.0,,23500000,1900000,,,,800000,14600000,0,,-2900000,100000.0,,0.0,-600000.0,,7400000,,0,4300000,-6400000.0,12100000.0,1400000.0,,21000000.0,96600000,,,,7200000,17700000,,22400000,29900000,1100000,10000000,-200000,1100000,,,2600000,0.0,,4500000,1500000,47800000,18900000,,4500000,77700000,31800000,1300000,41500000.0,100000.0,64800000,1900000.0,,,22800000,0,,,25000000,1300000,13000000,500000,1100000,,1800000.0,1100000,,,,,
1997-03-31,,,,18500000,2800000,,,,1200000,21700000,5100000,,-6500000,10000000.0,,100000.0,0.0,,-8000000,20000000.0,9900000,4300000,-7400000.0,11700000.0,600000.0,,29100000.0,101400000,0.08,,,-5000000,12400000,100000.0,17500000,34100000,1600000,11600000,-6900000,1000000,20000000.0,,3500000,-1000000.0,,-14500000,2500000,41900000,26000000,,-10700000,75400000,35800000,-1300000,42000000.0,-100000.0,65600000,1700000.0,,,20900000,0,,0.08,21000000,0,14300000,500000,1600000,,1800000.0,1600000,,,,,
1997-06-30,,,,23800000,2500000,,,,1100000,24200000,0,,-3500000,15000000.0,,200000.0,600000.0,,100000,20000000.0,3800000,4200000,-8400000.0,12400000.0,0.0,,32600000.0,108100000,0.07,,,-100000,12600000,,22900000,40000000,1400000,13000000,-3900000,900000,20000000.0,,3100000,-400000.0,,-3400000,2200000,49800000,28400000,,-2300000,79700000,40000000,-1900000,39900000.0,,68100000,,,,23800000,0,,0.07,26000000,0,16200000,500000,1400000,,,1400000,,,,,
1997-09-30,,,,21700000,5700000,,,,2500000,28100000,0,,-5000000,14300000.0,100000.0,200000.0,0.0,,5500000,20509000.0,-600000,3000000,-9500000.0,14000000.0,600000.0,,37600000.0,107500000,0.16,,,0,8800000,,20600000,37100000,3200000,16300000,-4900000,1100000,20509000.0,,7100000,-500000.0,,500000,6000000,48600000,31100000,,900000,76400000,37100000,-300000,38500000.0,,70400000,,21400000.0,,20900000,0,,0.16,27700000,0,16500000,-100000,3200000,,,3200000,,,,,
1997-12-31,,,,21700000,2100000,,,,800000,28800000,0,,-300000,,-100000.0,300000.0,0.0,,9400000,,-4400000,2700000,-10900000.0,13700000.0,0.0,,39700000.0,105400000,,,,100000,9600000,,20200000,23300000,1300000,17600000,-5000000,1500000,,,3400000,-400000.0,,9100000,1900000,43500000,31500000,,5600000,73900000,34100000,3800000,43700000.0,0.0,71300000,10800000.0,,,19900000,0,,,23600000,-4300000,13700000,500000,1300000,,10800000.0,1300000,,,,,
1998-03-31,300000.0,300000.0,,18000000,4800000,,,,2700000,29800000,0,,-2200000,1500000.0,100000.0,200000.0,0.0,,-1000000,21000000.0,1600000,2600000,-12100000.0,11000000.0,2300000.0,,41900000.0,106900000,0.1,,,300000,7900000,100000.0,16800000,20400000,2100000,19600000,-300000,1200000,21000000.0,,8200000,-400000.0,,-3200000,7000000,45200000,32400000,,-4500000,74500000,31100000,1000000,40200000.0,-100000.0,75800000,10700000.0,,,20200000,0,,0.1,25000000,0,12700000,-2100000,2100000,,10800000.0,2100000,,,,,
1998-06-30,4300000.0,4300000.0,,23000000,3800000,,,,1500000,30300000,0,,-1800000,,0.0,200000.0,0.0,,10000000,20909091.0,-1500000,2700000,-13400000.0,17800000.0,600000.0,,43700000.0,116600000,0.11,,,3900000,7200000,0.0,21600000,25000000,2300000,22000000,-4600000,1400000,20909091.0,,4100000,-3300000.0,,8200000,2700000,46500000,33000000,,4800000,83600000,38200000,-1900000,44900000.0,2400000.0,78400000,13200000.0,,,20800000,0,,0.11,25700000,-100000,14600000,1300000,2300000,,10000000.0,2300000,800000.0,,,,
