date,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyOperatingIncome,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyDilutedAverageShares,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyDilutedEPS,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingExpense,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyChangesInAccountReceivables,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable
1999-03-31,464100000.0,,464100000.0,464100000.0,,,58800000.0,740156308.0,,,,,,,,,,,,0.079443,740156308.0,,,,,,,,,58800000.0,58800000.0,,,,,,,0.079443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-30,454600000.0,,72800000.0,48500000.0,,,57600000.0,736380000.0,72800000.0,561000000.0,,922800000.0,895500000.0,,492300000.0,,478900000.0,,,0.07822,736380000.0,886600000.0,,,,,381800000.0,,,57600000.0,57600000.0,,68700000.0,100000.0,,,,0.07822,,54500000.0,,396500000.0,,-473100000.0,,39700000.0,,,24300000.0,,103500000.0,,45900000.0,449700000.0,,,,552100000.0,1447600000.0,,,62700000.0,,407700000.0,,,45600000.0,,45600000.0,,,,,,,,
1999-09-30,447739000.0,,447739000.0,447739000.0,,,71536000.0,1045192057.0,,,,,,,,,,,,0.068443,1045192057.0,,,,,,,,,70960000.0,71536000.0,,,,,,,0.068443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,454727882.360554,,-1051192914.844053,-1190639012.941633,,,-17200604.633105,,,693348000.517665,,960754497.217549,1001682412.320435,,599197618.739485,,519768344.765109,,,,,892002070.661317,,,391160864.5011,,,32677623.916138,,-16624604.633105,-17200604.633105,,94150381.77818,0.0,61401000.0,93826840.947328,,,,,,384366507.05319,,-523165523.489064,,-162579267.503559,,,,,,,,437588973.728485,297146000.0,,,584152970.104827,1585835382.425262,,,119710107.415556,,,207874983.822958,,162579267.503559,181344635.693024,162579267.503559,,,,,,,,
2000-03-31,471806000.0,,471806000.0,471806000.0,,,113291000.0,908771531.0,,,,,,,,,,,,0.124664,908771531.0,,,,,,,,,47882000.0,113291000.0,,,,,,,0.124664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,416316375.524895,,-210708219.556089,-347180925.014997,,,99966348.530294,,92797000.0,1619226154.769046,,361127774.445111,1055188962.207558,,1156118776.244751,,589817000.0,,,,,42741451.709658,0.0,,,,356179000.0,,,165375348.530294,99966348.530294,,463107378.524295,469256148.770246,389922015.596881,,,,531000.0,62245000.0,,366226754.64907,,-522550000.0,,23351000.0,,,23048000.0,,69219000.0,,23654000.0,361127774.445111,468506298.740252,,,606778644.271146,1661967606.478704,,,222555488.90222,,,64337132.573485,,219706058.788242,,219706058.788242,,,,,,,,
2000-09-30,304590000.0,,304590000.0,304590000.0,,,843889000.0,1168287348.0,,,,,,,,,,,,0.72233,1168287348.0,,,,,,,,,18355000.0,843889000.0,,,,,,,0.72233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,649075271.956028,,-632589204.08651,-954162868.801529,,,-1482678472.696857,,,1037609033.337316,,850609391.803083,797287609.033337,,603417373.640817,,44658860.078862,,,,,399838690.405066,,,367726132.154379,88964000.0,,267206356.792926,,228910527.303143,-1482678472.696857,,434191659.696499,0.0,84029000.0,122475803.56076,,,,,,340841199.665432,,-475564583.582268,,-36742741.068228,83044569.243637,,,,,,,375044808.220815,106160000.0,,,640608196.917194,1437895805.950532,,,229716812.04445,,,171167403.512965,,36742741.068228,168329549.52802,36742741.068228,,,,,,,,
2001-03-31,388226000.0,,388226000.0,388226000.0,,,51522000.0,1172820396.0,,,,,,,,,,,,0.04436,1161451758.0,,,,,,,,,51522000.0,51522000.0,,,,,,,0.04393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,387892557.139214,,-200501084.299113,-251363910.515429,,,64371570.598736,,58523000.0,1011731036.241535,,330820889.178544,710946133.575132,,444305913.689043,,,,,,,522937859.510923,0.0,,387468000.0,,358277000.0,,,64371570.598736,64371570.598736,,567425122.552492,392876370.746083,421637244.623275,,,,6715000.0,28060000.0,,318069762.82905,,-476072000.0,,178538000.0,78773625.003542,,,,79868000.0,,28484000.0,330820889.178544,411578022.725341,,,823722762.177326,1534668895.752458,,,264231673.797852,,420687000.0,32727890.963702,,0.0,564733000.0,0.0,,,,,,,,
2001-09-30,372777000.0,,372777000.0,372777000.0,,,47715000.0,929030374.0,,,,,,,,,,,,0.0518,921138996.0,,,,,,,,,47715000.0,47715000.0,,,,,,,0.05136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,333944000.0,,-1015371000.0,-1015371000.0,,,33943000.0,,,1009583000.0,,798871000.0,765087000.0,,623982000.0,,226293000.0,,,,,589179000.0,,,383272000.0,69315000.0,,246826000.0,,-37702000.0,33943000.0,,385601000.0,-1000.0,138775000.0,160910000.0,,,,,,338130000.0,,-442102000.0,,203432000.0,80496345.698386,,,,,,,356769000.0,182462000.0,,,833675000.0,1598762000.0,,,273474000.0,,,211295000.0,,43686000.0,165133000.0,43686000.0,,,,,,,,
2002-03-31,454243000.0,,454243000.0,454243000.0,,,36060000.0,933471395.0,,,,,,,,,,,,0.03891,926754048.0,,,,,,,,,36060000.0,36060000.0,,,,,,,0.03863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,401318687.51533,,-295271942.850135,-328691123.620309,,,43502178.072112,,56581000.0,1170284522.93353,,381561196.958548,800220750.551876,,492549668.874172,,262738000.0,,,,,732615894.039735,0.0,,429377000.0,,431444000.0,536108000.0,,43502178.072112,43502178.072112,,677734854.059357,429850380.181506,536699779.249448,,,,4824000.0,21822000.0,,370370370.37037,,-442102000.0,,210706000.0,84007848.908511,,,,73579000.0,,34837000.0,381561196.958548,464649251.900908,,,1102679666.421388,1902900416.973265,,,510179053.225411,,469070000.0,27900416.973265,,0.0,,0.0,,,,,,,,
2002-09-30,503340000.0,,503340000.0,503340000.0,,,49116000.0,931815595.0,,,,,,,,,,,,0.05311,924797590.0,,,,,,,,,49116000.0,49116000.0,,,,,,,0.05271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,309213000.0,,-1236538000.0,-1236538000.0,,,54049000.0,,,1160441000.0,,908886000.0,858446000.0,,743707000.0,,418507000.0,,,,,833629000.0,0.0,,358720000.0,87021000.0,,264608000.0,,54049000.0,54049000.0,,416734000.0,38837000.0,61882000.0,244787000.0,,,,,,369839000.0,,-496664000.0,,98946000.0,90244000.0,,,,,,,412222000.0,184033000.0,,,1135624000.0,1994070000.0,,,624456000.0,,,227866000.0,,36259000.0,183388000.0,36259000.0,,,,,,,,
2003-03-31,438892319.384411,,96581643.154578,71407083.709368,-24541237.195016,-504441172.279485,42907582.45064,934482759.0,307319621.906617,1189220855.301699,,417042701.752719,908975759.590874,,480849918.45976,-70773761.459174,,,,0.046233,928760000.0,860209946.325939,0.0,-22641270.444434,,,131572697.477794,563181810.984974,210262987.064393,42907582.45064,42907582.45064,,708370936.841939,471191754.144302,,,,0.045916,2849950.125873,,,390284836.682025,,,,,92306717.965769,-22166278.756788,235912538.197248,,63965547.269589,,21057964.818949,417042701.752719,480849918.45976,25649551.132855,1108313.937839,1140455042.036764,2049430801.627638,,,508874428.030843,29766145.759116,,,-438417327.696765,47499168.764547,,47499168.764547,,,,,,,,
2003-06-30,516538559.585518,,134952706.348095,99223305.380879,24541237.195016,-477467189.646327,69301344.613557,,73983000.0,1214438210.615163,,429472220.843056,1002101848.633798,,489714181.685782,-3204690.454832,372330000.0,,,,,947486884.133525,0.0,,542376000.0,,470793000.0,577133000.0,,69301344.613557,69301344.613557,,724724028.929381,542343147.476954,577098124.886219,,,,3770045.57113,10510000.0,,399516740.314119,,-496664000.0,,227080000.0,97810436.423216,-3155204.784247,548887951.682433,,99382846.553955,,30081501.940398,429472220.843056,489714181.685782,,2698183.587937,1159823246.11489,2161925094.748688,,,503285172.864638,31799814.22301,575215000.0,,-504441172.279485,60241960.842725,,60241960.842725,,,,,,,,
2003-09-30,513900102.167268,,152676533.927915,66850951.661551,-74976251.865925,10517030.804722,60473933.568181,,,1090208983.579862,,442393811.914778,985547564.119962,-30328447.641306,486327859.953861,5448122.154202,,,,,,1046274935.540779,0.0,,,,,,,60473933.568181,60473933.568181,,603881123.626001,500915999.457186,469025647.984801,,,,3048887.462178,,30328447.641306,411012349.029719,,,,,,35838514.345758,8387188.231324,,113826256.739626,,53352323.171445,442393811.914778,486327859.953861,,,1150936355.000679,2136483919.120641,,,491247116.298005,35801389.726111,,,,0.0,,0.0,,,,,,,,
