date,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyTotalRevenue,quarterlyFreeCashFlow,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncome,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlyOperatingCashFlow,quarterlyBasicEPS,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyChangesInAccountReceivables,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2005-12-31,-1767000,29556000,8984000,,39547000,,,1011342000,34157000,5390000,51534000,181131000,-80631000,,,81241000.0,56765000,100140000,-67787000,-2131000,886170000,0.0,37108000,61757000,50897000,3275000,954577000,49243000,,8984000,,8984000,15086000,28.81,0.0,78208000,0,342325000,13090000,65132000,5554000,62970000,,29556000,2943000.0,29556000,,19799000.0,0,14538000,,1083874000,295500.0,-66020000,30.41,-1767000,-6878000,25692000,-18271000.0,0.0,1172536000,1353667000,,,-339000,,-74665000,311900.0,104221000,16714000,3000,,,,,,
2006-03-31,-2064000,32377000,14274000,,47796000,,,1010002000,42601000,5195000,65808000,200586000,-15417000,,,80840000.0,46623000,108276000,2884000,-3564000,885434000,0.0,26498000,65329000,51799000,3792000,963379000,56477000,,14274000,855726000.0,14274000,13876000,0.3,0.0,81772000,0,360091000,12426000,74153000,8945000,62569000,,32377000,,32377000,,19382000.0,776000,23219000,,226697000,44255000.0,4948000,0.32,-2064000,-63000,24515000,-18271000.0,2943000.0,1169507000,1370093000,,,-339000,,2821000,47121000.0,29556000,17182000,446000,,,,,,
2006-06-30,-28893000,22091000,-13363000,,23200000,,313000.0,1048769000,-4307000,27507000,52445000,213086000,-18788000,,,82104000.0,37211000,110856000,19544000,-3522000,925000000,0.0,17909000,64084000,53749000,4935000,1011558000,57107000,,-13363000,878155000.0,-13363000,61414000,-0.3,-27157000.0,87920000,-48456000,346755000,11543000,81623000,-10449000,63833000,,22091000,330000.0,22091000,317000.0,19505000.0,0,-23812000,,225287000,44578000.0,21280000,-0.3,-1736000,-2673000,15163000,-18271000.0,0.0,1182438000,1395524000,,,-947000,,-10286000,44578000.0,32377000,18972000,446000,,,,,,
2006-09-30,-2599000,61217000,15222000,,50276000,,26558000.0,1053671000,45536000,4740000,67667000,234181000,3714000,,,90129000.0,43439000,115892000,40067000,-946000,925000000,0.0,24675000,65568000,57429000,7123000,1010232000,58463000,,15222000,877829000.0,15222000,12927000,,0.0,89243000,-161000,363041000,11250000,78109000,12268000,62851000,,61217000,,61217000,336000.0,18046000.0,0,27490000,,225959000,,42850000,,-2783000,-1125000,15892000,-27278000.0,0.0,1182531000,1416712000,,,-1829000,,39126000,,22091000,18764000,446000,,,,,,
2006-12-31,-47746000,54556000,20335000,,54525000,,806000.0,1061373000,49871000,4654000,88002000,227216000,12658000,,,90655000.0,49338000,122709000,35957000,-2333000,925000000,0.0,30009000,66818000,59075000,6543000,1012035000,63634000,,20335000,918636000.0,20335000,13763000,0.43,0.0,94075000,0,387341000,12121000,80492000,11743000,63377000,,54556000,,54556000,1304000.0,17793000.0,1328000,32078000,,224337000,44773000.0,38453000,0.45,-2496000,2632000,15148000,-27278000.0,0.0,1221498000,1448714000,,,-1305000,,-6661000,47802000.0,61217000,19329000,449000,,,,,,
2007-03-31,-432164000,64795000,21514000,,64197000,,653000.0,1555911000,57117000,7080000,109516000,297822000,-12300000,,,113887000.0,60400000,144438000,15238000,-3999000,1357968000,0.0,35844000,89686000,69367000,7358000,1495511000,75071000,,21514000,1218856000.0,21514000,17954000,0.45,0.0,119124000,0,412193000,14586000,130185000,13000000,86609000,,64795000,,64795000,1414000.0,22603000.0,1531000,34514000,,339964000,44972000.0,16947000,0.48,-1709000,425456000,24853000,-27278000.0,0.0,1670282000,1968104000,,,-1567000,,10239000,48000000.0,54556000,24556000,451000,,,,,,
2007-06-30,-3144000,120195000,22121000,,68836000,,994000.0,1570586000,61306000,7530000,131637000,360870000,4074000,,,114911000.0,74086000,157613000,31779000,-1732000,1357911000,0.0,49873000,88581000,75360000,6240000,1496500000,82253000,,22121000,1220370000.0,22121000,20947000,0.45,0.0,121216000,0,460875000,17340000,132349000,13261000,87633000,,120195000,,120195000,5015000.0,25924000.0,19103000,35382000,,336373000,45800000.0,34719000,0.48,-2940000,23825000,26215000,-27278000.0,0.0,1670591000,2031461000,,,-113000,,55400000,48832000.0,64795000,24213000,469000,,,,,,
2007-09-30,-38611000,105946000,24675000,,73379000,,1034000.0,1573502000,65544000,7835000,156312000,365599000,-17457000,,,124388000.0,67219000,168038000,19204000,2440000,1357854000,0.0,42466000,100094000,79964000,8178000,1506283000,88074000,,24675000,1247870000.0,24675000,22530000,,0.0,126763000,0,487551000,18843000,140251000,15422000,87074000,,105946000,,105946000,717000.0,25447000.0,1665000,40097000,,334898000,,22317000,,-3113000,2045000,25612000,-37314000.0,0.0,1695454000,2061053000,,,-1753000,,-14249000,,120195000,24753000,470000,,,,,,
2007-12-31,-2401000,170315000,26968000,,74332000,,1217000.0,1588570000,66909000,7423000,181587000,417559000,23532000,1088000.0,,123607000.0,80274000,163136000,57827000,-1366000,1357797000,0.0,50400000,92279000,75044000,9947000,1508296000,88092000,,26968000,1247753000.0,26968000,21183000,0.54,0.0,128129000,0,519382000,17872000,140552000,15434000,86293000,,170315000,,170315000,1525000.0,24507000.0,5017000,42402000,,331593000,47223000.0,60228000,0.57,-2401000,6542000,24754000,-37314000.0,7193000.0,1690393000,2107952000,,,-2956000,,64369000,49862000.0,105946000,22681000,474000,,,,,,
2008-03-31,-1782000,193987000,32170000,,79319000,,1002000.0,1580644000,72776000,6543000,213757000,449705000,-23620000,1850000.0,,122171000.0,63620000,175285000,16163000,-395000,1357465000,0.0,38760000,101415000,81366000,18669000,1517024000,93919000,,32170000,1248998000.0,32170000,21143000,0.64,0.0,128524000,0,555524000,18360000,140890000,16591000,84857000,,193987000,,193987000,2342000.0,24015000.0,5167000,48761000,,328790000,47605000.0,17945000,0.68,-1782000,7509000,23818000,-37314000.0,0.0,1686463000,2136168000,,,-7578000,,23672000,50037000.0,170315000,24860000,478000,,,,,,
