date,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyGrossPPE,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyDilutedAverageShares,quarterlyOtherNonCashItems,quarterlyStockholdersEquity,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyBasicAverageShares,quarterlyOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyLongTermDebt,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyAccountsReceivable,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyCapitalStock,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
2000-09-30,16742000,,-16808000,-1732000,4999000,134552000,,181444000.0,90385000,104959000,-17300000,,,99066000,164000,-7524000,,,22360000,,349360000.0,1626000.0,156536000,,5893000,44167000,,161463000,0.0,73643000,0.02125,,68246000,2158000,17047000,,6281000,113000.0,0,,119397000,7591000,7591000,348104000.0,-4950000.0,1245000,-115130000.0,-7573000,0,,78662000.0,2000,3735000.0,66314000,11679000,24855000.0,4088000,,,-6328000,162000,33718000.0,100032000,0.02125,261495000,7591000,156536000,,5618000.0,,,,15405000.0,164000,164000,,
2000-12-31,61712000,,32196000,2226000,756000,214158000,,186143000.0,145617000,156158000,18024000,,,150153000,5331000,-8672000,,,67541000,,356104000.0,,127874000,,6005000,68541000,,186091000,0.0,83905000,0.1125,,78300000,2275000,18794000,,-64042000,1399000.0,122000000,,101373000,39204000,39204000,348104000.0,0.0,77881000,-116760000.0,-9430000,0,,90974000.0,5167000,3730000.0,69383000,60313000,28698000.0,21109000,,31895000.0,68451000,164000,28558000.0,97941000,0.11,284032000,39204000,-241000,,5829000.0,,128115000.0,,58423000.0,5331000,37226000,,
2001-03-31,12726000,,14663000,0,4564000,130598000,,187369000.0,90645000,115706000,-2810000,,,109713000,7241000,-6184000,,,18271000,,363080000.0,,136003000,78330000.0,5993000,39953000,,152767000,0.0,77919000,0.0225,,72963000,0,20701000,,-19882000,430000.0,0,,104183000,7993000,7993000,348104000.0,363000.0,27976000,-116760000.0,-6244000,0,2303000.0,0.0,1910000,3690000.0,70609000,12296000,20642000.0,4303000,0.0,,21732000,5331000,28333000.0,98942000,0.0225,251709000,7993000,-105000,,5545000.0,,136108000.0,,26819000.0,7241000,7241000,,
2001-06-30,15458000,,6132000,-6291000,14313000,136771000,,202447000.0,70925000,110397000,-979000,,,104448000,3691000,-8689000,,23000000.0,22597000,,,,148314000,82390000.0,5949000,65846000,,151567000,0.0,55467000,,,71806000,2259000,0,,-12088000,316000.0,0,,105162000,9242000,9242000,,18000.0,17227000,-130059000.0,-8621000,0,,0.0,-3550000,3690000.0,72388000,15142000,20608000.0,5900000,2046000.0,,8606000,7241000,15695000.0,107144000,,258711000,9242000,-487000,,7139000.0,,437000.0,,7745000.0,3691000,3691000,,
2001-09-30,19470000,,-28836000,330000,16888000,150702000,,206657000.0,96571000,149477000,-16376000,,,142874000,4733000,-18345000,-7657000.0,33161000.0,25405000,,360800000.0,309000.0,156852000,85411000.0,6603000,54131000,,195988000,0.0,77101000,0.03625,,77101000,2988000,0,,28541000,447000.0,14363000,,132469000,12538000,12538000,349256000.0,268000.0,-9154000,-130059000.0,-9685000,0,,0.0,1042000,3615000.0,76598000,19291000,33693000.0,6753000,2510000.0,,-18839000,3691000,28777000.0,124436000,0.035,320424000,12538000,90000,,5935000.0,,435000.0,,40575000.0,4733000,4733000,,
2001-12-31,69941000,,36326000,-333000,21980000,235750000,,211835000.0,161618000,142263000,17045000,,,135629000,66523000,-11553000,-2191000.0,76736000.0,76303000,,357656000.0,,211626000,97657000.0,6634000,74132000,,242448000,0.0,91677000,0.12625,,91677000,3019000,31362000,,-17366000,221000.0,0,,115424000,44166000,44166000,349520000.0,0.0,90709000,-130059000.0,-11553000,0,,0.0,61790000,3615000.0,81776000,69720000,29139000.0,24752000,9408000.0,,79156000,4733000,25501000.0,126338000,0.12375,368786000,44166000,-767000,,6362000.0,,440000.0,,15992000.0,66523000,66523000,,
2002-03-31,23727000,,-25481000,76000,26162000,161571000,,214354000.0,111106000,153684000,-12686000,,,147807000,76278000,-13570000,0.0,88553000.0,30102000,,366584000.0,,229350000,86184000.0,5877000,50465000,,260868000,0.0,87379000,0.03375,,87379000,2262000,27244000,,23526000,-129000.0,0,,131783000,11817000,11817000,353696000.0,-4467000.0,-201000,-130059000.0,-7901000,20394000,,0.0,9755000,3615000.0,84295000,19389000,25563000.0,6883000,4057000.0,,-8102000,66523000,14002000.0,137752000,0.0325,398620000,11817000,-1750000,,6375000.0,,443000.0,,35461000.0,76278000,76278000,,
2002-06-30,23870000,,744000,-5042000,25819000,171380000,,237560000.0,114067000,165668000,-4621000,,,159428000,93962000,-12509000,0.0,105509000.0,30692000,,,,260356000,99365000.0,6240000,57313000,,287588000,0.0,90197000,,,90197000,2625000,0,,3610000,585000.0,0,,136404000,17306000,17306000,,1094000.0,26583000,-146971000.0,-13625000,14968000,,0.0,17684000,3615000.0,90589000,25204000,30925000.0,8937000,4827000.0,,12958000,76278000,22395000.0,152983000,,440571000,17306000,-1451000,,6822000.0,,895000.0,,34244000.0,93962000,93962000,,
2002-09-30,37608000,,-24144000,-70000,32547000,192791000,,244070000.0,131224000,171595000,-16320000,,,164420000,44033000,-13034000,-49947000.0,93474000.0,44088000,,367968000.0,,238891000,96751000.0,7175000,61567000,,267920000,0.0,93616000,0.0625,22249000.0,93616000,3640000,26154000,,-44529000,,0,,152724000,22480000,22480000,354916000.0,0.0,7634000,-146971000.0,-13034000,39081000,,0.0,-49929000,3535000.0,97099000,37773000,45009000.0,13977000,4620000.0,,-5400000,93962000,,158429000,0.06,426349000,22480000,-4192000,,6480000.0,,879000.0,,35122000.0,44033000,44033000,,
2002-12-31,102600000,,27589000,-19000,34205000,308523000,,251375000.0,216842000,213100000,16816000,,,205529000,171141000,-13897000,0.0,155905000.0,109627000,,367724000.0,,336051000,128740000.0,7571000,91681000,,400188000,0.0,114242000,0.175,22371000.0,114242000,4036000,25855000,,22109000,,0,,135908000,62431000,62431000,355912000.0,0.0,118896000,-146971000.0,-13917000,40327000,,0.0,127108000,3535000.0,104404000,102710000,67284000.0,38003000,14647000.0,,104979000,44033000,,167102000,0.17,567290000,62431000,-3683000,,7027000.0,,900000.0,,42584000.0,171141000,171141000,,
