date,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyDilutedEPS,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyNonCurrentDeferredRevenue,quarterlyTotalRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyNetOtherInvestingChanges,quarterlyNetIncome,quarterlyGrossProfit,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCommonStockIssuance,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyNetOtherFinancingCharges,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyDilutedAverageShares,quarterlyInvestmentsAndAdvances
1997-01-31,,,,,,,5000000,,,,0.0,,5000000,,,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,8392804.0,,,,,,,,,,,,,,8392804.0,
1997-04-30,1300000.0,-700000.0,9000000.0,,4600000.0,,-200000,-1900000.0,,,-0.07337,,-300000,,,2800000,,,6100000.0,15100000.0,6200000.0,0.0,,800000.0,8900000.0,1600000.0,,,,1400000.0,,,200000.0,,,-600000.0,1400000.0,,-600000.0,1700000.0,,1600000.0,,6200000.0,,,,,700000.0,,,,6200000.0,200000.0,,700000.0,,,-0.07337,,2800000.0,9540684.0,-500000.0,2600000.0,3100000.0,,,,,1200000.0,,,800000.0,300000.0,,9540684.0,
1997-07-31,1000000.0,-1500000.0,8900000.0,,7200000.0,0.0,-1300000,-3300000.0,,,-0.11339,,-1500000,-2300000.0,,2800000,,-1400000.0,12000000.0,20900000.0,9400000.0,0.0,,1600000.0,11500000.0,2200000.0,,,,2800000.0,,0.0,500000.0,-600000.0,-500000.0,-1500000.0,0.0,,-1500000.0,1500000.0,,2200000.0,,3800000.0,,,,,1300000.0,,0.0,1000000.0,3800000.0,100000.0,500000.0,1700000.0,,-100000.0,-0.11339,,7300000.0,13228680.0,-800000.0,3400000.0,2900000.0,-2500000.0,-2200000.0,,,2100000.0,,,2600000.0,300000.0,,13228680.0,
1997-10-31,3000000.0,-2600000.0,12900000.0,0.0,14300000.0,900000.0,-1000000,-5700000.0,,,,0.0,-1900000,-4900000.0,,6500000,,-3100000.0,12200000.0,25100000.0,15200000.0,100000.0,-900000.0,5200000.0,9900000.0,900000.0,,,,4200000.0,,0.0,1100000.0,-100000.0,-100000.0,-2400000.0,2300000.0,,-2400000.0,4200000.0,,800000.0,,1900000.0,,,,,1200000.0,,0.0,100000.0,1900000.0,400000.0,3300000.0,5600000.0,0.0,-500000.0,,,6300000.0,,-700000.0,4700000.0,3400000.0,-1900000.0,-4900000.0,,,1900000.0,,,5300000.0,300000.0,,,
1998-01-31,3900000.0,1200000.0,18100000.0,,17200000.0,1200000.0,3600000,-4500000.0,,,0.08004,,2400000,2500000.0,,22100000,,-300000.0,12500000.0,30600000.0,17800000.0,-100000.0,1800000.0,3700000.0,12800000.0,600000.0,,,,14100000.0,,0.0,6100000.0,-1200000.0,-1200000.0,1200000.0,8000000.0,,1200000.0,5600000.0,,700000.0,,1100000.0,,,,,1200000.0,,1900000.0,,1100000.0,1100000.0,-2000000.0,8200000.0,,100000.0,0.08671,,8000000.0,13839234.0,-700000.0,3300000.0,3700000.0,-800000.0,2500000.0,,,1900000.0,,,5300000.0,500000.0,,14992504.0,
1998-04-30,5700000.0,600000.0,35100000.0,,20600000.0,700000.0,2100000,-3900000.0,,,0.03335,,1400000,1000000.0,,22900000,,-1300000.0,12400000.0,47500000.0,21200000.0,100000.0,-100000.0,14300000.0,26300000.0,600000.0,,,,14700000.0,-200000.0,0.0,7400000.0,-400000.0,-200000.0,600000.0,8200000.0,,600000.0,6800000.0,,500000.0,,400000.0,,,,,1600000.0,,0.0,,400000.0,600000.0,-1800000.0,5500000.0,,-200000.0,0.04002,,7900000.0,14992504.0,-1100000.0,2900000.0,9200000.0,-600000.0,1200000.0,,,2700000.0,,,5900000.0,400000.0,,17991004.0,
1998-07-31,6600000.0,200000.0,38100000.0,,17500000.0,500000.0,2200000,-3800000.0,,,0.01334,200000.0,500000,-7100000.0,,21900000,,-6900000.0,11700000.0,49800000.0,17800000.0,100000.0,2100000.0,19800000.0,32000000.0,300000.0,,,,12600000.0,0.0,0.0,5300000.0,0.0,1200000.0,200000.0,9300000.0,,100000.0,8800000.0,,200000.0,,200000.0,,,100000.0,200000.0,1600000.0,,0.0,-1000000.0,200000.0,200000.0,5600000.0,6200000.0,-1200000.0,300000.0,0.01334,,7800000.0,14992504.0,-2400000.0,2300000.0,5800000.0,-300000.0,-5900000.0,,,4000000.0,,,5500000.0,500000.0,,14992504.0,
1998-10-31,15100000.0,3900000.0,94600000.0,,72900000.0,600000.0,6800000,1900000.0,,,,,6200000,-5900000.0,,124200000,,-8600000.0,13900000.0,108500000.0,73100000.0,0.0,-9000000.0,17200000.0,35400000.0,200000.0,,,,102300000.0,0.0,0.0,25800000.0,-200000.0,200000.0,3900000.0,21900000.0,,4900000.0,15700000.0,,200000.0,,2700000.0,,,-500000.0,4400000.0,1900000.0,,0.0,0.0,2700000.0,1800000.0,7900000.0,30500000.0,-400000.0,5700000.0,,,8400000.0,,-1600000.0,3600000.0,10800000.0,2100000.0,-5500000.0,,,3500000.0,,,31600000.0,0.0,,,
1999-01-31,8600000.0,2900000.0,94000000.0,,68000000.0,500000.0,5600000,5000000.0,,,0.10005,,5100000,0.0,,68300000,,-3400000.0,13600000.0,107600000.0,68200000.0,100000.0,3000000.0,18600000.0,39400000.0,200000.0,,,,53500000.0,0.0,0.0,23100000.0,-200000.0,0.0,2900000.0,14800000.0,,2900000.0,9700000.0,,100000.0,,4800000.0,,,1400000.0,4300000.0,2000000.0,,2800000.0,1200000.0,4800000.0,800000.0,2200000.0,31900000.0,-200000.0,0.0,0.10672,,8100000.0,27173913.0,-1800000.0,3500000.0,13700000.0,2000000.0,200000.0,,,3800000.0,,,22400000.0,600000.0,,28985507.0,
1999-04-30,11500000.0,1600000.0,97900000.0,,70300000.0,600000.0,4000000,6500000.0,,,0.05336,,3400000,-3700000.0,,52200000,,-5600000.0,21000000.0,118900000.0,70300000.0,,1400000.0,25000000.0,48600000.0,,,,,36100000.0,0.0,0.0,24100000.0,-2100000.0,-1300000.0,1600000.0,16100000.0,,1600000.0,12700000.0,,,,1400000.0,,,1000000.0,2600000.0,3000000.0,,0.0,1000000.0,1400000.0,800000.0,2100000.0,35300000.0,-800000.0,0.0,0.05336,,12900000.0,29985007.0,-1900000.0,5100000.0,12800000.0,-3300000.0,-2900000.0,,,4900000.0,,,22200000.0,600000.0,,29985007.0,
1999-07-31,13700000.0,2700000.0,124000000.0,,73200000.0,1000000.0,5300000,9200000.0,,,0.08004,,4300000,-7800000.0,,63600000,,-12800000.0,23800000.0,147800000.0,73200000.0,,-9800000.0,24300000.0,74600000.0,,,,,43600000.0,100000.0,2900000.0,33500000.0,-3600000.0,-2700000.0,2700000.0,20000000.0,,2700000.0,15700000.0,,,,2900000.0,,,1200000.0,3900000.0,3700000.0,200000.0,0.0,22100000.0,2900000.0,500000.0,11800000.0,25000000.0,-900000.0,-100000.0,0.08004,,12300000.0,33733133.0,-2100000.0,7800000.0,14500000.0,1500000.0,-6900000.0,,,5800000.0,-700000.0,,33700000.0,1000000.0,,33733133.0,
1999-10-31,21400000.0,9100000.0,189000000.0,,147500000.0,1200000.0,16000000,18400000.0,,,,,14800000,-22700000.0,,121900000,,-19500000.0,43700000.0,232700000.0,147600000.0,0.0,-5400000.0,28500000.0,85100000.0,100000.0,,,,81400000.0,-400000.0,10400000.0,41300000.0,-15600000.0,0.0,9100000.0,40500000.0,,9100000.0,25700000.0,,100000.0,,10400000.0,,,4500000.0,13600000.0,4100000.0,200000.0,2900000.0,200000.0,10400000.0,800000.0,30700000.0,56100000.0,-15600000.0,100000.0,,,30900000.0,,-1900000.0,8700000.0,20200000.0,7400000.0,-7100000.0,,,6000000.0,-800000.0,,71200000.0,3100000.0,,,
2000-01-31,24600000.0,4800000.0,203000000.0,,158700000.0,1500000.0,10500000,23200000.0,,,0.133333,100000.0,9000000,-6900000.0,,122900000,,-12100000.0,47100000.0,250100000.0,158700000.0,,-4700000.0,42300000.0,91400000.0,,,,,86200000.0,-200000.0,19300000.0,46000000.0,-5300000.0,-3900000.0,4800000.0,36700000.0,,4800000.0,27700000.0,,,,19300000.0,,,2600000.0,7400000.0,4700000.0,200000.0,10400000.0,1900000.0,19300000.0,1500000.0,20700000.0,74600000.0,-1400000.0,400000.0,0.14,,30400000.0,34799092.0,-2200000.0,12000000.0,27300000.0,8900000.0,-5500000.0,,,6900000.0,-1800000.0,,56800000.0,1600000.0,,36716899.0,
2000-04-30,17236771.0,3354211.0,169367886.0,,132822840.0,2302536.0,9782978,27647555.0,,,0.086667,,7480442,-15755845.0,,70036073,,-17968747.0,125672347.0,295040233.0,133266101.0,399000.0,6836276.0,37334483.0,160274132.0,443261.0,,,,41652454.0,-606378.0,3185666.0,39205394.0,-7451420.0,-2075000.0,3354211.0,28383619.0,,3354211.0,20903177.0,,44261.0,,10199416.0,,,2145099.0,5499310.0,5539147.0,288791.0,19300000.0,12013137.0,3185666.0,1374754.0,8645187.0,68211410.0,175091.0,3040655.0,0.086667,,112542733.0,38548278.0,-4226126.0,7590467.0,25032850.0,-16088896.0,-15930936.0,,,9765273.0,-2699405.0,,39578580.0,1363870.0,7013750.0,40228765.0,
2000-07-31,18161407.0,3448971.0,164962997.0,,102973031.0,3879394.0,11611906,31096526.0,,,0.08,,7732512,-8948909.0,,71472587,,-14523239.0,134405850.0,299368847.0,117314127.0,1889953.0,-2047974.0,32385416.0,182054720.0,14341096.0,,,,40042537.0,-1103170.0,2631068.0,41214022.0,3119975.0,4542500.0,3448971.0,31430050.0,,3448971.0,23697538.0,,12451143.0,,6190467.0,,,1544753.0,4993724.0,6230260.0,309581.0,3185666.0,-6493424.0,2631068.0,1635618.0,4990047.0,46561363.0,-1181011.0,18189684.0,0.08,,116442511.0,43592248.0,-3330134.0,11733079.0,17680878.0,-554598.0,-7767898.0,,,9560394.0,-6498954.0,,38730790.0,1656737.0,3559399.0,44818897.0,
