date,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyDilutedEPS,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyBasicEPS,quarterlyEbitda,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyBasicAverageShares,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyAccumulatedDepreciation,quarterlySaleOfInvestment,quarterlyResearchAndDevelopment
1999-03-31,372200000,-96100000,159500000,-129600000,-129600000,-0.275,,1100000.0,,,856100000,,,,1616600000,,,-222100000,,,-83900000.0,263400000,69700000.0,81400000,46600000,,,,3515300000,7600800000,-130700000,986100000,,6676100000,300000.0,148500000,-1600000.0,,,-37700000,,,,,,,-0.275,325000000,4076100000,-46100000,325000000,,-14700000,-269800000,475272727.0,263400000,,,-51900000.0,924700000,,1739200000,-77900000,,1776100000,,-207500000,5690000000,1313300000.0,-223700000,-198500000,61600000,1181100000,475272727.0,,,
1999-06-30,351800000,-8700000,152000000,134500000,134500000,0.28,,800000.0,,,875300000,,,,1497700000,,,270100000,,,-83500000.0,265200000,69700000.0,-14700000,45200000,,,,3652100000,7790400000,133600000,1003000000,,6726000000,800000.0,60500000,300000.0,,,45000000,,,,,,,0.28,306000000,4127900000,3900000,306000000,,-23400000,-287400000,477142857.0,265200000,,,-43500000.0,1064400000,,2002400000,130100000,,1649700000,,264600000,5723000000,1364100000.0,-291300000,-73100000,40800000,1181300000,477142857.0,,,
1999-09-30,439700000,103100000,147100000,144300000,144300000,0.305,,700000.0,,,862700000,,,,1502600000,,,270200000,,,-83700000.0,266700000,69700000.0,-23400000,50300000,,,,3573500000,7773200000,143500000,766800000,,6462200000,400000.0,192200000,0.0,,,34000000,,,,,,,0.305,325700000,4189200000,6600000,325700000,,79700000,-240900000,470491803.0,266700000,,,,1311000000,,1923800000,134200000,,1649700000,,278500000,5695400000,1422100000.0,-247500000,-95700000,59000000,1188400000,470491803.0,,,
1999-12-31,481400000,-112000000,141000000,200700000,200700000,,259200000.0,900000.0,,698100000.0,950800000,,,,1555500000,56300000.0,,-632600000,,,-83800000.0,266800000,69700000.0,79700000,46600000,605500000.0,,,3491000000,7811100000,199800000,626600000,64800000.0,6564800000,400000.0,44700000,-500000.0,14410600000.0,,-51400000,929800000.0,491900000.0,,38100000.0,7400000.0,,,1259200000,4307700000,-3700000,1259200000,,-32300000,-400200000,,266800000,,,,1246300000,,1794500000,110500000,,1696500000,,311200000,5873400000,1457500000.0,-436700000,-193200000,992400000,2210000000,,-8537200000.0,,
2000-03-31,388800000,183500000,138000000,162400000,162400000,0.34,257400000.0,5900000.0,,684000000.0,872700000,,,,1477000000,57400000.0,,270200000,151200000.0,151200000.0,-83800000.0,272400000,69700000.0,-32300000,45000000,720800000.0,,,3428500000,7834000000,161500000,675500000,18200000.0,6480600000,-3200000.0,204800000,,14324100000.0,,69800000,835300000.0,460800000.0,,-93700000.0,,,0.34,337800000,4392100000,-13300000,337800000,,151200000,-197300000,475000000.0,272400000,,,,1353400000,,1813500000,127700000,,1615000000,,290100000,5786900000,1536100000.0,-184000000,-8000000,65400000,1210500000,475000000.0,-8537200000.0,,
2000-06-30,372500000,-49800000,153200000,165000000,165000000,0.345,251300000.0,3800000.0,,870200000.0,904300000,,,,1727100000,51500000.0,,304000000,101400000.0,101400000.0,-83800000.0,279100000,69700000.0,151200000,58100000,1137400000.0,,,4134300000,8694500000,164100000,659700000,462000000.0,7345400000,400000.0,-536400000,,14760900000.0,,65000000,865300000.0,326000000.0,,-127700000.0,,,0.345,328500000,4476800000,2100000,328400000,,101400000,-906800000,475652174.0,279000000,,,,1349100000,,2254000000,127900000,,1880300000,,292900000,6223700000,1616800000.0,-908900000,484500000,49400000,1232700000,475652174.0,-8537200000.0,,
2000-09-30,420200000,119000000,152100000,161000000,161000000,0.34,272500000.0,4000000.0,,866700000.0,979600000,,,,1733200000,97200000.0,,324000000,220400000.0,220400000.0,-84000000.0,289200000,69700000.0,101400000,71400000,1302900000.0,,,4345200000,8975000000,160100000,674200000,465100000.0,7458900000,107600000.0,639800000,,14856800000.0,,18900000,884500000.0,331800000.0,,-33500000.0,,,0.34,331800000,4558200000,-6200000,331800000,,220400000,-393200000,474000000.0,289400000,,,,1516100000,,2459900000,131000000,,1885300000,,292000000,6319600000,1694300000.0,219600000,92000000,42400000,1311400000,474000000.0,-8537200000.0,,
2000-12-31,453600480,-120200000,205499400,-27399700,-27399700,,310200960.0,700120.0,,1011499700.0,1211799820,,,,3047300540,151700660.0,,-868099520,100199460.0,100199460.0,-101399400.0,371500060,69700060.0,220400000,142400120,5033299340.0,,,9922300540,16415000000,-28200000,1340698860,1794500600.0,14666199760,-20200420.0,-114399760,,21782500000.0,,-1699400,1326000300.0,485400420.0,,85399400.0,7399520.0,,,1466800540,6418399820,-5299460,1466800540,,100199460,-2333799280,,371500060,,,,1748800240,,6669500600,109399280,,3252799940,,81999580,11531000300,1563399820.0,-568000240,1760000300,1095300480,2678600360,,-10251499700.0,,
2001-03-31,153000158,-5199432,218699354,-140400441,-140400441,-0.251935,351001104.0,11899732.0,,977800725.0,1137999369,,,1444400126.0,3085399653,127600504.0,,-296299858,95000788.0,95000788.0,-101600189.0,408399811,69700457.0,100200221,156799622,5710799306.0,,,11920398865,18287299385,-141300646,1445800095,3216599401.0,16531899732,-4800567.0,-665899417,,22646262021.0,,-154600347,1110099322.0,554997636.0,,-250999527.0,149099795.0,,-0.251935,656299858,6290600662,-29200693,656299858,,95000788,-739700457,576000000.0,408399811,,,149700457.0,1755399653,,7171899732,-66799622,,4748499133,,-207200063,11869500236,1420499764.0,-818899575,581499291,247900047,1794299227,576000000.0,-10776761785.0,,
2001-06-30,485099691,75498978,274098336,51399395,33199697,0.08529,434400908.0,31100268.0,,1086600605.0,1127800303,,,1469099849.0,7926299546,116000000.0,,22299546,170700454.0,170700454.0,-102399811.0,399999584,69701967.0,95000788,126800303,1200399395.0,,,12702497731,19109299546,50499244,1479698942,3372900151.0,17089099849,-46800038.0,-122601339,,22577953101.0,,-59100107,1398199697.0,646898638.0,,169299073.0,151800303.0,,0.08529,616900151,6406801815,14401903,616900151,,170500756,-608900148,578400000.0,401500756,,,1510.0,2020199697,,3033000000,76099849,,9669497731,,109299546,12236500756,1267000000.0,-607701030,199301012,215399395,1744700454,578400000.0,-10341452345.0,,
2001-09-30,552299394,-88300177,311098312,585800852,29100521,0.980995,401199306.0,23900742.0,,1191000473.0,1150500237,,,1428800694.0,8222700016,98300458.0,,599653,82199779.0,82199779.0,-56599653.0,421100368,69700174.0,170500756,168800694,250800063.0,,,11985299037,18991399716,585800852,521099890,3329499763.0,17289799590,131100368.0,-34800490,,22657901215.0,,48699665,1370700647.0,-1.0,,233201164.0,218699700.0,,0.980995,745499447,7006100679,772998253,699299353,,82199779,120599974,594800000.0,375499448,,,-1792.0,1701600126,,2022700016,80299826,,9962599022,,109400347,12406400505,1747500395.0,-587099884,-761199546,323799905,1849799590,596000000.0,-10251500710.0,,
2001-12-31,208201521,-65098700,440600127,-43299270,-40199461,,356302134.0,36198589.0,,972099650.0,1306099895,,,1326599809.0,8651399236,118600764.0,,-2601312,17099650.0,17099650.0,-64600920.0,439498964,69700732.0,82199779,176000869,229899713.0,,,12278699459,19265600127,-44199148,745401146,3320899395.0,17823000637,-58297916.0,-27497863,,23888400191.0,,-2098861,1273898440.0,0.0,,-119598450.0,149600446.0,,,444999526,6986900669,205999837,598300133,,17099650,-593299910,,592801162,,,-71901704.0,1442599491,,1860100287,20400349,,10418599172,,-19799112,12759799427,1654799427.0,-235699384,319999689,5498971,1904400028,,-11128600764.0,,
2002-03-31,288699809,-62700765,433900575,-1999681,-1199809,-0.005025,91499362.0,32799554.0,,1002299235.0,1108699809,,3195900255.0,1007899936.0,8818599426,108599426.0,,-17700765,,,-26800510.0,374399299,5169600064.0,17100064,181400574,121400574.0,,,12079600064,18482200446,-2088910,775100382,3871199809.0,16968100701,-199172.0,-117200446,,19151599745.0,,10600701,1274099745.0,1594.0,,-43199490.0,206400574.0,,-0.005025,589298917,6394099745,-2500000,589300510,,-45600701,-408400255,608000000.0,374400892,,332200446.0,-1593.0,1514099745,,1819200127,16499363,,10260399937,,15799873,8023000319,1010699490.0,-405900255,56999681,214899618,1698000319,608000000.0,-11128599426.0,,
2002-06-30,280200024,36601356,525400819,18399758,18599788,0.02509,55300804.0,24500037.0,,929799970.0,1126999545,,,1004200636.0,8715999394,101100167.0,,-8799818,,,-26299960.0,385200640,69699955.0,-45600701,174000606,269599939.0,,,12027001061,18444400667,17499621,594602212,7080400061.0,16958501288,-699449.0,-268400403,,19193499015.0,,8699193,1160200030.0,0.0,,-83500010.0,213900591.0,,0.02509,621001520,6408699803,-31199045,621000152,,-8999848,-579799472,613200000.0,385199272,,296299439.0,-59098270.0,1485899379,,1781400212,33100470,,10245600849,,51700258,8196599485,980400061.0,-548600427,336200804,235800880,1747999697,613200000.0,-10996899530.0,,
2002-09-30,804300167,3699409,433800000,-107400000,-105300000,-0.17488,670600000.0,354000409.0,,666500000.0,1103200000,,,1000400000.0,8125900000,92200000.0,,-318900000,,,-43199530.0,400800061,69700000.0,-8999848,98600000,218500000.0,,,11645400000,18255700000,-108200000,765500000,7078500000.0,17107300000,-10201379.0,481600849,,19367000000.0,,-57099894,1196200000.0,0.0,,362399500.0,214000000.0,,-0.17488,663100061,6599800000,-2700955,663100000,,-5300000,-322100273,630600000.0,400800000,8600379.0,,253699863.0,1148400000,,2085300000,-50500000,,9560100000,,-155800000,8113100000,824500000.0,-322699318,-478500485,262300000,1766300000,630600000.0,-11253900000.0,,
2002-12-31,368800000,-3700000,405300000,-139200000,-139200000,,529600000.0,-319100000.0,,640400000.0,1149200000,,3124600000.0,992300000.0,8197400000,96500000.0,48100000.0,-181100000,,,-39300000.0,409900000,69700000.0,-5300000,261600000,,,,11776000000,18219800000,-146900000,3800000,3948600000.0,17046600000,318700000.0,-47300000,,19515200000.0,,47000000,1599200000.0,0.0,,-22500000.0,,,,146000000,6432600000,38600000,645200000,,-9000000,-380800000,,409900000,-4300000.0,,68800000.0,1173200000,,2181000000,-41600000,,9595000000,,-177700000,8025900000,630400000.0,-416100000,8300000,235300000,1794400000,,-11489300000.0,,
2003-03-31,399700309,16399295,613700603,91200235,91200235,0.130165,644999266.0,20099897.0,,553399442.0,1070099897,,,990599383.0,7715200529,86299398.0,,-12100779,7399736.0,7399736.0,-44799471.0,411100338,69700309.0,-8999559,161599824,161400029.0,,,11296700456,17806900250,90299691,637101513,7005400323.0,16469100926,6600558.0,191900985,,19630699281.0,,36900250,1170800646.0,1469.0,,-6900250.0,151200235.0,,0.130165,670800647,6498799765,5898340,670800647,,7399736,-182600264,693600000.0,411100338,10199794.0,,-147399735.0,1337799324,,1977199941,-5899809,,9319500515,,85300426,7869199354,667100044.0,-207799324,-200699280,259700309,1740900544,694000000.0,-11761499927.0,,
2003-06-30,470699529,9201137,1024399568,74799406,74799406,0.105575,631900581.0,20999657.0,,499600162.0,1053499932,,,988299338.0,6833599892,81599352.0,,-9900041,16600027.0,16600027.0,-43801096.0,410099176,69700122.0,7399736,169100365,509400243.0,,,11067999460,17622900176,73999730,624300959,6944599487.0,16274900716,-4500058.0,165198839,,19838099419.0,,218400304,1080399838.0,0.0,,-189199980.0,213000135.0,,0.105575,719800082,6546300149,501768,719800082,,16600027,-286000303,697200000.0,410099959,4699571.0,,,1347999460,,2221700662,54899365,,8846298798,,129698771,7820000000,686899905.0,-305500690,-175500909,309700123,1773300014,701600000.0,-12018099419.0,,
2003-09-30,858700648,85700216,1018699352,115899514,115899514,0.15986,622999730.0,20600878.0,,504500270.0,1051700432,,,986300648.0,6632500000,77799838.0,,-9900054,102300108.0,102300108.0,-41599325.0,407200000,69700162.0,16600027,136500540,285799568.0,,,10812699892,17459900054,115000000,655499730,6898599406.0,16053599406,-9801742.0,554700554,,20064600216.0,,95698906,1266400594.0,0.0,,279099960.0,210599676.0,,0.15986,754500270,6636700432,-5100810,754498920,,102300108,-307800027,700200000.0,407198812,3799987.0,,,1406300648,,2175199892,84000540,,8637500000,,199900054,7762999730,747599946.0,-304000094,-465200405,347300108,1806199352,706400000.0,-12301600486.0,,
2003-12-31,414899514,-96100648,1173700000,49599676,52899676,,586000000.0,24899568.0,,723800000.0,1126600162,,3118000000.0,1007000000.0,6469400000,123500000.0,41900000.0,-20099676,,,-41800108.0,424400486,69700000.0,102300108,204499838,221100000.0,,,10804800000,17477500000,41599622,346400000,3799300000.0,15960200000,-9198758.0,-20500378,,19896300000.0,,47600540,1294100000.0,92000000.0,,-59699730.0,-2700000.0,,,691100054,6662000000,2400702,699000054,,6200000,-421399406,,424400486,-45699352.0,,-215401350.0,1517300000,,2154700000,43900270,,8650100000,,96799946,7417900000,741700000.0,-435399892,-89599406,274599568,1825600216,,-12478400000.0,,
