date,quarterlySellingGeneralAndAdministration,quarterlyDilutedEPS,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyEbitda,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyAccountsReceivable,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyGoodwill,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOperatingExpense,quarterlyOtherIncomeExpense,quarterlyOtherIntangibleAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyBasicEPS,quarterlyTotalNonCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyBasicAverageShares,quarterlyTotalAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentDebt,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyInterestExpense,quarterlyCashDividendsPaid
2012-10-31,7551000,0.008789,23000,-9888000,174000,8958000,1062000,29638000,-10471000,8784000,9197000,,181000,,,,,35796000,-192000.0,3658000,,,,9716000,,19940000,332000,,15856000,,-64000.0,120833000.0,5749000,5749000,,,,,,,,,,11156000,74000,,234000,0.0,3605000,-519000,,0.0,8858000,,3109000,,-521000,,0.009793,,,-7196000,0,108440000.0,,30159000,,,,,,,,,,,
2013-01-31,8973000,,78000,-4484000,253000,9615000,15849000,31890000,-4809000,9362000,6739000,55854000.0,225000,14276000.0,86890000.0,2283000.0,24927000.0,39788000,-192000.0,744000,5183000.0,54289000.0,1124000.0,6987000,37094000.0,23027000,1571000,4571000.0,16761000,33966000.0,-77000.0,,5684000,5684000,0.0,1097000.0,1565000.0,,441000.0,-904000.0,38785000.0,46166000.0,31890000.0,13665000,-603000,880000.0,74000,0.0,4692000,-248000,671000.0,,8759000,1379000.0,3075000,,2252000,814000.0,,2930000.0,,-8218000,0,,89820000.0,29638000,6933000.0,5000.0,3340000.0,,,,,,,,
2013-04-30,11379000,0.007663,89000,-1357000,267000,8440000,926000,44354000,-833000,8173000,12806000,,735000,,,,,42788000,,6996000,,,,13023000,,25079000,-1702000,,17709000,,41000.0,120833000.0,4845000,4845000,,,,,,,,,,16906000,-499000,,274000,0.0,5527000,-217000,,0.0,7674000,,2829000,,12464000,,0.008539,,,-888000,700000,108440000.0,,31890000,,,,,,,,,,,
2013-07-31,14243000,0.010429,89000,-1414000,511000,10349000,1275000,38608000,-12625000,9838000,6061000,65220000.0,1215000,14267000.0,96279000.0,3249000.0,35770000.0,49581000,-173000.0,-593000,195000.0,61223000.0,1449000.0,7238000,38883000.0,30438000,-401000,8677000.0,19143000,47400000.0,215000.0,122252440.0,5998000,5998000,4709000.0,2740000.0,3997000.0,,2548000.0,-1103000.0,48260000.0,52875000.0,38608000.0,20600000,-65000,8347000.0,-359000,0.0,6357000,-1177000,1139000.0,,9773000,2146000.0,3775000,-12149000.0,-5746000,633000.0,0.010429,16341000.0,-529000.0,453000,1900000,122252440.0,112620000.0,44354000,1000.0,3000.0,1325000.0,,,,,,,,
2013-10-31,17017000,0.05,98000,-4315000,774000,10759000,2339000,257141000,-3250000,9985000,4087000,74643000.0,2086000,16242000.0,328448000.0,2319000.0,42295000.0,54979000,-86000.0,-3827000,195000.0,70253000.0,1882000.0,5267000,48603000.0,33587000,1157000,14108000.0,21392000,270646000.0,-5000.0,131963000.0,6525000,6525000,4709000.0,4635000.0,4390000.0,,2508000.0,-1200000.0,53514000.0,273383000.0,257141000.0,23602000,125000,8593000.0,216516000,0.0,6585000,-1180000,1220000.0,216263000.0,10110000,2319000.0,3585000,0.0,218533000,0.0,0.07,16841000.0,,-9417000,2250000,35802000.0,345289000.0,38608000,1000.0,11000.0,2436000.0,,,,,,,,
2014-01-31,19279000,0.04,88000,-14317000,858000,12166000,6145000,262507000,-9868000,11308000,15822000,90212000.0,2914000,25625000.0,353732000.0,2445000.0,48542000.0,62803000,-1522000.0,7584000,439000.0,86617000.0,1897000.0,16225000,58433000.0,38445000,-357000,16681000.0,24358000,280096000.0,2000.0,143221000.0,6247000,6247000,4850000.0,3703000.0,3595000.0,,1698000.0,-1394000.0,67380000.0,288132000.0,262507000.0,27137000,-365000,8136000.0,-991000,174000.0,7858000,-403000,1145000.0,-1211000.0,10943000,2445000.0,4696000,0.0,5366000,470000.0,0.05,16576000.0,-1211000.0,-9886000,4850000,122578000.0,370308000.0,257141000,1000.0,19000.0,2117000.0,,,,,,,,
2014-04-30,19222000,0.05,312000,-135116000,930000,13487000,7128000,188888000,-131771000,12557000,17611000,104838000.0,3256000,156608000.0,418782000.0,2494000.0,55763000.0,66721000,0.0,6383000,866000.0,101231000.0,1909000.0,18130000,61217000.0,40771000,912000,7876000.0,25950000,330286000.0,-3000.0,142849000.0,7221000,7221000,4850000.0,5500000.0,3607000.0,,1698000.0,-1713000.0,74872000.0,345496000.0,188888000.0,28214000,-30000,7786000.0,40058000,4379000.0,8992000,-519000,1212000.0,34994000.0,12527000,2494000.0,5306000,,-73619000,0.0,0.06,16342000.0,,-2812000,3867000,123902000.0,435124000.0,262507000,1000.0,31000.0,3098000.0,,,,,,,,
2014-07-31,20956000,0.07,421000,-94776000,991000,17776000,9490000,140116000,-78992000,16785000,-8375000,106854000.0,3400000,210086000.0,423005000.0,27025000.0,65341000.0,75664000,0.0,2177000,932000.0,103257000.0,1899000.0,16608000,61897000.0,47528000,-1210000,8249000.0,28136000,357387000.0,4000.0,143353000.0,9578000,9578000,4850000.0,3991000.0,3597000.0,,1698000.0,-2034000.0,85303000.0,350202000.0,140116000.0,30743000,-101000,7155000.0,13633000,6654000.0,9787000,-24983000,2206000.0,,16684000,27025000.0,7106000,0.0,-48772000,0.0,0.07,41236000.0,-499000.0,-721000,40763000,127314000.0,464241000.0,188888000,1000.0,-106000.0,1798000.0,,,,,,,,
2014-10-31,22833000,0.07,611000,-103836000,1022000,20963000,10198000,132135000,-52022000,19941000,33385000,111346000.0,3585000,260731000.0,449516000.0,27613000.0,75599000.0,83825000,-76000.0,18884000,1595000.0,107760000.0,1888000.0,34256000,45241000.0,53409000,354000,12348000.0,30416000,381207000.0,8000.0,144289000.0,10258000,10258000,4850000.0,4524000.0,3586000.0,,1698000.0,-2112000.0,84668000.0,392866000.0,132135000.0,33468000,-989000,6615000.0,9800000,7698000.0,10635000,-871000,3959000.0,0.0,18952000,27613000.0,8694000,0.0,-7981000,0.0,0.08,43037000.0,,16684000,52677000,129212000.0,492553000.0,140116000,1000.0,-24000.0,2147000.0,,,,,,,,
2015-01-31,23431000,0.09,832000,-68227000,986000,21669000,13288000,129253000,-9681000,20683000,-2314000,138057000.0,4084000,268620000.0,501837000.0,28203000.0,88925000.0,87012000,-4192000.0,-16517000,3241000.0,135523000.0,2534000.0,-1295000,92661000.0,55856000,1682000,8939000.0,31156000,406833000.0,12000.0,144737000.0,13326000,13326000,4850000.0,6488000.0,2534000.0,,,-2339000.0,112960000.0,397873000.0,129253000.0,35173000,-1660000,6144000.0,8094000,6595000.0,11742000,-1019000,3856000.0,0.0,19023000,28203000.0,5697000,0.0,-2882000,87000.0,0.1,43053000.0,,-47606000,59553000,130345000.0,544890000.0,132135000,1000.0,26000.0,3886000.0,,,,,,,,
