date,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicEPS,quarterlyCommonStockIssuance,quarterlyInvestmentsAndAdvances,quarterlyOperatingCashFlow,quarterlyBasicAverageShares,quarterlyCapitalExpenditure,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyTaxProvision,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyOperatingExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyNonCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyDilutedEPS,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyOtherShortTermInvestments,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyInventory,quarterlyResearchAndDevelopment,quarterlyChangeInInventory
1999-03-31,-26400000.0,,19300000,0.3,,,39000000,67666667.0,-100000.0,20300000,20300000,,,928500000.0,-1300000.0,,976900000,,-14400000,58200000,,2000000.0,,67666667.0,300000,,38900000,20300000,999500000,,,,,,18100000.0,,,12800000,-600000.0,-500000.0,-2200000,,,,,,1014000000,56600000,71000000,,,8100000,,0.3,,83800000,58500000,-100000,,-15800000,,,,-14500000,2600000,,,,,,,-127400000,,,,,
1999-06-30,26500000.0,,-900000,0.3,,,12700000,67333333.0,-200000.0,20200000,20200000,,,917600000.0,,,976000000,,-14500000,11500000,,5800000.0,,67333333.0,58500000,,12500000,20200000,1018200000,,,,,,18600000.0,,,12400000,-12100000.0,-800000.0,-25800000,,,,,,1012300000,57900000,72400000,,,5900000,,0.3,,84800000,70100000,-300000,,4400000,,,,5900000,4600000,,,,,,,-900000,,,,,
1999-09-30,21500000.0,,20700000,0.19,,,28400000,68421053.0,0.0,13000000,13000000,,,906600000.0,-7500000.0,,975100000,,-13800000,49800000,,,,68421053.0,70100000,18400000.0,28400000,13000000,1052000000,,,,,,19700000.0,,,12400000,11600000.0,-100000.0,23000000,,,,,,1032900000,59300000,73100000,,,-20000000,,0.19,,85500000,119900000,700000,0.0,17400000,,,,19100000,5200000,,700000.0,,,,,-800000,,,,,
1999-12-31,5000.0,,-3795000,,,891000.0,23480000,,1000.0,-10965000,-10965000,,30506000.0,894791000.0,7500000.0,,974247000,,143557000,19756000,,,,,119900000,18402000.0,23481000,-10965000,1071199000,139594000.0,,139594000.0,400000000.0,,32500000.0,,,5203000,-25900000.0,30800000.0,14356000,,,,,-2080000.0,1062854000,59345000,-84212000,1182547000.0,,8837000,,,,-79009000,139594000,71000,11000.0,6409000,,,,8345000,-4533000,,-184000.0,,,,,-3858000,-287756000.0,,,,
2000-03-31,13000.0,,-63482000,0.04,,,45536000,67898000.0,,6940000,2733000,,30506000.0,884157000.0,,,923368000,,28311000,-17946000,,,,67912000.0,139594000,18402000.0,45536000,2733000,1024288000,121648000.0,,121648000.0,,,23849000.0,,,10653000,25358000.0,817000.0,26175000,,,,,-2353000.0,1012279000,59100000,30789000,1182547000.0,,365000,,0.04,,41828000,121648000,0,0.0,9142000,,,,12009000,2288000,,,,,,,-63495000,-298390000.0,,,,
2000-06-30,,,1000,0.11,,1656000.0,-6001000,68027000.0,,7512000,7512000,,30506000.0,873632000.0,,,923368000,,28685000,-6000000,,,,68101000.0,121648000,18402000.0,-6001000,7512000,1034266000,115648000.0,,115648000.0,,,23777000.0,,,10544000,-27075000.0,2135000.0,-24940000,,,,,-2024000.0,1014415000,59974000,31289000,1182547000.0,,272000,,0.11,,42145000,115648000,0,0.0,16655000,,,,19851000,2497000,,,,,,,0,-308915000.0,,,,
2000-09-30,0.0,,-42435000,0.13,0.0,,22700000,68038000.0,,8581000,8581000,,30506000.0,863109000.0,,,923368000,,28637000,-19510000,,,,68224000.0,115648000,18402000.0,22700000,8581000,1005951000,96138000.0,,96138000.0,,,23661000.0,,,10542000,25674000.0,5221000.0,2672000,,,,,-1680000.0,1019635000,60879000,32242000,1182547000.0,,294000,,0.13,,43073000,96138000,225000,-42435000.0,-17199000,,,,-13684000,2602000,,,,,,,0,-319438000.0,,,,
2000-12-31,-36975000.0,,-36974000,,8000.0,,23103000,,,-84278000,-84278000,,30506000.0,848545000.0,,,886385000,,-21604000,-8737000,,19846000.0,,,96138000,18402000.0,23103000,-84278000,981145000,87401000.0,,87401000.0,,,24031000.0,,,11864000,-27472000.0,-333000.0,418000,,,,,-1338000.0,1098659000,62369000,83973000,1176143000.0,,94488000,,,,95837000,87401000,5134000,1000.0,-121323000,,,,-117514000,2302000,,-36000.0,,,,,-36983000,-327598000.0,,,,
2001-03-31,-35000000.0,,-54846000,0.16,,,23098000,68222000.0,-95000.0,10579000,10579000,675000.0,30506000.0,838071000.0,,,851385000,,-1799000,-32303000,,0.0,,68872000.0,87401000,18402000.0,23003000,10579000,938689000,55098000.0,,55098000.0,,,21121000.0,,,10498000,-407000.0,1407000.0,1000000,,,,,-2270000.0,1044596000,47624000,49423000,1176143000.0,,410000,,0.15,,60324000,55098000,-555000,-19846000.0,-110745000,,11254000.0,,-105907000,2549000,,-460000.0,,,,,-35000000,-338072000.0,,,,
2001-06-30,-37210000.0,,-52334000,0.12,,,20355000,68409000.0,-74000.0,8105000,8105000,1210000.0,30506000.0,827596000.0,0.0,,850420000,,16084000,-31714000,,0.0,,69307000.0,55098000,18402000.0,20281000,8105000,901133000,23384000.0,,23384000.0,,,23405000.0,,,10089000,11485000.0,-10374000.0,1111000,,,,22282000.0,-431000.0,1011502000,47356000,31272000,1176143000.0,,439000,,0.12,,42218000,23384000,265000,-15124000.0,-117763000,,9315000.0,,-110369000,2593000,,339000.0,,,,,-965000,-348547000.0,,,,
